id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[53420b12b1],[9e4540b0dc],"大熊猫福宝
 @中国大熊猫保护研究中心 滚出来啊啊啊啊啊啊啊啊啊啊啊宝宝
我要气炸了 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-25T10:17:36,大熊猫福宝超话,9,1,"[{""id"": ""[67260a2eee]"", ""created_at"": ""05-25"", ""source"": ""来自辽宁"", ""user"": {""id"": ""[1f1540eb8b]"", ""screen_name"": ""[193a9df6ed]""}, ""text"": ""@中国大熊猫保护研究中心 见不见啊你们 当初的承诺是放屁？？？？？？？？"", ""like_counts"": 0, ""liked"": false}]",0,,[25a91bb036],2024-05-25 10:17:36
[9a35a3b1e3],[9921121ebc],#爷爷#爷爷来梦里看看我吧 坚持不住了 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-24T19:55:56,iPhone客户端,0,0,,0,爷爷,[9b2d5b4678],2024-05-24 19:55:56
[64f5d762bf],[b2b0549f69],"抑郁症
 爷爷精神分裂自己吃安眠药走的 现在轮到我了吗？？？？手又开始控制不住的抖了 又开始了 我就说我根本治不好 全是骗人的 真的很痛苦 犯起病来真的会死的 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-23T22:46:45,抑郁症超话,3,8,"[{""id"": ""[06df468991]"", ""created_at"": ""05-27"", ""source"": ""来自河北"", ""user"": {""id"": ""[81168912cb]"", ""screen_name"": ""[f0780ac90a]""}, ""text"": ""回复@江忆荌:抱抱 [抱抱]"", ""reply_id"": 5038609755013234, ""reply_text"": ""回复@吃粒氟西汀_:早就忘了十几年前那时候安眠药药店还是可以买到的  安眠药还是我给爷爷买的 他只是每一次都没有吃攒到一起一次性吃掉离开了我"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[c0e3ae4560]"", ""created_at"": ""05-27"", ""source"": ""来自陕西"", ""user"": {""id"": ""[84f594facd]"", ""screen_name"": ""[fbe17d30ce]""}, ""text"": ""回复@江忆荌:期间有一直规范服药吗？我吃的文拉法辛，你吃的什么？ [抱抱]"", ""reply_id"": 5038610086363874, ""reply_text"": ""回复@小福泥oi:如果之前不算 我第一次犯病去医院是2018年"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[d349b32ee3]"", ""created_at"": ""05-27"", ""source"": ""来自辽宁"", ""user"": {""id"": ""[1f1540eb8b]"", ""screen_name"": ""[193a9df6ed]""}, ""text"": ""回复@小福泥oi:如果之前不算 我第一次犯病去医院是2018年"", ""reply_id"": 5038288082047347, ""reply_text"": ""到底能彻底治好吗？你吃药多久了 [抱抱]"", ""like_counts"": 1, ""liked"": false}, {""id"": ""[a352fe9127]"", ""created_at"": ""05-27"", ""source"": ""来自辽宁"", ""user"": {""id"": ""[1f1540eb8b]"", ""screen_name"": ""[193a9df6ed]""}, ""text"": ""回复@吃粒氟西汀_:早就忘了十几年前那时候安眠药药店还是可以买到的  安眠药还是我给爷爷买的 他只是每一次都没有吃攒到一起一次性吃掉离开了我"", ""reply_id"": 5038311223856774, ""reply_text"": ""虽然不合时宜，但我想问问爷爷吃的是哪种安眠药 [泪]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[f244a51d18]"", ""created_at"": ""05-26"", ""source"": ""来自河北"", ""user"": {""id"": ""[81168912cb]"", ""screen_name"": ""[f0780ac90a]""}, ""text"": ""虽然不合时宜，但我想问问爷爷吃的是哪种安眠药 [泪]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[13bf42e63c]"", ""created_at"": ""05-26"", ""source"": ""来自陕西"", ""user"": {""id"": ""[84f594facd]"", ""screen_name"": ""[fbe17d30ce]""}, ""text"": ""到底能彻底治好吗？你吃药多久了 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[54b88a5661]"", ""created_at"": ""05-23"", ""source"": ""来自重庆"", ""user"": {""id"": ""[75e096a1f8]"", ""screen_name"": ""[d26706ed2c]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[b6cf88cff8]"", ""created_at"": ""05-23"", ""source"": ""来自辽宁"", ""user"": {""id"": ""[6bd112391d]"", ""screen_name"": ""[bf4e993b84]""}, ""text"": ""你真的只是生病了，每个人的体质不一样，病程长短也不一样"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-23 22:46:45
[60d9d61a0a],[a49ff2a672],"抑郁症
 昨天晚上突然又失眠了 想着趁今天公司午休睡一会 完全睡不着脑子一直胡思乱想 好烦 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-21T13:28:12,抑郁症超话,2,6,"[{""id"": ""[d004598af1]"", ""created_at"": ""05-23"", ""source"": ""来自澳大利亚"", ""user"": {""id"": ""[e0611e252a]"", ""screen_name"": ""[b3a80b9b3e]""}, ""text"": ""我以前也是这样，认识我现任老公后，他要求我9点半必须上床睡觉，雷打不动。这个问题就解决了。最近，我需要三班倒，这个问题又出现了。所以，我的体会，给自己一个严格的作息时间，是最有效的办法。"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[c6ac3653ec]"", ""created_at"": ""05-21"", ""source"": ""来自上海"", ""user"": {""id"": ""[9710bd5f1b]"", ""screen_name"": ""[e5404697b5]""}, ""text"": ""回复@江忆荌:我不做梦 就是一天天的荒废 因为没精神 白天睡觉就像死过去了一样"", ""reply_id"": 5036516386276028, ""reply_text"": ""回复@絮媗颜逸:前段时间我也是一宿睡不着 只有白天可以睡 但是我那段时间白天睡着就做噩梦"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[af3ae89983]"", ""created_at"": ""05-21"", ""source"": ""来自辽宁"", ""user"": {""id"": ""[1f1540eb8b]"", ""screen_name"": ""[193a9df6ed]""}, ""text"": ""回复@炊子CHUIZI: [抱抱]"", ""reply_id"": 5036463215611596, ""reply_text"": "" [抱抱]"", ""like_counts"": 1, ""liked"": false}, {""id"": ""[cf809f2860]"", ""created_at"": ""05-21"", ""source"": ""来自辽宁"", ""user"": {""id"": ""[1f1540eb8b]"", ""screen_name"": ""[193a9df6ed]""}, ""text"": ""回复@絮媗颜逸:前段时间我也是一宿睡不着 只有白天可以睡 但是我那段时间白天睡着就做噩梦"", ""reply_id"": 5036483611723023, ""reply_text"": ""我只有白天睡得着"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[cbacf1751c]"", ""created_at"": ""05-21"", ""source"": ""来自上海"", ""user"": {""id"": ""[9710bd5f1b]"", ""screen_name"": ""[e5404697b5]""}, ""text"": ""我只有白天睡得着"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[26dfffcc11]"", ""created_at"": ""05-21"", ""source"": ""来自四川"", ""user"": {""id"": ""[0e336d131f]"", ""screen_name"": ""[0f4ada1bf3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-21 13:28:12
[154f18e830],[c367a673ac],简隋英#恭喜简隋英超话阅读量破9亿# 早安 恭喜🎉 ,[9b2d5b4678],[563b2f83a9],[9b2d5b4678],,2024-05-08T06:37:00,简隋英超话,1,4,"[{""id"": ""[e949f58dd3]"", ""created_at"": ""05-08"", ""source"": ""来自湖南"", ""user"": {""id"": ""[361464ea75]"", ""screen_name"": ""[1125250469]""}, ""text"": ""早"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[0aa85149bd]"", ""created_at"": ""05-08"", ""source"": ""来自江西"", ""user"": {""id"": ""[550ac56b6f]"", ""screen_name"": ""[9f87d8c48b]""}, ""text"": "" [打call]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[bbee069b3f]"", ""created_at"": ""05-08"", ""source"": ""来自内蒙古"", ""user"": {""id"": ""[ea24b8ddee]"", ""screen_name"": ""[c93cadc51b]""}, ""text"": ""早"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[733ccb797d]"", ""created_at"": ""05-08"", ""source"": ""来自四川"", ""user"": {""id"": ""[ce3ea018bb]"", ""screen_name"": ""[524dbf0e73]""}, ""text"": "" [打call]"", ""like_counts"": 1, ""liked"": false}]",0,恭喜简隋英超话阅读量破9亿,[9b2d5b4678],2024-05-08 06:37:00
[e871c24a29],[4b3c422d2f],"抑郁症
 好像坚持不住了
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-28T19:34:05,抑郁症超话,0,1,"[{""id"": ""[6fd1c10e34]"", ""created_at"": ""10小时前"", ""source"": ""来自江苏"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""抱住不哭不哭"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-28 19:34:05
[8efabd96f1],[d0fabf7dc5],"抑郁症
 睁开眼的这一刻 我知道我又不行了 眼泪止不住的流 又为什么 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-16T06:57:24,抑郁症超话,1,4,"[{""id"": ""[0f26ceaa63]"", ""created_at"": ""04-16"", ""source"": ""来自江苏"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[27299d0310]"", ""created_at"": ""04-16"", ""source"": ""来自宁夏"", ""user"": {""id"": ""[fb678a5ddb]"", ""screen_name"": ""[5040bc1eeb]""}, ""text"": ""抱抱宝宝 [单身狗]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[506384ba31]"", ""created_at"": ""04-16"", ""source"": ""来自山东"", ""user"": {""id"": ""[da3e9de8e3]"", ""screen_name"": ""[47ea39ad69]""}, ""text"": ""我也是 早上一睁眼就很难受 [泪]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[e86c54566d]"", ""created_at"": ""04-16"", ""source"": ""来自山东"", ""user"": {""id"": ""[69ddbd7d55]"", ""screen_name"": ""[ec3fdc72dc]""}, ""text"": ""抱抱 [抱一抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-16 06:57:24
[fc47326fbd],[73159d5e2f],既然怎么都会死 为什么还要活着呢 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-16T06:55:24,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-04-16 06:55:24
[deb56f15e1],[c12b5586fc],"大熊猫福宝
 哎 好想宝宝 ",[9b2d5b4678],[a9190653d3],[9b2d5b4678],,2024-04-08T18:30:34,大熊猫福宝超话,9,0,,0,,[9b2d5b4678],2024-04-08 18:30:34
[dba6a79704],[106ac37790],"许则 被忘记两次真的没关系吗
 ",[9b2d5b4678],[99b9129999],[9b2d5b4678],,2024-03-02T11:42:36,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-03-02 11:42:36
