id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[342fddaf80],[f857125463],"抑郁症
谁去过青岛市精神卫生中心啊检查要花多少💰以前在市立看的学校的心理主任非让我去精卫看看
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-15T00:10:57,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-04-15 00:10:57
[c27e289a06],[75bd3f3320],#华晨宇是懂提供情绪价值的# ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-14T18:42:07,vivo手机,0,0,,0,华晨宇是懂提供情绪价值的,[9b2d5b4678],2024-04-14 18:42:07
[ae85dd6cc6],[b16d4e0e8b],"华晨宇
一起去看日出吧！ ",[9b2d5b4678],[eef9c73bf5],[9b2d5b4678],,2024-04-14T14:34:30,华晨宇超话,1,0,,0,,[9b2d5b4678],2024-04-14 14:34:30
[54f2c19265],[0f12a755c9],"华晨宇超话#华晨宇抢票#有了
 ",[9b2d5b4678],[dfecce0b26],[9b2d5b4678],,2024-04-13T17:43:30,vivo手机,0,1,"[{""id"": ""[a9b82f6ae2]"", ""created_at"": ""04-13"", ""source"": """", ""user"": {""id"": ""[0016dcda60]"", ""screen_name"": ""[a439e3fc96]""}, ""text"": ""好久不见，我和小伙伴们都在华晨宇超话的超话社区等你，快点来看看吧，回家指路&gt;&gt;华晨宇超话[超话]"", ""like_counts"": 0, ""liked"": false}]",0,华晨宇抢票,[9b2d5b4678],2024-04-13 17:43:30
[745407f0d4],[2b740a63d3],我们五一见！ ,[9b2d5b4678],[7a4270463c],[9b2d5b4678],,2024-04-13T14:39:57,vivo手机,0,0,,0,,[9b2d5b4678],2024-04-13 14:39:57
[70d0fd4818],[3db3755baf],"华晨宇#华晨宇2024向阳而生# hcy#华晨宇我们终于要一起看日出了# hcy#2024华晨宇火星演唱会# 已打卡
 ",[9b2d5b4678],[995dd14913],[9b2d5b4678],,2024-04-10T21:26:09,华晨宇超话,0,1,"[{""id"": ""[b0b8f95715]"", ""created_at"": ""04-10"", ""source"": ""来自四川"", ""user"": {""id"": ""[d7ea2228b5]"", ""screen_name"": ""[ef13ff3100]""}, ""text"": ""我该要怎么做 新的未来才会兑现承诺，躲在角落 会让人更焦灼。——@华晨宇yu 《好想我回来啊》"", ""like_counts"": 0, ""liked"": false}]",0,"华晨宇2024向阳而生,华晨宇我们终于要一起看日出了,2024华晨宇火星演唱会",[9b2d5b4678],2024-04-10 21:26:09
[91b87b78c8],[bd0a926d2d],"#华晨宇演唱会顺带搞基建#期待！
一起去看日出吧！ ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-10T16:10:54,vivo手机,0,0,,0,华晨宇演唱会顺带搞基建,[9b2d5b4678],2024-04-10 16:10:54
[7e17d167fa],[2e2646d0cb],"抑郁症
睡不着还有五个多小时起床上学，强制断药两个月了，家长不让吃，自己去医院医生说家长必须跟着来才能开药，好难受 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-07T01:02:29,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-04-07 01:02:29
[0ac111687b],[d35b6f49c8],日出我要和我的好友圈见面！！ ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-04T20:40:36,vivo手机,0,0,,0,,[9b2d5b4678],2024-04-04 20:40:36
[038c942b2e],[b96ca6e9eb],"华晨宇#华晨宇我们终于要一起看日出了# hcy#2024华晨宇火星演唱会# hcy#华晨宇2024向阳而生# 
想你宝宝，晚安啦@华晨宇yu ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-02T23:32:09,华晨宇超话,0,1,"[{""id"": ""[19f6aef2c4]"", ""created_at"": ""04-02"", ""source"": ""来自广东"", ""user"": {""id"": ""[980a998539]"", ""screen_name"": ""[836fdd1f30]""}, ""text"": ""啊~空白的人生被你踏上五彩印迹， 啊~所有经历给它赋予魔力， 啊~曾经孩童的梦想是否还在原地， 啊~其实触手可及。@华晨宇yu"", ""like_counts"": 0, ""liked"": false}]",0,"华晨宇我们终于要一起看日出了,2024华晨宇火星演唱会,华晨宇2024向阳而生",[edd459ecc1],2024-04-02 23:32:09
[ad631b2dc9],[3b1ff864c7],"华晨宇#华晨宇官宣烟台演唱会# hcy#华晨宇2024向阳而生# hcy#华晨宇我们终于要一起看日出了# 
今天早上的我 
被遗忘在银河尽头yu的微博视频
 ",[9b2d5b4678],[9b2d5b4678],[d4e92cf276],,2024-04-02T22:07:45,华晨宇超话,0,1,"[{""id"": ""[effaefa6e1]"", ""created_at"": ""04-02"", ""source"": ""来自山东"", ""user"": {""id"": ""[98475397e2]"", ""screen_name"": ""[6646c26b03]""}, ""text"": ""沉醉过 泥土的芬芳啊 用最柔嫩青苔 换取一抹阳光 然后自然老去吧 别再依依惜别了 “可我仍爱着那道 晚霞”——@华晨宇yu  《向阳而生》"", ""like_counts"": 0, ""liked"": false}]",0,"华晨宇官宣烟台演唱会,华晨宇2024向阳而生,华晨宇我们终于要一起看日出了",[9b2d5b4678],2024-04-02 22:07:45
[5a599244e7],[40a5d054d2],"华晨宇#华晨宇我们终于要一起看日出了#宝宝我爱你
今年是我们第一次见面喔 ",[9b2d5b4678],[e476dae5e1],[9b2d5b4678],,2024-04-02T18:09:33,华晨宇超话,3,3,"[{""id"": ""[6768ddfcb0]"", ""created_at"": ""04-02"", ""source"": ""来自江苏"", ""user"": {""id"": ""[2b93b2de67]"", ""screen_name"": ""[7fd1e2fdf8]""}, ""text"": ""伤疤是亲手佩戴的骄傲勋章。@华晨宇yu 《横冲直撞》"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[8736ad2dec]"", ""created_at"": ""04-02"", ""source"": ""来自湖北"", ""user"": {""id"": ""[d223da2b6b]"", ""screen_name"": ""[8434bf829a]""}, ""text"": ""可爱花花学研究表明，可爱花花的刺激激活了大脑的中皮质素或奖励系统，在某些情况下，这种激活可能是压倒性的。正如戴尔所解释的那样：“我们认为在面对可爱的花花时会产生关于高度的积极影响，一种接近的方向和几乎失去控制的感觉。你知道，你处理不了，那种事情——可爱的花花宝宝。”@华晨宇yu"", ""like_counts"": 1, ""liked"": false}, {""id"": ""[f2e5134c9f]"", ""created_at"": ""04-02"", ""source"": ""来自广东"", ""user"": {""id"": ""[ece258d362]"", ""screen_name"": ""[d6fb39a3b3]""}, ""text"": ""我们通过高等教育学会了消除愚昧，但善良可能需要一辈子的生活阅历来换取。愿我们每一位都能在生活里不断的学会用自我审视和善良的方式对待他人。@华晨宇yu"", ""like_counts"": 1, ""liked"": false}]",0,华晨宇我们终于要一起看日出了,[9b2d5b4678],2024-04-02 18:09:33
[2db9fd58a0],[da7f93ecd1],人永远不能停止梦想。梦想是心灵的养料，就像饭菜是身体的给养。人生路上我们常会看见自己的梦想破碎了，渴望落空了，但我们仍需做梦，否则心灵就会枯死，博爱便无法渗入心田。 ,[9b2d5b4678],[7e4880c3ee],[9b2d5b4678],,2024-03-29T22:22:37,vivo手机,0,0,,0,,[9b2d5b4678],2024-03-29 22:22:37
[47cfc670ed],[36ea56924c],吃别人所不能吃的苦，忍别人所不能忍的气，做别人所不能做的事，就能享受别人所不能享受的一切。 ,[9b2d5b4678],[e035c48731],[9b2d5b4678],,2024-03-29T12:45:23,vivo手机,0,0,,0,,[9b2d5b4678],2024-03-29 12:45:23
[a65fd66254],[176867c152],"华晨宇#华晨宇2024向阳而生#hcy #2024华晨宇火星演唱会# 
我们的世界一直会很美好——华晨宇《走，一起去看日出吧》 ",[9b2d5b4678],[8f84bd867f],[9b2d5b4678],,2024-03-29T01:26:09,华晨宇超话,7,5,"[{""id"": ""[ec3dcefef5]"", ""created_at"": ""03-29"", ""source"": ""来自四川"", ""user"": {""id"": ""[3c25c29069]"", ""screen_name"": ""[75cbe3e98c]""}, ""text"": ""火星演唱会好啊！！！！！（阳光且健康的跑步）（跨栏）（阳光且健康的跑步）（三分投球）（七彩广播体操）耶!!!!!!!（扭转呼啦圈）啊啊啊啊啊啊!!!!（三分投球入框）（跳舞）（随风飘荡）（自信）（幸福）（沐浴阳光）（冲刺）（舒坦）（头不昏了）（胸口无不适）（精神振奋）（食欲大增）@华晨宇yu"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[4e4fd455ce]"", ""created_at"": ""03-29"", ""source"": ""来自马来西亚"", ""user"": {""id"": ""[a6c7bb2983]"", ""screen_name"": ""[073d24cca0]""}, ""text"": ""Let you go 别靠近我，我只为 寻找到真实而活，没什么 能够操纵 我选择，Let you go 别阻挡我，我只要 燃烧不在乎陨落，Let you go 别让自我 被拯救 @华晨宇"", ""like_counts"": 1, ""liked"": false}, {""id"": ""[ed2a86f87a]"", ""created_at"": ""03-29"", ""source"": ""来自河北"", ""user"": {""id"": ""[c10e9cb19d]"", ""screen_name"": ""[d0f8a6e594]""}, ""text"": ""华晨宇[超话]  笑得开怀，哭得坦率，为何表情让这世界安排，我就是我，我只是我，只是一场烟火散落的尘埃。——《烟火里的尘埃》 @华晨宇yu"", ""like_counts"": 2, ""liked"": false}, {""id"": ""[c9d515e06e]"", ""created_at"": ""03-29"", ""source"": ""来自吉林"", ""user"": {""id"": ""[9697eec385]"", ""screen_name"": ""[f8f22493ed]""}, ""text"": ""懂得讨厌，认真亲吻，学会告别，冬日终会过去。我们一起静待春暖花开！@华晨宇yu"", ""like_counts"": 1, ""liked"": false}, {""id"": ""[45ba1fc20a]"", ""created_at"": ""03-29"", ""source"": ""来自湖南"", ""user"": {""id"": ""[ccf39320ae]"", ""screen_name"": ""[b871fc733a]""}, ""text"": "" [爱你]"", ""like_counts"": 0, ""liked"": false}]",0,"华晨宇2024向阳而生,2024华晨宇火星演唱会",[9b2d5b4678],2024-03-29 01:26:09
