id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[31386dafbb],[109719fdf0],好烦啊，感觉好无趣，好没有意思啊！为什么啊！ ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-09T21:29:25,一加 Ace Pro,0,0,,0,,[9b2d5b4678],2024-05-09 21:29:25
[7941ed24b4],[366f828a81],"抑郁症
好想辞职啊啊啊啊难受😣 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-02T14:05:22,抑郁症超话,0,1,"[{""id"": ""[6b4c023d19]"", ""created_at"": ""05-02"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""想好了吗 [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-02 14:05:22
[53a59b40d7],[b490c168c1],"如果可以我真的很想很想很想 ，去一个海边的小城市，找个很简单很简单的工作，不需要太多工资，简简单单的生活，轻轻松松的，不要想太多，我真的想。每天下班就坐在海边，看着日落，看着晚霞，看着海浪和沙滩，听海的声音，早上去看海，晚上也去，什么时候想去都要去，就坐在那里，什么都不做，什么都 ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-29T22:09:37,一加 Ace Pro,0,0,,0,,[9b2d5b4678],2024-04-29 22:09:37
[5949673c74],[f79768066f],这一天要是很累很累的话就睡不着，很难受，本来辛辛苦苦了一天了，说早点睡吧，好好休息，结果是怎么都睡不着。啊啊啊啊啊啊啊啊哎！身心俱疲呀，困得要死，不知道为什么就是睡不着，脑子始终是安静不下来，胡思乱想的。。。。。 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-19T01:29:24,一加 Ace Pro,0,0,,0,,[9b2d5b4678],2024-04-19 01:29:24
[0d4c784100],[c41cf7ac6a],"自从计划开始，要离开，写下离书后，感觉越来越严重了，怎么办，会不会计划的太早了些啊，计划的很好了，就有点等不及了，可是还有好多事没有办好，没有交代，现在还不是时候，哎呀，计划的太早了，也是一件坏事，至少还有一年，哎呀，算了，不想那么多，越想越麻烦。实在不行提前也可以，。。。。。。 ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-17T22:32:46,一加 Ace Pro,0,0,,0,,[9b2d5b4678],2024-04-17 22:32:46
[623e564d46],[c05dfd3b9e],倒霉的一天啊，一天不倒点霉都不正常啊，下了班扫一个hello共享单车，扫了个故障的，还不了头盔，还不了车，硬控了我15分钟，真绝啊。 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-17T19:38:01,一加 Ace Pro,0,0,,0,,[9b2d5b4678],2024-04-17 19:38:01
[05c54ed0c7],[cf3c81cd0a],麻烦情绪不稳定，控制不了自己的想法。 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-14T17:39:02,一加 Ace Pro,0,0,,0,,[9b2d5b4678],2024-04-14 17:39:02
[61a6d12a9e],[61bc582b97],天煞孤星，孤僻属性，无情无义。 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-14T17:38:35,一加 Ace Pro,1,0,,0,,[9b2d5b4678],2024-04-14 17:38:35
[a7ffb46654],[e54bbfe9b7],"我觉得我失去了灵魂，
没有精神寄托，
孤独痛苦焦虑抑郁 ，
没人能懂， 无人诉说， 独自忍受。
或许我的现在活于梦中，从未醒来。 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-14T17:38:12,一加 Ace Pro,0,0,,0,,[9b2d5b4678],2024-04-14 17:38:12
[cd781e5de9],[a0011825f9],感觉有个好朋友可以说说心里话真的是很好啊，好多烦心事，好多垃圾破事需要吐槽，倾诉一下，需要有个人说说心里话，抱怨一下下，然后又劝一劝，继续努力活着吧。唉呀呀好麻烦啊，我真的服了我自己蠢啊。 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-14T17:37:56,一加 Ace Pro,0,1,"[{""id"": ""[81ed9c1555]"", ""created_at"": ""04-14"", ""source"": ""来自上海"", ""user"": {""id"": ""[6748cef5d9]"", ""screen_name"": ""[9d49585b10]""}, ""text"": ""可以跟我倾诉下 [喵喵]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-14 17:37:56
[79027ff2d9],[308b7d2b7f],人的一生真的不要想太多，怎么开心怎么来，大胆一点，真的不要有任何的顾虑任何的难过，你喜欢什么就去做，你爱什么就去热爱，不想工作就辞职，不想结婚就一个人生活，不想活着就去死。 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-14T17:37:46,一加 Ace Pro,0,0,,0,,[9b2d5b4678],2024-04-14 17:37:46
[1a7d4406cd],[327d572ee7],"为什么人类就这么难啊？人与人之间就不能善良温柔点吗？为什么要为难人，何苦啊，善待他人挺好的啊，生而为人，善良大方。我感觉我活的越来越善良，越讨好型人格了。。。。。。
我总是很讨厌人类的自私自利自大。 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-14T17:37:39,一加 Ace Pro,0,0,,0,,[9b2d5b4678],2024-04-14 17:37:39
[5be8f1bf70],[c084e5aa30],每次难过，抑郁都是放弃自己，然后自己又慢慢的劝自己，扛着吧，不知道什么时候感觉越来越劝不住自己了，当我彻底没办法时候就完了。 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-14T17:36:59,一加 Ace Pro,0,0,,0,,[9b2d5b4678],2024-04-14 17:36:59
[c13f040a46],[1897af4eb0],没有目标，没有意义，没有什么值得的是很可怕啊，做什么都不想做，做不好的。真的是感觉没什么意思了。没什么努力的动力了。这个世界对我来说没什么意思，人类也没意思。 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-14T17:35:44,一加 Ace Pro,0,0,,0,,[9b2d5b4678],2024-04-14 17:35:44
[f4c356781c],[f0b9daf496],唉，遇到一点困难就，逃避，就放弃，就不想上进，不想努力，怎么办啊？为什么就不能努力的活着，好好的生活啊！自己对抗纠结焦虑，放弃自己。。。。。。唉。我真的想要奋斗吧。 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-14T17:34:56,一加 Ace Pro,0,0,,0,,[9b2d5b4678],2024-04-14 17:34:56
[5c4c77ce57],[5ff3604264],一天发好多微博可能是之前一天一天写好的。不用奇怪。 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-14T17:34:39,一加 Ace Pro,0,0,,0,,[9b2d5b4678],2024-04-14 17:34:39
