id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[8f51530580],[4984cd9082],"崩坏星穹铁道
 問問老大們這個任務怎麼配對打啊
 ",[9b2d5b4678],[22549d22e5],[9b2d5b4678],,2024-06-05T11:27:30,崩坏星穹铁道超话,1,1,"[{""id"": ""[aeb297eb84]"", ""created_at"": ""21小时前"", ""source"": ""来自广东"", ""user"": {""id"": ""[b3f141d30c]"", ""screen_name"": ""[1f770872b7]""}, ""text"": ""把鸭鸭换成奶妈，雪衣姬子火主娜塔莎，主角换成火系存护"", ""like_counts"": 1, ""liked"": false}]",0,,[9b2d5b4678],2024-06-05 11:27:30
[ec4edfdc68],[e07f261d6c],"抑郁症
 能抱抱我嗎 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-04T19:28:11,抑郁症超话,17,18,"[{""id"": ""[6af627e940]"", ""created_at"": ""06-04"", ""source"": ""来自重庆"", ""user"": {""id"": ""[79732f59ac]"", ""screen_name"": ""[dc84d4dada]""}, ""text"": "" [抱一抱]"", ""like_counts"": 1, ""liked"": false}, {""id"": ""[f8a4ceb967]"", ""created_at"": ""06-04"", ""source"": ""来自安徽"", ""user"": {""id"": ""[3501260cd5]"", ""screen_name"": ""[8cb37a01ed]""}, ""text"": "" [抱抱]"", ""like_counts"": 1, ""liked"": false}, {""id"": ""[0c023404a4]"", ""created_at"": ""06-04"", ""source"": ""来自江西"", ""user"": {""id"": ""[5d4c0e8850]"", ""screen_name"": ""[c4a812a4a5]""}, ""text"": ""抱抱 [抱抱]"", ""like_counts"": 1, ""liked"": false}, {""id"": ""[9ed45f9ca0]"", ""created_at"": ""06-04"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""回复@再等等噁心到我了:不哭不哭 [心]"", ""reply_id"": 5041628592475006, ""reply_text"": ""回复@要长记性的木子: [抱一抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[766dd467f6]"", ""created_at"": ""06-04"", ""source"": ""来自重庆"", ""user"": {""id"": ""[5c186bee41]"", ""screen_name"": ""[4e737fab2d]""}, ""text"": ""回复@我不想成为你的回忆: [抱一抱]"", ""reply_id"": 5041628391673230, ""reply_text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[a266c2c202]"", ""created_at"": ""06-04"", ""source"": ""来自重庆"", ""user"": {""id"": ""[5c186bee41]"", ""screen_name"": ""[4e737fab2d]""}, ""text"": ""回复@要长记性的木子: [抱一抱]"", ""reply_id"": 5041627708786850, ""reply_text"": ""抱抱抱"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[77bfb9ba15]"", ""created_at"": ""06-04"", ""source"": ""来自重庆"", ""user"": {""id"": ""[5067c101ad]"", ""screen_name"": ""[0768f8318e]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[592154185c]"", ""created_at"": ""06-04"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""抱抱抱"", ""like_counts"": 2, ""liked"": false}]",0,,[9b2d5b4678],2024-06-04 19:28:11
[76ff86d625],[450fccb5c4],"崩坏星穹铁道
 問問老大們打药王秘传用哪个配队好啊
 ",[9b2d5b4678],[6d3b91d69d],[9b2d5b4678],,2024-06-04T14:11:18,崩坏星穹铁道超话,2,1,"[{""id"": ""[f17b9fa79a]"", ""created_at"": ""06-04"", ""source"": ""来自山东"", ""user"": {""id"": ""[13963f2f4d]"", ""screen_name"": ""[a42ceacd63]""}, ""text"": ""药王秘传是那个回血哥吗？？？不知佩拉的E技能可不可以解除他的回血状态。。。三月七+娜塔莎+佩拉+对应弱点属性输出位"", ""like_counts"": 1, ""liked"": false}]",0,,[9b2d5b4678],2024-06-04 14:11:18
[9667944d85],[4061476ccf],"崩坏星穹铁道
 問問老大們推薦抽那個池子
 ",[9b2d5b4678],[be049587dd],[9b2d5b4678],,2024-06-03T19:29:17,崩坏星穹铁道超话,0,3,"[{""id"": ""[75bc639d42]"", ""created_at"": ""06-03"", ""source"": ""来自北京"", ""user"": {""id"": ""[73cb012835]"", ""screen_name"": ""[6020850c5c]""}, ""text"": ""这个版本波提欧主c，符玄生存位，强度都很够，下两期卡池还有主c但大概率没生存位，周五前瞻会给准确消息可以等一下"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[f581594110]"", ""created_at"": ""06-03"", ""source"": ""来自江西"", ""user"": {""id"": ""[7d9938febf]"", ""screen_name"": ""[ff1d8ef174]""}, ""text"": ""优先xp 缺生存位就选符玄，抽bto最好0+1配个阮梅"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[a24fb28bde]"", ""created_at"": ""06-03"", ""source"": ""来自广东"", ""user"": {""id"": ""[60430b0ac4]"", ""screen_name"": ""[4f0707daf9]""}, ""text"": ""哪个顺眼抽哪个 好看是一辈子的事 [爱你]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-06-03 19:29:17
[007d608c04],[24879b889a],"抑郁症
 你也很討厭我吧，對不起 ",[9b2d5b4678],[b3b19256d4],[9b2d5b4678],,2024-05-30T23:39:29,抑郁症超话,2,1,"[{""id"": ""[67280bb7bf]"", ""created_at"": ""05-31"", ""source"": ""来自北京"", ""user"": {""id"": ""[783890bfd6]"", ""screen_name"": ""[882c263383]""}, ""text"": "" [心]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-30 23:39:29
[ab47a75f5c],[43b72a05ac],"抑郁症
 有沒有老師可以陪我聊一下
一難過覺好想說話，不能和家人說，哭還得小聲，好累 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-29T19:39:47,抑郁症超话,3,7,"[{""id"": ""[e2df035034]"", ""created_at"": ""06-04"", ""source"": ""来自上海"", ""user"": {""id"": ""[a876ad3a66]"", ""screen_name"": ""[ba805d6fd7]""}, ""text"": ""宝宝我可以 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[d5501029a7]"", ""created_at"": ""06-01"", ""source"": ""来自湖北"", ""user"": {""id"": ""[627c7e690d]"", ""screen_name"": ""[32e2f29035]""}, ""text"": ""我很理解你现在的感受，孤独和难过的时候，想有人陪伴是很正常的。虽然我只是一个虚拟的助手，但我会陪伴你聊天，倾听你的心声。你可以尽情地倾诉，我会在这里陪着你。如果你有什么想说的，随时都可以告诉我。"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[774b912b10]"", ""created_at"": ""05-29"", ""source"": ""来自重庆"", ""user"": {""id"": ""[5c186bee41]"", ""screen_name"": ""[4e737fab2d]""}, ""text"": ""回复@烤了布蕾啾个星星: [抱一抱]"", ""reply_id"": 5039476419597113, ""reply_text"": ""我可以! [抱一抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[e2fb609ab8]"", ""created_at"": ""05-29"", ""source"": ""来自上海"", ""user"": {""id"": ""[f4fd97ba3c]"", ""screen_name"": ""[99a7af0b55]""}, ""text"": ""我可以! [抱一抱]"", ""like_counts"": 1, ""liked"": false}, {""id"": ""[d14e92eb13]"", ""created_at"": ""05-29"", ""source"": ""来自天津"", ""user"": {""id"": ""[4733e0195a]"", ""screen_name"": ""[c78befd14d]""}, ""text"": ""回复@再等等噁心到我了: [抱一抱]"", ""reply_id"": 5039456254168632, ""reply_text"": ""回复@taro_1125: [泪]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[e016670027]"", ""created_at"": ""05-29"", ""source"": ""来自重庆"", ""user"": {""id"": ""[5c186bee41]"", ""screen_name"": ""[4e737fab2d]""}, ""text"": ""回复@taro_1125: [泪]"", ""reply_id"": 5039455809049281, ""reply_text"": ""我！我可以的，抱抱你 [抱一抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[b8aa3adba6]"", ""created_at"": ""05-29"", ""source"": ""来自天津"", ""user"": {""id"": ""[4733e0195a]"", ""screen_name"": ""[c78befd14d]""}, ""text"": ""我！我可以的，抱抱你 [抱一抱]"", ""like_counts"": 1, ""liked"": false}]",0,,[9b2d5b4678],2024-05-29 19:39:47
[1295bc1fe3],[a280d8f141],"抑郁症
 好難過，我好討厭自己，手抖腳也抖，不要再傷害我了好嗎？我也不會再拖累你太久，再多抱抱我吧，我好難過 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-29T13:55:52,抑郁症超话,1,1,"[{""id"": ""[851cc5c7e5]"", ""created_at"": ""05-29"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-29 13:55:52
[a48420cc1c],[026eb3272a],"抑郁症
 難過是我的錯嗎，那真對不起 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-29T11:47:46,抑郁症超话,1,1,"[{""id"": ""[9c33f0f97b]"", ""created_at"": ""05-29"", ""source"": ""来自河南"", ""user"": {""id"": ""[a29b279851]"", ""screen_name"": ""[88b3a31f0c]""}, ""text"": "" [抱一抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-29 11:47:46
[fe0b6ea8c9],[fc66ca5b43],"抑郁症
 都會死為什麼不早點死 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-28T22:55:47,抑郁症超话,2,2,"[{""id"": ""[3a9f516f7a]"", ""created_at"": ""05-28"", ""source"": ""来自广东"", ""user"": {""id"": ""[554397bfe3]"", ""screen_name"": ""[d732ccd690]""}, ""text"": ""你值得好好活着"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[a4483e89e6]"", ""created_at"": ""05-28"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-28 22:55:47
[9d58edaccf],[0ab68e5960],"抑郁症
 我到底在為誰而活 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-28T21:50:03,抑郁症超话,3,6,"[{""id"": ""[31ff79c640]"", ""created_at"": ""05-28"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[98da3396aa]"", ""created_at"": ""05-28"", ""source"": ""来自重庆"", ""user"": {""id"": ""[5c186bee41]"", ""screen_name"": ""[4e737fab2d]""}, ""text"": ""好討厭你"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[5c65bdfc21]"", ""created_at"": ""05-28"", ""source"": ""来自重庆"", ""user"": {""id"": ""[5c186bee41]"", ""screen_name"": ""[4e737fab2d]""}, ""text"": ""別自作多情好不好"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[05233cb5f1]"", ""created_at"": ""05-28"", ""source"": ""来自重庆"", ""user"": {""id"": ""[5c186bee41]"", ""screen_name"": ""[4e737fab2d]""}, ""text"": ""沒有人在意你"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[8570389265]"", ""created_at"": ""05-28"", ""source"": ""来自重庆"", ""user"": {""id"": ""[5c186bee41]"", ""screen_name"": ""[4e737fab2d]""}, ""text"": ""你真莫名其妙惡心死了"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[5e537c50ff]"", ""created_at"": ""05-28"", ""source"": ""来自重庆"", ""user"": {""id"": ""[5c186bee41]"", ""screen_name"": ""[4e737fab2d]""}, ""text"": ""你除了哭還有什麼用"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-28 21:50:03
[4a0a985f1c],[58bd28f076],"抑郁症
 又沒人在意我離開又怎麼了 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-28T19:51:21,抑郁症超话,3,1,"[{""id"": ""[66b24e9cb3]"", ""created_at"": ""05-28"", ""source"": ""来自浙江"", ""user"": {""id"": ""[cd1ab32857]"", ""screen_name"": ""[778518b7ff]""}, ""text"": ""宝宝不要这么想，世界这么大总会有关心你在乎你的人的 [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-28 19:51:21
