id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[6176db989a],[07aabfcb69],"抑郁症
 耳鸣嘈杂的电流声太重了？有什么方法改善吗？ ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-04T03:05:08,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-06-04 03:05:08
[bf0f1f0670],[27643f55bb],"抑郁症
 每天都只想躲起来昏昏噩噩度过清晨和日落 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-03T21:01:33,抑郁症超话,4,3,"[{""id"": ""[a6aebc419e]"", ""created_at"": ""1小时前"", ""source"": ""来自甘肃"", ""user"": {""id"": ""[2ea0eeb05f]"", ""screen_name"": ""[4fdeeb577e]""}, ""text"": ""回复@墨莜Treason:万分抵触出门抵触和人接触"", ""reply_id"": 5041305498158658, ""reply_text"": ""我也 [伤心]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[a5e984bb71]"", ""created_at"": ""6小时前"", ""source"": ""来自黑龙江"", ""user"": {""id"": ""[d4d900f2b3]"", ""screen_name"": ""[8d9e1cc4fe]""}, ""text"": ""我也 [伤心]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[44e24729f0]"", ""created_at"": ""7小时前"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-06-03 21:01:33
[cc73dc73e2],[7fd5306e80],"抑郁症
 已经不会正常交流了一样 迟钝不说偶尔接触朋友或者回复朋友信息 事后想起来张口说出的话就像神经病 没有一点情商 真的丧到家了 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-03T19:34:12,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-06-03 19:34:12
[89878649ad],[5a969e270f],"抑郁症
 耳鸣电流声很烦躁 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-01T20:39:19,抑郁症超话,2,0,,0,,[9b2d5b4678],2024-06-01 20:39:19
[de10734783],[800c7f3abf],"抑郁症
 以前我搞不懂情绪失控和身体的难受是哪个影响到哪个的 后来我才发现 他们永远是连体婴 永远是齐步前行的 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-01T02:56:12,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-06-01 02:56:12
[e74cb79db7],[b674130e90],"抑郁症
 马上三点了 躺着右半身的酸疼发麻木僵感让我找不到舒服那么一点点的姿势 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-01T02:48:26,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-06-01 02:48:26
[b535afa924],[fa1a7b9c98],"抑郁症
 今天躯体症状有点严重 右半截腰到右大腿神经痛 头晕恶心胸闷的很厉害 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-01T01:50:39,抑郁症超话,0,2,"[{""id"": ""[2b0475bfb4]"", ""created_at"": ""06-01"", ""source"": ""来自甘肃"", ""user"": {""id"": ""[2ea0eeb05f]"", ""screen_name"": ""[4fdeeb577e]""}, ""text"": ""回复@Xue_译: [悲伤]"", ""reply_id"": 5040275296354463, ""reply_text"": "" [抱一抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[baa12fe3ff]"", ""created_at"": ""06-01"", ""source"": ""来自山东"", ""user"": {""id"": ""[69ddbd7d55]"", ""screen_name"": ""[ec3fdc72dc]""}, ""text"": "" [抱一抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-06-01 01:50:39
[9436d938f5],[bb6488ea69],"抑郁症
 像一直在大雾里走不出去 像一直在一个死胡同转圈 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-31T23:28:22,抑郁症超话,5,5,"[{""id"": ""[1453d24c7a]"", ""created_at"": ""06-02"", ""source"": ""来自吉林"", ""user"": {""id"": ""[6816fb0554]"", ""screen_name"": ""[0fd0a7bab5]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[e2d1996644]"", ""created_at"": ""06-01"", ""source"": ""来自江西"", ""user"": {""id"": ""[8d3cda146e]"", ""screen_name"": ""[d56ad73ffd]""}, ""text"": ""回复@我也想好好爱这个世界ll:正视自己，直面恐惧和忧虑。允许自己的崩溃，这很正常，不能再每一次的消沉中埋怨自己。加油我们会慢慢好起来的。"", ""reply_id"": 5040269844283658, ""reply_text"": ""回复@辜城MT2:跳不出来 身体里的黑洞越卷越烈"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[625f5cb5e7]"", ""created_at"": ""06-01"", ""source"": ""来自甘肃"", ""user"": {""id"": ""[2ea0eeb05f]"", ""screen_name"": ""[4fdeeb577e]""}, ""text"": ""回复@辜城MT2:跳不出来 身体里的黑洞越卷越烈"", ""reply_id"": 5040237835193119, ""reply_text"": ""把问题写出来，一个个看，能跳出怪圈。"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[bb05062edb]"", ""created_at"": ""05-31"", ""source"": ""来自四川"", ""user"": {""id"": ""[0e336d131f]"", ""screen_name"": ""[0f4ada1bf3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[00065a5c29]"", ""created_at"": ""05-31"", ""source"": ""来自江西"", ""user"": {""id"": ""[8d3cda146e]"", ""screen_name"": ""[d56ad73ffd]""}, ""text"": ""把问题写出来，一个个看，能跳出怪圈。"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-31 23:28:22
[25e98496e7],[90bdf94e0f],"抑郁症
 看着每个人都有在努力生活 哪怕是四肢不全的残疾人 都会让我看着他们面对生活的积极劲头让我无限羡慕  羡慕他们能感受到生活的真实样子 哪怕他们活的很辛苦 但至少都有七情六欲 会有为生活努力的力气和劲头 沉浸在人间烟火中 实打实在活着 而不像我 只是个活死人 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-30T22:50:13,抑郁症超话,4,4,"[{""id"": ""[bbc9c7e366]"", ""created_at"": ""06-01"", ""source"": ""来自甘肃"", ""user"": {""id"": ""[2ea0eeb05f]"", ""screen_name"": ""[4fdeeb577e]""}, ""text"": ""回复@也许能好-也许不会: [抱抱]"", ""reply_id"": 5039964678783983, ""reply_text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[8379f65556]"", ""created_at"": ""05-31"", ""source"": ""来自甘肃"", ""user"": {""id"": ""[2ea0eeb05f]"", ""screen_name"": ""[4fdeeb577e]""}, ""text"": ""回复@阿迪月: [抱抱]"", ""reply_id"": 5039963137900915, ""reply_text"": ""点了"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[f3d0917544]"", ""created_at"": ""05-31"", ""source"": ""来自陕西"", ""user"": {""id"": ""[2daf929112]"", ""screen_name"": ""[ddb180bb44]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[2198227741]"", ""created_at"": ""05-31"", ""source"": ""来自北京"", ""user"": {""id"": ""[0cb65196b3]"", ""screen_name"": ""[314fa6570e]""}, ""text"": ""点了"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-30 22:50:13
[006162b72b],[cb49a4ba26],"抑郁症
 我以为我伪装的很好 但其实很多人都有觉得我多少不正常 但没有一个人会想到是抑郁 只是在背后议论我现在脑子不太对 或者说说现在有精神病 因为出门接触人多少能从别人玩笑话里听出来 可我就是很无力很无力 那种拳拳打在棉花上的无力感令我丧到极致 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-30T22:39:32,抑郁症超话,0,5,"[{""id"": ""[ba8da6b5c2]"", ""created_at"": ""05-31"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""回复@我也想好好爱这个世界ll: [心]"", ""reply_id"": 5040234043805113, ""reply_text"": ""回复@要长记性的木子: [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[9277b82090]"", ""created_at"": ""05-31"", ""source"": ""来自甘肃"", ""user"": {""id"": ""[2ea0eeb05f]"", ""screen_name"": ""[4fdeeb577e]""}, ""text"": ""回复@要长记性的木子: [抱抱]"", ""reply_id"": 5039863873929532, ""reply_text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[4ecb67449a]"", ""created_at"": ""05-31"", ""source"": ""来自甘肃"", ""user"": {""id"": ""[2ea0eeb05f]"", ""screen_name"": ""[4fdeeb577e]""}, ""text"": ""回复@吖咪_love:谢谢能跟我这样说 [抱抱]"", ""reply_id"": 5039866741523278, ""reply_text"": ""不要理会别人，做自己就好"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[2eb08ca369]"", ""created_at"": ""05-30"", ""source"": ""来自吉林"", ""user"": {""id"": ""[6816fb0554]"", ""screen_name"": ""[0fd0a7bab5]""}, ""text"": ""不要理会别人，做自己就好"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[12dcc0c8be]"", ""created_at"": ""05-30"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-30 22:39:32
