id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[2305efb823],[eafc4d190b],"抑郁症
这一刻感觉世界已经毁掉啦
 ",[9b2d5b4678],[506bcfa43c],[9b2d5b4678],,2024-05-05T13:44:57,抑郁症超话,7,17,"[{""id"": ""[e5821d3124]"", ""created_at"": ""05-06"", ""source"": ""来自广东"", ""user"": {""id"": ""[39e16126b9]"", ""screen_name"": ""[b69c5210bb]""}, ""text"": ""保重"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[aed5fcf94c]"", ""created_at"": ""05-06"", ""source"": ""来自河南"", ""user"": {""id"": ""[1043e7ec5d]"", ""screen_name"": ""[05b62f343e]""}, ""text"": ""没得事，她就是告知你一下不想给你拿快递了，就是今天累了不想去拿快递了，仅此而已"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[7e2e2625e1]"", ""created_at"": ""05-06"", ""source"": ""来自江苏"", ""user"": {""id"": ""[2501b1ccb9]"", ""screen_name"": ""[aa60fa6fba]""}, ""text"": ""建立不了亲密关系"", ""like_counts"": 1, ""liked"": false}, {""id"": ""[3eb693992f]"", ""created_at"": ""05-05"", ""source"": ""来自湖南"", ""user"": {""id"": ""[365498cc5b]"", ""screen_name"": ""[0cb524b56e]""}, ""text"": ""只是个快递，不要多想 [鲜花]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[07276d85dd]"", ""created_at"": ""05-05"", ""source"": ""来自河北"", ""user"": {""id"": ""[7a29395f6e]"", ""screen_name"": ""[4ff5c7e66d]""}, ""text"": ""回复@下一秒就睡着a:我以为关系好"", ""reply_id"": 5030678028879988, ""reply_text"": ""你们关系很好吗"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[1bd11ca6b6]"", ""created_at"": ""05-05"", ""source"": ""来自河南"", ""user"": {""id"": ""[4cbf98710f]"", ""screen_name"": ""[ecea2d9965]""}, ""text"": ""你们关系很好吗"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[c96441828a]"", ""created_at"": ""05-05"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""抱抱抱 [抱抱]"", ""like_counts"": 1, ""liked"": false}]",0,,[9b2d5b4678],2024-05-05 13:44:57
[3abd33a1c1],[344aa3122e],"抑郁症
一躯体化就恶心闹肚子我说
你再躯体化试试呢 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-02T10:26:49,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-05-02 10:26:49
[58d516a138],[c3ce55439b],"周震南
是谁放假回来有个二专等着被拆呀，我该不会是全网最后一个吧（虽然没有亲签很难过😔周震南补给我一个亲签求求你了@VvvVvV周震南 ） ",[9b2d5b4678],[19c04a7ebf],[9b2d5b4678],,2024-05-01T06:36:08,周震南超话,2,0,,0,,[464addd3c4],2024-05-01 06:36:08
[e5eff47adf],[86d5816c62],"抑郁症
可是我真的很不开心啊 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-19T21:08:36,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-04-19 21:08:36
[83f0cd576f],[e4633f0b08],"周震南
求一个直播回放真的
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-18T18:02:01,周震南超话,11,8,"[{""id"": ""[7ffec929a6]"", ""created_at"": ""04-18"", ""source"": ""来自河北"", ""user"": {""id"": ""[7a29395f6e]"", ""screen_name"": ""[4ff5c7e66d]""}, ""text"": ""回复@周周真真顺顺:天台上又多一个人 [泪]"", ""reply_id"": 5024572531016488, ""reply_text"": ""别看了，容易破防"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[a628d768c7]"", ""created_at"": ""04-18"", ""source"": ""来自河北"", ""user"": {""id"": ""[7a29395f6e]"", ""screen_name"": ""[4ff5c7e66d]""}, ""text"": ""回复@晚惜临:看完了已经碎了"", ""reply_id"": 5024572961457537, ""reply_text"": ""别看了，会破防的 [泪]"", ""like_counts"": 2, ""liked"": false}, {""id"": ""[f7ce5e2ac7]"", ""created_at"": ""04-18"", ""source"": ""来自重庆"", ""user"": {""id"": ""[7dcefc3d22]"", ""screen_name"": ""[97e992ee35]""}, ""text"": ""别看了，会破防的 [泪]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[1aca0c36a5]"", ""created_at"": ""04-18"", ""source"": ""来自广东"", ""user"": {""id"": ""[01d7873822]"", ""screen_name"": ""[3f5ff3a06f]""}, ""text"": ""别看了，容易破防"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[585947d8a4]"", ""created_at"": ""04-18"", ""source"": ""来自河北"", ""user"": {""id"": ""[7a29395f6e]"", ""screen_name"": ""[4ff5c7e66d]""}, ""text"": ""回复@丽杰不理解:好的好的！"", ""reply_id"": 5024571084771041, ""reply_text"": ""教父发了窝!"", ""like_counts"": 1, ""liked"": false}, {""id"": ""[823a2c1040]"", ""created_at"": ""04-18"", ""source"": ""来自河北"", ""user"": {""id"": ""[7a29395f6e]"", ""screen_name"": ""[4ff5c7e66d]""}, ""text"": ""回复@ZZN啧啧啧:好的！"", ""reply_id"": 5024571146634308, ""reply_text"": ""圈内教父微博有哦！"", ""like_counts"": 1, ""liked"": false}, {""id"": ""[53674bc920]"", ""created_at"": ""04-18"", ""source"": ""来自广西"", ""user"": {""id"": ""[a760974873]"", ""screen_name"": ""[bedfeb2151]""}, ""text"": ""圈内教父微博有哦！"", ""like_counts"": 3, ""liked"": false}, {""id"": ""[8d094b77f4]"", ""created_at"": ""04-18"", ""source"": ""来自广东"", ""user"": {""id"": ""[48278622c3]"", ""screen_name"": ""[fccaec3b83]""}, ""text"": ""教父发了窝!"", ""like_counts"": 2, ""liked"": false}]",0,,[9b2d5b4678],2024-04-18 18:02:01
[2c88ba9c61],[f7578e8f29],"抑郁症
我想发疯，我受不了了，我这段时间又开始说的话跟我想的根本不一样，我想死了，救救我，我到底在干什么，我是谁，啊啊啊啊 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-17T20:53:29,抑郁症超话,0,1,"[{""id"": ""[9478441e06]"", ""created_at"": ""04-17"", ""source"": ""来自江苏"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-17 20:53:29
[f9462e1adc],[6c50b97637],"周震南
爽了！ ",[9b2d5b4678],[96ea358ca8],[9b2d5b4678],,2024-03-31T00:26:39,周震南超话,0,0,,0,,[9b2d5b4678],2024-03-31 00:26:39
[9115ca18e3],[58d69b58f2],"抑郁症
今天跟大学舍友谈起小学，才发现原来校园霸凌存在在很遥远的之前。我记不清因为什么，但是在我的记忆里，龅牙，牙齿天生色素沉着的黄色，一直是他们嘲笑我的点，哪怕我在后期带着牙套，也会有牙套妹的称呼存在，我仔细的想，我当年沉默不语，我拔牙的疼痛，我带牙套的磨难，好像在他们眼 ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-27T19:16:08,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-03-27 19:16:08
[f9a4ea3801],[0ed1f59e7f],"抑郁症
对不起，我也不知道为什么要说对不起，但是对不起 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-25T20:45:47,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-03-25 20:45:47
[4fc488f953],[611e8d146f],"抑郁症
妈妈，对不起，但是我真的受不了了 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-24T21:45:34,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-03-24 21:45:34
