id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[d73fadc4a8],[6693e7147b],"抑郁症
没有最倒霉只有更倒霉，胆汁儿都吐出来了 ",[9b2d5b4678],[b0b69ed470],[9b2d5b4678],,2024-04-16T20:03:05,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-04-16 20:03:05
[0d13db92c9],[93b9f8058e],"抑郁症
感觉大家都好忙
，都没空理我
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-15T23:52:18,抑郁症超话,0,5,"[{""id"": ""[493b42f343]"", ""created_at"": ""04-16"", ""source"": ""来自河南"", ""user"": {""id"": ""[0fa71ee3c6]"", ""screen_name"": ""[8c340b445f]""}, ""text"": ""每个人都有他要干的事，没办法 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[64154e0488]"", ""created_at"": ""04-16"", ""source"": ""来自陕西"", ""user"": {""id"": ""[483edfeced]"", ""screen_name"": ""[eae9ed98ce]""}, ""text"": ""就是这样谁懒得理会一个病人啊"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[a4b97e6464]"", ""created_at"": ""04-16"", ""source"": ""来自陕西"", ""user"": {""id"": ""[04c9a89b40]"", ""screen_name"": ""[a683f1097f]""}, ""text"": ""现代社会是这样的 [给你小心心]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[8c906feb71]"", ""created_at"": ""04-16"", ""source"": ""来自云南"", ""user"": {""id"": ""[eb08cd08c1]"", ""screen_name"": ""[64e2c45b6a]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[f999318513]"", ""created_at"": ""04-16"", ""source"": ""来自四川"", ""user"": {""id"": ""[6cdd19ec3e]"", ""screen_name"": ""[77b0300117]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-15 23:52:18
[5dba37c78d],[6ae3ac89fd],"抑郁症
又发烧了
头疼
想吐
想死 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-14T02:02:55,抑郁症超话,0,2,"[{""id"": ""[35f1a985a5]"", ""created_at"": ""04-14"", ""source"": ""来自河北"", ""user"": {""id"": ""[5c73f0c801]"", ""screen_name"": ""[77d5a93220]""}, ""text"": ""抱抱 [抱一抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[e338ec4f20]"", ""created_at"": ""04-14"", ""source"": ""来自山东"", ""user"": {""id"": ""[69ddbd7d55]"", ""screen_name"": ""[ec3fdc72dc]""}, ""text"": ""抱抱 [抱一抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-14 02:02:55
[ac4478e8a3],[dd54ee4115],"抑郁症
抑郁症
我也是个有血有肉的活生生的人！！！！
在她们一次次伤害我的时候，当失望累积了够多的时候，我也尝试远离她们，有时候除了晚上睡觉我都不回寝室，可是她们不肯放过我，没事儿的时候弃我如敝屣，有事儿了又喊我，我确实没用，她们一找我我就心软回头，然后又被伤害，我就 ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-08T19:31:30,抑郁症超话,1,1,"[{""id"": ""[742fa40f71]"", ""created_at"": ""04-08"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-08 19:31:30
[8b0c8986fc],[4ef243a77c],"抑郁症
抑郁症
有的人给导员说，她们后来孤立霸凌我是因为我刚开始还挺好，后来变得性格古怪！真好笑啊，那个转专业的a，也是她们说性格古怪给孤立搬走的。为什么我刚开始挺好后来就变成了这样呢？！！！霸凌者不得好死！！！明明是你们把我逼成这样，反而说我不怎么样！！！我为什么古 ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-08T19:19:55,抑郁症超话,1,1,"[{""id"": ""[9942c32f99]"", ""created_at"": ""04-08"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-08 19:19:55
[b53641c695],[68d94594e6],"抑郁症
英语到底怎么学啊，一背单词就困，完全记不住什么意思 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-06T21:20:49,抑郁症超话,0,1,"[{""id"": ""[38ff061449]"", ""created_at"": ""04-06"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [心]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-06 21:20:49
[88e7a401a4],[3847666c8d],"抑郁症
好恶心那个b呀，又来了又来了，真恶心啊 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-06T18:51:53,抑郁症超话,0,2,"[{""id"": ""[c58fbfc0cb]"", ""created_at"": ""04-06"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-06 18:51:53
[52245aa4c6],[55166c8d2a],"抑郁症
陪室友来日照旅游，发现我们攒钱好久来一趟还什么都不敢买，见到什么都稀奇，却是别人的日常，人家只是在自己家楼下遛弯
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-04T17:28:36,抑郁症超话,0,2,"[{""id"": ""[fe1fa6083d]"", ""created_at"": ""04-04"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""抱抱抱 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[8bee0172cc]"", ""created_at"": ""04-04"", ""source"": ""来自山东"", ""user"": {""id"": ""[7bacc5200c]"", ""screen_name"": ""[39718aa7a0]""}, ""text"": ""本地人来凑个热闹旅游看看风景就好，日照也没什么可买的特产 [doge]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-04 17:28:36
[3ce23032f3],[74c11b7afa],"抑郁症
好真实 ",[9b2d5b4678],[478701c45f],[9b2d5b4678],,2024-04-03T21:00:09,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-04-03 21:00:09
[9d882ff564],[b211a8a1a6],"抑郁症
早上刚醒就想哭 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-01T08:40:32,抑郁症超话,0,1,"[{""id"": ""[30eba60951]"", ""created_at"": ""04-01"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""抱住不哭不哭"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-01 08:40:32
