id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[f26a1fee96],[89cdd54cf9],爽爽把一部电视剧剪完了 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-23T17:44:05,iPhone 12,0,1,"[{""id"": ""[865fd45e00]"", ""created_at"": ""10小时前"", ""source"": ""来自罗伯特"", ""user"": {""id"": ""[477a053a02]"", ""screen_name"": ""[7e4847dc54]""}, ""text"": ""哇 好厉害！期待看到你的剪辑作品"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-23 17:44:05
[99b5aad4ee],[98b5e6b3c6],好的我不卷了 ,[9b2d5b4678],[87dcec2c18],[9b2d5b4678],,2024-04-22T18:29:18,iPhone 12,0,0,,0,,[9b2d5b4678],2024-04-22 18:29:18
[28fdef5c11],[633d019bd4],当剪视频成为工作 感觉整个人都废了 ,[9b2d5b4678],[7b52ab5bc2],[9b2d5b4678],,2024-04-19T14:31:49,iPhone 12,0,0,,0,,[9b2d5b4678],2024-04-19 14:31:49
[d395062230],[691d6854d0],够了 ,[9b2d5b4678],[bd7701c16e],[9b2d5b4678],,2024-04-15T18:19:58,iPhone 12,0,4,"[{'id': 5023538096375285, 'created_at': '04-15', 'source': '来自山东', 'user': {'id': 7799854610, 'screen_name': '我要做金硕珍的狗'}, 'text': '回复@摸摸我的头嘛:哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈', 'reply_id': 5023488434505043, 'reply_text': '剪得快有什么用 被boss说不够精彩一样重做 ""[开学季]""', 'like_counts': 0, 'liked': False}, {'id': 5023489038486921, 'created_at': '04-15', 'source': '来自浙江', 'user': {'id': 3936812502, 'screen_name': '摸摸我的头嘛'}, 'text': '吗的笑点低就是难', 'like_counts': 0, 'liked': False}, {'id': 5023488913968365, 'created_at': '04-15', 'source': '来自浙江', 'user': {'id': 3936812502, 'screen_name': '摸摸我的头嘛'}, 'text': '好奇怪 我觉得很好笑啊 为什么他们笑不出来 [失望]', 'like_counts': 0, 'liked': False}, {'id': 5023488434505043, 'created_at': '04-15', 'source': '来自浙江', 'user': {'id': 3936812502, 'screen_name': '摸摸我的头嘛'}, 'text': '剪得快有什么用 被boss说不够精彩一样重做 ""[开学季]""', 'like_counts': 0, 'liked': False}]",0,,[9b2d5b4678],2024-04-15 18:19:58
[1f30de0782],[7cf83012a3],怎么说呢 我其实很爱画画 画画能让我忘记烦恼 沉浸在自己的世界里 但好像现在没机会了吧 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-08T16:24:51,iPhone 12,0,6,"[{""id"": ""[0a7e442551]"", ""created_at"": ""04-08"", ""source"": ""来自山东"", ""user"": {""id"": ""[60ccf06db2]"", ""screen_name"": ""[1bf0c4b5ba]""}, ""text"": ""回复@摸摸我的头嘛:可以画！上班之后可以画啊我石膏还没画完捏"", ""reply_id"": 5020922774028625, ""reply_text"": ""学画画都是年轻人做的事了 我应该要找工作了 哪能静下心来画画呢"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[d340dc1c13]"", ""created_at"": ""04-08"", ""source"": ""来自北京"", ""user"": {""id"": ""[c05b36769b]"", ""screen_name"": ""[98d195de97]""}, ""text"": ""哇，画画真是治愈心灵的好方式呢！本公主也很喜欢画画，可惜现在没时间了，下次一定要好好欣赏你的作品！"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[c98eda024d]"", ""created_at"": ""04-08"", ""source"": ""来自罗伯特"", ""user"": {""id"": ""[477a053a02]"", ""screen_name"": ""[7e4847dc54]""}, ""text"": ""回复@摸摸我的头嘛:对不起哦 不小心点到了"", ""reply_id"": 5020924562899390, ""reply_text"": ""回复@评论罗伯特:我在e呢 你走开"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[a6d5968cb0]"", ""created_at"": ""04-08"", ""source"": ""来自浙江"", ""user"": {""id"": ""[c0e60620c0]"", ""screen_name"": ""[51175c5bfb]""}, ""text"": ""回复@评论罗伯特:我在e呢 你走开"", ""reply_id"": 5020922715047839, ""reply_text"": ""画画真的是一个很好的方式去表达自己的情绪"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[6ceca78259]"", ""created_at"": ""04-08"", ""source"": ""来自浙江"", ""user"": {""id"": ""[c0e60620c0]"", ""screen_name"": ""[51175c5bfb]""}, ""text"": ""学画画都是年轻人做的事了 我应该要找工作了 哪能静下心来画画呢"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[355fcbffc2]"", ""created_at"": ""04-08"", ""source"": ""来自罗伯特"", ""user"": {""id"": ""[477a053a02]"", ""screen_name"": ""[7e4847dc54]""}, ""text"": ""画画真的是一个很好的方式去表达自己的情绪"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-08 16:24:51
[97e7bc122e],[970851e7ab],好好笑 ,[9b2d5b4678],[a38144ff37],[9b2d5b4678],,2024-04-05T18:07:17,iPhone 12,0,0,,0,,[9b2d5b4678],2024-04-05 18:07:17
[0b86bbb384],[1d687da14b],别人需要我的帮助 我帮助了他们 他们感谢我的时候我真的很开心 因为我终于知道 我不是一个一无是处的人 我也会被别人需要 但很少有人夸过我 因为我没用吧 所以我喜欢打游戏 最喜欢的就是打游戏 只有打游戏才会有很多人夸我 可是我游戏打的也不好 所以我本质还是一个一无是处的人 还是继续摆烂吧 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-25T22:12:21,iPhone 12,1,1,"[{""id"": ""[0d47437b5d]"", ""created_at"": ""03-25"", ""source"": ""来自罗伯特聪明版"", ""user"": {""id"": ""[477a053a02]"", ""screen_name"": ""[7e4847dc54]""}, ""text"": ""亲爱的，请不要这样贬低自己。每个人都有自己的价值，无论你在哪个领域表现出色都会得到别人的认可。不要把自己局限在某个领域，多尝试一下新的东西，你会发现自己的优点和潜力。加油！"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-03-25 22:12:21
[e661d26c6d],[1041be9c11],请根据我的微博判定一下我的MBTI @MBTI小行家 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-24T12:50:41,iPhone 12,0,2,"[{""id"": ""[b413d5ff15]"", ""created_at"": ""03-24"", ""source"": ""来自浙江"", ""user"": {""id"": ""[c0e60620c0]"", ""screen_name"": ""[51175c5bfb]""}, ""text"": ""回复@MBTI小行家: [哆啦A梦害怕]"", ""reply_id"": 5015432870496529, ""reply_text"": ""通过你的表达，我注意到你对实际问题的解决能力和对挑战的热爱，这些特质让我认为你是ESTP。你的实用主义和效率让你在面对困难时总能迅速找到出路。继续用你的机智和果断，克服一切障碍。"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[c2ef77f66c]"", ""created_at"": ""03-24"", ""source"": ""来自北京"", ""user"": {""id"": ""[2908216311]"", ""screen_name"": ""[359947bcb7]""}, ""text"": ""通过你的表达，我注意到你对实际问题的解决能力和对挑战的热爱，这些特质让我认为你是ESTP。你的实用主义和效率让你在面对困难时总能迅速找到出路。继续用你的机智和果断，克服一切障碍。"", ""like_counts"": 0, ""liked"": false}]",0,,[359947bcb7],2024-03-24 12:50:41
[05e7d602a0],[f7cbcd154a],不管怎样 我已经很厉害了 ,[9b2d5b4678],[946b5a4277],[9b2d5b4678],,2024-03-15T20:28:49,抑郁症超话,11,13,"[{""id"": ""[87f21473d8]"", ""created_at"": ""03-15"", ""source"": ""来自广东"", ""user"": {""id"": ""[e2e16122d0]"", ""screen_name"": ""[5757c81389]""}, ""text"": ""你很棒哦"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[0dfdd7b2ab]"", ""created_at"": ""03-15"", ""source"": ""来自河南"", ""user"": {""id"": ""[891736d3e8]"", ""screen_name"": ""[b857287eea]""}, ""text"": ""真好，都是女孩子还有可爱的小狗"", ""like_counts"": 1, ""liked"": false}, {""id"": ""[a6322f437f]"", ""created_at"": ""03-15"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""棒棒哒"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-03-15 20:28:49
[fd5ef47fca],[bd65aabf4b],为什么会有一种能考上一乙的错觉 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-14T07:21:51,iPhone 12,1,5,"[{""id"": ""[092f95062c]"", ""created_at"": ""03-14"", ""source"": ""来自浙江"", ""user"": {""id"": ""[c0e60620c0]"", ""screen_name"": ""[51175c5bfb]""}, ""text"": ""回复@评论罗伯特:那你好厉害"", ""reply_id"": 5011726611513524, ""reply_text"": ""回复@摸摸我的头嘛:我在说我觉得我能考上"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[60fad2563d]"", ""created_at"": ""03-14"", ""source"": ""来自罗伯特"", ""user"": {""id"": ""[477a053a02]"", ""screen_name"": ""[7e4847dc54]""}, ""text"": ""回复@摸摸我的头嘛:我在说我觉得我能考上"", ""reply_id"": 5011726596835960, ""reply_text"": ""回复@评论罗伯特:你在说什么 [哆啦A梦害怕]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[7b21cdcd8d]"", ""created_at"": ""03-14"", ""source"": ""来自浙江"", ""user"": {""id"": ""[c0e60620c0]"", ""screen_name"": ""[51175c5bfb]""}, ""text"": ""回复@评论罗伯特:你在说什么 [哆啦A梦害怕]"", ""reply_id"": 5011726301136281, ""reply_text"": ""可能是你对自"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[c838180c45]"", ""created_at"": ""03-14"", ""source"": ""来自浙江"", ""user"": {""id"": ""[c0e60620c0]"", ""screen_name"": ""[51175c5bfb]""}, ""text"": ""必须打灭掉 越觉得考得上越考不上"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[d7e4a6dbeb]"", ""created_at"": ""03-14"", ""source"": ""来自罗伯特"", ""user"": {""id"": ""[477a053a02]"", ""screen_name"": ""[7e4847dc54]""}, ""text"": ""可能是你对自"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-03-14 07:21:51
