id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[8694794842],[6f992389d5],"我妈又捡了一只小狗，皮皮刚找到领养，又发现一只
 ",[9b2d5b4678],[f76e89421d],[9b2d5b4678],,2024-06-03T20:25:47,荣耀70 5G,0,0,,0,,[9b2d5b4678],2024-06-03 20:25:47
[6e5ef1ac05],[8340a68d9d],"七七，和妈妈一起给泡泡折了三大袋金银元宝还有金条，烧给它了，希望它投个好胎，下辈子应该是个富二代
很有钱，平安顺遂，幸福一生
爸爸妈妈姐姐都很爱你，永远记得和你在一起的快乐日子 ",[9b2d5b4678],[3dc1cbbf0f],[9b2d5b4678],,2024-06-02T23:45:03,荣耀70 5G,0,0,,0,,[9b2d5b4678],2024-06-02 23:45:03
[d63e2b9cf6],[a5c9b9da49],梦到埋的小狗不是泡泡，是另外一只长得像的。天知道我看到它的时候多开心，泡泡从远处跑过来，一身泥巴滚得脏兮兮的，还带着一股韭菜味，我和妈妈牵着它一起在田埂上继续遛，原来是梦啊 ,[9b2d5b4678],[5ab67e98c8],[9b2d5b4678],,2024-05-24T12:49:08,荣耀70 5G,1,2,"[{""id"": ""[1797a44d54]"", ""created_at"": ""05-25"", ""source"": ""来自湖南"", ""user"": {""id"": ""[3a15effebf]"", ""screen_name"": ""[512a1a5691]""}, ""text"": ""回复@饱饱abckkx:哈哈 谢谢你 [抱一抱]"", ""reply_id"": 5037554467867213, ""reply_text"": ""泡泡好可爱张着嘴巴耳朵飞起来好可爱好可爱"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[cc3e71c66a]"", ""created_at"": ""05-24"", ""source"": ""来自浙江"", ""user"": {""id"": ""[6759567f32]"", ""screen_name"": ""[afcdbd79c9]""}, ""text"": ""泡泡好可爱张着嘴巴耳朵飞起来好可爱好可爱"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-24 12:49:08
[71c3caf1a9],[d690fd3926],不想面试，想死 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-22T11:39:42,荣耀70 5G,0,0,,0,,[9b2d5b4678],2024-05-22 11:39:42
[2394077488],[f441259e91],泡泡呀，想你了 ,[9b2d5b4678],[9a5623aac4],[9b2d5b4678],,2024-05-05T00:04:51,荣耀70 5G,0,2,"[{""id"": ""[508c1fdb19]"", ""created_at"": ""05-05"", ""source"": ""来自广东"", ""user"": {""id"": ""[3a15effebf]"", ""screen_name"": ""[512a1a5691]""}, ""text"": ""回复@饱饱abckkx:谢谢你 [单身狗]"", ""reply_id"": 5030606143226781, ""reply_text"": ""泡泡是天使小狗，它也在想你"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[c884d87c60]"", ""created_at"": ""05-05"", ""source"": ""来自浙江"", ""user"": {""id"": ""[6759567f32]"", ""screen_name"": ""[afcdbd79c9]""}, ""text"": ""泡泡是天使小狗，它也在想你"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-05 00:04:51
[b5a6c220fc],[39a65accf2],"亿万次想死，死亡就是我的逃避方式，因为活着本身就让人痛苦。我知道继续走下去可能会遇到美好的东西，但痛苦的太痛苦。我可能因为值得热爱的东西原谅世界一分钟，剩下的分秒时刻都是痛苦。像在油锅里反复熬炸，一滴水掉进去不会降温，只会溅出去炸伤滴水进去的他者。我躺在一千度的油锅里，高温让空气 ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-26T23:57:10,荣耀70 5G,0,0,,0,,[9b2d5b4678],2024-04-26 23:57:10
[f235984b4e],[7fa24072b7],"泡泡头七，坐了两个小时去寺庙拜了菩萨
到的时候🌧从暴雨变成了中小雨，等四点多回去的时候，雨停了
去的路上遇见了一只小狗，应该是工地上的工人养的，就那么站在躲雨亭外不敢进去躲雨，一群带着安全帽的就那么看着也不管，给它挡了一会儿雨，聊胜于无吧，看着怕人，但又还是往我这边靠了靠，雨小了 ...
全文",[9b2d5b4678],[32db0789b4],[9b2d5b4678],,2024-04-21T22:35:22,荣耀70 5G,0,3,"[{""id"": ""[0b05cd3f50]"", ""created_at"": ""04-22"", ""source"": ""来自罗伯特"", ""user"": {""id"": ""[477a053a02]"", ""screen_name"": ""[7e4847dc54]""}, ""text"": ""回复@林檎清夏:不客气！如果有什么我可以帮忙的请随时告诉我"", ""reply_id"": 5025890461288814, ""reply_text"": ""回复@评论罗伯特:谢谢你罗伯特"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[1bab22e02a]"", ""created_at"": ""04-22"", ""source"": ""来自中国"", ""user"": {""id"": ""[3a15effebf]"", ""screen_name"": ""[512a1a5691]""}, ""text"": ""回复@评论罗伯特:谢谢你罗伯特"", ""reply_id"": 5025747636850904, ""reply_text"": ""希望它平安喜乐 好人一生幸福 [泪]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[a0157cb883]"", ""created_at"": ""04-21"", ""source"": ""来自罗伯特"", ""user"": {""id"": ""[477a053a02]"", ""screen_name"": ""[7e4847dc54]""}, ""text"": ""希望它平安喜乐 好人一生幸福 [泪]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-21 22:35:22
[a15bc5502c],[6e6afa51e4],真没意思啊，连手机都不想玩了 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-21T22:26:28,荣耀70 5G,0,0,,0,,[9b2d5b4678],2024-04-21 22:26:28
[65d804f691],[30e3aa2250],"贪嗔痴，求不得，怨憎会，爱别离。
凡所有相，皆是虚妄。
若见诸相非相，即见如来。
一切有为法，如梦幻泡影。
如露亦如电，应作如是观。 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-20T17:44:30,荣耀70 5G,0,0,,0,,[9b2d5b4678],2024-04-20 17:44:30
[78de33d902],[acc2ddfda5],空气挺好，适合唱歌 ,[9b2d5b4678],[c6c39cdff6],[9b2d5b4678],,2024-04-18T19:41:37,荣耀70 5G,0,3,"[{'id': 5024677715771441, 'created_at': '04-19', 'source': '来自广东', 'user': {'id': 6617555275, 'screen_name': '林檎清夏'}, 'text': '回复@奶罐猪小哼: 放心啦宝宝，跳下去太疼了我不会干，只是上去看看风景，没人听我跑调的歌自在一些 ""[锦鲤附体]""', 'reply_id': 5024605645313386, 'reply_text': '如果我也在广东，我会邀请你和我一起散散步吧', 'like_counts': 0, 'liked': False}, {'id': 5024601270654906, 'created_at': '04-18', 'source': '来自广东', 'user': {'id': 6617555275, 'screen_name': '林檎清夏'}, 'text': '不好听，跟要断气一样', 'like_counts': 0, 'liked': False}]",0,,[9b2d5b4678],2024-04-18 19:41:37
