id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[31899b02f3],[1b9ed35e52],"抑郁症
 为什么我身边的好朋友都得了抑郁症难道是受我的影响吗？不敢在那里发，只能在这里发泄，妈呀，是不是真的是受我的影响？ ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-22T08:36:15,抑郁症超话,1,7,"[{""id"": ""[661ca3bfe2]"", ""created_at"": ""04-28"", ""source"": ""来自云南"", ""user"": {""id"": ""[3ccf5dea07]"", ""screen_name"": ""[e447406f34]""}, ""text"": ""不是你的错，每个人都有情绪低谷"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[3dc0d9c005]"", ""created_at"": ""04-25"", ""source"": ""来自四川"", ""user"": {""id"": ""[178efd562e]"", ""screen_name"": ""[7252ac34f8]""}, ""text"": ""不是受你的影响宝宝"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[232b0b08dd]"", ""created_at"": ""04-25"", ""source"": ""来自河北"", ""user"": {""id"": ""[c4e2996ea9]"", ""screen_name"": ""[5262d228d0]""}, ""text"": ""谢谢你"", ""reply_id"": 5026147055698687, ""reply_text"": ""照顾好自己 你好也可以照顾好别人 愿你安好"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[7e44a8eaad]"", ""created_at"": ""04-23"", ""source"": ""来自湖南"", ""user"": {""id"": ""[b15e72f865]"", ""screen_name"": ""[f54148506b]""}, ""text"": ""照顾好自己 你好也可以照顾好别人 愿你安好"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[37b65fc69b]"", ""created_at"": ""04-22"", ""source"": ""来自安徽"", ""user"": {""id"": ""[54c1be5a91]"", ""screen_name"": ""[9b6c07c21a]""}, ""text"": ""想多了。世界上大部分人都有抑郁情绪。去个医院随便检查4岁小孩都能有轻度抑郁症。现在人的压力远比之前多。信息量生活速度都难以让人接受。抑郁症就是感冒发烧一样。都会有体质不同没去医院检查而已"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[a341758026]"", ""created_at"": ""04-22"", ""source"": ""来自广西"", ""user"": {""id"": ""[1acc8c4baf]"", ""screen_name"": ""[8ace83466b]""}, ""text"": ""我朋友也或多或少有点精神疾病，不是你的原因，是大环境就是这样"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[00e9a1950d]"", ""created_at"": ""04-22"", ""source"": ""来自河南"", ""user"": {""id"": ""[891736d3e8]"", ""screen_name"": ""[b857287eea]""}, ""text"": ""抱抱宝宝是环境的问题"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-22 08:36:15
[4644f66826],[2efe049218],"抑郁症
 死了也不会有人发现 
sj_zw_wdohwan_h的微博视频
 ",[9b2d5b4678],[9b2d5b4678],[511996ded3],,2024-04-13T20:49:23,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-04-13 20:49:23
[a7833f994d],[64ccddaa69],"抑郁症
 我想死！好想死！爱我为什么不能在一起？为什么？ ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-13T20:24:48,抑郁症超话,0,3,"[{""id"": ""[6d792d8675]"", ""created_at"": ""04-13"", ""source"": ""来自新疆"", ""user"": {""id"": ""[1aa934ec70]"", ""screen_name"": ""[ef0bbfea72]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[a144a12c94]"", ""created_at"": ""04-13"", ""source"": ""来自湖南"", ""user"": {""id"": ""[87f4001553]"", ""screen_name"": ""[6bed14dace]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[5f55626bc4]"", ""created_at"": ""04-13"", ""source"": ""来自重庆"", ""user"": {""id"": ""[2907941190]"", ""screen_name"": ""[1a9d2cb81a]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-13 20:24:48
[cfeb0800da],[7cf182a9e0],"抑郁症
很想我男朋友了，害怕跟他说，我想他，我怕他讨厌我，怕我说了之后他不喜欢我。为什么想他会想到做噩梦呢？ ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-12T14:03:25,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-04-12 14:03:25
[2713472707],[796103fb26],"抑郁症
 我那么信他，结果呢，还是骗我！还是堵，我想分手但是他不放过我！我怎么办 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-29T20:30:08,抑郁症超话,0,1,,0,,[9b2d5b4678],2024-03-29 20:30:08
[b1858e53d9],[aaaff8a226],"抑郁症
 我想分手，不分手，天天找我要钱，说要拿着我的身份证去贷款…我好想死啊 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-29T20:29:30,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-03-29 20:29:30
[fb8ee7f4e0],[529ef789e3],"抑郁症
 我男人没钱了就会找我！打麻将输了也会找我，拿着我的身份证去贷款！能成功吗？ ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-29T20:28:37,抑郁症超话,1,4,"[{""id"": ""[bea1a86285]"", ""created_at"": ""04-16"", ""source"": ""来自陕西"", ""user"": {""id"": ""[07c7116772]"", ""screen_name"": ""[73f0813160]""}, ""text"": ""回复@sj_zw_wdohwan_h:明天就逾期了，一大堆债"", ""reply_id"": 5023509665286041, ""reply_text"": ""哈哈哈我想和你成为朋友，不知道为啥开始难受了"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[9591c3a738]"", ""created_at"": ""04-15"", ""source"": ""来自河北"", ""user"": {""id"": ""[c4e2996ea9]"", ""screen_name"": ""[5262d228d0]""}, ""text"": ""哈哈哈我想和你成为朋友，不知道为啥开始难受了"", ""reply_id"": 5023269989908540, ""reply_text"": ""千万千万不要，我已经被他拉入深渊，看不到一点希望"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[89c2b65a93]"", ""created_at"": ""04-15"", ""source"": ""来自陕西"", ""user"": {""id"": ""[07c7116772]"", ""screen_name"": ""[73f0813160]""}, ""text"": ""千万千万不要，我已经被他拉入深渊，看不到一点希望"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[a6c0b1ee74]"", ""created_at"": ""03-29"", ""source"": ""来自广东"", ""user"": {""id"": ""[31a557fa9e]"", ""screen_name"": ""[0361be3e49]""}, ""text"": ""直接报警"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-03-29 20:28:37
[ac9411ca02],[b53322d871],"抑郁症
 你先爱我，那我确定了，你有多爱我，那我才会不顾一切的奔向你，扑向你，你都不爱我，你凭什么让我爱你？你说了你爱我，只是你觉得你爱我，但是我没有觉得你很爱你，任何人都是家人，友情，爱情。没有付出的东西，我为什么一定要为你付出？ ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-17T19:23:10,抑郁症超话,0,1,"[{""id"": ""[18d68ab157]"", ""created_at"": ""03-17"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""爱自己 [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-03-17 19:23:10
[a7cf66d009],[0cb1cc5a8c],"抑郁症
你不想让我干的事，我就天天干，我气死你们，凭什么做什么东西，非得让你们开心呀，你们谁呀？好家伙，我自己脾气，我自己说了算，没有任何人可以控制我。要不然就把我弄死
不想让我干的事情，我就天天干，我自己开心就行了连装的都装累了，喜欢我的人也很多，讨厌我的人也很多太多 ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-17T19:21:42,抑郁症超话,0,1,"[{""id"": ""[03da0b1cbc]"", ""created_at"": ""03-17"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-03-17 19:21:42
[71086741b4],[3a66b80752],"抑郁症
 这是我受不了，就是我的朋友跟别的朋友在一起很亲密，包括恋人也是我会非常难受但我知道都需要，就是时间和空间，我不想给这个空间，怎么办？我很难受，现在，我也不想说出来！我我怎么办呀？我我我也不知道怎么办？我很苦恼，天呐，很孤单，没有人陪我
好难！ ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-10T13:58:06,抑郁症超话,0,1,"[{""id"": ""[ce059447bb]"", ""created_at"": ""03-10"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-03-10 13:58:06
