id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[70c194c460],[ec4227d0f3],"我每天都在哭 每时每刻控制不住自己情绪的时候都在哭 只是现在和以前不同的是，现在哭得时候不会再讨厌自己 只是很想死
抑郁症
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-15T10:39:44,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-04-15 10:39:44
[b3a854a5ec],[3a0702d186],"哭20分钟，哭到头晕眼花，浑身发烫无力，喝口水 发呆 饿得胃疼吃颗糖 然后接着哭 实在没有眼泪了 发呆 辱骂自己 洗衣服 洗一半没发干活了，浑身无力站不住 躺床上歇会 接着洗衣服 洗完晾干 然后躺着接着哭 天黑了 心也疼的冷静下来了 但愿今晚别做噩梦 我不想再吃药了 吃药很贵 然后呢 吃完了后遗症很 ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-14T19:48:43,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-04-14 19:48:43
[630a8392ab],[e976b646a7],怎样死亡没有痛苦，像睡觉一样就结束了 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-14T10:59:03,iPhone客户端,1,0,,0,,[9b2d5b4678],2024-04-14 10:59:03
[0ed14c7474],[63aa86a1a1],一周就吃了四个包子 两个苹果 一斤没瘦，嘴巴干到开裂，眼睛哭到看东西重影 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-14T06:34:58,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-04-14 06:34:58
[35c17b0043],[4c42f21649],什么都记得，就是忘了跟自己说声，辛苦了 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-14T06:32:18,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-04-14 06:32:18
[89ba757548],[2d0ff70f85],"抑郁症
 真正的痛苦是
每时每刻都在受煎熬 可能正在吃东西 可能正在说话 突然停了下来，想起以前过得生活，心好像慢了一拍，不一会这种痛苦蔓延全身 手抖 心慌，只能躺着缓解
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-08T16:43:29,抑郁症超话,1,0,,0,,[9b2d5b4678],2024-04-08 16:43:29
[bb072fb3e7],[4a5db03d39],"抑郁症
 这条路 走的太远 远到让我看不到希望 远到让我觉得自己就该这样痛苦的才对 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-07T07:11:49,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-04-07 07:11:49
[704f3e428a],[320ff2e9b4],"抑郁症
 原来每一次眼尾向下的拍摄瞬间，都是在提醒我过着这样猪狗不如的生活 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-04T04:04:08,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-04-04 04:04:08
[1ff761abeb],[a92ae15bad],"抑郁症
 原来每一次眼尾向下拍照的日子，都是在提醒我过着如此zhu狗不如的生活
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-04T03:05:52,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-04-04 03:05:52
[95b66e7d68],[c90879c17e],"抑郁症
 总是担心、害怕，就这样痛苦了这么多年 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-04T02:55:29,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-04-04 02:55:29
[f236dd80f5],[94ac4de0b8],#渐冻人蔡磊称他离死亡已经非常近了#什么时候我也可以自在的度过死亡就好了…… ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-01-18T21:32:51,iPhone客户端,0,0,,0,渐冻人蔡磊称他离死亡已经非常近了,[9b2d5b4678],2024-01-18 21:32:51
[039d5ef201],[1a0efae0ef],"抑郁症
 脑袋好痛，大家有这种情况吗？感觉有虫子在爬，头也晕，总感觉自己马上要晕倒
想问大家有没有止痛药推荐 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-01-18T16:54:41,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-01-18 16:54:41
[8f9b92d1e3],[96035d7f8c],"哎
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-01-18T16:31:15,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-01-18 16:31:15
[4cd2de8fa6],[bb58f92ab2],"#女童送医后死亡其父被刑拘#什么时候谁能把我杀了就好了，最好一下，别让我经历太多痛苦
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-01-18T00:53:52,iPhone客户端,2,0,,0,女童送医后死亡其父被刑拘,[9b2d5b4678],2024-01-18 00:53:52
[92ae170d35],[c540221b1c],谁心疼过我啊哈哈哈都是我心疼别人也是谁叫我是贱货呢犯贱呗该死真该死啊 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-01-16T04:21:01,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-01-16 04:21:01
[7f141326fd],[ff3f51e1db],手抖难受 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-01-15T01:02:38,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-01-15 01:02:38
