id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[558f702804],[1ab1b566f0],"招聘面试所有面试官必询问：举个例子证明你抗压能力大
我答：得了极速版还在努力上学，这抗压能力不够大吗 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-01T22:28:35,微博轻享版,0,2,"[{""id"": ""[80aa7a57c1]"", ""created_at"": ""7小时前"", ""source"": ""来自广东"", ""user"": {""id"": ""[4f3c929ff3]"", ""screen_name"": ""[55684d9df9]""}, ""text"": ""呜呜呜呜谢谢你宝宝.... 感觉充满力量了！喜欢你！！！🥰"", ""reply_id"": 5040587579851998, ""reply_text"": ""宝宝你真的很厉害！你是个很有灵气的人，拥有可贵而充沛的精神力，希望你能够平稳地度过这段不开心的时期，非常非常喜欢你。😚😚😚"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[3b24e9c088]"", ""created_at"": ""8小时前"", ""source"": ""来自江苏"", ""user"": {""id"": ""[150c6171aa]"", ""screen_name"": ""[870a70c125]""}, ""text"": ""宝宝你真的很厉害！你是个很有灵气的人，拥有可贵而充沛的精神力，希望你能够平稳地度过这段不开心的时期，非常非常喜欢你。😚😚😚"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-06-01 22:28:35
[47508a0ce7],[dd3bc53a5c],退一万步讲我真的不能休学呢？ ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-01T22:18:48,微博轻享版,0,1,"[{""id"": ""[2479e2a02e]"", ""created_at"": ""8小时前"", ""source"": ""来自广东"", ""user"": {""id"": ""[4f3c929ff3]"", ""screen_name"": ""[55684d9df9]""}, ""text"": ""现在的主要问题是我怎么修复我自己，但是狂躁状态下我只能想到重开🕯"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-06-01 22:18:48
[6111aa5317],[ce41649cad],玩游戏，想起来自己曾经熬夜打一晚上游戏第二天大早起。。我对我的身体真坏啊。。。。请好好休息。我会好好对你的。压抑真正想干的每天做一些很没有营养的东西。 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-01T20:52:18,微博轻享版,0,0,,0,,[9b2d5b4678],2024-06-01 20:52:18
[960f1382d0],[6877c2eae3],抱歉我感兴趣的东西很多、但是都压抑着、只有看小说保留了、、、 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-01T19:26:56,微博轻享版,0,0,,0,,[9b2d5b4678],2024-06-01 19:26:56
[334bfdd776],[18dfa9ac6f],连看三集麦狗 爽 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-01T17:17:55,微博轻享版,0,1,"[{""id"": ""[cd1437f0d8]"", ""created_at"": ""13小时前"", ""source"": ""来自广东"", ""user"": {""id"": ""[4f3c929ff3]"", ""screen_name"": ""[55684d9df9]""}, ""text"": ""我焦虑我就玩儿去了，我现在主要就是玩儿，管它那么多，我就是玩儿"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-06-01 17:17:55
[af6f8c5a16],[181af75c17],医生我真没抑郁症你别给我开燥药了b溃 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-01T14:53:48,微博轻享版,0,2,"[{""id"": ""[3c2f085f17]"", ""created_at"": ""15小时前"", ""source"": ""来自广东"", ""user"": {""id"": ""[4f3c929ff3]"", ""screen_name"": ""[55684d9df9]""}, ""text"": ""精神药物副作用比疗效来的快😅"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[44fa1f5ef0]"", ""created_at"": ""16小时前"", ""source"": ""来自广东"", ""user"": {""id"": ""[4f3c929ff3]"", ""screen_name"": ""[55684d9df9]""}, ""text"": ""谁想治这个a病。我累了我像个被试药的小白鼠"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-06-01 14:53:48
[51cf01c122],[834477c3f0],"两点精神科才开门
我手机里连个小游戏都没得，我就在这里不停地转圈转圈转圈 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-01T13:36:33,微博轻享版,0,3,"[{""id"": ""[024d220944]"", ""created_at"": ""17小时前"", ""source"": ""来自广东"", ""user"": {""id"": ""[4f3c929ff3]"", ""screen_name"": ""[55684d9df9]""}, ""text"": ""好好好"", ""reply_id"": 5040450534118739, ""reply_text"": ""宝宝有微信的话试试小程序2048 我之前不自在经常打开就好一点"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[0a1be979e3]"", ""created_at"": ""17小时前"", ""source"": ""来自浙江"", ""user"": {""id"": ""[b0dc4d0a88]"", ""screen_name"": ""[bf9eb509a8]""}, ""text"": ""宝宝有微信的话试试小程序2048 我之前不自在经常打开就好一点"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[f793535c5d]"", ""created_at"": ""17小时前"", ""source"": ""来自广东"", ""user"": {""id"": ""[4f3c929ff3]"", ""screen_name"": ""[55684d9df9]""}, ""text"": ""冒汗 冷汗，我的头发湿透了"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-06-01 13:36:33
[11f4552f49],[441d1bed89],"我发现我现在显而易见的狂躁所以我必须找人说话和发微博，抱歉大家无视我就好。。。
我知道了我知道了。。。就从加量到100mg开始就是我的噩梦，氟伏沙明药效一过，就是晚上天黑后但是还没到睡觉的时间，我就会焦虑，昨晚已经惊恐发作了。晚上吃了药缓解了一点点，但是由于喝了茶的缘故，睡不着直接变 ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-01T12:36:54,微博轻享版,1,1,"[{""id"": ""[dd02620df7]"", ""created_at"": ""18小时前"", ""source"": ""来自广东"", ""user"": {""id"": ""[4f3c929ff3]"", ""screen_name"": ""[55684d9df9]""}, ""text"": ""现在最紧要的就是我早上吃的那100mg。我不知道今晚再惊恐发作我会怎么样我不敢想，我先去吐会"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-06-01 12:36:54
[486cd7ae04],[b620fde9af],"我下午一和医生见面我就要叫她给我停药
我真受不了了我躁狂都快犯了 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-01T12:08:00,微博轻享版,0,2,"[{""id"": ""[ddc9faa44a]"", ""created_at"": ""18小时前"", ""source"": ""来自广东"", ""user"": {""id"": ""[4f3c929ff3]"", ""screen_name"": ""[55684d9df9]""}, ""text"": ""其实我没有抑郁，我只是长期不开心而已我不要吃盐酸安非他酮缓释片了 [可爱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[2c79cbd129]"", ""created_at"": ""18小时前"", ""source"": ""来自广东"", ""user"": {""id"": ""[4f3c929ff3]"", ""screen_name"": ""[55684d9df9]""}, ""text"": ""我喜欢去医院，我感觉我已经开始依赖医院了 [挖鼻]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-06-01 12:08:00
[a813f41644],[48e74c24f3],"...嗯特别焦虑的时候，看了一下安安就突然会放松一些。看了攻略帖说要和焦虑和谐相处的方法是，任它来去，我自岿然不动。不要回应。
我要反复告诉被我摧残的身体：你看，现在没有危险，不需要这么紧绷。
看看安安，她能美到你忘记危险，只想亲一口（...半夜把她好几个视频放进私密收藏夹不会吓到人家吧 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-01T00:48:48,微博轻享版,0,0,,0,,[9b2d5b4678],2024-06-01 00:48:48
[4f46d5dbbe],[4936d4751e],博主以后绝对要减少说消极的话 ,[9b2d5b4678],[af55c87fd2],[9b2d5b4678],,2024-05-31T22:09:19,iQOO 12 内外出众,0,0,,0,,[9b2d5b4678],2024-05-31 22:09:19
