id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[b24b04046e],[c1aec8844e],"抑郁症
天天都在下雨，看着接下去的天气，更难受了 ",[9b2d5b4678],[5cec568ddb],[9b2d5b4678],,2024-04-22T22:57:26,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-04-22 22:57:26
[d81967cdfd],[1a209b559f],"抑郁症
今天看了下热搜上的病，刷到了一些字眼，突然我又开始不舒服，又胡思乱想心慌了， ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-22T21:56:59,抑郁症超话,1,3,"[{""id"": ""[d7b952a4fe]"", ""created_at"": ""04-22"", ""source"": ""来自湖南"", ""user"": {""id"": ""[87f4001553]"", ""screen_name"": ""[6bed14dace]""}, ""text"": ""抱抱 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[9d4ae8c74f]"", ""created_at"": ""04-22"", ""source"": ""来自广西"", ""user"": {""id"": ""[0994a344ca]"", ""screen_name"": ""[9d091e518f]""}, ""text"": ""睡觉吧 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[3e2bf2a978]"", ""created_at"": ""04-22"", ""source"": ""来自江西"", ""user"": {""id"": ""[43f583004c]"", ""screen_name"": ""[b6a91cdd56]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-22 21:56:59
[68449eacda],[204973cc51],"抑郁症
天天下雨，下了这么多天了，我又发作了，昨晚一夜无眠，一直在想做一些事，一大早就把女儿睡觉的床头拆了，他们房间床头柜也搬到阳台去了，都已经睡了快2年了，我以前在干嘛呢 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-06T12:48:05,抑郁症超话,1,0,,0,,[9b2d5b4678],2024-04-06 12:48:05
[03b9399437],[5389ca1e5e],#抑郁症[超话]#老公感冒几天了，他不想吃药，我很烦躁，因为家里还有两个孩子。昨天上午回老家扫墓，看着爷爷奶奶的墓碑，老爸说他以后老了也放在这附近，有点伤感。回来吃了好多零食饮料好多东西，很久没有这么想吃东西了，吃着吃着想到如果爷爷还在世的话，这些东西他也喜欢吃吧。下了一夜雨，早上起 ...全文,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-31T09:26:27,抑郁症超话,1,0,,0,,[9b2d5b4678],2024-03-31 09:26:27
[25cf30b59a],[8ee61d3b56],"抑郁症
今天走了2万多步，我该振作起来了，加油！相信我能做到！趁着这段时间老公还在家，抓紧锻炼身体 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-25T22:17:48,抑郁症超话,0,1,"[{""id"": ""[dfc68cf046]"", ""created_at"": ""03-26"", ""source"": ""来自山东"", ""user"": {""id"": ""[e072fdef4a]"", ""screen_name"": ""[6392f12f11]""}, ""text"": ""加油"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-03-25 22:17:48
[d4fec2cd77],[91588645ff],#婚后的隐形家务真的会让人崩溃#如果时光能倒流，没有结婚没有生娃，这些年我会多开心，也不至于抑郁焦虑 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-20T10:34:22,荣耀60 5G,0,0,,0,婚后的隐形家务真的会让人崩溃,[9b2d5b4678],2024-03-20 10:34:22
[fb03b21131],[419e4a1167],"抑郁症
我不该悲观不该厌世，晚上和老公聊了很多，说了我的心里话，告诉他我在烦什么想什么，我不希望他那么快去上班，我不知道他去上班了以后我要面对什么，但是他说他不想看到我这样子，他想赶紧去上班，他还生气了 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-17T22:43:32,抑郁症超话,0,1,"[{""id"": ""[d4dd51e6dc]"", ""created_at"": ""03-18"", ""source"": ""来自内蒙古"", ""user"": {""id"": ""[58ca9b4769]"", ""screen_name"": ""[718b0540cc]""}, ""text"": ""抱抱姐姐，姐姐我男朋友也说看到我就感到痛苦 说我给他带来太多痛苦。准确说是前男友了 难以割舍，最亲近的人这样 [泪]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-03-17 22:43:32
[376710a73c],[fdaf59b97b],#新冠病毒感染与认知功能下降存在相关性#二阳后半个月了还浑身痛，活不下去的念头越来越重了 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-17T19:32:48,荣耀60 5G,0,0,,0,新冠病毒感染与认知功能下降存在相关性,[9b2d5b4678],2024-03-17 19:32:48
[a06ef5ab5a],[0fb7105ffa],"抑郁症
心情好点时就会买东西，觉得活不下去了就会开始清理东西，最近一直在想我为什么要生孩子，还生了2个，生了为什么要我自己把他们带大，所有的苦都是自己吞，我真的要疯了，为什么要把他们带到这个世上受苦，我为什么不能和别人一样可以抛下孩子不闻不问，为什么我要那么在意他们  ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-17T19:09:02,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-03-17 19:09:02
[0f1da7aac3],[339d746357],#跳舞是缓解抑郁的最佳运动#抑郁中，全身乏力，浑身酸痛，动都不想动，门都不愿意出，还跳舞 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-11T13:47:35,荣耀60 5G,0,0,,0,跳舞是缓解抑郁的最佳运动,[9b2d5b4678],2024-03-11 13:47:35
