id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[75752116e8],[098f91c3d4],"抑郁症
 晚安 ",[9b2d5b4678],[d321803de6],[9b2d5b4678],,2024-06-05T02:54:13,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-06-05 02:54:13
[f51b2b7162],[959dcaaff3],"抑郁症
 不敢吃晚上的药   因为会特别眯 ～ 
明天早起有事 希望不要耽误 不然我就死定了 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-05T02:38:09,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-06-05 02:38:09
[191df5999c],[90a392ac3a],"抑郁症
 药 真难喝 尤其是那个正元脑宁 
一股子塑料味  恶心 🤢 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-04T00:36:54,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-06-04 00:36:54
[12ffe6b50a],[8f37a1b239],"抑郁症
 相机📷 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-03T20:44:01,抑郁症超话,1,1,"[{""id"": ""[f8efcadbe4]"", ""created_at"": ""06-03"", ""source"": ""来自安徽"", ""user"": {""id"": ""[7c59ae39be]"", ""screen_name"": ""[0e228a3d59]""}, ""text"": ""咔嚓"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-06-03 20:44:01
[e9714af039],[8da95f61ba],"抑郁症
 2 个晚上没吃药了 今天白天的药又忘记吃了 我得准备个糖盒子装草酸才行 … … 随身携带 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-03T16:50:54,抑郁症超话,1,1,"[{""id"": ""[5309755663]"", ""created_at"": ""06-03"", ""source"": ""来自辽宁"", ""user"": {""id"": ""[99a2e774ce]"", ""screen_name"": ""[f98bc8ac8e]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-06-03 16:50:54
[718c3316f1],[8961ad0d59],"抑郁症
 68.5 kg   没吃饭的情况下 ",[9b2d5b4678],[955122ec0c],[9b2d5b4678],,2024-06-03T15:50:24,抑郁症超话,1,0,,0,,[9b2d5b4678],2024-06-03 15:50:24
[9bc3b00f65],[04e23454a2],"抑郁症
 煮了红皮花生🥜 红糖 姜片 红枣 
吃了一片饼干  换上了干净的衣服  雨下的很小 
戴了鸭舌帽就还好  我一个人也可以把自己照顾的很好 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-03T15:19:31,抑郁症超话,2,0,,0,,[9b2d5b4678],2024-06-03 15:19:31
[6a91dcdfa1],[4ab959f8d8],"抑郁症
 失眠痛经 呕吐一整夜 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-03T07:48:17,抑郁症超话,0,3,"[{""id"": ""[025c5cd0a2]"", ""created_at"": ""06-03"", ""source"": ""来自云南"", ""user"": {""id"": ""[3fae88d981]"", ""screen_name"": ""[180d874bc7]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[7d6bf99ca7]"", ""created_at"": ""06-03"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""抱抱抱 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[b2a7978621]"", ""created_at"": ""06-03"", ""source"": ""来自北京"", ""user"": {""id"": ""[f8484f65b7]"", ""screen_name"": ""[ffc4a59ca7]""}, ""text"": ""( ´･･)ﾉ(._.`)"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-06-03 07:48:17
[5a356dc466],[bb710d58b4],"抑郁症
 安全感就是大姨妈来的时候 
有一塑料袋的卫生巾 有烧好的白开水  有止痛的药 有呕吐的水盆  厕所没有停水  房东没有敲门  没有工作信息 没有人找我   睡一天也不会被叫醒 还有今天晒了一天的阳光   这就是安全感 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-03T01:40:35,抑郁症超话,1,0,,0,,[9b2d5b4678],2024-06-03 01:40:35
[eb48006e81],[3262436861],"抑郁症
 睡不着 想去唱歌 ",[9b2d5b4678],[8438d03be6],[9b2d5b4678],,2024-06-02T04:38:52,抑郁症超话,2,0,,0,,[9b2d5b4678],2024-06-02 04:38:52
[753e17d406],[c4a764de56],"抑郁症
 这个世界只有小猫陪我了 … 只有 
我愿意把我的寿命分给小猫10年 
让奥利奥多陪陪我  活到17-18 岁就行 ",[9b2d5b4678],[3dd955f9f3],[9b2d5b4678],,2024-06-02T03:46:02,抑郁症超话,2,2,"[{""id"": ""[c885fb3054]"", ""created_at"": ""06-02"", ""source"": ""来自北京"", ""user"": {""id"": ""[3e3923c537]"", ""screen_name"": ""[8352fb49db]""}, ""text"": ""我也好爱小猫 [可怜]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[781b8ab257]"", ""created_at"": ""06-02"", ""source"": ""来自上海"", ""user"": {""id"": ""[40aa5712a8]"", ""screen_name"": ""[fa94517854]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-06-02 03:46:02
