id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[4c8915761f],[fa4a7e4753],"抑郁症
 结婚就是让你选择去信任一个毫无血缘关系的陌生人，这件事本生就无比荒谬不是么？ ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-01T12:42:10,抑郁症超话,2,4,"[{""id"": ""[b8a7e0d033]"", ""created_at"": ""05-03"", ""source"": ""来自云南"", ""user"": {""id"": ""[113c30d9c7]"", ""screen_name"": ""[57da9c64ab]""}, ""text"": ""错信和错爱的代价是差点毁掉自己"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[2403fa3ad5]"", ""created_at"": ""05-01"", ""source"": ""来自湖北"", ""user"": {""id"": ""[56384955e3]"", ""screen_name"": ""[fbd909e363]""}, ""text"": ""对的"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[c7b3c4f986]"", ""created_at"": ""05-01"", ""source"": ""来自江苏"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-01 12:42:10
[0bb1da7a0e],[318921f129],"抑郁症
 终于结束了，直到最后自己是自信且骄傲的。没有眼泪和难过！这个世界爱好自己就好，其他的无关值不值得，真不真诚。走这一遭，孤单的来最后孤单的走，不必在乎那么多。愿我是我 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-27T21:33:03,抑郁症超话,0,1,"[{""id"": ""[66ffa3247b]"", ""created_at"": ""04-27"", ""source"": ""来自河南"", ""user"": {""id"": ""[08e3679307]"", ""screen_name"": ""[622f3f67e5]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-27 21:33:03
[60379cf9b1],[1fd1e8f203],抑郁症#抑郁症患者  明明睡不着，都在劝你不要吃药；明明恶心半个月吃不下饭，一直劝你多吃东西；明明不想出门，偏偏都在想方设法约你拉着你出门；明明什么都干不了，硬是逼着你做这做那。见好言相劝不起作用，就开始嫌弃你没有用。不演别人觉得你有病，演了又觉得你真有病！身处其中才知道， ...全文,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-22T23:51:37,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-04-22 23:51:37
[9676ec09c1],[da8ec931f1],"抑郁症
 去民政局提交协议的那天，久违的化了妆，打扮好，可是见面还是没忍住不争气的哭了。一个月冷静期再去就正式领证了，最后我一定要笑着离开。不留恋，不回头，给这15年结束留一个潇洒的背影！以后再也不会为任何人轻易自暴自弃弄丢自己 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-19T00:25:24,抑郁症超话,2,0,,0,,[9b2d5b4678],2024-04-19 00:25:24
[4f5ac67658],[98248bee18],"抑郁症
 不幸的婚姻就是把两个陌生人变成亲密无间的人，然后再成为老死不相往来的仇人。遇到ZN大概也是用光了这辈子的霉运吧，以后的日子里一定都是走好运。恶人自有恶人磨，因果循环报应不爽！ ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-17T10:11:45,抑郁症超话,1,7,"[{""id"": ""[6f6cf07ad1]"", ""created_at"": ""04-19"", ""source"": ""来自江苏"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""回复@七號孤墳: [心]"", ""reply_id"": 5024667495041258, ""reply_text"": ""回复@要长记性的木子: [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[c18c4fff03]"", ""created_at"": ""04-19"", ""source"": ""来自云南"", ""user"": {""id"": ""[113c30d9c7]"", ""screen_name"": ""[57da9c64ab]""}, ""text"": ""回复@用户7774327392:说长不长说短也不短，目前为止一半的人生都错付了。剩下的人生，自己做主，不交给别人替我做选择"", ""reply_id"": 5024091771766337, ""reply_text"": ""重新过好自己的生活，一辈子很长的"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[b7a216c5a4]"", ""created_at"": ""04-19"", ""source"": ""来自云南"", ""user"": {""id"": ""[113c30d9c7]"", ""screen_name"": ""[57da9c64ab]""}, ""text"": ""回复@左木杳:只要还活着，就努力让自己好起来 [抱抱]"", ""reply_id"": 5024096897991898, ""reply_text"": ""一切都会好起来de"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[6d68a25aa3]"", ""created_at"": ""04-19"", ""source"": ""来自云南"", ""user"": {""id"": ""[113c30d9c7]"", ""screen_name"": ""[57da9c64ab]""}, ""text"": ""回复@要长记性的木子: [抱抱]"", ""reply_id"": 5024109219809188, ""reply_text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[d0fda3d492]"", ""created_at"": ""04-17"", ""source"": ""来自江苏"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[45656a7ddd]"", ""created_at"": ""04-17"", ""source"": ""来自四川"", ""user"": {""id"": ""[8086c47d51]"", ""screen_name"": ""[45bfab5a2f]""}, ""text"": ""一切都会好起来de"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[a15adfe6d6]"", ""created_at"": ""04-17"", ""source"": ""来自四川"", ""user"": {""id"": ""[9ac68b2c62]"", ""screen_name"": ""[bdece00246]""}, ""text"": ""重新过好自己的生活，一辈子很长的"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-17 10:11:45
[1b9f6fdd7b],[32617a4d62],"抑郁症
 心里有座坟，住着未亡人🪦 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-06T08:29:39,抑郁症超话,2,1,"[{""id"": ""[832d52a656]"", ""created_at"": ""04-06"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-06 08:29:39
[77b0a473da],[866730950f],"抑郁症
 这个世界真是不公平，想死的人不能死，该死的人却没皮没脸安安稳稳的活着！ ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-02T20:07:43,抑郁症超话,4,2,"[{""id"": ""[0d1e8c4fb3]"", ""created_at"": ""04-02"", ""source"": ""来自四川"", ""user"": {""id"": ""[69c8be74e8]"", ""screen_name"": ""[58b18e2040]""}, ""text"": ""点了"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[74eb0f0b2a]"", ""created_at"": ""04-02"", ""source"": ""来自河北"", ""user"": {""id"": ""[b10d1c0ca5]"", ""screen_name"": ""[6f590906b6]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-02 20:07:43
[39bd6cdd6e],[3965e5e609],"抑郁症
 我会等你死，然后给你烧纸
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-01T20:25:12,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-04-01 20:25:12
[e7d81c61d1],[4378d9f45a],"抑郁症
 凭什么从来都只是别人一句话，而我却要以命相博？ ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-30T16:27:18,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-03-30 16:27:18
[a72cfbb084],[8113697d18],"抑郁症
 教养这个东西，你有 但别人未必！ ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-28T21:15:25,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-03-28 21:15:25
