id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[027f8fd68c],[1039ea5db2],"我天呢谁还比我可爱 
7是倒着的L_1270e的微博视频
 ",[9b2d5b4678],[9b2d5b4678],[99d7e658d6],,2024-04-25T16:44:47,iPhone客户端,3,0,,0,,[9b2d5b4678],2024-04-25 16:44:47
[b086f06b47],[511e008830],"抑郁症
 哈喽不错的最近 ",[9b2d5b4678],[bd3ac57ed8],[529b9a03ac],,2024-04-24T17:40:05,抑郁症超话,2,2,"[{""id"": ""[8375c6a10c]"", ""created_at"": ""04-24"", ""source"": ""来自安徽"", ""user"": {""id"": ""[7c59ae39be]"", ""screen_name"": ""[0e228a3d59]""}, ""text"": ""好好吃药哟"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[9756839df2]"", ""created_at"": ""04-24"", ""source"": ""来自江苏"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""好好治疗 [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-24 17:40:05
[633e96dedc],[6fdf02b194],"分享视频 
7是倒着的L_1270e的微博视频
 ",[9b2d5b4678],[9b2d5b4678],[0874362125],,2024-04-14T13:34:48,iPhone客户端,2,0,,0,,[9b2d5b4678],2024-04-14 13:34:48
[0d94aac354],[1d162678ea],我真的是一个随时会死的人我没开玩笑 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-08T14:13:27,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-04-08 14:13:27
[ebf0066209],[b322d080c1],死了算了 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-05T10:44:31,iPhone客户端,1,0,,0,,[9b2d5b4678],2024-04-05 10:44:31
[12ecaa899d],[c3ecf4f982],#冒个泡# 真好 刚说完想晒太阳 沙粒玛就带我来了 ,[9b2d5b4678],[7d89281d83],[df851cc552],,2024-04-04T16:28:56,iPhone客户端,2,1,"[{""id"": ""[aab94548c2]"", ""created_at"": ""04-04"", ""source"": """", ""user"": {""id"": ""[0016dcda60]"", ""screen_name"": ""[a439e3fc96]""}, ""text"": ""你好，你感兴趣的“冒个泡”已开通了超话社区～ 超话社区是微博旗下兴趣互动社区，快来与志同道合的小伙伴们一起交流互动吧！ 戳我进入&gt;&gt; 冒个泡[超话]"", ""like_counts"": 0, ""liked"": false}]",0,冒个泡,[9b2d5b4678],2024-04-04 16:28:56
[29b2328bf1],[47901c9e3d],那我就是傻逼了 有本事你让我别傻逼呀 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-04T14:38:01,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-04-04 14:38:01
[b2acf211ae],[d51e9a658b],好久都没有晒过舒服的太阳了 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-04T12:13:43,iPhone客户端,1,0,,0,,[9b2d5b4678],2024-04-04 12:13:43
[718c389fab],[62858d6c31],"抑郁症
 其实我从来都觉得这种心理障碍都是环境导致的 没有谁会在一个有爱的环境下有那么多的想法 吃药就会好吗 运动就会好吗 多说说话就会好吗 等哪天打心底的觉得自己真的高兴 那一刻才会有活着的意义吧
我在自己的世界里困了好久 所以给自己一个救赎我也想好好爱这个世界
从感觉生病到医院就 ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-03T18:39:26,抑郁症超话,18,23,,2,,[9b2d5b4678],2024-04-03 18:39:26
[7779cf8c1c],[db41234e19],"#一条plog告别三月#告别二月的时候我也在看医生 
塔城·塔城地区人民医院
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],塔城·塔城地区人民医院,2024-04-01T10:21:26,iPhone客户端,1,5,"[{""id"": ""[9603640ee1]"", ""created_at"": ""04-02"", ""source"": ""来自罗伯特"", ""user"": {""id"": ""[477a053a02]"", ""screen_name"": ""[7e4847dc54]""}, ""text"": ""回复@7是倒着的L_1270e:不客气~ 如果有任何问题欢迎随时找我"", ""reply_id"": 5018836996458974, ""reply_text"": ""回复@评论罗伯特:谢谢你个罗布特"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[d609827b22]"", ""created_at"": ""04-02"", ""source"": ""来自新疆"", ""user"": {""id"": ""[26b26d8206]"", ""screen_name"": ""[59f25c1ca5]""}, ""text"": ""回复@评论罗伯特:谢谢你个罗布特"", ""reply_id"": 5018300941601473, ""reply_text"": ""希望宝宝早日康复 [抱一抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[c8b197a3aa]"", ""created_at"": ""04-02"", ""source"": ""来自新疆"", ""user"": {""id"": ""[26b26d8206]"", ""screen_name"": ""[59f25c1ca5]""}, ""text"": ""回复@Koomokoo:谢谢你小卡咪 [二哈]"", ""reply_id"": 5018836493402495, ""reply_text"": ""一粒快快好起来 [抱一抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[0b01bbe53c]"", ""created_at"": ""04-02"", ""source"": ""来自新疆"", ""user"": {""id"": ""[2ccd0206bd]"", ""screen_name"": ""[93d4797e16]""}, ""text"": ""一粒快快好起来 [抱一抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[c98dde9348]"", ""created_at"": ""04-01"", ""source"": ""来自罗伯特"", ""user"": {""id"": ""[477a053a02]"", ""screen_name"": ""[7e4847dc54]""}, ""text"": ""希望宝宝早日康复 [抱一抱]"", ""like_counts"": 0, ""liked"": false}]",0,一条plog告别三月,[9b2d5b4678],2024-04-01 10:21:26
