id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[b960141f39],[32a12a0eea],"抑郁症
 越来越喜欢喝酒了 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-26T00:31:41,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-04-26 00:31:41
[0d9cbf56c4],[2a7e740350],"抑郁症
 今晚跟同事一起参加篝火晚会，喝酒，好像明白为什么你一直喜欢喝酒了 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-20T23:31:55,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-04-20 23:31:55
[b062449a28],[d69360a73a],"抑郁症
 我怎么还不去死 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-10T23:50:05,抑郁症超话,1,1,"[{""id"": ""[a249dd5f08]"", ""created_at"": ""04-10"", ""source"": ""来自河北"", ""user"": {""id"": ""[f628a900fc]"", ""screen_name"": ""[1b484c65a9]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-10 23:50:05
[799256d55f],[5d8eaf01fb],"抑郁症
 故地重游就像是刻舟求剑 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-09T11:04:52,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-04-09 11:04:52
[1f0fb941f1],[8556208121],"抑郁症
 说了那么多你错了，只是希望我不再打扰你 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-09T00:48:00,抑郁症超话,1,2,"[{""id"": ""[61edeb1e0a]"", ""created_at"": ""04-09"", ""source"": ""来自广东"", ""user"": {""id"": ""[e2e16122d0]"", ""screen_name"": ""[5757c81389]""}, ""text"": ""额 加1"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[516d0458a6]"", ""created_at"": ""04-09"", ""source"": ""来自北京"", ""user"": {""id"": ""[783890bfd6]"", ""screen_name"": ""[882c263383]""}, ""text"": "" [心]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-09 00:48:00
[e4dc362c49],[16953e0ab0],"抑郁症
 所有的一切都被我毁了，我不配活着 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-08T23:22:30,抑郁症超话,0,1,"[{""id"": ""[149cd3e2c5]"", ""created_at"": ""04-09"", ""source"": ""来自新加坡"", ""user"": {""id"": ""[8e8ec9913c]"", ""screen_name"": ""[913758660d]""}, ""text"": ""不是的，抱抱你 [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-08 23:22:30
[f5fa43879b],[992f772e11],"抑郁症
 原来你离开河南是因为不想再跟我有联系，我何德何能让你放弃这边的一切，两年了，一切没有变得更好，这样的坚持有什么意义，还不如早点去死 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-08T23:04:58,抑郁症超话,0,1,"[{""id"": ""[2729bd22c0]"", ""created_at"": ""04-08"", ""source"": ""来自河南"", ""user"": {""id"": ""[780a555ddb]"", ""screen_name"": ""[a03528eb83]""}, ""text"": ""抱抱 [抱一抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-08 23:04:58
[629d5ef944],[3c03b6ffce],"抑郁症
 两年了，第一次给我打电话跟我说让我不要再跟你联系，我也想啊，我不知道这两年是怎么过来的，你是真的不想再跟我有任何关系，都是我自己一厢情愿，活着真没意思 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-08T22:41:26,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-04-08 22:41:26
[ba284f0823],[74c5f1d048],"抑郁症
 今天开始减肥呀，这次一定要成功 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-07T08:17:43,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-04-07 08:17:43
[ea86454081],[7f7895d99c],"抑郁症
 每天诅咒你们一万遍 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-07T08:17:09,抑郁症超话,1,0,,0,,[9b2d5b4678],2024-04-07 08:17:09
[563f563d77],[32dc9c5a66],"抑郁症
 我终于又梦到你了 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-06T05:17:30,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-04-06 05:17:30
[4d8d2a2563],[8757410fea],"抑郁症
 春天到了，想去看花花，看世界，看你… ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-01T06:56:04,抑郁症超话,1,0,,0,,[9b2d5b4678],2024-04-01 06:56:04
[895c6992e6],[90e239aaf5],"抑郁症
 我很想你 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-31T23:37:09,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-03-31 23:37:09
[6794f9da0f],[c34f6b6e3f],"抑郁症
 突然想起来，几年前刚回营业部的时候，我也觉得霞姐对我有意见，不喜欢我，可是当时是你陪着我，我一步步变得更好，然后你消失了，今晚我突然意识到这一年来我跟家人关系越来越差，跟同事相处不来，跟领导哭哭啼啼，闹得很不愉快，明明还是以前的家人，同事，朋友，可是一个个都变得那 ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-19T22:42:52,抑郁症超话,0,1,"[{""id"": ""[46bde21d00]"", ""created_at"": ""03-19"", ""source"": ""来自湖南"", ""user"": {""id"": ""[f88c702ad4]"", ""screen_name"": ""[b7a0845c8b]""}, ""text"": "" [抱一抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-03-19 22:42:52
[5a7d316998],[f68f893886],"抑郁症
 能力不行，工作压力大的睡不着，想请假，可是如果拿抑郁症的病历去请假就该彻底失去上升空间了，我该怎么办 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-07T23:22:48,抑郁症超话,1,1,"[{""id"": ""[925c352949]"", ""created_at"": ""03-08"", ""source"": ""来自广东"", ""user"": {""id"": ""[4eaeb107a5]"", ""screen_name"": ""[9f7ff51e91]""}, ""text"": ""说家里有事 需要请假 这个理由更好点 或者辞职回家"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-03-07 23:22:48
[458f99c8ee],[36f31edf86],"抑郁症
 焦虑的睡不着，工作压力大，别人都可以完成任务，就我不行 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-07T04:36:13,抑郁症超话,0,3,"[{""id"": ""[1a1931f1e0]"", ""created_at"": ""03-07"", ""source"": ""来自重庆"", ""user"": {""id"": ""[3bc44dfcff]"", ""screen_name"": ""[a2fa944a54]""}, ""text"": ""加油！"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[4af0a96d48]"", ""created_at"": ""03-07"", ""source"": ""来自北京"", ""user"": {""id"": ""[a19a16c00b]"", ""screen_name"": ""[28a0178059]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[9df8fbb7b4]"", ""created_at"": ""03-07"", ""source"": ""来自广东"", ""user"": {""id"": ""[bfcf899326]"", ""screen_name"": ""[a666f75b05]""}, ""text"": ""加油啊"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-03-07 04:36:13
[a6580b2393],[afcd1fa2f0],"抑郁症
 漂亮餐厅倒闭了，它还没等到我们一起去就倒闭了 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-03T15:59:32,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-03-03 15:59:32
[882d9aeee2],[0bc76ed902],"抑郁症
 好像只有在梦里才能见到你，两年了，到底还要多久我才能见到你 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-03T10:12:38,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-03-03 10:12:38
[6093d8df4f],[2408e31429],"抑郁症
 阿美临死前也只是想见你一面而已 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-01T23:39:28,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-03-01 23:39:28
