id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[a84ac80184],[a886d07f92],"抑郁症
好想死。。。做什么都好困难。。 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-12T01:57:36,抑郁症超话,0,4,"[{""id"": ""[8a32131ed3]"", ""created_at"": ""04-12"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[63d8f73043]"", ""created_at"": ""04-12"", ""source"": ""来自河南"", ""user"": {""id"": ""[11f06ce3b5]"", ""screen_name"": ""[5eb55b61d3]""}, ""text"": ""啊啊啊"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[1fd56b5f0d]"", ""created_at"": ""04-12"", ""source"": ""来自河南"", ""user"": {""id"": ""[11f06ce3b5]"", ""screen_name"": ""[5eb55b61d3]""}, ""text"": ""好想死啊好想死"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[ddc34035c1]"", ""created_at"": ""04-12"", ""source"": ""来自河南"", ""user"": {""id"": ""[11f06ce3b5]"", ""screen_name"": ""[5eb55b61d3]""}, ""text"": ""好痛苦，如果现在就可以去死就好了"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-12 01:57:36
[8c629a04d1],[23a246c5db],"抑郁症
刚刚刷半天视频发现自己什么都没看进去，好焦虑但是不知道在焦虑什么，可能是周六的画画，也可能是别的什么，总之好焦虑好想zc ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-10T01:57:47,抑郁症超话,1,3,"[{""id"": ""[c6b47e818c]"", ""created_at"": ""04-10"", ""source"": ""来自河南"", ""user"": {""id"": ""[11f06ce3b5]"", ""screen_name"": ""[5eb55b61d3]""}, ""text"": ""好过分"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[5d03808b14]"", ""created_at"": ""04-10"", ""source"": ""来自河南"", ""user"": {""id"": ""[11f06ce3b5]"", ""screen_name"": ""[5eb55b61d3]""}, ""text"": ""怎么办啊好想死"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[6bcec25d89]"", ""created_at"": ""04-10"", ""source"": ""来自河南"", ""user"": {""id"": ""[11f06ce3b5]"", ""screen_name"": ""[5eb55b61d3]""}, ""text"": ""明明是我自己要求想要去画画的，现在又这样不想去，上周就请假了没去，我想去但是一想到要在那里几个小时老师随时能看自己画画，老师一看我画画我就不知道要画什么了"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-10 01:57:47
[0152dbc031],[c7a6c97cd9],"抑郁症
并不是想不开了不想活，只是觉得活着没什么意义，流泪的都是都说让想开点，但是其实并没有什么想不开的，也没有什么要伤心的事情，只是单纯的难过和不知道存在的意义 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-07T03:40:06,抑郁症超话,1,2,"[{""id"": ""[005c26d79d]"", ""created_at"": ""04-07"", ""source"": ""来自江西"", ""user"": {""id"": ""[244121e425]"", ""screen_name"": ""[2895d50f61]""}, ""text"": ""只是不想活了，但又不是想死"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[d27ff328ec]"", ""created_at"": ""04-07"", ""source"": ""来自河南"", ""user"": {""id"": ""[0f9721a69b]"", ""screen_name"": ""[357305c0b7]""}, ""text"": ""就是迷茫和困惑，好像没有必须死去的理由，但是又好像没有活着的理由，不知道再坚持的意义是什么…… [悲伤]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-07 03:40:06
[0e4cc6c28d],[15241cc4fd],"抑郁症
一想到周六要去画室学画画就特别焦虑，提出想去学画画的是我，现在交过钱了又特别焦虑，一想到周六去画室我就焦虑的难受，胃疼 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-04T03:12:44,抑郁症超话,3,5,"[{""id"": ""[fc67542d89]"", ""created_at"": ""04-04"", ""source"": ""来自四川"", ""user"": {""id"": ""[8354c135c6]"", ""screen_name"": ""[92ee4e2043]""}, ""text"": ""世间无限丹青手，一片伤心画不成。加油！"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[03556738dd]"", ""created_at"": ""04-04"", ""source"": ""来自广西"", ""user"": {""id"": ""[7bf690e642]"", ""screen_name"": ""[d9f055a30d]""}, ""text"": ""加油"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[7fed137468]"", ""created_at"": ""04-04"", ""source"": ""来自河南"", ""user"": {""id"": ""[11f06ce3b5]"", ""screen_name"": ""[5eb55b61d3]""}, ""text"": ""回复@廿四花信年年:是的"", ""reply_id"": 5019439164820207, ""reply_text"": ""就像我办了健身卡，想去健身的是自己，害怕去健身房健身的也是自己。"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[c6d112ea93]"", ""created_at"": ""04-04"", ""source"": ""来自广东"", ""user"": {""id"": ""[a0efe50cd5]"", ""screen_name"": ""[7661debae6]""}, ""text"": ""就像我办了健身卡，想去健身的是自己，害怕去健身房健身的也是自己。"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[8d4c9effc2]"", ""created_at"": ""04-04"", ""source"": ""来自浙江"", ""user"": {""id"": ""[6d448db11a]"", ""screen_name"": ""[c1c2ffe02c]""}, ""text"": ""没办法，是被现实的要求逼迫的"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-04 03:12:44
[470ee80021],[fa0dd1c0ce],"抑郁症
胃好难受，眼睛也有点疼，好难受 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-04T02:47:47,抑郁症超话,0,1,"[{""id"": ""[d8c8655751]"", ""created_at"": ""04-04"", ""source"": ""来自浙江"", ""user"": {""id"": ""[6d448db11a]"", ""screen_name"": ""[c1c2ffe02c]""}, ""text"": ""多睡觉"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-04 02:47:47
[5c77d1e0a8],[ddb7eb212b],"墨香铜臭
像做梦一样
从2018闺蜜口中听说了魔道祖师这部动漫，当时并没有去看，直到2019的某一天我看了魔道祖师这部小说，然后一发不可收拾，上网搜索你的名字，搜索你的小说，当然，也搜索到了你曾经的事迹，搜索到了你所有的委屈……
不敢想象那段时间你是怎么过来的，如果是我遇到这样的事情 ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-26T00:50:09,墨香铜臭超话,11,0,,0,,[9b2d5b4678],2024-03-26 00:50:09
[913d7519d7],[31fe021480],"抑郁症
好烦。烦的浑身不舒服。好难受 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-10T03:22:22,抑郁症超话,0,1,"[{""id"": ""[5a062a2051]"", ""created_at"": ""03-10"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-03-10 03:22:22
[9c8cd238ed],[0d4cf88e84],"抑郁症
胸口好闷，连带着身体都好无力 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-10T00:38:55,抑郁症超话,0,1,"[{""id"": ""[800fce57fc]"", ""created_at"": ""03-10"", ""source"": ""来自山东"", ""user"": {""id"": ""[69ddbd7d55]"", ""screen_name"": ""[ec3fdc72dc]""}, ""text"": "" [抱一抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-03-10 00:38:55
[47d32a6b2d],[74f506c0e1],"抑郁症
啊…好想死 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-08T01:32:33,抑郁症超话,0,1,"[{""id"": ""[fc2ff29ec2]"", ""created_at"": ""03-08"", ""source"": ""来自河南"", ""user"": {""id"": ""[11f06ce3b5]"", ""screen_name"": ""[5eb55b61d3]""}, ""text"": ""没有人知道我的痛苦，就连我自己也不知道痛苦从何而来"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-03-08 01:32:33
[e5650e71cd],[dd8aa6d764],"抑郁症
都说养宠物对抑郁症有好处，但是我自从养了狗狗后每天都在想它死后我该怎么办，它只有十几年二十年的寿命，它死后我该怎么办 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-08T00:33:56,抑郁症超话,8,7,"[{'id': 5011056218865859, 'created_at': '03-12', 'source': '来自河南', 'user': {'id': 7806738254, 'screen_name': '耶耶不耶0'}, 'text': '回复@没写地址的邮封y:我也是', 'reply_id': 5011054535115457, 'reply_text': '我不知道，我感觉我的小猫要是会喵星了，我也不想活了', 'like_counts': 1, 'liked': False}, {'id': 5011054535115457, 'created_at': '03-12', 'source': '来自四川', 'user': {'id': 7695756825, 'screen_name': '没写地址的邮封y'}, 'text': '我不知道，我感觉我的小猫要是会喵星了，我也不想活了', 'like_counts': 0, 'liked': False}, {'id': 5010525651471795, 'created_at': '03-10', 'source': '来自江苏', 'user': {'id': 6231102044, 'screen_name': '梦似归尘'}, 'text': '现在多给它买好吃的，多拍照片视频，多带出去玩玩。我都做好宠物死亡的心理准备了，它死后要是能遇到流浪的狗狗就收养，救助更多的狗 ""[融化]""', 'like_counts': 0, 'liked': False}, {'id': 5009876965917181, 'created_at': '03-09', 'source': '来自四川', 'user': {'id': 7274167288, 'screen_name': '小璇每天都要开心'}, 'text': '再养一只吧，我以前特别担心宠物会去世，后来又想起码她来到我家，她的一生都是被我爱着的', 'like_counts': 2, 'liked': False}, {'id': 5009504003162401, 'created_at': '03-08', 'source': '来自河北', 'user': {'id': 6736960695, 'screen_name': '好运连连2024shq'}, 'text': '好好养它 出去琉璃他 就当运动了 平时多吃点橘子橙子', 'like_counts': 0, 'liked': False}, {'id': 5009499398078497, 'created_at': '03-08', 'source': '来自广东', 'user': {'id': 2159636281, 'screen_name': '真的表现把自己微博博主'}, 'text': '再养一只～ 因为小猫小狗去星星以后，都是换皮肤去了，换个身份来陪我们 我们要好好照顾自己才能照顾好她们 [抱抱]', 'like_counts': 1, 'liked': False}, {'id': 5009498634715160, 'created_at': '03-08', 'source': '来自湖北', 'user': {'id': 7095459748, 'screen_name': '若无言'}, 'text': '我是担心我目前的状态自己都是苟延残喘的活着，怎么去养好一只宠物，而且，要是我撑不下去了，它怎么办', 'like_counts': 0, 'liked': False}]",0,,[9b2d5b4678],2024-03-08 00:33:56
