id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[4050ecd7af],[c891970c3e],"抑郁症
 好累 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-21T22:26:22,抑郁症超话,1,2,"[{""id"": ""[bfd542c552]"", ""created_at"": ""16小时前"", ""source"": ""来自福建"", ""user"": {""id"": ""[6e7e16017b]"", ""screen_name"": ""[6135942f6c]""}, ""text"": ""回复@甜甜思绪成冰:希望吧 [抱一抱]"", ""reply_id"": 5025727454643570, ""reply_text"": ""会好起来的 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[5d011cd0e9]"", ""created_at"": ""16小时前"", ""source"": ""来自河南"", ""user"": {""id"": ""[42731b52fb]"", ""screen_name"": ""[52bb98a5ed]""}, ""text"": ""会好起来的 [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-21 22:26:22
[979ca17b4e],[b77f5958a9],"抑郁症
 吃了劳拉只能睡四多个小时可以自己加到两颗吗 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-07T02:46:26,抑郁症超话,0,3,"[{""id"": ""[374c2f15a6]"", ""created_at"": ""04-07"", ""source"": ""来自辽宁"", ""user"": {""id"": ""[20b2000ba1]"", ""screen_name"": ""[a706044cd9]""}, ""text"": ""问医生 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[9fb481884c]"", ""created_at"": ""04-07"", ""source"": ""来自广东"", ""user"": {""id"": ""[e2e16122d0]"", ""screen_name"": ""[5757c81389]""}, ""text"": ""不可以 ，你要看医生 ，遵医嘱"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[df7578c357]"", ""created_at"": ""04-07"", ""source"": ""来自河南"", ""user"": {""id"": ""[df008c2d80]"", ""screen_name"": ""[0b686872d5]""}, ""text"": ""不要随意加减💊，遵医嘱"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-07 02:46:26
[062d908caf],[c1d69635ff],爱吞药一次吞十颗还不用洗胃 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-01T19:18:13,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-04-01 19:18:13
[6a67c35c56],[72e31c4c95],吞了 ,[9b2d5b4678],[2254ecc921],[6f2a653540],,2024-04-01T19:14:52,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-04-01 19:14:52
[67713722b4],[1cb5a8b941],"抑郁症
 想吞药 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-01T19:13:55,抑郁症超话,0,2,"[{""id"": ""[60b1a24ba9]"", ""created_at"": ""04-01"", ""source"": ""来自广东"", ""user"": {""id"": ""[c1ebcb12f1]"", ""screen_name"": ""[8d83c4ff6a]""}, ""text"": ""我也想"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[c81c8e32a6]"", ""created_at"": ""04-01"", ""source"": ""来自广东"", ""user"": {""id"": ""[6fc84a8f1f]"", ""screen_name"": ""[58dba4b14b]""}, ""text"": ""亲身证明200片没用 [单身狗]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-01 19:13:55
[4bf736817a],[e6f6a0bb30],想死 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-01T19:08:49,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-04-01 19:08:49
[d6eb16ea52],[6a2a70718d],"抑郁症
 泉州都有哪里有好点的医院 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-31T18:16:57,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-03-31 18:16:57
[8997674b29],[daa6fa4ee8],"抑郁症
 有人在泉州第三医院住院吗
想问一下封闭式一定要叫手机吗 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-31T17:20:49,抑郁症超话,0,2,"[{""id"": ""[e6aaecc771]"", ""created_at"": ""03-31"", ""source"": ""来自福建"", ""user"": {""id"": ""[6e7e16017b]"", ""screen_name"": ""[6135942f6c]""}, ""text"": ""回复@星银祈盼:好吧 [泪]"", ""reply_id"": 5018044978431817, ""reply_text"": ""封闭式没有手机，特别难受。"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[d87fe47684]"", ""created_at"": ""03-31"", ""source"": ""来自黑龙江"", ""user"": {""id"": ""[4439d59679]"", ""screen_name"": ""[c7d1041d51]""}, ""text"": ""封闭式没有手机，特别难受。"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-03-31 17:20:49
[040d7ab663],[8274f163c1],"抑郁症
 明天要去做心理咨询了好紧张 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-30T11:52:37,抑郁症超话,1,3,"[{""id"": ""[394068e902]"", ""created_at"": ""03-30"", ""source"": ""来自广东"", ""user"": {""id"": ""[a182ef137d]"", ""screen_name"": ""[f58ef3536f]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[a456139212]"", ""created_at"": ""03-30"", ""source"": ""来自安徽"", ""user"": {""id"": ""[c681cd9909]"", ""screen_name"": ""[f860db2c42]""}, ""text"": ""，别怕 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[e5653001b5]"", ""created_at"": ""03-30"", ""source"": ""来自河南"", ""user"": {""id"": ""[1aa8826eef]"", ""screen_name"": ""[e633299e65]""}, ""text"": ""加油加油"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-03-30 11:52:37
[f72fd63e51],[81629a5d91],"双相情感障碍
 为什么明明好好吃药了 还更严重了 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-30T03:21:18,双相情感障碍超话,0,2,"[{""id"": ""[d3c0c33dd3]"", ""created_at"": ""03-30"", ""source"": ""来自福建"", ""user"": {""id"": ""[6e7e16017b]"", ""screen_name"": ""[6135942f6c]""}, ""text"": ""回复@坨坨是只猫啊:好好吃药状态比不吃药状态还差 [允悲]"", ""reply_id"": 5017535657279932, ""reply_text"": ""我也想问这个问题 [泪]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[0c3c07aea7]"", ""created_at"": ""03-30"", ""source"": ""来自重庆"", ""user"": {""id"": ""[50220fe9bc]"", ""screen_name"": ""[c27003562c]""}, ""text"": ""我也想问这个问题 [泪]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-03-30 03:21:18
