id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[5a518e7a19],[a67736277b],"病案本
图源：@-wansheng- 
是萌萌的俩个宝宝
（已授权） ",[9b2d5b4678],[36ca10c2be],[9b2d5b4678],,2024-05-04T20:20:59,病案本超话,40,9,"[{'id': 5030647814951847, 'created_at': '12小时前', 'source': '来自四川', 'user': {'id': 5879043161, 'screen_name': '桐落知秋lxl'}, 'text': '好可爱 [awsl]', 'like_counts': 0, 'liked': False}, {'id': 5030637998179587, 'created_at': '13小时前', 'source': '来自河北', 'user': {'id': 7767572625, 'screen_name': '又镜落秋声'}, 'text': '可爱哈哈', 'like_counts': 0, 'liked': False}, {'id': 5030616101818250, 'created_at': '14小时前', 'source': '来自广东', 'user': {'id': 7831536802, 'screen_name': '逐月星shineing_'}, 'text': '萌萌哒 ""[干饭人]""', 'like_counts': 0, 'liked': False}, {'id': 5030573999654082, 'created_at': '17小时前', 'source': '来自山西', 'user': {'id': 5738020300, 'screen_name': '颖以为傲926'}, 'text': ' ""[哇]""', 'like_counts': 0, 'liked': False}, {'id': 5030568674985477, 'created_at': '18小时前', 'source': '来自广东', 'user': {'id': 7624928764, 'screen_name': '作作不吃魚'}, 'text': '好可爱 ""[送花花]""', 'like_counts': 0, 'liked': False}, {'id': 5030567592330496, 'created_at': '18小时前', 'source': '来自河北', 'user': {'id': 7829071994, 'screen_name': '茫茫的脆皮鹅'}, 'text': '好可爱！！！ [爱你]', 'like_counts': 0, 'liked': False}, {'id': 5030435059141957, 'created_at': '05-04', 'source': '来自湖北', 'user': {'id': 7898210538, 'screen_name': '青昭千棠'}, 'text': '啊啊啊 QQ的好可爱😍', 'like_counts': 0, 'liked': False}, {'id': 5030416719022644, 'created_at': '05-04', 'source': '来自山东', 'user': {'id': 1134891922, 'screen_name': '三撇悲痛从良版'}, 'text': '萌死了！ [泪]', 'like_counts': 1, 'liked': False}, {'id': 5030404952431556, 'created_at': '05-04', 'source': '来自江苏', 'user': {'id': 7732808086, 'screen_name': '-wansheng-'}, 'text': '是两个萌萌的宝宝՞˶･֊･˶՞', 'like_counts': 1, 'liked': False}]",1,,[961855bf1d],2024-05-04 20:20:59
[1da0f3951b],[5fb97bbd94],"病案本
有没有人告诉我这俩个图画师是谁，想做动图
 ",[9b2d5b4678],[2abfc75b87],[9b2d5b4678],,2024-05-04T09:06:12,病案本超话,19,1,"[{""id"": ""[afd268c7b3]"", ""created_at"": ""05-04"", ""source"": ""来自山东"", ""user"": {""id"": ""[0642cc799c]"", ""screen_name"": ""[38fc654a89]""}, ""text"": ""是这个老师约的稿哦@-wansheng-"", ""like_counts"": 4, ""liked"": false}]",0,,[9b2d5b4678],2024-05-04 09:06:12
[0dc08b5882],[094c43e9e3],"抑郁症
我明白努力有用啊，但是我没那劲。 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-04T08:18:33,抑郁症超话,1,1,"[{""id"": ""[a60752739c]"", ""created_at"": ""05-04"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-04 08:18:33
[2b776261a4],[76d5161281],"昨天晚上我想了很久，这个世界上还有可以留恋的东西吗？
比如…我推？父母？友情？游戏记录？梦想？
我好像都不在乎了，那么我留在这世上还有什么意义呢，但是我还没那么想死，只是选择更痛苦的活着
抑郁症
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-03T10:17:54,抑郁症超话,2,1,"[{""id"": ""[0c2b0e773d]"", ""created_at"": ""05-03"", ""source"": ""来自广西"", ""user"": {""id"": ""[47d6cf13e8]"", ""screen_name"": ""[d876aa0f70]""}, ""text"": ""我也想了很多，这世界有什么值得留恋的东西？生活一塌涂地，没做什么却活的很累，想结束痛苦只有死，可我不想死"", ""like_counts"": 1, ""liked"": false}]",0,,[9b2d5b4678],2024-05-03 10:17:54
[aad561ccb2],[48db65090a],"抑郁症
真糟糕啊，世界 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-21T21:24:08,抑郁症超话,3,1,"[{""id"": ""[9171e7564b]"", ""created_at"": ""04-21"", ""source"": ""来自江苏"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""是呀"", ""like_counts"": 1, ""liked"": false}]",0,,[9b2d5b4678],2024-04-21 21:24:08
[bd4cf897c1],[013eee212b],"病案本
 实体书快来从四面八方来
 ",[9b2d5b4678],[7e87012a31],[9b2d5b4678],,2024-04-17T19:39:12,病案本超话,18,4,"[{'id': 5026673572187250, 'created_at': '04-24', 'source': '来自广东', 'user': {'id': 7709286894, 'screen_name': '随时sjb发作'}, 'text': '快来快来 [给你小心心]', 'like_counts': 0, 'liked': False}, {'id': 5026113082098393, 'created_at': '04-23', 'source': '来自湖北', 'user': {'id': 7840046670, 'screen_name': '请告诉我幸福的秘诀'}, 'text': '接', 'like_counts': 1, 'liked': False}, {'id': 5025510682002058, 'created_at': '04-21', 'source': '来自河北', 'user': {'id': 7829071994, 'screen_name': '茫茫的脆皮鹅'}, 'text': ' ""[干饭人]""', 'like_counts': 0, 'liked': False}, {'id': 5024260717810404, 'created_at': '04-17', 'source': '来自江西', 'user': {'id': 7912713970, 'screen_name': '七辞忆'}, 'text': '🌚', 'like_counts': 0, 'liked': False}]",0,,[9b2d5b4678],2024-04-17 19:39:12
[9a672a45b3],[ce2686c032],"抑郁症
断药已经五个月了大概，每天的状态都很虚度，情绪也莫名其妙的，父母也不再带我去拿药，这叫我该怎么办…… ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-14T19:57:02,抑郁症超话,3,7,"[{""id"": ""[ba54390ce9]"", ""created_at"": ""04-15"", ""source"": ""来自福建"", ""user"": {""id"": ""[cd99b9a350]"", ""screen_name"": ""[66e050b308]""}, ""text"": ""回复@花莞杳夢菸:我已经在和妈妈商量了，她说考虑一下"", ""reply_id"": 5023481854953488, ""reply_text"": ""回复@没人能拒绝奶黄包:抱抱你或许让妈妈看看有关书籍听听讲座直播呢如果她愿意的话 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[436015c992]"", ""created_at"": ""04-15"", ""source"": ""来自上海"", ""user"": {""id"": ""[1045908131]"", ""screen_name"": ""[4cc19066c7]""}, ""text"": ""回复@没人能拒绝奶黄包:医生主要是听患者说的 家属说的带有家属的主观性 [抱抱]"", ""reply_id"": 5023454389078988, ""reply_text"": ""回复@花莞杳夢菸:是吗，但是现在我应该没机会了，我妈不想带我去看了 [跪了]"", ""like_counts"": 1, ""liked"": false}, {""id"": ""[7b643f7bb5]"", ""created_at"": ""04-15"", ""source"": ""来自上海"", ""user"": {""id"": ""[1045908131]"", ""screen_name"": ""[4cc19066c7]""}, ""text"": ""回复@没人能拒绝奶黄包:抱抱你或许让妈妈看看有关书籍听听讲座直播呢如果她愿意的话 [抱抱]"", ""reply_id"": 5023454389078988, ""reply_text"": ""回复@花莞杳夢菸:是吗，但是现在我应该没机会了，我妈不想带我去看了 [跪了]"", ""like_counts"": 1, ""liked"": false}, {""id"": ""[bb7d632f5b]"", ""created_at"": ""04-15"", ""source"": ""来自福建"", ""user"": {""id"": ""[cd99b9a350]"", ""screen_name"": ""[66e050b308]""}, ""text"": ""回复@花莞杳夢菸:是吗，但是现在我应该没机会了，我妈不想带我去看了 [跪了]"", ""reply_id"": 5023183319598610, ""reply_text"": ""回复@没人能拒绝奶黄包:换医生吧 这个不专业 专业的医生会打断你妈妈说话让你自己说 毕竟你是病人 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[8033b7dae3]"", ""created_at"": ""04-14"", ""source"": ""来自上海"", ""user"": {""id"": ""[1045908131]"", ""screen_name"": ""[4cc19066c7]""}, ""text"": ""回复@没人能拒绝奶黄包:换医生吧 这个不专业 专业的医生会打断你妈妈说话让你自己说 毕竟你是病人 [抱抱]"", ""reply_id"": 5023179435674876, ""reply_text"": ""回复@花莞杳夢菸:我妈看见我吃药阶段时表现的很正常，于是便跟医生说我没什么事了不知道为什么那个医生也觉得我可以断了，但实际上断药的日子我的身体大不如前了，说给我妈听了她因为我装的因为太频繁了（那个是我第二个医生，不知道为什么我总感觉他没有我第一个医生好） [悲伤]"", ""like_counts"": 1, ""liked"": false}, {""id"": ""[13be7749f0]"", ""created_at"": ""04-14"", ""source"": ""来自广东"", ""user"": {""id"": ""[cd99b9a350]"", ""screen_name"": ""[66e050b308]""}, ""text"": ""回复@花莞杳夢菸:我妈看见我吃药阶段时表现的很正常，于是便跟医生说我没什么事了不知道为什么那个医生也觉得我可以断了，但实际上断药的日子我的身体大不如前了，说给我妈听了她因为我装的因为太频繁了（那个是我第二个医生，不知道为什么我总感觉他没有我第一个医生好） [悲伤]"", ""reply_id"": 5023155184207848, ""reply_text"": ""医生让你断的吗 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[15c796326f]"", ""created_at"": ""04-14"", ""source"": ""来自上海"", ""user"": {""id"": ""[1045908131]"", ""screen_name"": ""[4cc19066c7]""}, ""text"": ""医生让你断的吗 [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-14 19:57:02
[c0d485d3d2],[9bfb9125db],"病案本
傻傻的
 ",[9b2d5b4678],[f424933817],[9b2d5b4678],,2024-04-13T13:59:34,病案本超话,48,13,"[{""id"": ""[aff9170114]"", ""created_at"": ""04-13"", ""source"": ""来自河北"", ""user"": {""id"": ""[e3dee52607]"", ""screen_name"": ""[be17a6396a]""}, ""text"": ""这不是予呈的小火龙吧（不是） [允悲]"", ""like_counts"": 2, ""liked"": false}, {""id"": ""[9f439e3499]"", ""created_at"": ""04-13"", ""source"": ""来自辽宁"", ""user"": {""id"": ""[d32209a23f]"", ""screen_name"": ""[df1c899f1f]""}, ""text"": ""哈哈哈哈哈哈哈哈哈"", ""like_counts"": 1, ""liked"": false}, {""id"": ""[764d7c5f40]"", ""created_at"": ""04-13"", ""source"": ""来自四川"", ""user"": {""id"": ""[b551a8d08d]"", ""screen_name"": ""[71f2e1bd77]""}, ""text"": ""？？？哈哈哈哈哈哈哈，刚进来就看到哈哈哈哈哈哈"", ""like_counts"": 1, ""liked"": false}]",0,,[9b2d5b4678],2024-04-13 13:59:34
[b596a897b7],[085550d778],"病案本
其实我有一点好奇在谢清呈假死时，看见贺予在给自己扫墓是什么心情 ",[9b2d5b4678],[02caf751b1],[9b2d5b4678],,2024-04-04T17:47:24,病案本超话,20,5,"[{""id"": ""[9bfd47ba1a]"", ""created_at"": ""04-19"", ""source"": ""来自广东"", ""user"": {""id"": ""[cd99b9a350]"", ""screen_name"": ""[66e050b308]""}, ""text"": ""回复@八月灯火Fire:哈哈哈，朋友你不是一个人 [允悲]"", ""reply_id"": 5024681108702753, ""reply_text"": ""啊？什么？假死？啊？！那我这几天的眼泪？！白流了啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊 [疑问]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[e04c1eef49]"", ""created_at"": ""04-19"", ""source"": ""来自广西"", ""user"": {""id"": ""[f191ddafa2]"", ""screen_name"": ""[0131317415]""}, ""text"": ""啊？什么？假死？啊？！那我这几天的眼泪？！白流了啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊 [疑问]"", ""like_counts"": 1, ""liked"": false}, {""id"": ""[8de5f66a92]"", ""created_at"": ""04-05"", ""source"": ""来自河北"", ""user"": {""id"": ""[e3dee52607]"", ""screen_name"": ""[be17a6396a]""}, ""text"": ""不是我刚醒就给我一刀 [悲伤]"", ""like_counts"": 1, ""liked"": false}, {""id"": ""[bf8224a312]"", ""created_at"": ""04-04"", ""source"": ""来自辽宁"", ""user"": {""id"": ""[5153a8907c]"", ""screen_name"": ""[43499d9890]""}, ""text"": ""特别特别特别心疼吧"", ""like_counts"": 2, ""liked"": false}, {""id"": ""[4527d5a279]"", ""created_at"": ""04-04"", ""source"": ""来自重庆"", ""user"": {""id"": ""[d993a67355]"", ""screen_name"": ""[6eda1564d8]""}, ""text"": ""肯定是难受啊，谢清呈看到贺予一个人孤独的站在他坟墓前当时受不了了，说要活下去陪着贺予 [泪]"", ""like_counts"": 4, ""liked"": false}]",0,,[9b2d5b4678],2024-04-04 17:47:24
[656e62659e],[0cd6e75277],"抑郁症
感觉现在的情绪很稳定，被父母打骂都没有感觉了，我终于要好了吗
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-03T21:22:45,抑郁症超话,6,5,"[{'id': 5019486124248417, 'created_at': '04-04', 'source': '来自广东', 'user': {'id': 7446188208, 'screen_name': '没人能拒绝奶黄包'}, 'text': '回复@我要一直笑一直笑:没我被迫停了五个月左右 ""[苦涩]""', 'reply_id': 5019387948696442, 'reply_text': '吃药的缘故吧。我吃了药后情绪就很稳定', 'like_counts': 0, 'liked': False}, {'id': 5019477888730015, 'created_at': '04-04', 'source': '来自河南', 'user': {'id': 6177342085, 'screen_name': '见证爱凋零'}, 'text': '也有可能是麻木了', 'like_counts': 1, 'liked': False}, {'id': 5019477391967716, 'created_at': '04-04', 'source': '来自江西', 'user': {'id': 7459152540, 'screen_name': '你的答案是_'}, 'text': '自我放弃了，这样不行哦', 'like_counts': 1, 'liked': False}, {'id': 5019387948696442, 'created_at': '04-04', 'source': '来自浙江', 'user': {'id': 7440497936, 'screen_name': '我要一直笑一直笑'}, 'text': '吃药的缘故吧。我吃了药后情绪就很稳定', 'like_counts': 1, 'liked': False}, {'id': 5019381149729536, 'created_at': '04-04', 'source': '来自湖北', 'user': {'id': 2804360187, 'screen_name': '学如磨刀之石'}, 'text': '解离了宝宝', 'like_counts': 1, 'liked': False}]",0,,[9b2d5b4678],2024-04-03 21:22:45
