id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[5c48a1c16a],[c947c3daea],"抑郁症
 很反感的人拿着我的小说，前面我都忍一忍，现在我是钮祜禄氏家族鸡，我忍不了一点了，我说话不好听，所以她想摆到明面上或者是暗地里，我都可以，有种就弄死我，反正她也只会叫她的朋友男朋友来打我，笑死我了，精神小妹，贱人
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-26T17:11:20,抑郁症超话,0,1,"[{""id"": ""[111b1ddd8a]"", ""created_at"": ""04-26"", ""source"": ""来自上海"", ""user"": {""id"": ""[4a2daf36b6]"", ""screen_name"": ""[2f4c2dec2f]""}, ""text"": ""对付这种人录音找证据然后报警 [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-26 17:11:20
[27f4753b67],[fa17326f8a],"抑郁症
 半夜突然醒过来，睡不着了
好难受
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-23T02:53:57,抑郁症超话,1,2,"[{""id"": ""[7764addf12]"", ""created_at"": ""04-23"", ""source"": ""来自江苏"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[204e265748]"", ""created_at"": ""04-23"", ""source"": ""来自河北"", ""user"": {""id"": ""[f628a900fc]"", ""screen_name"": ""[1b484c65a9]""}, ""text"": ""抱抱你 [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-23 02:53:57
[ad11c9e73f],[3b428f8119],"抑郁症
 笑死我了，有个男生真的插我队伍，我直接看他往那边，我一直坐的那个位置去走，我就冲着那个窗户弄的靠边坐的位置，还撞了他一下，爽了，贱人
 ",[9b2d5b4678],[e21ae0a4f5],[9b2d5b4678],,2024-04-22T20:55:45,抑郁症超话,2,4,"[{'id': 5026155462132006, 'created_at': '04-23', 'source': '来自湖南', 'user': {'id': 7746697906, 'screen_name': '咸鸡一只'}, 'text': '回复@浮生梦黎:好可是这样做会不会不太好 [单身狗]', 'reply_id': 5026071242081937, 'reply_text': '回复@咸鸡一只:加油，有第一次就会有无数次', 'like_counts': 0, 'liked': False}, {'id': 5026071242081937, 'created_at': '04-22', 'source': '来自河南', 'user': {'id': 7869235147, 'screen_name': '浮生梦黎'}, 'text': '回复@咸鸡一只:加油，有第一次就会有无数次', 'reply_id': 5026070539275692, 'reply_text': '回复@浮生梦黎:谢谢，第1次这么大胆 ""[举手]""', 'like_counts': 0, 'liked': False}, {'id': 5026070539275692, 'created_at': '04-22', 'source': '来自湖南', 'user': {'id': 7746697906, 'screen_name': '咸鸡一只'}, 'text': '回复@浮生梦黎:谢谢，第1次这么大胆 ""[举手]""', 'reply_id': 5026069977498616, 'reply_text': '宝宝真棒，女王 [加油]', 'like_counts': 0, 'liked': False}, {'id': 5026069977498616, 'created_at': '04-22', 'source': '来自河南', 'user': {'id': 7869235147, 'screen_name': '浮生梦黎'}, 'text': '宝宝真棒，女王 [加油]', 'like_counts': 1, 'liked': False}]",0,,[9b2d5b4678],2024-04-22 20:55:45
[7437310dcc],[e23be823f1],"月影别墅
 我刚刚不是把我艾尔的谷子拿出来吗，要给婷婷（同学）看，大宝就另一个女生拿在我的谷子在那里挑三拣四的，就一直在那里说，我真的是服了，一下子又说什么这个好丑啊，手好可怕呀什么的，然后什么脸和身体啊，不符合什么的不协调，还说什么要买该隐的一个立牌，然后我就说那35包邮40 ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-14T10:25:11,月影别墅超话,2,0,,0,,[9b2d5b4678],2024-04-14 10:25:11
[3c72a5c3b8],[106a854cd3],"抑郁症
 坏消息我妈不让我请假了
现在在床上躺着慢慢地留下眼泪
 好烦，我妈不给我请假，我只能去上学
想死，看到同学就烦 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-09T07:19:47,抑郁症超话,0,1,"[{""id"": ""[047137a670]"", ""created_at"": ""04-09"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""抱住不哭不哭"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-09 07:19:47
[3b35a234c2],[99e7001824],"抑郁症
 笑死我了
明明感觉快要好了，就是今天走着走着就很烦，然后我叫我妹捞衣服，她没有捞
现在我在这里崩溃大哭我真的有病吧 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-06T17:44:57,抑郁症超话,1,0,,0,,[9b2d5b4678],2024-04-06 17:44:57
[a513481904],[88ea3212c6],"我亲爱的法医
 收以下两句上下特签实体书，还想收《我亲爱的法医小姐》漫画1亲签
“为生者权，替死者言”
“我将永远忠于理想和你”  ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-24T05:04:14,我亲爱的法医超话,0,5,"[{""id"": ""[f75a173c93]"", ""created_at"": ""03-31"", ""source"": ""来自浙江"", ""user"": {""id"": ""[beb1643688]"", ""screen_name"": ""[936e8ce552]""}, ""text"": ""回复@人间妄想秦嘟嘟:宝宝礼貌问问还在吗"", ""reply_id"": 5015504024765539, ""reply_text"": ""回复@咸鸡一只:上册特签生者+下者亲签150包邮"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[0f201d8c63]"", ""created_at"": ""03-24"", ""source"": ""来自湖南"", ""user"": {""id"": ""[2597a21fcf]"", ""screen_name"": ""[69ef714c50]""}, ""text"": ""回复@人间妄想秦嘟嘟:不用了，谢谢老师"", ""reply_id"": 5015504024765539, ""reply_text"": ""回复@咸鸡一只:上册特签生者+下者亲签150包邮"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[50419dacf9]"", ""created_at"": ""03-24"", ""source"": ""来自重庆"", ""user"": {""id"": ""[60de208b41]"", ""screen_name"": ""[3b44e36eb5]""}, ""text"": ""回复@咸鸡一只:上册特签生者+下者亲签150包邮"", ""reply_id"": 5015503712551928, ""reply_text"": ""回复@人间妄想秦嘟嘟:老师问问价多少 [鲜花]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[09059dc0e3]"", ""created_at"": ""03-24"", ""source"": ""来自湖南"", ""user"": {""id"": ""[2597a21fcf]"", ""screen_name"": ""[69ef714c50]""}, ""text"": ""回复@人间妄想秦嘟嘟:老师问问价多少 [鲜花]"", ""reply_id"": 5015479326343243, ""reply_text"": ""还收生者吗"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[88aaaee562]"", ""created_at"": ""03-24"", ""source"": ""来自重庆"", ""user"": {""id"": ""[60de208b41]"", ""screen_name"": ""[3b44e36eb5]""}, ""text"": ""还收生者吗"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-03-24 05:04:14
[82fbf5ee91],[261c494a99],"抑郁症
 SB学校，烦人老师，智障狗屎同学 ",[9b2d5b4678],[d5c978706f],[9b2d5b4678],,2024-03-21T08:06:10,抑郁症超话,2,0,,0,,[9b2d5b4678],2024-03-21 08:06:10
[069c88ed15],[ad33b8c3da],"抑郁症
 每天都在想请假的理由
明明昨天我觉得我很正常，为什么昨天下午和今天一下子又又又又又又又又又又又又不开心了，明天也不想去
 ",[9b2d5b4678],[232a219316],[9b2d5b4678],,2024-03-17T07:56:02,抑郁症超话,2,2,"[{'id': 5013914309625475, 'created_at': '03-20', 'source': '来自湖南', 'user': {'id': 7746697906, 'screen_name': '咸鸡一只'}, 'text': '回复@要长记性的木子: ""[送花花]""', 'reply_id': 5012888027400846, 'reply_text': ' [抱抱]', 'like_counts': 0, 'liked': False}, {'id': 5012888027400846, 'created_at': '03-17', 'source': '来自安徽', 'user': {'id': 7299643463, 'screen_name': '要长记性的木子'}, 'text': ' [抱抱]', 'like_counts': 0, 'liked': False}]",0,,[9b2d5b4678],2024-03-17 07:56:02
[226106dfa8],[c7146d04d8],"鞠婧祎
 老子必须看，到时候用备用机看！！！
 ",[9b2d5b4678],[91370c8768],[9b2d5b4678],,2024-03-15T19:09:09,鞠婧祎超话,0,0,,0,,[9b2d5b4678],2024-03-15 19:09:09
