id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[cebba63c69],[e451b69e7f],"抑郁症
总结我就是贱
 ",[9b2d5b4678],[990cd4715a],[9b2d5b4678],,2024-06-03T22:57:52,抑郁症超话,2,2,"[{""id"": ""[44d6275616]"", ""created_at"": ""4小时前"", ""source"": ""来自湖南"", ""user"": {""id"": ""[b6817c3717]"", ""screen_name"": ""[44eda581ca]""}, ""text"": ""这个矛盾心理是正常的，不过，最好不要轻易告诉别人，除非你足够了解那个人"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[9bfcb8795c]"", ""created_at"": ""4小时前"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""不是的"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-06-03 22:57:52
[c652574814],[d305e56a4d],"抑郁症
心情零碎Ծ‸Ծ我为什么不去医院买，是我没时间去 ",[9b2d5b4678],[91dd4af602],[9b2d5b4678],,2024-05-31T11:51:31,抑郁症超话,1,0,,0,,[9b2d5b4678],2024-05-31 11:51:31
[50a534a09f],[56ddaa207b],"抑郁症
看我不爽骂我就行骂我女鹅干什么，我真的受不了 ",[9b2d5b4678],[79cc99d05b],[9b2d5b4678],,2024-05-27T20:54:34,抑郁症超话,1,0,,0,,[9b2d5b4678],2024-05-27 20:54:34
[23926ccc8c],[298f255365],"抑郁症
又胃疼了好难受吐了 2 次不知道是不是胃疼，反正就是肚子上面一点点 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-24T21:52:39,抑郁症超话,1,2,"[{""id"": ""[0ce5991801]"", ""created_at"": ""05-24"", ""source"": ""来自四川"", ""user"": {""id"": ""[0e336d131f]"", ""screen_name"": ""[0f4ada1bf3]""}, ""text"": ""会好的，我们多注意休息呀 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[f811082c4b]"", ""created_at"": ""05-24"", ""source"": ""来自安徽"", ""user"": {""id"": ""[7c59ae39be]"", ""screen_name"": ""[0e228a3d59]""}, ""text"": ""有没有胃药啊"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-24 21:52:39
[cb564fb644],[95ffac36dc],"抑郁症
啊为什么我现在就感觉自己是个没事人一样除了晚上会醒几次，偶尔失眠，偶尔焦虑，在 15 号左右会特别敏感想死就啥都没事了
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-24T21:09:40,抑郁症超话,0,3,"[{""id"": ""[ae084a830e]"", ""created_at"": ""05-25"", ""source"": ""来自河北"", ""user"": {""id"": ""[0f2c6a65ff]"", ""screen_name"": ""[6bfc5e4236]""}, ""text"": ""回复@刮风这天我不要谁和我对戏:我都怀疑我转双向了 [允悲]"", ""reply_id"": 5037927058901330, ""reply_text"": ""我去我也是"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[beb080062a]"", ""created_at"": ""05-25"", ""source"": ""来自北京"", ""user"": {""id"": ""[a5d602ec95]"", ""screen_name"": ""[6b25ea2400]""}, ""text"": ""我去我也是"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[254cf6a434]"", ""created_at"": ""05-24"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-24 21:09:40
[04d25f2e83],[7fd3eb0df5],"抑郁症
救命我感觉我好神经
，暗搓搓的和朋友说我得抑郁症了但是说完就后悔，怕别人说自己装
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-20T16:06:36,抑郁症超话,1,0,,0,,[9b2d5b4678],2024-05-20 16:06:36
[7e483a86cb],[8d33630352],"抑郁症
救命呀这个人他怎么这么不要脸
 ",[9b2d5b4678],[c9f09f5cc3],[9b2d5b4678],,2024-05-19T13:54:35,抑郁症超话,2,0,,0,,[9b2d5b4678],2024-05-19 13:54:35
[5ade10029c],[906bcbda26],"抑郁症
气死我了呜呜呜又被污蔑了我啥都没说我就特别平静的说让他去拿袋子，她自己破防了 ，骂我我真的，还说我骂她，店里其他人都说我没骂就是语气有点急的让他去拿袋子 ",[9b2d5b4678],[3fe16ecbb9],[9b2d5b4678],,2024-05-14T19:06:03,抑郁症超话,1,2,"[{""id"": ""[1a88bb2d30]"", ""created_at"": ""05-14"", ""source"": ""来自北京"", ""user"": {""id"": ""[a5d602ec95]"", ""screen_name"": ""[6b25ea2400]""}, ""text"": ""我也遇上过，哎😔"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[38b3cd0e64]"", ""created_at"": ""05-14"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-14 19:06:03
[e163b62164],[7339bb50a0],"抑郁症
药店能开舍曲林吗，啊啊啊我怕去医院开舍曲林得要家长一起，我现在还没有 16 岁
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-14T12:08:49,抑郁症超话,1,10,"[{'id': 5034014740320148, 'created_at': '05-14', 'source': '来自河北', 'user': {'id': 7826586805, 'screen_name': '小欣小欣绝不伤心'}, 'text': '回复@hhzhfnbjl:有呀，但素我现在不在老家 ""[苦涩]""', 'reply_id': 5034014023354150, 'reply_text': '回复@小欣小欣绝不伤心:拼多多上面是能买 但是是不是真的我没法保证 我直接有在医院门口心理诊所买过药 我不知道你们那有没有', 'like_counts': 0, 'liked': False}, {'id': 5034014023354150, 'created_at': '05-14', 'source': '来自福建', 'user': {'id': 7388206816, 'screen_name': 'hhzhfnbjl'}, 'text': '回复@小欣小欣绝不伤心:拼多多上面是能买 但是是不是真的我没法保证 我直接有在医院门口心理诊所买过药 我不知道你们那有没有', 'reply_id': 5034013509294684, 'reply_text': '回复@hhzhfnbjl:去了，但是我买的药也不是吃完了，我妈给拿了，我现在难受死，就想买药 ""[苦涩]""', 'like_counts': 0, 'liked': False}, {'id': 5034013509294684, 'created_at': '05-14', 'source': '来自河北', 'user': {'id': 7826586805, 'screen_name': '小欣小欣绝不伤心'}, 'text': '回复@hhzhfnbjl:去了，但是我买的药也不是吃完了，我妈给拿了，我现在难受死，就想买药 ""[苦涩]""', 'reply_id': 5034013289611877, 'reply_text': '回复@小欣小欣绝不伤心:啊 你之前没去过医院吗 还是药吃完了', 'like_counts': 0, 'liked': False}, {'id': 5034013289611877, 'created_at': '05-14', 'source': '来自福建', 'user': {'id': 7388206816, 'screen_name': 'hhzhfnbjl'}, 'text': '回复@小欣小欣绝不伤心:啊 你之前没去过医院吗 还是药吃完了', 'reply_id': 5034008733291041, 'reply_text': '回复@hhzhfnbjl:因为我自己一个人去而且我还没 16 [允悲]', 'like_counts': 0, 'liked': False}, {'id': 5034008733291041, 'created_at': '05-14', 'source': '来自河北', 'user': {'id': 7826586805, 'screen_name': '小欣小欣绝不伤心'}, 'text': '回复@hhzhfnbjl:因为我自己一个人去而且我还没 16 [允悲]', 'reply_id': 5033933796543289, 'reply_text': '回复@小欣小欣绝不伤心:确诊了为什么不给你开', 'like_counts': 0, 'liked': False}, {'id': 5033985933575674, 'created_at': '05-14', 'source': '来自广西', 'user': {'id': 7444811434, 'screen_name': '撸猫peter'}, 'text': '这是处方药，需要医生开', 'like_counts': 0, 'liked': False}, {'id': 5033941595066695, 'created_at': '05-14', 'source': '来自浙江', 'user': {'id': 1400182773, 'screen_name': 'Chaserce08'}, 'text': '多多上就能买啊', 'like_counts': 0, 'liked': False}, {'id': 5033933796543289, 'created_at': '05-14', 'source': '来自福建', 'user': {'id': 7388206816, 'screen_name': 'hhzhfnbjl'}, 'text': '回复@小欣小欣绝不伤心:确诊了为什么不给你开', 'reply_id': 5033932016064778, 'reply_text': '回复@hhzhfnbjl:啊啊啊啊烦死了，我不想去医院我怕他们不给我开', 'like_counts': 0, 'liked': False}, {'id': 5033932016064778, 'created_at': '05-14', 'source': '来自河北', 'user': {'id': 7826586805, 'screen_name': '小欣小欣绝不伤心'}, 'text': '回复@hhzhfnbjl:啊啊啊啊烦死了，我不想去医院我怕他们不给我开', 'reply_id': 5033915969177706, 'reply_text': '不能吧 这都是处方药', 'like_counts': 0, 'liked': False}, {'id': 5033915969177706, 'created_at': '05-14', 'source': '来自福建', 'user': {'id': 7388206816, 'screen_name': 'hhzhfnbjl'}, 'text': '不能吧 这都是处方药', 'like_counts': 0, 'liked': False}]",0,,[9b2d5b4678],2024-05-14 12:08:49
[514ba45023],[211bb5ae08],"抑郁症
好难受，好想紫砂，刚割腕了好疼，怎么一到中旬就开始难受，我现在是不是要去吃药了 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-13T18:40:28,抑郁症超话,0,7,"[{""id"": ""[eee6338065]"", ""created_at"": ""05-13"", ""source"": ""来自湖南"", ""user"": {""id"": ""[b6817c3717]"", ""screen_name"": ""[44eda581ca]""}, ""text"": ""Reply @小欣小欣绝不伤心:有一种抑郁就是&quot;阳光型抑郁&quot;。接受不了就不治了？她到底有没有为你考虑？难受的是你啊"", ""reply_id"": 5033659541492570, ""reply_text"": ""回复@沃特武奥尔斯2022:可能是我平时太阳光，他一下就接受不了我得抑郁症了 [二哈]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[483ad8de38]"", ""created_at"": ""05-13"", ""source"": ""来自河北"", ""user"": {""id"": ""[0f2c6a65ff]"", ""screen_name"": ""[6bfc5e4236]""}, ""text"": ""回复@沃特武奥尔斯2022:可能是我平时太阳光，他一下就接受不了我得抑郁症了 [二哈]"", ""reply_id"": 5033659199389795, ""reply_text"": ""Reply @小欣小欣绝不伤心:不相信医院的医生，也是醉了。药物肯定是有副作用的啊，但是吃药是为了治疗，治疗才是主要的作用。都分不清主次的？她觉得你没有病，是谁给她的自信？她是医生吗？真的是服了，无知愚昧。碰到这样的妈，难道不是倒霉吗？"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[70f06f4449]"", ""created_at"": ""05-13"", ""source"": ""来自湖南"", ""user"": {""id"": ""[b6817c3717]"", ""screen_name"": ""[44eda581ca]""}, ""text"": ""Reply @小欣小欣绝不伤心:不相信医院的医生，也是醉了。药物肯定是有副作用的啊，但是吃药是为了治疗，治疗才是主要的作用。都分不清主次的？她觉得你没有病，是谁给她的自信？她是医生吗？真的是服了，无知愚昧。碰到这样的妈，难道不是倒霉吗？"", ""reply_id"": 5033657721425128, ""reply_text"": ""回复@沃特武奥尔斯2022:我妈妈她人很好 但是她觉得我没病 ，我要休学 他就带我去检查，开了很多药。他本来是让我吃的。他去问了一下我姐姐。然后，我姐姐和他说说这些药副作用很大，他又去网上搜了一下，他就怕我吃了变成神经病，就不让我吃"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[5fd19ef7da]"", ""created_at"": ""05-13"", ""source"": ""来自河北"", ""user"": {""id"": ""[0f2c6a65ff]"", ""screen_name"": ""[6bfc5e4236]""}, ""text"": ""回复@沃特武奥尔斯2022:我妈妈她人很好 但是她觉得我没病 ，我要休学 他就带我去检查，开了很多药。他本来是让我吃的。他去问了一下我姐姐。然后，我姐姐和他说说这些药副作用很大，他又去网上搜了一下，他就怕我吃了变成神经病，就不让我吃"", ""reply_id"": 5033656743102800, ""reply_text"": ""Reply @小欣小欣绝不伤心:她是有什么大病，不吃药怎么治疗？服了，到处都有这样的人，你真的是倒霉，有这样的一个妈 [汗]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[d10c8dfa2a]"", ""created_at"": ""05-13"", ""source"": ""来自湖南"", ""user"": {""id"": ""[b6817c3717]"", ""screen_name"": ""[44eda581ca]""}, ""text"": ""Reply @小欣小欣绝不伤心:她是有什么大病，不吃药怎么治疗？服了，到处都有这样的人，你真的是倒霉，有这样的一个妈 [汗]"", ""reply_id"": 5033656127062174, ""reply_text"": ""回复@沃特武奥尔斯2022:我妈觉得我不用吃药就不给我继续买药 [允悲]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[8c9688a54e]"", ""created_at"": ""05-13"", ""source"": ""来自河北"", ""user"": {""id"": ""[0f2c6a65ff]"", ""screen_name"": ""[6bfc5e4236]""}, ""text"": ""回复@沃特武奥尔斯2022:我妈觉得我不用吃药就不给我继续买药 [允悲]"", ""reply_id"": 5033650637509332, ""reply_text"": ""吃药治疗是需要持续的，吃够疗程，不可随意"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[c5f5e6c822]"", ""created_at"": ""05-13"", ""source"": ""来自湖南"", ""user"": {""id"": ""[b6817c3717]"", ""screen_name"": ""[44eda581ca]""}, ""text"": ""吃药治疗是需要持续的，吃够疗程，不可随意"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-13 18:40:28
