id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[1f527c6f08],[e47bebeda1],"抑郁症
 友谊的保质期是最短的 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-19T01:31:13,抑郁症超话,1,2,"[{""id"": ""[3db7c61e98]"", ""created_at"": ""14小时前"", ""source"": ""来自江苏"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""爱自己"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[15ee03c7e6]"", ""created_at"": ""21小时前"", ""source"": ""来自北京"", ""user"": {""id"": ""[783890bfd6]"", ""screen_name"": ""[882c263383]""}, ""text"": "" [心]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-19 01:31:13
[6ffbe5bab2],[a7c7e0cf1b],"抑郁症
 和三个好朋友绝交了，我真的活不明白，为什么身为朋友都看不得我过得好？难道我就该死吗？我就该天天下班在家里烂掉吗？我们只是朋友，又不是情侣，我想出去的时候，我就出去，我累了 我不想动的时候 我就不动，自己有对象，还要管我？你都已经那么幸福了！发消息不回的，就是不珍重这 ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-19T01:08:44,抑郁症超话,1,3,"[{""id"": ""[d00fe25d97]"", ""created_at"": ""12小时前"", ""source"": ""来自山东"", ""user"": {""id"": ""[8dabe70cee]"", ""screen_name"": ""[fe74ca2c01]""}, ""text"": ""？"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[9a1a123d67]"", ""created_at"": ""14小时前"", ""source"": ""来自江苏"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[35ebec7177]"", ""created_at"": ""21小时前"", ""source"": ""来自陕西"", ""user"": {""id"": ""[4528ba1ded]"", ""screen_name"": ""[a019c1e555]""}, ""text"": ""宝宝你很好，这种朋友不要也罢"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-19 01:08:44
[7245756cbb],[57f222237b],"童可可《甜蜜发酵》（《奈何BOSS要娶我》网络剧插曲）
甜蜜发酵
 @QQ音乐#奈何boss要娶我# ",[9b2d5b4678],[70bdd8851b],[9b2d5b4678],,2024-04-17T12:39:42,iPhone客户端,2,2,"[{""id"": ""[0b471e0b25]"", ""created_at"": ""04-17"", ""source"": ""来自山东"", ""user"": {""id"": ""[d986f8c13b]"", ""screen_name"": ""[6c12435d1d]""}, ""text"": ""热搜了，我不准没人听过 [泪]"", ""like_counts"": 1, ""liked"": false}, {""id"": ""[aeeee42ee8]"", ""created_at"": ""04-17"", ""source"": """", ""user"": {""id"": ""[0016dcda60]"", ""screen_name"": ""[a439e3fc96]""}, ""text"": ""你好，你感兴趣的“奈何boss要娶我”已开通了超话社区～ 超话社区是微博旗下兴趣互动社区，快来与志同道合的小伙伴们一起交流互动吧！ 戳我进入&gt;&gt; 奈何boss要娶我[超话]"", ""like_counts"": 0, ""liked"": false}]",0,奈何boss要娶我,[3ef42060a2],2024-04-17 12:39:42
[2fbd78574f],[32191523d5],"好玩
 ",[9b2d5b4678],[f05a5952d1],[9b2d5b4678],,2024-04-16T14:04:39,iPhone客户端,1,2,"[{'id': 5024165851040784, 'created_at': '04-17', 'source': '来自山东', 'user': {'id': 5306065462, 'screen_name': '潘等等大帅哥'}, 'text': '回复@isiszon:那么好玩 ""[第五人格]""', 'reply_id': 5024109962728878, 'reply_text': '有多好玩', 'like_counts': 1, 'liked': False}, {'id': 5024109962728878, 'created_at': '04-17', 'source': '来自山东', 'user': {'id': 5784803645, 'screen_name': 'isiszon'}, 'text': '有多好玩', 'like_counts': 0, 'liked': False}]",0,,[9b2d5b4678],2024-04-16 14:04:39
[273a23ae07],[1cd9160e4a],又活了一天 ,[9b2d5b4678],[cb07d7a7fa],[9b2d5b4678],,2024-04-15T22:32:05,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-04-15 22:32:05
[52a1af5754],[a8d93fde55],"#刘忻看似大佬实则乖巧#就是大佬
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-13T13:45:32,iPhone客户端,1,0,,0,刘忻看似大佬实则乖巧,[9b2d5b4678],2024-04-13 13:45:32
[f647f61e26],[28e29126eb],#刘忻吉他弹唱乘风主题曲#好爱姐姐啊啊啊啊啊啊 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-13T13:45:00,iPhone客户端,1,0,,0,刘忻吉他弹唱乘风主题曲,[9b2d5b4678],2024-04-13 13:45:00
[5b11037729],[45725afcf6],分享图片 ,[9b2d5b4678],[65129cbd54],[9b2d5b4678],,2024-04-09T20:19:03,iPhone客户端,1,0,,0,,[9b2d5b4678],2024-04-09 20:19:03
[f28ef5cf83],[fabb5b7624],自制氛围音响（单纯放高了哈哈 ,[9b2d5b4678],[b6a517778d],[9b2d5b4678],,2024-04-07T20:28:43,iPhone客户端,0,3,"[{""id"": ""[302b447ca6]"", ""created_at"": ""04-07"", ""source"": ""来自罗伯特"", ""user"": {""id"": ""[477a053a02]"", ""screen_name"": ""[7e4847dc54]""}, ""text"": ""回复@潘等等大帅哥:谢谢夸奖~"", ""reply_id"": 5020650487417792, ""reply_text"": ""回复@评论罗伯特:对的罗伯特好聪明 [爱你]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[687911db8e]"", ""created_at"": ""04-07"", ""source"": ""来自山东"", ""user"": {""id"": ""[d986f8c13b]"", ""screen_name"": ""[6c12435d1d]""}, ""text"": ""回复@评论罗伯特:对的罗伯特好聪明 [爱你]"", ""reply_id"": 5020641281967769, ""reply_text"": ""音响放高，音乐放低，这样就有氛围音效了"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[197ccc16e2]"", ""created_at"": ""04-07"", ""source"": ""来自罗伯特"", ""user"": {""id"": ""[477a053a02]"", ""screen_name"": ""[7e4847dc54]""}, ""text"": ""音响放高，音乐放低，这样就有氛围音效了"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-07 20:28:43
[11d4f52f44],[a576ac8a9d],"本兮《通过听觉入侵你》
通过听觉入侵你
 @QQ音乐 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-06T21:13:08,iPhone客户端,0,0,,0,,[3ef42060a2],2024-04-06 21:13:08
[f2f58911cc],[b5e1ff93e6],"抑郁症
 头痛病又犯了，希望我能立马死掉 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-05T18:55:23,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-04-05 18:55:23
