id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[f6dcc9347c],[fb88377c08],颠婆每分钟都在作妖#奇葩同事大赏!# ,[9b2d5b4678],[60f8dc342f],[9b2d5b4678],,2024-05-06T14:39:03,小米11 青春版,0,0,,0,奇葩同事大赏!,[9b2d5b4678],2024-05-06 14:39:03
[101c6f554a],[27df340feb],下课了太子妈过来非让我学生以后当空姐，说她儿子多帅多帅做空乘有编制，行行行你说吧，最后还得来一句“像王老师这种的就没编制你知道吧……”#奇葩同事大赏!# ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-06T14:22:04,小米11 青春版,0,1,"[{""id"": ""[3a722788a5]"", ""created_at"": ""6小时前"", ""source"": ""来自广东"", ""user"": {""id"": ""[631755a48f]"", ""screen_name"": ""[7357b6e03d]""}, ""text"": ""考一个去和她炫耀"", ""like_counts"": 0, ""liked"": false}]",0,奇葩同事大赏!,[9b2d5b4678],2024-05-06 14:22:04
[bc43875cd5],[5e599cb918],在你把错别字改过来之前别再指点我了，都是给机构老板打工的你到底在高贵些什么啊，这不是幼儿园，你不是园长，我不是你的员工，我不听你的就是我妈没教育好我，但是我妈至少把我教育到本科了。#奇葩同事大赏!# ,[9b2d5b4678],[0ecc61e83a],[9b2d5b4678],,2024-05-05T13:42:19,小米11 青春版,0,0,,0,奇葩同事大赏!,[9b2d5b4678],2024-05-05 13:42:19
[a07f30d4c1],[bb4a6c4774],"很喜欢无印良品和宜家的极简风
但是好贵好贵好贵好贵，石家庄还没有宜家
无印良品的小书立收纳我的小本子刚刚好，一片19！一片！一片！
一直梦想把家里大瓶的洗洁精洗发水沐浴露都装在透明的瓶子里，一看到价格，算了我还是让它们赤橙黄绿青蓝紫着吧……#无印良品##宜家# ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-05T12:50:58,小米11 青春版,0,0,,0,"无印良品,宜家",[9b2d5b4678],2024-05-05 12:50:58
[8a2e2c544a],[4284515c71],"立夏了？
时间好快啊～ ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-05T12:37:11,小米11 青春版,0,0,,0,,[9b2d5b4678],2024-05-05 12:37:11
[3440e48161],[16caac208f],"晚上坐在公交车上，突然就很难受很想哭很想吐
下午还好好的，午睡质量不错，还做了手账，看了会儿B站的课，看了会儿小说，都不费力
结果坐在公交车上突然想到我充满欺辱的童年，忍不住泪流满面。
抑郁症
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-04T20:08:51,抑郁症超话,0,3,"[{""id"": ""[e7fa7496b8]"", ""created_at"": ""昨天 11:36"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""回复@是晗大蕾吖:抱住不哭不哭"", ""reply_id"": 5030629965827981, ""reply_text"": ""回复@要长记性的木子:我真的哭死 [泪]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[0dd84f4772]"", ""created_at"": ""昨天 11:18"", ""source"": ""来自河北"", ""user"": {""id"": ""[08191ac8b4]"", ""screen_name"": ""[6cb6d99cd8]""}, ""text"": ""回复@要长记性的木子:我真的哭死 [泪]"", ""reply_id"": 5030426195005695, ""reply_text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[3dd8600fea]"", ""created_at"": ""05-04"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-04 20:08:51
[b6f1391b3c],[e7799cbb91],"爱死橙C和柚C
酸酸甜甜的果味美式什么时候才能忍住不喝啊
 ",[9b2d5b4678],[ba147c0638],[9b2d5b4678],,2024-05-04T16:00:14,小米11 青春版,0,0,,0,,[9b2d5b4678],2024-05-04 16:00:14
[293ae8dd48],[0c44cfb857],"好想买东西
一口气想买十几个帆布包…… ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-04T00:27:23,小米11 青春版,0,0,,0,,[9b2d5b4678],2024-05-04 00:27:23
[a3c1b49069],[5736ef5655],"怎么劝家里人远离xuan学诈骗
灵xiu”
“悟dao”
修X的东F人
删菌（同音）老师
她的荣耀家族才是家人，我们都是害她的，我们不信是因为修炼不够……
好好的生意不做，听直播，刷抖音，投💰聚会，拿各种乱七八糟的奖状，给“家人们”打电话各种晒聊天记录…… ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-03T23:54:50,小米11 青春版,0,0,,0,,[9b2d5b4678],2024-05-03 23:54:50
[0270893eba],[1e638b3462],一放假咱俩就开始整那死出儿@秋语清清言 ,[9b2d5b4678],[dc22e52945],[9b2d5b4678],,2024-05-01T23:26:19,小米11 青春版,3,5,"[{'id': 5029955916006609, 'created_at': '05-03', 'source': '来自河北', 'user': {'id': 2162369555, 'screen_name': '是晗大蕾吖'}, 'text': '回复@秋语清清言:一心二用叉出去', 'reply_id': 5029364146901280, 'reply_text': '体验了一把一心二用 [允悲]', 'like_counts': 0, 'liked': False}, {'id': 5029955877996978, 'created_at': '05-03', 'source': '来自河北', 'user': {'id': 2162369555, 'screen_name': '是晗大蕾吖'}, 'text': '回复@秋语清清言:我们秋牛哇牛哇', 'reply_id': 5029364053838340, 'reply_text': '边和你聊边拼第一个乐高 网页链接 ""[赢牛奶]""', 'like_counts': 0, 'liked': False}, {'id': 5029364146901280, 'created_at': '05-01', 'source': '来自广东', 'user': {'id': 6315890415, 'screen_name': '秋语清清言'}, 'text': '体验了一把一心二用 [允悲]', 'like_counts': 0, 'liked': False}, {'id': 5029364053838340, 'created_at': '05-01', 'source': '来自广东', 'user': {'id': 6315890415, 'screen_name': '秋语清清言'}, 'pic': {'pid': '006TqPCfly1hpaflfhiaaj32o03k0hdu', 'url': 'https://wx3.sinaimg.cn/orj360/006TqPCfly1hpaflfhiaaj32o03k0hdu.jpg', 'size': 'orj360', 'geo': {'width': 360, 'height': 479, 'croped': False}, 'large': {'size': 'large', 'url': 'https://wx3.sinaimg.cn/large/006TqPCfly1hpaflfhiaaj32o03k0hdu.jpg', 'geo': {'width': 2048, 'height': 2730, 'croped': False}}}, 'text': '边和你聊边拼第一个乐高 ""[赢牛奶]""', 'like_counts': 0, 'liked': False}, {'id': 5029363875844932, 'created_at': '05-01', 'source': '来自广东', 'user': {'id': 6315890415, 'screen_name': '秋语清清言'}, 'text': '哈哈哈哈哈哈哈有的聊', 'like_counts': 0, 'liked': False}]",0,,[7357b6e03d],2024-05-01 23:26:19
