id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[af63b511c8],[5253c6894e],"毫无预兆地梦到我爸了
他带着小学时的我在除夕夜骑摩托，绕着大街小巷寻找着买东西
顺便露了一手很高难度的玩摩托技术——好离谱的情节，但梦里的我玩得很开心
现在03：45，我醒了，可耳边好像还有摩托的轰隆声
七升，是个好梦 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-24T03:52:34,微博轻享版,0,0,,0,,[9b2d5b4678],2024-05-24 03:52:34
[5143ebbf57],[e0d256340e],"我拒绝解释
我早该这么做
我早厌倦了怎么解释都是徒劳 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-23T00:26:04,微博轻享版,0,0,,0,,[9b2d5b4678],2024-05-23 00:26:04
[ab481d8717],[4431dacdfd],"之前好不容易把身体调整到能称得上健康
现在却连洗个澡都要三番两次停下来休息好久
真是不知道要说些什么了，好无奈啊七升 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-20T15:16:06,微博轻享版,0,1,,0,,[9b2d5b4678],2024-05-20 15:16:06
[e707190e15],[b67e74b03d],这几天很烦躁 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-17T16:11:10,微博轻享版,0,0,,0,,[9b2d5b4678],2024-05-17 16:11:10
[2a540b765b],[4012b89650],耳膜像破了洞的气球，不断发出嘶嘶漏气音，很烦人 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-15T02:18:42,微博轻享版,0,0,,0,,[9b2d5b4678],2024-05-15 02:18:42
[390eb186ce],[a9be4190f4],我喜欢一本正经又有点冷的幽默方式 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-12T18:23:16,微博轻享版,0,0,,0,,[9b2d5b4678],2024-05-12 18:23:16
[0b868c8846],[016cd85738],"的确是烦的，嗯
我已经烦恼了经常如此烦恼
哈！嵌套 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-11T17:50:14,微博轻享版,0,0,,0,,[9b2d5b4678],2024-05-11 17:50:14
[3eef211c08],[d4977e6aac],"可真有意思，一个虚拟人物竟然和我有那么相似的过去
过去的记忆大多是平淡冷漠的，而不平淡的那部分，又大部分是负面的
那些记忆片段，经常让因为一个引头而想起它们的我，先是怔愣，然后则必须要冷笑出来
不冷笑，便好像难以压制心底泛滥的情绪
七升，今天我又想起什么垃圾了呢
我记起小时候吃饭时， ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-11T16:28:41,微博轻享版,0,0,,0,,[9b2d5b4678],2024-05-11 16:28:41
[ed5c7b9604],[983f379a4f],闭眼从22点躺到4点，困得呼吸憋闷，还是睡不着 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-11T04:02:35,微博轻享版,5,1,"[{""id"": ""[8ca07a6a12]"", ""created_at"": ""05-11"", ""source"": ""来自陕西"", ""user"": {""id"": ""[6862778095]"", ""screen_name"": ""[7b6f80791a]""}, ""text"": "" [抱抱]"", ""like_counts"": 5, ""liked"": false}]",0,,[9b2d5b4678],2024-05-11 04:02:35
[e475b42f4e],[f9b69cc193],"哦，七升，七升，可真是难受啊
胡乱抹了抹脸，拽拽鼻子
还是难受啊 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-06T13:33:54,微博轻享版,0,0,,0,,[9b2d5b4678],2024-05-06 13:33:54
[945abe8ff9],[61c499bbdf],我没有把头发掉完，很是欣慰 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-06T08:32:15,微博轻享版,0,0,,0,,[9b2d5b4678],2024-05-06 08:32:15
[4cbc2c5b4e],[a9c10e0ff1],"我终于将恶徒看完了
因为是顾云章的漫长人生，所以这「终于」二字用得是真情实感啊
但总觉得还差点什么，抓耳挠腮，几乎要痒到心里
结局很美好，美好得让我有点不适应
栖升，我大概和顾云章在这一点上是有一点相像的——对别人的好意感到不适，对好日子也十分不安
当我看到中途时，我就在想，等到了结 ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-06T07:51:54,微博轻享版,0,0,,0,,[9b2d5b4678],2024-05-06 07:51:54
[bd72b34144],[352bf8a821],"梦里我是只老虎
秘密被暴露，为了帮人递消息，被发现后，被用剪刀一刀一刀剪碎了手腕，身上也被刻了许多伤痕
清醒后，明明是个梦，一时间竟然也抬不起手，好像还在惨烈的疼 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-03T20:25:05,微博轻享版,0,0,,0,,[9b2d5b4678],2024-05-03 20:25:05
[eb03c1c0c6],[2ab6464242],我疑心我是被疼醒的 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-30T23:42:15,微博轻享版,0,1,"[{""id"": ""[d44bb5166d]"", ""created_at"": ""05-01"", ""source"": ""来自陕西"", ""user"": {""id"": ""[6862778095]"", ""screen_name"": ""[7b6f80791a]""}, ""text"": ""你是哪里疼呢？要不要紧？ [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-30 23:42:15
[19f191a240],[3531d3007a],"韩棠惨，又无辜又惨，被强迫还是一点害人的心思都没有，最后被踢断脖子
苏顺清惨，被威胁完不成任务就要死，孤注一掷出卖干爹还是死了
叶崇义惨，本身精神不稳定，被情人搞得家破人亡还一心贴着凶手
李纯惨，自小被当傻狗养，只学会了怎么伺候人，说丢就丢，说转手就转手
李继安，虽然心狠手辣，根本算 ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-30T15:41:10,微博轻享版,0,0,,0,,[9b2d5b4678],2024-04-30 15:41:10
[68647af6e0],[4cd998b4c5],我喜欢金小丰 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-30T14:48:51,微博轻享版,0,0,,0,,[9b2d5b4678],2024-04-30 14:48:51
[9b0bb77a5d],[b690300ca5],"每天五点多的时候，窗外的鸟群就会活跃起来，鸣声不断
高中时有段时间差不多也是这个时候起床，却没有注意过 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-30T05:53:43,微博轻享版,0,0,,0,,[9b2d5b4678],2024-04-30 05:53:43
[81bb998f56],[d2d42c890e],好难受 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-26T04:22:03,微博轻享版,0,0,,0,,[9b2d5b4678],2024-04-26 04:22:03
