id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[9dcc560880],[7d840b9842],"21
快乐！年年岁岁多欢愉，万事如意！天天开心！好好爱自己！ 
濮阳·龙湖音乐桥
 
朕的颖儿的微博视频
 ",[9b2d5b4678],[9b2d5b4678],[c823e48ab1],濮阳·龙湖音乐桥,2024-05-31T23:35:28,颖儿的Android,3,2,"[{""id"": ""[1386a02de8]"", ""created_at"": ""10小时前"", ""source"": """", ""user"": {""id"": ""[a7db342ae8]"", ""screen_name"": ""[d6c40be2f2]""}, ""text"": ""恭喜，您的微博获得濮阳同城微博榜排名第17名！进榜单的本地微博都在这里，点击查看&gt;&gt;网页链接"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[6c7d688c7d]"", ""created_at"": ""昨天 01:40"", ""source"": ""来自河北"", ""user"": {""id"": ""[f7574f9720]"", ""screen_name"": ""[2393730f5f]""}, ""text"": ""生日快乐🎂"", ""like_counts"": 1, ""liked"": false}]",0,,[9b2d5b4678],2024-05-31 23:35:28
[b943e7d23f],[4b0429d3e8],,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-31T01:28:49,生日动态,2,0,,0,,[9b2d5b4678],2024-05-31 01:28:49
[0d7f0228fc],[21101c9656],"抑郁症
对原生家庭彻底绝望了
连续半个多月没睡过一次好觉了
没钱买药，家里不支持，随便给我决定工作学校，躯体化折磨的我要死，身上哪哪都痛，先天失聪，就连我弟都是拿着我的诊断书出生的，二次只差一点点上岸，我实在不知道未来的路怎么走了，年纪轻轻，还有两天21岁生日，父母断掉资金来源 ...
全文",[9b2d5b4678],[88b7a42750],[9b2d5b4678],,2024-05-27T09:12:43,抑郁症超话,6,10,"[{""id"": ""[67bd8b833c]"", ""created_at"": ""05-31"", ""source"": ""来自河南"", ""user"": {""id"": ""[313aa97194]"", ""screen_name"": ""[6e6cd40845]""}, ""text"": ""回复@图子图图:已经在努力啦，一边努力一边治愈自己！希望你也是哦 [抱抱]"", ""reply_id"": 5039987692668175, ""reply_text"": ""远离原生家庭吧  努力赚钱  只要物质和精神不依赖任何人  相信一定可以远离任何自己讨厌的人。会很累 加油加油 ！希望你会变得越来越好"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[ff9027f7ec]"", ""created_at"": ""05-31"", ""source"": ""来自湖北"", ""user"": {""id"": ""[bcef150b0d]"", ""screen_name"": ""[15ab4a24c7]""}, ""text"": ""我也好痛好累 [失望]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[96dc758b61]"", ""created_at"": ""05-31"", ""source"": ""来自河北"", ""user"": {""id"": ""[f7574f9720]"", ""screen_name"": ""[2393730f5f]""}, ""text"": ""远离原生家庭吧  努力赚钱  只要物质和精神不依赖任何人  相信一定可以远离任何自己讨厌的人。会很累 加油加油 ！希望你会变得越来越好"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[e6ea57a7c3]"", ""created_at"": ""05-27"", ""source"": ""来自河南"", ""user"": {""id"": ""[313aa97194]"", ""screen_name"": ""[6e6cd40845]""}, ""text"": ""回复@1016次心动:抱抱抱 [抱抱]"", ""reply_id"": 5038571671522657, ""reply_text"": ""抱抱 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[55ec8264d5]"", ""created_at"": ""05-27"", ""source"": ""来自河南"", ""user"": {""id"": ""[313aa97194]"", ""screen_name"": ""[6e6cd40845]""}, ""text"": ""回复@盛夏来冰镇酷盖ya: [泪]"", ""reply_id"": 5038582684978002, ""reply_text"": ""这么好的你为什么上天给你这样的配置……老天爷你"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[487c2c15fc]"", ""created_at"": ""05-27"", ""source"": ""来自河南"", ""user"": {""id"": ""[313aa97194]"", ""screen_name"": ""[6e6cd40845]""}, ""text"": ""刚刚在路上犯低血糖，骑自行车直接骑到绿化带上，真社死，快晕过去了，简直就是凭意志力骑到家 [微笑]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[66aed2d089]"", ""created_at"": ""05-27"", ""source"": ""来自四川"", ""user"": {""id"": ""[1a19d34079]"", ""screen_name"": ""[fb893a22a4]""}, ""text"": ""这么好的你为什么上天给你这样的配置……老天爷你"", ""like_counts"": 1, ""liked"": false}, {""id"": ""[127d0c119c]"", ""created_at"": ""05-27"", ""source"": ""来自河南"", ""user"": {""id"": ""[313aa97194]"", ""screen_name"": ""[6e6cd40845]""}, ""text"": ""有没有人可以给我指一条明路啊"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[d15d3145dd]"", ""created_at"": ""05-27"", ""source"": ""来自山东"", ""user"": {""id"": ""[1863c3a781]"", ""screen_name"": ""[6c1d957d8a]""}, ""text"": ""抱抱 [抱抱]"", ""like_counts"": 1, ""liked"": false}, {""id"": ""[5fca57ce3f]"", ""created_at"": ""05-27"", ""source"": ""来自河南"", ""user"": {""id"": ""[313aa97194]"", ""screen_name"": ""[6e6cd40845]""}, ""text"": ""别再给我讲什么母慈子孝的故事了，我见一个踏马的怼一个，我现在的不幸可以说是几乎都是我的父母造成的"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-27 09:12:43
[35abbc4ac7],[650c8004c8],"抑郁症
昼夜颠倒的作息真踏马想到睡点的时候有个人打晕我让我作息正常一点儿 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-24T15:57:58,抑郁症超话,1,2,"[{""id"": ""[95e3da37e3]"", ""created_at"": ""05-24"", ""source"": ""来自河南"", ""user"": {""id"": ""[313aa97194]"", ""screen_name"": ""[6e6cd40845]""}, ""text"": ""回复@要长记性的木子:抱抱木子"", ""reply_id"": 5037591096984075, ""reply_text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[e7f3bbb2dd]"", ""created_at"": ""05-24"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-24 15:57:58
[9940b34115],[218947e8a7],"抑郁症
 
《小王子》观感
 芜湖，今天看了《小王子》感触颇深～ ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-20T22:03:53,抑郁症超话,2,0,,0,,[9b2d5b4678],2024-05-20 22:03:53
[82aac70072],[ff78ed6eb3],"成毅
路人粉，成毅真的是一个很好很好的哥哥！更期待《赴山海》了，简直就是内娱闯荡江湖第一人啊，非淇莫属！ ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-19T17:55:10,成毅超话,3,0,,0,,[9b2d5b4678],2024-05-19 17:55:10
[8e3f152ea6],[aac1b395c8],"成毅#成毅莲花楼# #成毅0517生日快乐 毅淇同行# #成毅看角色混剪看哽咽了# 关于我在成毅生日这天看《莲花楼》
成毅一路走来真的很不容易，靠自己一步步从小配角到主角再到大男主，我从青云志开始关注成毅，看《青云志》的时候我就发觉成毅演技很自然，我看好这个哥哥 ...
全文",[9b2d5b4678],[31dbf5e392],[9b2d5b4678],,2024-05-18T16:11:57,成毅超话,2,0,,0,"成毅莲花楼,成毅0517生日快乐 毅淇同行,成毅看角色混剪看哽咽了",[9b2d5b4678],2024-05-18 16:11:57
[5993069fc8],[722df8e981],"抑郁症
生在河南我真的感到悲哀啊，一个三支一扶岗位4000人争取，冷门的西部计划，刚刚和校团委打了电话问结果还是好多人还要筛选还要考试，笑死，能不能给河南人一个出路…… ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-13T15:10:09,抑郁症超话,1,1,"[{""id"": ""[582c7d3e0e]"", ""created_at"": ""05-13"", ""source"": ""来自湖南"", ""user"": {""id"": ""[c1725abde2]"", ""screen_name"": ""[6ba10df24e]""}, ""text"": ""真的 [泪]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-13 15:10:09
[89f1169a02],[9144d82bca],"抑郁症
突然对时间没有概念了，我仿佛身处一个没有时间的世界里，对于兔兔的死亡我更认为这是一场梦，而现在回到了现实，我合理的怀疑我又人格解离了。。。
    双相，你到底还有多少惊喜等着我？难不成让我亲眼目睹亲人的死亡我也不会从梦里走出来吗？
      我感觉到我做的事情都不是我做的， ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-13T03:12:35,抑郁症超话,1,2,"[{""id"": ""[28c749e53b]"", ""created_at"": ""05-16"", ""source"": ""来自河南"", ""user"": {""id"": ""[313aa97194]"", ""screen_name"": ""[6e6cd40845]""}, ""text"": ""回复@啵赞幸福守护者:嗯嗯好"", ""reply_id"": 5034469516116168, ""reply_text"": ""去治疗 然后把任何事都看轻松一点 一定会好的 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[b8a8da68d2]"", ""created_at"": ""05-16"", ""source"": ""来自北京"", ""user"": {""id"": ""[d827d7b429]"", ""screen_name"": ""[7f30fd4c07]""}, ""text"": ""去治疗 然后把任何事都看轻松一点 一定会好的 [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-13 03:12:35
[1265525ca3],[df89406d8e],"博君一肖
咱也算是穿上了～耶啵代言的真维斯，衣服上印着赞赞的兔叽
很满意～ ",[9b2d5b4678],[a3bc5565bd],[9b2d5b4678],,2024-05-07T22:23:29,博君一肖超话,5,2,"[{'id': 5031524414522055, 'created_at': '05-07', 'source': '来自河南', 'user': {'id': 6116541408, 'screen_name': '朕的颖儿'}, 'text': '回复@零若星星相依然: [舔屏]', 'reply_id': 5031522166638421, 'reply_text': ' ""[送花花]""', 'like_counts': 0, 'liked': False}, {'id': 5031522166638421, 'created_at': '05-07', 'source': '来自河北', 'user': {'id': 7898018644, 'screen_name': '零若星星相依然'}, 'text': ' ""[送花花]""', 'like_counts': 0, 'liked': False}]",0,,[9b2d5b4678],2024-05-07 22:23:29
