id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[ca97d00580],[7abc75402c],"我想玩第五人格了
李森泽 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-16T22:23:22,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-05-16 22:23:22
[a486c23e9e],[3617fdeb9b],"抑郁症
 本来今天想拍一个手势舞
结果学着学着就开始哭，想吐，我是什么很贱的人吗 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-14T12:43:51,抑郁症超话,0,2,"[{""id"": ""[c33a39aac5]"", ""created_at"": ""05-14"", ""source"": ""来自广西"", ""user"": {""id"": ""[7bf690e642]"", ""screen_name"": ""[d9f055a30d]""}, ""text"": ""加油 [抱一抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[e745a9aaf6]"", ""created_at"": ""05-14"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""抱住不是的"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-14 12:43:51
[8058108ac2],[e592afd140],体考加油 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-14T06:00:32,iPhone客户端,2,4,"[{""id"": ""[b4d6b43e7b]"", ""created_at"": ""05-14"", ""source"": ""来自湖南"", ""user"": {""id"": ""[0b5bd7f9d2]"", ""screen_name"": ""[517502b66e]""}, ""text"": ""加油加油 [抱抱]"", ""like_counts"": 1, ""liked"": false}, {""id"": ""[7d0e8c4dcf]"", ""created_at"": ""05-14"", ""source"": ""来自河北"", ""user"": {""id"": ""[b10d1c0ca5]"", ""screen_name"": ""[6f590906b6]""}, ""text"": ""回复@小樱嘤嘤嘤啊:考完啦，篮球没满，但是跳绳是荣誉成绩 [打call]"", ""reply_id"": 5033849350263101, ""reply_text"": ""加油 [打call]"", ""like_counts"": 1, ""liked"": false}, {""id"": ""[1fb40384f9]"", ""created_at"": ""05-14"", ""source"": ""来自河北"", ""user"": {""id"": ""[c151eebd06]"", ""screen_name"": ""[e84728a880]""}, ""text"": ""加油 [打call]"", ""like_counts"": 4, ""liked"": false}, {""id"": ""[0a24561c7e]"", ""created_at"": ""05-14"", ""source"": ""来自北京"", ""user"": {""id"": ""[d0cccf2cc6]"", ""screen_name"": ""[b383d2765d]""}, ""text"": ""加油鸭，体育健儿！ [鼓掌]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-14 06:00:32
[e65ce2a610],[2986db1d89],潇潇雨声迟#恭喜潇潇雨声迟超话阅读量破600万# ,[9b2d5b4678],[056e00cd9a],[9b2d5b4678],,2024-05-13T21:49:49,潇潇雨声迟超话,0,0,,0,恭喜潇潇雨声迟超话阅读量破600万,[9b2d5b4678],2024-05-13 21:49:49
[b36bfdb45c],[460ee1a248],我想玩第五人格 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-12T22:43:58,iPhone客户端,0,1,"[{""id"": ""[d2fa88cdb7]"", ""created_at"": ""05-12"", ""source"": ""来自河北"", ""user"": {""id"": ""[b10d1c0ca5]"", ""screen_name"": ""[6f590906b6]""}, ""text"": ""不会玩不敢玩 [悲伤]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-12 22:43:58
[9fc381ff19],[897e7eba57],"抑郁症
 好不容易最近不那么想xnq 了，用了4年多的时间，结果，现在又遇到一个lsz ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-12T22:40:48,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-05-12 22:40:48
[841f15e0e1],[a06319383a],"暗恋
刚一开始认识，是和wcj 还有hzm 一起出去玩，wcj 打语音知道的你，那时还说你是男同哈哈，后来找wcj加你微信，他还不推给我呵呵，过了两天吧，我说想玩真心话大冒险，拉了cyf 和jhy ，后来拉的wcj 玩了两局他把你拉群里了，然后加的你的微信，说实话你的头像真的好丑……呃可能当时玩游戏 ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-10T01:32:40,暗恋超话,3,3,"[{""id"": ""[696f969995]"", ""created_at"": ""05-12"", ""source"": ""来自贵州"", ""user"": {""id"": ""[05949a74a6]"", ""screen_name"": ""[2b1fabce4d]""}, ""text"": ""回复@Karina_1ove: [抱抱]"", ""reply_id"": 5032460821202001, ""reply_text"": ""回复@贺贺头大了:应该知道 [悲伤]"", ""like_counts"": 6, ""liked"": false}, {""id"": ""[4cc8532528]"", ""created_at"": ""05-10"", ""source"": ""来自河北"", ""user"": {""id"": ""[b10d1c0ca5]"", ""screen_name"": ""[6f590906b6]""}, ""text"": ""回复@贺贺头大了:应该知道 [悲伤]"", ""reply_id"": 5032445352612013, ""reply_text"": ""他知道你喜欢他嘛"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[3476ecf0e2]"", ""created_at"": ""05-10"", ""source"": ""来自贵州"", ""user"": {""id"": ""[05949a74a6]"", ""screen_name"": ""[2b1fabce4d]""}, ""text"": ""他知道你喜欢他嘛"", ""like_counts"": 1, ""liked"": false}]",0,,[9b2d5b4678],2024-05-10 01:32:40
[ce89550811],[f3580e83b7],"抑郁症
 因为我父亲，我妈过的也不幸福……她有能力去过很好的人生，感觉我贱贱的，但还是希望他们离婚……这样我妹妹就能开心长大了吧，我也不用每天都挨骂，难受，说不定就自由一点， ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-06T23:28:02,抑郁症超话,1,1,"[{""id"": ""[1134a38a61]"", ""created_at"": ""05-06"", ""source"": ""来自四川"", ""user"": {""id"": ""[0c61b685a5]"", ""screen_name"": ""[4f01fdc50b]""}, ""text"": ""我从小就想要他们离婚"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-06 23:28:02
[a68bce863f],[f1e45306b8],"暗恋
 那天我迷路到你小区楼下了，要是能见面就好了，给你吃的你也拒绝了害 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-06T12:19:08,暗恋超话,0,0,,0,,[9b2d5b4678],2024-05-06 12:19:08
[bd893066cc],[c40290d172],"抑郁症
 我真的很久就在期待五一了，父母不让我出去，但是我就想出去玩，他们五一不在家，我电车也充好电了，但是真的没人陪我出去啊啊啊，真的没什么朋友，朋友也出不来，好不容易自由一天，结果又要在床上躺着过了，从明天开始每天都是课，一直刷题，好烦啊，我好想哭 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-01T11:35:38,抑郁症超话,0,4,"[{""id"": ""[c41a401091]"", ""created_at"": ""05-01"", ""source"": ""来自广西"", ""user"": {""id"": ""[7bf690e642]"", ""screen_name"": ""[d9f055a30d]""}, ""text"": ""也可以自己一个人逛逛 [抱一抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[e3c92c4d38]"", ""created_at"": ""05-01"", ""source"": ""来自内蒙古"", ""user"": {""id"": ""[40ea86ea16]"", ""screen_name"": ""[6ab3511423]""}, ""text"": ""抱抱你！强烈推荐姐妹们去看知乎风铃再行老师，我也是一枚受益者，他呢一位觉醒大爱老师，我就是一个自私的人原本不想分享，但是这么多姐妹值得爱配的上爱，本该在世间快乐幸福 身心灵疗愈！ 如果你去看文章我建议你从下往上看，你会受益！！ 知乎软件风铃再行这里是温暖的 [打call]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[fa498d9055]"", ""created_at"": ""05-01"", ""source"": ""来自安徽"", ""user"": {""id"": ""[60fa5bcd4b]"", ""screen_name"": ""[154aa3f39f]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[0bcb9f40de]"", ""created_at"": ""05-01"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-01 11:35:38
