id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[77b22438dc],[1815c82e51],"焦虑症
早醒，肚子还是隐隐作痛，还有点想吐，头晕，左肩疼，人快要崩溃了
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-05T09:38:48,焦虑症超话,0,2,"[{""id"": ""[79fb4be87a]"", ""created_at"": ""04-05"", ""source"": ""来自广东"", ""user"": {""id"": ""[9dfd9d015a]"", ""screen_name"": ""[6fef4caa75]""}, ""text"": ""回复@一颗海盐_Heine:没有宝宝，我应该是4月中旬才会来 [单身狗]"", ""reply_id"": 5019747009433242, ""reply_text"": ""是不是快来姨妈了"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[c517d4fa33]"", ""created_at"": ""04-05"", ""source"": ""来自上海"", ""user"": {""id"": ""[3f2152cbb0]"", ""screen_name"": ""[a6ef9a1d99]""}, ""text"": ""是不是快来姨妈了"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-05 09:38:48
[1df7fddc42],[81639cc127],"焦虑症
不舒服不舒服肚子又疼了，根本不敢动，眼泪一直往下掉，害怕
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-05T00:28:05,焦虑症超话,1,6,"[{'id': 5019619453042977, 'created_at': '04-05', 'source': '来自广东', 'user': {'id': 6227184554, 'screen_name': '逐梦不负青春'}, 'text': '回复@3Lingggg-:宝宝可以回关一下嘛留言额度用完了 [抱抱]', 'reply_id': 5019615808455010, 'reply_text': '回复@逐梦不负青春:我是恐精分超级害怕 ""[苦涩]""', 'like_counts': 0, 'liked': False}, {'id': 5019617955414831, 'created_at': '04-05', 'source': '来自广东', 'user': {'id': 6227184554, 'screen_name': '逐梦不负青春'}, 'text': '回复@3Lingggg-:我们一起加油 [抱抱]', 'reply_id': 5019615808455010, 'reply_text': '回复@逐梦不负青春:我是恐精分超级害怕 ""[苦涩]""', 'like_counts': 0, 'liked': False}, {'id': 5019615808455010, 'created_at': '04-05', 'source': '来自江西', 'user': {'id': 5683529581, 'screen_name': '3Lingggg-'}, 'text': '回复@逐梦不负青春:我是恐精分超级害怕 ""[苦涩]""', 'reply_id': 5019615375656112, 'reply_text': '回复@3Lingggg-:宝宝也是肚子痛这些吗？欸刚才忍不住发泄大哭一阵子 [允悲]', 'like_counts': 0, 'liked': False}, {'id': 5019615375656112, 'created_at': '04-05', 'source': '来自广东', 'user': {'id': 6227184554, 'screen_name': '逐梦不负青春'}, 'text': '回复@3Lingggg-:宝宝也是肚子痛这些吗？欸刚才忍不住发泄大哭一阵子 [允悲]', 'reply_id': 5019615136056681, 'reply_text': '回复@逐梦不负青春:我也是 ""[苦涩]""', 'like_counts': 0, 'liked': False}, {'id': 5019615136056681, 'created_at': '04-05', 'source': '来自江西', 'user': {'id': 5683529581, 'screen_name': '3Lingggg-'}, 'text': '回复@逐梦不负青春:我也是 ""[苦涩]""', 'reply_id': 5019596799084087, 'reply_text': '好难过好害怕', 'like_counts': 0, 'liked': False}, {'id': 5019596799084087, 'created_at': '04-05', 'source': '来自广东', 'user': {'id': 6227184554, 'screen_name': '逐梦不负青春'}, 'text': '好难过好害怕', 'like_counts': 0, 'liked': False}]",0,,[9b2d5b4678],2024-04-05 00:28:05
[fd5aa3a5a9],[86dba68c2e],"抑郁症
我的绝大多数痛苦来自身体的不适
，今天早上肚子疼就醒了，拉不出来，吃了整肠丸睡了一觉起来肚子还是不舒服，胀气隐隐作痛，现在感觉头特别晕又疼，想吐，没力气
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-04T18:44:48,抑郁症超话,0,1,"[{""id"": ""[9d5150e1f0]"", ""created_at"": ""04-04"", ""source"": ""来自山东"", ""user"": {""id"": ""[69ddbd7d55]"", ""screen_name"": ""[ec3fdc72dc]""}, ""text"": "" [抱一抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-04 18:44:48
[25c63ee463],[e7e7b953c9],"焦虑症
欸，肚子疼一直响，头晕头疼乏力，喉咙也有梗塞感，无助
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-04T18:16:02,焦虑症超话,0,0,,0,,[9b2d5b4678],2024-04-04 18:16:02
[a0f6554a7b],[58772b1fca],"焦虑症
一大早肚子疼醒，上厕所也拉不出，头晕晕的
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-04T06:55:05,焦虑症超话,0,6,"[{'id': 5019526997740673, 'created_at': '04-04', 'source': '来自广东', 'user': {'id': 6227184554, 'screen_name': '逐梦不负青春'}, 'text': '回复@Hahhhnxse:不是 有点全身随机的', 'reply_id': 5019524548004906, 'reply_text': '回复@逐梦不负青春:肉跳是固定位置的吗', 'like_counts': 0, 'liked': False}, {'id': 5019524548004906, 'created_at': '04-04', 'source': '来自福建', 'user': {'id': 5450509486, 'screen_name': 'Hahhhnxse'}, 'text': '回复@逐梦不负青春:肉跳是固定位置的吗', 'reply_id': 5019524371317984, 'reply_text': '回复@Hahhhnxse:这段时间肉跳特别频繁，然后感觉左边没力气，今天又肚子疼头晕 [单身狗]', 'like_counts': 0, 'liked': False}, {'id': 5019524371317984, 'created_at': '04-04', 'source': '来自广东', 'user': {'id': 6227184554, 'screen_name': '逐梦不负青春'}, 'text': '回复@Hahhhnxse:这段时间肉跳特别频繁，然后感觉左边没力气，今天又肚子疼头晕 [单身狗]', 'reply_id': 5019518482517297, 'reply_text': '回复@逐梦不负青春:你的症状是怎么样的呀 也是时不时全身游走跳动吗 ""[苦涩]""', 'like_counts': 0, 'liked': False}, {'id': 5019518482517297, 'created_at': '04-04', 'source': '来自福建', 'user': {'id': 5450509486, 'screen_name': 'Hahhhnxse'}, 'text': '回复@逐梦不负青春:你的症状是怎么样的呀 也是时不时全身游走跳动吗 ""[苦涩]""', 'reply_id': 5019416047913991, 'reply_text': '回复@Hahhhnxse:查了，我挂的神经内科医生的号，他问我啥的，然后他觉得我还是焦虑症的原因，说jdz不是这样的，然后开了一个做左上肢的肌电图说我让我放心，然后我肌电图没有任何问题，（但我的症状还是有） [抱抱]', 'like_counts': 0, 'liked': False}, {'id': 5019416047913991, 'created_at': '04-04', 'source': '来自广东', 'user': {'id': 6227184554, 'screen_name': '逐梦不负青春'}, 'text': '回复@Hahhhnxse:查了，我挂的神经内科医生的号，他问我啥的，然后他觉得我还是焦虑症的原因，说jdz不是这样的，然后开了一个做左上肢的肌电图说我让我放心，然后我肌电图没有任何问题，（但我的症状还是有） [抱抱]', 'reply_id': 5019396372433236, 'reply_text': '姐妹你去检查了吗肌电图 ""[苦涩]""', 'like_counts': 0, 'liked': False}, {'id': 5019396372433236, 'created_at': '04-04', 'source': '来自福建', 'user': {'id': 5450509486, 'screen_name': 'Hahhhnxse'}, 'text': '姐妹你去检查了吗肌电图 ""[苦涩]""', 'like_counts': 0, 'liked': False}]",0,,[9b2d5b4678],2024-04-04 06:55:05
[c16bd181e1],[eeb16c8e5b],"焦虑症
真的好恐渐冻症！
现在又在搜，心跳快要吓出来了，最近总是肉跳很厉害，感觉左边的躯体特别奇怪，左边手指好像没什么力气左边脚趾也觉得很奇怪，这几天还头晕无力
  真的好怕啊朋友们
，我已经拍过骨科x光了，还照过腰椎核磁共振都没啥 ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-30T21:45:17,焦虑症超话,0,10,"[{""id"": ""[ba5e684256]"", ""created_at"": ""04-16"", ""source"": ""来自广东"", ""user"": {""id"": ""[154e2b5226]"", ""screen_name"": ""[3fcb842d2a]""}, ""text"": ""回复 @麦子很可奈:有好几种抗焦虑抑郁的药 我吃草酸没啥副作用 看个人体质 最主要的是早睡早起 别熬夜 多运动 多出去走走晒太阳"", ""reply_id"": 5023863925113459, ""reply_text"": ""回复@1wx_ing:都吃的啥药"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[bd828b9f20]"", ""created_at"": ""04-16"", ""source"": ""来自浙江"", ""user"": {""id"": ""[322b9c064b]"", ""screen_name"": ""[c03f27182a]""}, ""text"": ""回复@1wx_ing:都吃的啥药"", ""reply_id"": 5017756569699829, ""reply_text"": ""按时吃药 两个月就好了 别想那么多"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[3a8f852577]"", ""created_at"": ""04-01"", ""source"": ""来自广东"", ""user"": {""id"": ""[66a64b69fd]"", ""screen_name"": ""[3be1d5eae0]""}, ""text"": ""去了那个医院 [泪]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[0d37dd3bf4]"", ""created_at"": ""03-31"", ""source"": ""来自广东"", ""user"": {""id"": ""[9dfd9d015a]"", ""screen_name"": ""[6fef4caa75]""}, ""text"": ""回复@捡个小猫咪:好的宝宝 我努力调节 [单身狗]"", ""reply_id"": 5017807534948386, ""reply_text"": ""我也恐过，去医院被医生骂回来以后又好了"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[3de3340cf1]"", ""created_at"": ""03-31"", ""source"": ""来自广东"", ""user"": {""id"": ""[9dfd9d015a]"", ""screen_name"": ""[6fef4caa75]""}, ""text"": ""回复@1wx_ing:好的谢谢 我努力调解一下 [单身狗]"", ""reply_id"": 5017756569699829, ""reply_text"": ""按时吃药 两个月就好了 别想那么多"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[7ebc59a93c]"", ""created_at"": ""03-31"", ""source"": ""来自广东"", ""user"": {""id"": ""[006b29c8ec]"", ""screen_name"": ""[2ba0928a0a]""}, ""text"": ""我也恐过，去医院被医生骂回来以后又好了"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[064fdd8354]"", ""created_at"": ""03-30"", ""source"": ""来自广东"", ""user"": {""id"": ""[154e2b5226]"", ""screen_name"": ""[3fcb842d2a]""}, ""text"": ""按时吃药 两个月就好了 别想那么多"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[80aebd4fe6]"", ""created_at"": ""03-30"", ""source"": ""来自广东"", ""user"": {""id"": ""[9dfd9d015a]"", ""screen_name"": ""[6fef4caa75]""}, ""text"": ""回复@下水道咪:欸好的宝宝，我努力调解一下，我想去做一个肌电图但是又不敢 [单身狗]"", ""reply_id"": 5017742730068568, ""reply_text"": ""恐慌的时候吃点镇定剂，我是右边奇怪也拍了片子CT也没问题，可能多半是躯体化神经问题"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[1247ba90c4]"", ""created_at"": ""03-30"", ""source"": ""来自江苏"", ""user"": {""id"": ""[b1929e5e13]"", ""screen_name"": ""[3bf573bd79]""}, ""text"": ""恐慌的时候吃点镇定剂，我是右边奇怪也拍了片子CT也没问题，可能多半是躯体化神经问题"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[3b9bd5851a]"", ""created_at"": ""03-30"", ""source"": ""来自广东"", ""user"": {""id"": ""[9dfd9d015a]"", ""screen_name"": ""[6fef4caa75]""}, ""text"": ""我的腿还瘦了很多，腿老是疼 [泪]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-03-30 21:45:17
[4167c010a2],[005c9624b7],"焦虑症
我好怕自己脑梗，我从大概四五天前感觉自己嘴有点歪，然后面部有点僵硬，（曾经有过面瘫经历），然后我这几天都是心慌乏力手脚酸痛，我还很犯困，我周一的时候去看了一下医生，他说我看起来没有面瘫，可我真的好怕好怕
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-29T01:02:29,焦虑症超话,0,0,,0,,[9b2d5b4678],2024-03-29 01:02:29
[677cd27d46],[326defdef0],"焦虑症
头晕头疼拉肚子肚子疼乏力浑身都疼！！！！
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-28T20:31:21,焦虑症超话,0,0,,0,,[9b2d5b4678],2024-03-28 20:31:21
[7d048e09ca],[bfbb271f26],"焦虑症
昨晚睡前发现自己的嘴巴有点歪了不对称，然后之前有过面瘫经历，自己昨晚又很怕是渐冻症这些的，没有吃安眠药躺床上为了分散注意力报复性的玩手机然后到了五六点才开始睡，睡不着，心跳很快直到七点多才睡着，而且我本人大腿瘦了很多，反正今日起来感觉又瘦了，好恐病
 ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-23T15:45:52,焦虑症超话,1,4,"[{""id"": ""[2ff4931afd]"", ""created_at"": ""04-01"", ""source"": ""来自北京"", ""user"": {""id"": ""[5077aba95d]"", ""screen_name"": ""[a007650877]""}, ""text"": ""我就是！咋整"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[eb97d0e4a5]"", ""created_at"": ""03-23"", ""source"": ""来自广东"", ""user"": {""id"": ""[9dfd9d015a]"", ""screen_name"": ""[6fef4caa75]""}, ""text"": ""回复@三月的小乖:好谢谢你宝 那我准备预约一个体检 [泪]"", ""reply_id"": 5015182415502272, ""reply_text"": ""做个体检，安心一些。疑病确实难受，要不怕死才能跳出这个死循环。"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[0782301e51]"", ""created_at"": ""03-23"", ""source"": ""来自湖北"", ""user"": {""id"": ""[0ba8308bc5]"", ""screen_name"": ""[1d671c97c5]""}, ""text"": ""做个体检，安心一些。疑病确实难受，要不怕死才能跳出这个死循环。"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[9c1f83efac]"", ""created_at"": ""03-23"", ""source"": ""来自广东"", ""user"": {""id"": ""[9dfd9d015a]"", ""screen_name"": ""[6fef4caa75]""}, ""text"": ""真的好无助 [泪]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-03-23 15:45:52
[3864d48143],[af1651d13e],"焦虑症
感觉好累啊最近，头晕肚子疼睡不好浑身疼，好想回家休息，想过休学但是我又不敢休学，朋友们可以提一下建议吗？
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-19T10:55:21,焦虑症超话,8,2,"[{'id': 5014726796640362, 'created_at': '03-22', 'source': '来自广东', 'user': {'id': 6227184554, 'screen_name': '逐梦不负青春'}, 'text': '回复@BIez6:谢谢你 ""[苦涩]""', 'reply_id': 5013593173000736, 'reply_text': '生命只有一次 自己的感受才是最重要的 [抱抱]', 'like_counts': 0, 'liked': False}, {'id': 5013593173000736, 'created_at': '03-19', 'source': '来自广东', 'user': {'id': 7026813551, 'screen_name': 'BIez6'}, 'text': '生命只有一次 自己的感受才是最重要的 [抱抱]', 'like_counts': 8, 'liked': False}]",0,,[9b2d5b4678],2024-03-19 10:55:21
