id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[3b553f2822],[ed70b0ca3a],我要😭了 长得漂亮有错吗？这都会被小学同学议论。 ,[9b2d5b4678],[0eff33f169],[9b2d5b4678],,2024-05-31T02:33:24,微博小程序,0,0,,0,,[9b2d5b4678],2024-05-31 02:33:24
[03de23f6cf],[3b056a503a],吃螺蛳粉吗，宝宝？ ,[9b2d5b4678],[174a203f47],[d4aca1711d],,2024-05-31T00:58:39,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-05-31 00:58:39
[80ca9d9e39],[a830324eba],好饿啊 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-31T00:46:30,前置双摄vivo X9,0,0,,0,,[9b2d5b4678],2024-05-31 00:46:30
[605af5ce91],[314978022a],这次没关系，下次别这样了，下次要是还这样，下次也没关系，唉。 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-31T00:46:20,前置双摄vivo X9,0,0,,0,,[9b2d5b4678],2024-05-31 00:46:20
[895ba220c1],[7ecf70c4fc],你很缺爱很孤‮很独‬内向朋友很少 所以你选‮了择‬网恋 你珍惜对待‮一每‬个在你身‮的边‬人 后来你发现 他们‮是只‬一时兴起 他们都食言‮离都‬开了‮下剩‬的只有那‮句一‬对不起 和‮在呆‬原地不知所措‮你的‬ ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-31T00:35:42,微博小程序,0,0,,0,,[9b2d5b4678],2024-05-31 00:35:42
[3e1e1df13d],[c2c8bce80e],，原来这叫自征 ,[9b2d5b4678],[ec21e42772],[9b2d5b4678],,2024-05-30T22:56:56,微博小程序,0,0,,0,,[9b2d5b4678],2024-05-30 22:56:56
[2bdc641258],[cbc201bcf3],"原创二传美化
网页链接
捞捞我恬妈私定壁纸！ ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-29T23:56:18,原创二传美化超话,1,0,,0,,[9b2d5b4678],2024-05-29 23:56:18
[ce9e55fe3c],[5e66ab556e],她又瘦了好多 腿上的疤又增了几条 还记得那时候我紧紧抱着她瘦弱的身体用力的似乎要将她融入我的灵魂 坚硬的骨头硌着我的心脏我无法感同身受她的痛苦 但是我爱她 #宅# ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-29T23:53:59,前置双摄vivo X9,0,0,,0,宅,[9b2d5b4678],2024-05-29 23:53:59
[f2a765b097],[69b9a262b1],"原创二传美化
捞捞sd恬妈礼拿 ③传🐭4000➕ ",[9b2d5b4678],[6bf15b3d6f],[9b2d5b4678],,2024-05-29T23:48:14,原创二传美化超话,0,0,,0,,[9b2d5b4678],2024-05-29 23:48:14
[1c77ae9082],[c641fa055a],我的性格太烂 所以这些路只能自己走 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-28T23:41:16,前置双摄vivo X9,0,0,,0,,[9b2d5b4678],2024-05-28 23:41:16
[2fc1468737],[c63a7d441e],我本就是破碎的 不想靠近伤害任何人 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-28T23:41:09,前置双摄vivo X9,0,0,,0,,[9b2d5b4678],2024-05-28 23:41:09
[d5c538abe3],[b342c46b6e],你轻轻抚摸我胳膊的疤痕 我认为丑陋的存在 你却说心疼 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-28T23:41:01,前置双摄vivo X9,0,0,,0,,[9b2d5b4678],2024-05-28 23:41:01
[5970d5d8e9],[6b32c1d919],"晚上
她拿起一根烟
你以为她要抽
而是将烟头用力的按在裸露的小臂上她似乎感觉不到痛
反而一脸享受
她浑身上下布满了伤痕
烫伤划痕割伤甚至密密麻麻的针孔触目惊心
没有人能理解她她只能去坠落去自残去当一个令人作呕的蛀虫
被排斥 羞辱 被骂恶心
她也不想这样没人心疼她爱她家人的囚禁让他这一生都没 ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-28T23:34:15,前置双摄vivo X9,0,0,,0,,[9b2d5b4678],2024-05-28 23:34:15
[91911d1d92],[6c7411641b],26号，敏，好像生病了，吃了点老鼠药，希望能好一点 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-26T00:22:41,前置双摄vivo X9,0,0,,0,,[9b2d5b4678],2024-05-26 00:22:41
[3714765e11],[ae4663f1af],"原创二传美化
网页链接
←世伊Ok绷全屏水印 传送通道 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-26T00:03:07,原创二传美化超话,0,1,"[{""id"": ""[77853fea43]"", ""created_at"": ""05-26"", ""source"": ""来自湖南"", ""user"": {""id"": ""[85262d0e6c]"", ""screen_name"": ""[70d506af22]""}, ""text"": ""网页链接"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-26 00:03:07
[c999fbc6af],[043e5456dc],我很爱哭吗 并不 胃疼时 刀划破皮肤时 我都不可以一声不吭 但如果有身边人慰问 那我的泪水将会忍不住 我受不了别人的关注 心疼 我真的会哭的 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-22T02:35:03,前置双摄vivo X9,0,0,,0,,[9b2d5b4678],2024-05-22 02:35:03
[0fbb565cf3],[6297dce109],"你的随口一说，心理患者都记得，等他发病，你的随口一说会被她扩大范围的想，更加控制不住自己，她总哭，总伤害自己，你知道吗，你只会把心理患者当个笑话，你的每一句话，她都会眼前一片模糊，仿佛有无数根针在刺着她，她难受啊你知道吗，你以为心理患者也想这样吗，心理患者本就敏感破碎，你的随口一 ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-22T02:34:48,前置双摄vivo X9,0,0,,0,,[9b2d5b4678],2024-05-22 02:34:48
[4d03ccf991],[999c2a2176],"抑郁症
 和家人在一块时候你遮住藏着割的手腕伤是怕家人担心还是怕家人骂你 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-20T22:06:50,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-05-20 22:06:50
[f4b5782f16],[1851d1fb76],"原创二传美化
 壁垒  🐟上的三传哒妈  网盘账号“小小伊” 拿我的图在🐟上三传倒卖60软妹币？！ ",[9b2d5b4678],[fe02d8b3e8],[9b2d5b4678],,2024-05-19T20:56:42,原创二传美化超话,3,11,"[{""id"": ""[05bfe3900d]"", ""created_at"": ""05-19"", ""source"": ""来自山东"", ""user"": {""id"": ""[fcb5e077c0]"", ""screen_name"": ""[e102c9f915]""}, ""text"": ""是不是活不起了 这哒嘛 [允悲]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-19 20:56:42
[4899a4e39a],[d4f8a83d93],"原创二传美化
“懒人可用 不要干坏事”原创妹原创妹 你同意我用你的头像吗 如果不同意的话你可以挣扎尖叫逃跑 我数三个数 321 上头了 米米嘟 ",[9b2d5b4678],[5464bfe68a],[9b2d5b4678],,2024-05-19T04:42:43,原创二传美化超话,8,3,"[{""id"": ""[775191450f]"", ""created_at"": ""05-25"", ""source"": ""来自吉林"", ""user"": {""id"": ""[3ce109e40e]"", ""screen_name"": ""[8598aac7d7]""}, ""text"": ""谢谢宝宝 [打call]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[4376daf3e3]"", ""created_at"": ""05-19"", ""source"": ""来自山东"", ""user"": {""id"": ""[df2f639165]"", ""screen_name"": ""[26e6d86a32]""}, ""text"": ""谢谢宝宝"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[cdb450e1b6]"", ""created_at"": ""05-19"", ""source"": ""来自山西"", ""user"": {""id"": ""[96dc23a17f]"", ""screen_name"": ""[af7766514c]""}, ""text"": ""谢谢老婆"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-19 04:42:43
[f2a63f0c37],[3ad1aa0781],"我知道有人会嫌弃我手上的伤疤
会唾弃我 远离我 甚至背刺我
但是都没关系的
我并不讨厌手上的疤痕
每一条疤痕都见证了我的天真
她无数次都在反复提醒我
我是个烂人 不应该靠近别人
伤口结痂了也会有疤痕
那眼泪 痛苦 难受 躯体化 该怎么忘记
如果什么都要我原谅
那我经历的痛苦都是活该吗 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-19T04:42:22,前置双摄vivo X9,0,0,,0,,[9b2d5b4678],2024-05-19 04:42:22
[7f5f235987],[c54c713866],"原来有抑郁症的人不能发视频
发视频就是缺爱博同情
只要在网上发就是假的
对抑郁症这么刻板印象吗我们明明努力装的很正常人了生病也是我的错吗 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-19T02:12:58,前置双摄vivo X9,0,0,,0,,[9b2d5b4678],2024-05-19 02:12:58
[0984890585],[2afad4b5ba],"原创二传美化
吉伊小兔和全屏风格水印×7  密集不重叠懒宝宝 🍎/👍 礼拿 ",[9b2d5b4678],[1aa8139588],[9b2d5b4678],,2024-05-19T00:54:48,原创二传美化超话,85,22,,0,,[9b2d5b4678],2024-05-19 00:54:48
