id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[cc0dc9961f],[78668449f9],"抑郁症
 难过到窒息 为什么偏偏是我 坚持好累不想坚持了 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-06T23:24:41,抑郁症超话,1,2,"[{""id"": ""[c12a420bb0]"", ""created_at"": ""06-06"", ""source"": ""来自河北"", ""user"": {""id"": ""[e9e3b1a76f]"", ""screen_name"": ""[72c3e3e456]""}, ""text"": ""回复@要长记性的木子:谢谢宝宝 [抱抱]"", ""reply_id"": 5042410113992391, ""reply_text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[e1af6432b5]"", ""created_at"": ""06-06"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-06-06 23:24:41
[0d2223d172],[1fb8558c47],"抑郁症
 看到大家都在积极向上 好好生活真的很羡慕很羡慕 我也很想乐观的面对一切但是太难了 我一直找不到活着的意义 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-06T17:15:11,抑郁症超话,1,1,"[{""id"": ""[77eb346851]"", ""created_at"": ""9小时前"", ""source"": ""来自四川"", ""user"": {""id"": ""[3a37e0efa5]"", ""screen_name"": ""[343d6988db]""}, ""text"": ""我也找不到活着的意义，让我很痛苦，但最近好像没有管它了，就活着，单纯的活着，我觉得这样活着还好，慢慢的随着时间流逝，我相信长大之后会慢慢找到意义的抱抱你希望我的话能给你一些想法 [打call]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-06-06 17:15:11
[058989fb00],[f88af8f6bc],"抑郁症
 开冰箱 一瞬间冰箱倒了下来 吓我一跳才发现是幻觉 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-05T11:08:34,抑郁症超话,0,1,"[{""id"": ""[ce48d8966b]"", ""created_at"": ""06-05"", ""source"": ""来自北京"", ""user"": {""id"": ""[406fe95f64]"", ""screen_name"": ""[92d814d1c2]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-06-05 11:08:34
[423da019d5],[f5a4524a6f],"抑郁症
 又做噩梦了 睡觉好累 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-05T11:05:43,抑郁症超话,0,5,"[{""id"": ""[d31aa97996]"", ""created_at"": ""06-05"", ""source"": ""来自河北"", ""user"": {""id"": ""[e9e3b1a76f]"", ""screen_name"": ""[72c3e3e456]""}, ""text"": ""回复@用户7925356032:你全家都斯了 [允悲]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[f0004235b7]"", ""created_at"": ""06-05"", ""source"": ""来自河北"", ""user"": {""id"": ""[e9e3b1a76f]"", ""screen_name"": ""[72c3e3e456]""}, ""text"": ""回复@用户7925356032:？煞笔吧"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[5d1d40d565]"", ""created_at"": ""06-05"", ""source"": ""来自北京"", ""user"": {""id"": ""[406fe95f64]"", ""screen_name"": ""[92d814d1c2]""}, ""text"": ""放松心情，看点娱乐节目会好些的。"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[f66edc2501]"", ""created_at"": ""06-05"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-06-05 11:05:43
[b21313ffc6],[3a985a174e],"抑郁症
 昨晚八点睡到早上十点中间一直醒一直做害怕的梦 断断续续的突然惊醒 醒来后手持续发抖心慌心跳快……吃饭胃口一点没有但是下午还要下班 现在吃完一直恶心想吐 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-04T12:09:42,抑郁症超话,1,1,"[{""id"": ""[caf1710724]"", ""created_at"": ""06-04"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""抱住 [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-06-04 12:09:42
[655b4ef3ca],[1fd505fb1a],"抑郁症
 一个人好孤单 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-03T20:04:08,抑郁症超话,1,1,"[{""id"": ""[e1a09bd6ae]"", ""created_at"": ""06-03"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""还有我们陪着你 [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-06-03 20:04:08
[7f214a5273],[4dd434f59e],"抑郁症
 会兴奋到一直说话嗓子发疼也要说 也会一瞬间流泪难过 好难什么都好难 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-02T14:21:17,抑郁症超话,1,0,,0,,[9b2d5b4678],2024-06-02 14:21:17
[d3dd87c7c3],[3fd125d973],"抑郁症
 为什么总让我去忍受阴阳针对 我是什么很贱的人吗 我很该死吗 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-29T23:58:17,抑郁症超话,2,5,"[{""id"": ""[f6826e75d7]"", ""created_at"": ""05-30"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[76190a3517]"", ""created_at"": ""05-30"", ""source"": ""来自天津"", ""user"": {""id"": ""[d71ec6ac6c]"", ""screen_name"": ""[7fbabfa1ec]""}, ""text"": ""你不该死"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[59169c7571]"", ""created_at"": ""05-30"", ""source"": ""来自河北"", ""user"": {""id"": ""[f628a900fc]"", ""screen_name"": ""[1b484c65a9]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[53699ab4f2]"", ""created_at"": ""05-30"", ""source"": ""来自河北"", ""user"": {""id"": ""[82f46ebf7a]"", ""screen_name"": ""[2b0f342163]""}, ""text"": ""抱抱 [抱一抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[96b887d7fc]"", ""created_at"": ""05-30"", ""source"": ""来自河北"", ""user"": {""id"": ""[f82cfdca84]"", ""screen_name"": ""[8e0e331a26]""}, ""text"": ""摸摸 [泪]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-29 23:58:17
[327b15249b],[eb1810401a],"抑郁症
 气到手抖想砸东西 花钱受冤枉 更痛苦了 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-29T10:51:36,抑郁症超话,2,2,"[{""id"": ""[b561dd194e]"", ""created_at"": ""05-29"", ""source"": ""来自四川"", ""user"": {""id"": ""[0e336d131f]"", ""screen_name"": ""[0f4ada1bf3]""}, ""text"": ""抱抱… [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[f250e5e6b2]"", ""created_at"": ""05-29"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-29 10:51:36
[ca5465f706],[d798edd20c],"抑郁症
 喘不上气手抖 好累 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-24T20:36:43,抑郁症超话,0,2,"[{""id"": ""[ace6d7ca91]"", ""created_at"": ""05-24"", ""source"": ""来自湖北"", ""user"": {""id"": ""[524a071bb2]"", ""screen_name"": ""[281868abb2]""}, ""text"": ""抱抱 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[aa3b13fadc]"", ""created_at"": ""05-24"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-24 20:36:43
