id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[ecd5107f50],[a78d2025dc],"齐司礼#齐司礼# 
齐司礼…抱歉，刚刚又在犯恋爱脑了，但现在我不禁又开始想，如果人类连恋爱脑都控制不了，那我们的未来该何去何从？……抱歉我又想齐司礼了……我不禁想问，爱情的奥秘是……抱歉，齐司礼很好……真的很对不起，我又在……抱歉... ",[9b2d5b4678],[c0d0b7557b],[9b2d5b4678],,2024-04-09T15:22:17,齐司礼超话,5,4,"[{""id"": ""[0f79b56f86]"", ""created_at"": ""04-09"", ""source"": ""来自江苏"", ""user"": {""id"": ""[9d2f2e8f0a]"", ""screen_name"": ""[9191893d1a]""}, ""text"": ""全世界最帅最可爱的宝宝驾到！[齐司礼][齐司礼][齐司礼][齐司礼][齐司礼][齐司礼][齐司礼][齐司礼][齐司礼][齐司礼][齐司礼][齐司礼][齐司礼][齐司礼][齐司礼][齐司礼][齐司礼][齐司礼][齐司礼][齐司礼](*/ω＼*) [打call]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[3aef4fbd45]"", ""created_at"": ""04-09"", ""source"": ""来自河南"", ""user"": {""id"": ""[c5c5e79a73]"", ""screen_name"": ""[74dbe21f28]""}, ""text"": ""这个世界没有齐司礼转不了！一拳锤爆！这个世界没有齐司礼转不了！一拳锤爆！这个世界没有齐司礼转不了！一拳锤爆！这个世界没有齐司礼转不了！一拳锤爆！这个世界没有齐司礼转不了！一拳锤爆！这个世界没有齐司礼转不了！一拳锤爆！这个世界没有齐司礼转不了！一拳锤爆！"", ""like_counts"": 1, ""liked"": false}, {""id"": ""[8b9f09081a]"", ""created_at"": ""04-09"", ""source"": ""来自河南"", ""user"": {""id"": ""[c5c5e79a73]"", ""screen_name"": ""[74dbe21f28]""}, ""text"": ""一个喜欢齐司礼的人再坏也坏不到哪里去，这就是我的善恶观，毕竟齐司礼是神仙，是美神维纳斯，是勇猛的施瓦辛格，一想到能跟齐司礼这样的天才呼吸同一片空气，我就由衷的感到荣幸。如果一个人他一提到齐司礼就开始抨击、辱骂、发疯，那这个人搞不好以后会偷你的钱。跟我大声说：齐门！"", ""like_counts"": 1, ""liked"": false}, {""id"": ""[04376c9aa0]"", ""created_at"": ""04-09"", ""source"": ""来自河南"", ""user"": {""id"": ""[c5c5e79a73]"", ""screen_name"": ""[74dbe21f28]""}, ""text"": ""我自愿加入齐门，拥护门派门义，履行信徒义务，永远喜爱齐司礼！永远积极向上！永远保持可爱！为齐司礼和我的幸福奋斗终身！随时准备为齐司礼做出一切努力，永不背叛齐门！ 很荣幸成为齐门主干中的一员！ 我也会继续喜欢齐司礼下去的！谢谢！ 齐门齐徒！ 水土不服！ 前无古人！唯有齐门！齐门永存！！"", ""like_counts"": 0, ""liked"": false}]",1,齐司礼,[9b2d5b4678],2024-04-09 15:22:17
[feb770e3ff],[8411be5cb0],"齐司礼#齐司礼# 
向善是一种文明，也是一种光明。善良之举，需要人人拥有。善良之歌，需要人人唱和。让我们一起轻掬季风，淡挽流云，抚一弦清音，让幸福在平凡，平淡中盛开如兰，让善良之歌在红尘的原野里辗转悠长。 ",[9b2d5b4678],[20dd93a297],[9b2d5b4678],,2024-04-09T15:17:40,齐司礼超话,7,5,"[{""id"": ""[6c47f313c3]"", ""created_at"": ""04-09"", ""source"": ""来自江苏"", ""user"": {""id"": ""[9d2f2e8f0a]"", ""screen_name"": ""[9191893d1a]""}, ""text"": ""全世界最帅最可爱的宝宝驾到！[齐司礼][齐司礼][齐司礼][齐司礼][齐司礼][齐司礼][齐司礼][齐司礼][齐司礼][齐司礼][齐司礼][齐司礼][齐司礼][齐司礼][齐司礼][齐司礼][齐司礼][齐司礼][齐司礼][齐司礼](*/ω＼*) [打call]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[e2d82f4335]"", ""created_at"": ""04-09"", ""source"": ""来自河南"", ""user"": {""id"": ""[ce46db41ee]"", ""screen_name"": ""[bfbd13138d]""}, ""text"": ""“诸般困厄已前尘，来日春与青溪长，琴鸣应有知音伴，莫待韶光负流年”"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[0051a2ce4b]"", ""created_at"": ""04-09"", ""source"": ""来自河南"", ""user"": {""id"": ""[c5c5e79a73]"", ""screen_name"": ""[74dbe21f28]""}, ""text"": ""齐司礼有多好看，我只能说懂得都懂,不懂的人永远不懂,关键懂的人是自己悟的,你也不知道谁是懂的人,甚至不知道自己不懂。有时,自己不懂装懂,还以为别人不懂。别人说懂的都懂,只要点头就行,毕竟里面牵扯到很多懂不了的事。就算懂了也不好,毕竟懂太多不是好事。懂太多不好,但是也不能一点不懂。"", ""like_counts"": 2, ""liked"": false}, {""id"": ""[ed4f3f4dc9]"", ""created_at"": ""04-09"", ""source"": ""来自河南"", ""user"": {""id"": ""[c5c5e79a73]"", ""screen_name"": ""[74dbe21f28]""}, ""text"": ""我自愿加入齐门，拥护门派门义，履行信徒义务，永远喜爱齐司礼！永远积极向上！永远保持可爱！为齐司礼和我的幸福奋斗终身！随时准备为齐司礼做出一切努力，永不背叛齐门！ 很荣幸成为齐门主干中的一员！ 我也会继续喜欢齐司礼下去的！谢谢！ 齐门齐徒！ 水土不服！ 前无古人！唯有齐门！齐门永存！！"", ""like_counts"": 1, ""liked"": false}, {""id"": ""[041e516612]"", ""created_at"": ""04-09"", ""source"": ""来自陕西"", ""user"": {""id"": ""[ab9adc66bf]"", ""screen_name"": ""[04c511e808]""}, ""text"": ""善良不是一味地忍让或取悦，善良也不是委屈自己，成全别人，更不是满足于眼前的苟且，只对世界察言观色"", ""like_counts"": 1, ""liked"": false}]",0,齐司礼,[9b2d5b4678],2024-04-09 15:17:40
[c6287768a3],[374d748cbc],"齐司礼#齐司礼# 
齐司礼有多好看，我只能说懂得都懂,不懂的人永远不懂,关键懂的人是自己悟的,你也不知道谁是懂的人,甚至不知道自己不懂。有时,自己不懂装懂,还以为别人不懂。别人说懂的都懂,只要点头就行,毕竟里面牵扯到很多懂不了的事。就算懂了也不好,毕竟懂太多不是好事。懂太多不好,但是也 ...
全文",[9b2d5b4678],[7302c63426],[9b2d5b4678],,2024-04-08T18:54:26,齐司礼超话,0,2,"[{""id"": ""[4c77b8e2b8]"", ""created_at"": ""04-08"", ""source"": ""来自宁夏"", ""user"": {""id"": ""[364e69531a]"", ""screen_name"": ""[486d4e9ff6]""}, ""text"": ""tt"", ""like_counts"": 0, ""liked"": false}]",0,齐司礼,[9b2d5b4678],2024-04-08 18:54:26
[5b0d194b4f],[a877c851a9],"齐司礼#齐司礼# 
齐司礼的脸80全世界‼️ 齐司礼的脸80全世界‼️ 齐司礼的脸80全世界‼️ 齐司礼的脸80全世界‼️ 齐司礼的脸80全世界‼️ 齐司礼的脸80全世界‼️ 齐司礼的脸80全世界‼️齐司礼的脸80全世界‼️ 齐司礼的脸80全世界‼️ 齐司礼的脸80全世界‼️ 齐司礼的脸80全世界‼️ 齐司 ...
全文",[9b2d5b4678],[0019cecd1b],[9b2d5b4678],,2024-04-08T18:52:49,齐司礼超话,1,1,"[{""id"": ""[5d097a3529]"", ""created_at"": ""04-08"", ""source"": ""来自宁夏"", ""user"": {""id"": ""[364e69531a]"", ""screen_name"": ""[486d4e9ff6]""}, ""text"": ""upup"", ""like_counts"": 0, ""liked"": false}]",0,齐司礼,[9b2d5b4678],2024-04-08 18:52:49
[57e73c5cfd],[96d8a0ed88],"齐司礼#齐司礼# 
恋爱我有五必谈1.银白头发金瞳孔必谈，看帅哥可以延寿2.设计总监必谈，可以省钱不用买衣服3.身高181的必谈，高的太高矮的太矮181刚好4.毒舌傲娇爱吃醋的苦瓜必谈，生活会很有趣5.千年前相遇的必谈，不能辜负等待千年的人 ",[9b2d5b4678],[803f7ab1a0],[9b2d5b4678],,2024-04-08T18:51:56,齐司礼超话,0,2,"[{""id"": ""[6b88721793]"", ""created_at"": ""04-08"", ""source"": ""来自山东"", ""user"": {""id"": ""[dd11ed4bc4]"", ""screen_name"": ""[6098db38ae]""}, ""text"": ""地球没有齐司礼还能转？硬撑罢了！地球没有齐司礼还能转？硬撑罢了！地球没有齐司礼还能转？硬撑罢了！地球没有齐司礼还能转？硬撑罢了！地球没有齐司礼还能转？硬撑罢了！地球没有齐司礼还能转？硬撑罢了！地球没有齐司礼还能转？硬撑罢了！地球没有齐司礼还能转？硬撑罢了！"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[9761167625]"", ""created_at"": ""04-08"", ""source"": ""来自宁夏"", ""user"": {""id"": ""[364e69531a]"", ""screen_name"": ""[486d4e9ff6]""}, ""text"": ""tt"", ""like_counts"": 0, ""liked"": false}]",1,齐司礼,[9b2d5b4678],2024-04-08 18:51:56
[4e01a2a3c4],[cbba47d515],"齐司礼#齐司礼# 
今天你背《狐德经》了吗🦊 1.狐狐是天  2.不可以惹狐狐生气  3.必须点赞狐狐的每一条空间动态  4.每天都要夸夸狐狐  5.和狐狐聊天时不能被其他人分心   6.必须细心地照顾狐狐的情绪   7.不许跟狐狐玩欲擒故纵说狐狐看不懂的话让狐狐胡思乱想  8.不能跟别人讲话忽视狐狐 ",[9b2d5b4678],[949eae6a7d],[9b2d5b4678],,2024-04-08T18:50:49,齐司礼超话,3,4,"[{""id"": ""[1a3bb9133d]"", ""created_at"": ""04-08"", ""source"": ""来自河南"", ""user"": {""id"": ""[c5c5e79a73]"", ""screen_name"": ""[74dbe21f28]""}, ""text"": ""恋爱我有五必谈1.银白头发金瞳孔必谈，看帅哥可以延寿2.设计总监必谈，可以省钱不用买衣服3.身高181的必谈，高的太高矮的太矮181刚好4.毒舌傲娇爱吃醋的苦瓜必谈，生活会很有趣5.千年前相遇的必谈，不能辜负等待千年的人"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[fb03d68c4a]"", ""created_at"": ""04-08"", ""source"": ""来自河南"", ""user"": {""id"": ""[cbc7b6ef44]"", ""screen_name"": ""[56ee6a4ae5]""}, ""text"": ""一个喜欢齐司礼的人再坏也坏不到哪里去，这就是我的善恶观，毕竟齐司礼是神仙，是美神维纳斯，是勇猛的施瓦辛格，一想到能跟齐司礼这样的天才呼吸同一片空气，我就由衷的感到荣幸。如果一个人他一提到齐司礼就开始抨击、辱骂、发疯，那这个人搞不好以后会偷你的钱。跟我大声说：齐门！"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[f0d018bae2]"", ""created_at"": ""04-08"", ""source"": ""来自广东"", ""user"": {""id"": ""[517e2ebcc7]"", ""screen_name"": ""[7983f4010a]""}, ""text"": ""善良是一种修养，善待他人就是善待自己，要想得到别人的爱，首先要学会爱别人，一个善良的人一定是温暖的人，乐于助人的人，懂得珍惜和感恩的人。"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[c3e3d7e057]"", ""created_at"": ""04-08"", ""source"": ""来自广东"", ""user"": {""id"": ""[50111d83e2]"", ""screen_name"": ""[ab92772311]""}, ""text"": ""我自愿加入齐门，拥护门派门义，履行信徒义务，永远喜爱齐司礼！永远积极向上！永远保持可爱！为齐司礼和我的幸福奋斗终身！随时准备为齐司礼做出一切努力，永不背叛齐门！ 很荣幸成为齐门主干中的一员！ 我也会继续喜欢齐司礼下去的！谢谢！ 齐门齐徒！ 水土不服！ 前无古人！唯有齐门！齐门永存！！"", ""like_counts"": 0, ""liked"": false}]",1,齐司礼,[9b2d5b4678],2024-04-08 18:50:49
[42d83d7648],[907719058a],"齐司礼#齐司礼# 
地球没有齐司礼还能转？硬撑罢了！地球没有齐司礼还能转？硬撑罢了！地球没有齐司礼还能转？硬撑罢了！地球没有齐司礼还能转？硬撑罢了！地球没有齐司礼还能转？硬撑罢了！地球没有齐司礼还能转？硬撑罢了！地球没有齐司礼还能转？硬撑罢了！地球没有齐司礼还能转？硬撑罢了！ ",[9b2d5b4678],[34dc4b725d],[9b2d5b4678],,2024-04-08T18:41:38,齐司礼超话,2,6,"[{""id"": ""[a3eafbcbbe]"", ""created_at"": ""04-08"", ""source"": ""来自河南"", ""user"": {""id"": ""[c5c5e79a73]"", ""screen_name"": ""[74dbe21f28]""}, ""text"": ""今天你背《狐德经》了吗🦊 1.狐狐是天  2.不可以惹狐狐生气  3.必须点赞狐狐的每一条空间动态  4.每天都要夸夸狐狐  5.和狐狐聊天时不能被其他人分心   6.必须细心地照顾狐狐的情绪   7.不许跟狐狐玩欲擒故纵说狐狐看不懂的话让狐狐胡思乱想  8.不能跟别人讲话忽视狐狐"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[f899c556d8]"", ""created_at"": ""04-08"", ""source"": ""来自河南"", ""user"": {""id"": ""[cbc7b6ef44]"", ""screen_name"": ""[56ee6a4ae5]""}, ""text"": ""与人善，于己善。善报也许会迟到，但一定会来。心存善念，念念是福！世间因果，万法不空，你的善念，必得善果。心善则美，心纯则真，如果我们能持有一颗平常心，坐看云起云落，花开花谢，一任沧桑，就能获得一份云水悠悠的好心情；用平常的心去生活，用宁静的心来领悟"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[aa3e974abf]"", ""created_at"": ""04-08"", ""source"": ""来自广东"", ""user"": {""id"": ""[50111d83e2]"", ""screen_name"": ""[ab92772311]""}, ""text"": ""我自愿加入齐门，拥护门派门义，履行信徒义务，永远喜爱齐司礼！永远积极向上！永远保持可爱！为齐司礼和我的幸福奋斗终身！随时准备为齐司礼做出一切努力，永不背叛齐门！ 很荣幸成为齐门主干中的一员！ 我也会继续喜欢齐司礼下去的！谢谢！ 齐门齐徒！ 水土不服！ 前无古人！唯有齐门！齐门永存！！"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[71add1de71]"", ""created_at"": ""04-08"", ""source"": ""来自广东"", ""user"": {""id"": ""[517e2ebcc7]"", ""screen_name"": ""[7983f4010a]""}, ""text"": ""善良是一种修养，善待他人就是善待自己，要想得到别人的爱，首先要学会爱别人，一个善良的人一定是温暖的人，乐于助人的人，懂得珍惜和感恩的人。"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[b0cbfc9cff]"", ""created_at"": ""04-08"", ""source"": ""来自宁夏"", ""user"": {""id"": ""[364e69531a]"", ""screen_name"": ""[486d4e9ff6]""}, ""text"": ""tt"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[e000ca5caf]"", ""created_at"": ""04-08"", ""source"": ""来自广东"", ""user"": {""id"": ""[50111d83e2]"", ""screen_name"": ""[ab92772311]""}, ""text"": ""#齐司礼#恋爱我有五必谈 1.银白头发金瞳孔必谈，看帅哥可以延寿 2.设计总监必谈，可以省钱不用买衣服 3.身高181的必谈，高的太高矮的太矮181刚好 4.毒舌傲娇爱吃醋的苦瓜必谈，生活会很有趣 5.千年前相遇的必谈，不能辜负等待千年的人"", ""like_counts"": 0, ""liked"": false}]",3,齐司礼,[9b2d5b4678],2024-04-08 18:41:38
[309d289548],[aed47a8fc6],"齐司礼#齐司礼# 
与人善，于己善。善报也许会迟到，但一定会来。心存善念，念念是福！世间因果，万法不空，你的善念，必得善果。心善则美，心纯则真，如果我们能持有一颗平常心，坐看云起云落，花开花谢，一任沧桑，就能获得一份云水悠悠的好心情；用平常的心去生活，用宁静的心来领悟 ",[9b2d5b4678],[a73c13ef58],[9b2d5b4678],,2024-04-08T18:37:55,齐司礼超话,0,1,"[{""id"": ""[c846aff696]"", ""created_at"": ""04-08"", ""source"": ""来自宁夏"", ""user"": {""id"": ""[364e69531a]"", ""screen_name"": ""[486d4e9ff6]""}, ""text"": ""tt"", ""like_counts"": 0, ""liked"": false}]",0,齐司礼,[9b2d5b4678],2024-04-08 18:37:55
[e2330f78e0],[8e75a20e68],"齐司礼#齐司礼# 
 一个喜欢齐司礼的人再坏也坏不到哪里去，这就是我的善恶观，毕竟齐司礼是神仙，是美神维纳斯，是勇猛的施瓦辛格，一想到能跟齐司礼这样的天才呼吸同一片空气，我就由衷的感到荣幸。如果一个人他一提到齐司礼就开始抨击、辱骂、发疯，那这个人搞不好以后会偷你的钱。跟我大声 ...
全文",[9b2d5b4678],[ed474a3c97],[9b2d5b4678],,2024-04-08T18:29:49,齐司礼超话,2,2,"[{""id"": ""[aec4e68b5b]"", ""created_at"": ""04-08"", ""source"": ""来自广东"", ""user"": {""id"": ""[50111d83e2]"", ""screen_name"": ""[ab92772311]""}, ""text"": ""裤裆着火一蹦三尺高，我姐妹怒抓十个灭火器与我对线无果，因为这是我对齐司礼浇不灭的爱情之火!!我流泪不止又欲哭无泪，因为我害怕泪水模糊了眼睛，让我没办法看清齐司礼这张绝世容颜!我发疯，我在宿舍发疯了，我早上蹿下跳，嘴里念念有词:我不发疯我不是人，齐司礼！齐司礼！齐司礼！"", ""like_counts"": 0, ""liked"": false}]",0,齐司礼,[9b2d5b4678],2024-04-08 18:29:49
[b5746b92b8],[0a77ab04b2],"齐司礼#齐司礼# 
这个世界没有齐司礼转不了！一拳锤爆！这个世界没有齐司礼转不了！一拳锤爆！这个世界没有齐司礼转不了！一拳锤爆！这个世界没有齐司礼转不了！一拳锤爆！这个世界没有齐司礼转不了！一拳锤爆！这个世界没有齐司礼转不了！一拳锤爆！这个世界没有齐司礼转不了！一拳锤爆！  ...
全文",[9b2d5b4678],[f330a4cfb1],[9b2d5b4678],,2024-04-08T18:28:11,齐司礼超话,2,1,"[{""id"": ""[daeeacdcc8]"", ""created_at"": ""04-08"", ""source"": ""来自广东"", ""user"": {""id"": ""[50111d83e2]"", ""screen_name"": ""[ab92772311]""}, ""text"": ""#齐司礼# 地球没有齐司礼还能转？硬撑罢了！地球没有齐司礼还能转？硬撑罢了！地球没有齐司礼还能转？硬撑罢了！地球没有齐司礼还能转？硬撑罢了！地球没有齐司礼还能转？硬撑罢了！地球没有齐司礼还能转？硬撑罢了！地球没有齐司礼还能转？硬撑罢了！地球没有齐司礼还能转？硬撑罢了！"", ""like_counts"": 0, ""liked"": false}]",1,齐司礼,[9b2d5b4678],2024-04-08 18:28:11
