id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[1adabf479b],[7ee13bbc21],"抑郁症
大家我想问一下，第2次问诊需要填表吗？以前是在市里面的医院看，这次换了个医院，感觉医生不是很专业，随便问了几个问题就开药了
 
惠州·惠州市惠阳区心理康复医院
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],惠州·惠州市惠阳区心理康复医院,2024-06-04T16:09:13,抑郁症超话,0,3,"[{""id"": ""[642e53b36d]"", ""created_at"": ""06-04"", ""source"": ""来自广西"", ""user"": {""id"": ""[2e70f9919b]"", ""screen_name"": ""[b01a845648]""}, ""text"": ""换个医生看"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[edd5ce9c5b]"", ""created_at"": ""06-04"", ""source"": ""来自辽宁"", ""user"": {""id"": ""[99a2e774ce]"", ""screen_name"": ""[f98bc8ac8e]""}, ""text"": ""我都是一个医院 但是复诊没预约加号的，原来那个医生没值班就换了"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[887c5ccb9a]"", ""created_at"": ""06-04"", ""source"": ""来自辽宁"", ""user"": {""id"": ""[99a2e774ce]"", ""screen_name"": ""[f98bc8ac8e]""}, ""text"": ""我也是这样！没有给填表，问几个问题就开药了。人太多了排队。加量了还开了曲唑酮"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-06-04 16:09:13
[74a045cbb1],[771eaa06d3],"抑郁症
惠州二院怎么样 
惠州
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],惠州,2024-06-03T12:15:03,抑郁症超话,0,1,"[{""id"": ""[a109a54832]"", ""created_at"": ""06-06"", ""source"": ""来自广东"", ""user"": {""id"": ""[2e16f7a878]"", ""screen_name"": ""[552394b162]""}, ""text"": ""还可以"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-06-03 12:15:03
[edbc8d6da8],[29880b3abb],"抑郁症
每天3，4点才有睡意，6点就要醒来上学，感觉自己快猝死了
（朋友也说我的s人作息，跟阎王爷做斗争
） ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-03T07:06:11,抑郁症超话,0,1,"[{""id"": ""[a972a2b515]"", ""created_at"": ""06-03"", ""source"": ""来自云南"", ""user"": {""id"": ""[3fae88d981]"", ""screen_name"": ""[180d874bc7]""}, ""text"": ""跟医生商量调整下药物？ [允悲]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-06-03 07:06:11
[de175ddd2f],[e2a198747e],"抑郁症
服了又失眠了
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-03T03:47:21,抑郁症超话,1,1,"[{""id"": ""[3a3d0c67f3]"", ""created_at"": ""06-03"", ""source"": ""来自山东"", ""user"": {""id"": ""[69ddbd7d55]"", ""screen_name"": ""[7791ac8d06]""}, ""text"": "" [抱一抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-06-03 03:47:21
[4c41e9059f],[151662beda],"抑郁症
其实我也很喜欢小孩子，但是我怕有时候控制不好情绪伤害到他们。要是可以的话，我也想当幼师
小孩子真的很美好，看到他们的笑脸，就治愈了所以
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-03T01:59:40,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-06-03 01:59:40
[12b38012e1],[438e4cad5f],"抑郁症
都会过去的，对吗？ ",[9b2d5b4678],[1bf118b95c],[62c05cc239],,2024-05-13T19:48:30,抑郁症超话,0,1,"[{""id"": ""[3b2666ccd0]"", ""created_at"": ""05-13"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""是的"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-13 19:48:30
[7332bc1dcd],[0a7e8f5a91],"抑郁症
又失眠了 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-16T04:30:03,抑郁症超话,0,1,"[{""id"": ""[5a0509f93b]"", ""created_at"": ""04-16"", ""source"": ""来自上海"", ""user"": {""id"": ""[9710bd5f1b]"", ""screen_name"": ""[e5404697b5]""}, ""text"": ""今晚可能就会好起来的"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-16 04:30:03
[5823ce5a96],[80bec2fbb6],"抑郁症
 ",[9b2d5b4678],[33962393cb],[9b2d5b4678],,2024-04-16T04:28:37,抑郁症超话,1,0,,0,,[9b2d5b4678],2024-04-16 04:28:37
[b8ee6b0e96],[557ae712ca],"抑郁症
早安 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-15T06:28:16,抑郁症超话,0,1,"[{""id"": ""[6b5580d515]"", ""created_at"": ""04-15"", ""source"": ""来自北京"", ""user"": {""id"": ""[783890bfd6]"", ""screen_name"": ""[882c263383]""}, ""text"": "" [太阳]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-15 06:28:16
[a492ac2df1],[bdcc353793],"抑郁症
4点了还是睡不着。 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-15T04:17:15,抑郁症超话,1,3,"[{""id"": ""[45f5d4dfa9]"", ""created_at"": ""04-15"", ""source"": ""来自湖北"", ""user"": {""id"": ""[51318862c2]"", ""screen_name"": ""[a6d7f1508f]""}, ""text"": ""一样"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[be178d3b70]"", ""created_at"": ""04-15"", ""source"": ""来自湖北"", ""user"": {""id"": ""[5a77ed8cef]"", ""screen_name"": ""[d44238b6f8]""}, ""text"": ""我也 吃了药都还睡不着"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-15 04:17:15
