id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[9317924439],[42d1c4e228],"物华弥新
红卡可以升致知啦，选哪个比较好哇 ",[9b2d5b4678],[df38e7be33],[9b2d5b4678],,2024-05-07T08:26:16,物华弥新超话,2,9,"[{'id': 5031331266563440, 'created_at': '18小时前', 'source': '来自湖北', 'user': {'id': 5671053574, 'screen_name': 'nobakmsdh'}, 'text': '红点 设置-通知可关', 'like_counts': 0, 'liked': False}, {'id': 5031326667508649, 'created_at': '18小时前', 'source': '来自广西', 'user': {'id': 7376424568, 'screen_name': '瑄Emerald'}, 'text': '可以给猫猫，冲个致知三 ""[开学季]""', 'like_counts': 0, 'liked': False}, {'id': 5031326392256042, 'created_at': '18小时前', 'source': '来自山东', 'user': {'id': 6064173224, 'screen_name': '恭迎我神州'}, 'text': '亮红点我难受 [允悲]', 'like_counts': 0, 'liked': False}, {'id': 5031317912159775, 'created_at': '19小时前', 'source': '来自河南', 'user': {'id': 6677642885, 'screen_name': '閾限'}, 'text': '攒着，万一以后有限定给限定 [喵喵]', 'like_counts': 0, 'liked': False}, {'id': 5031316683228545, 'created_at': '19小时前', 'source': '来自江西', 'user': {'id': 7401035412, 'screen_name': '送你金纹玉樱999999'}, 'text': '致之留着，目前前一个卡池的活动池都能抽到。', 'like_counts': 0, 'liked': False}, {'id': 5031313900045416, 'created_at': '19小时前', 'source': '来自河北', 'user': {'id': 6329708771, 'screen_name': '只想做一只在瓜田里反复横跳的猹'}, 'text': '感觉可以留着给猫猫，猫猫三致还是提升很大的', 'like_counts': 0, 'liked': False}, {'id': 5031312522741178, 'created_at': '19小时前', 'source': '来自吉林', 'user': {'id': 5316908935, 'screen_name': 'lauv9'}, 'text': '感觉可以升金瓯一致', 'like_counts': 0, 'liked': False}, {'id': 5031312173830175, 'created_at': '19小时前', 'source': '来自广东', 'user': {'id': 6910252166, 'screen_name': '沉沦维图尔斯'}, 'text': '要知三了再补吧，现在可以留着，说不定以后抽会歪到 [doge]', 'like_counts': 1, 'liked': False}, {'id': 5031312144206522, 'created_at': '19小时前', 'source': '来自湖南', 'user': {'id': 6035607221, 'screen_name': '霏笺'}, 'text': '攒着 可以给猫猫 [爱你]', 'like_counts': 0, 'liked': False}]",0,,[9b2d5b4678],2024-05-07 08:26:16
[9e6b2f482a],[bdc2a3251d],"抑郁症
我其实是在装病……吗？ ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-05T14:30:16,抑郁症超话,0,2,"[{""id"": ""[bdf6ddbbaa]"", ""created_at"": ""05-05"", ""source"": ""来自湖南"", ""user"": {""id"": ""[ba1df6bb54]"", ""screen_name"": ""[728060e744]""}, ""text"": ""不是的 [抱一抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[07cd7fdb37]"", ""created_at"": ""05-05"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""不是的 [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-05 14:30:16
[10d240c1ef],[7197e158c5],"抑郁症
在被窝平躺，突然说我心率135。
老师，真的要让我每天参加体育锻炼吗👉🏻👈🏻 ",[9b2d5b4678],[bb27836745],[9b2d5b4678],,2024-05-03T22:33:27,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-05-03 22:33:27
[510b6f868a],[3f1d0fc1a7],"食之契约
老师我的卡布里是不是不对啊。。。我要心梗了我的体力我的门票我的ur券…… ",[9b2d5b4678],[54361bb459],[9b2d5b4678],,2024-04-29T11:05:57,食之契约超话,5,61,,0,,[9b2d5b4678],2024-04-29 11:05:57
[758cedf05b],[837e208c67],"食之契约
34天，阿瘾带我从0片蟹酿橙到五星还多13片 (*^▽^*) ",[9b2d5b4678],[625aef026e],[9b2d5b4678],,2024-04-14T19:25:21,食之契约超话,7,3,"[{'id': 5023494758205154, 'created_at': '04-15', 'source': '来自广东', 'user': {'id': 3849637961, 'screen_name': '阿陈每日都要开开心心啊'}, 'text': '太强了 ""[哇]""', 'like_counts': 0, 'liked': False}, {'id': 5023170996733183, 'created_at': '04-14', 'source': '来自山东', 'user': {'id': 6064173224, 'screen_name': '恭迎我神州'}, 'text': '回复@阿瘾酱:太牛了阿瘾，又快又稳 [鲜花]', 'reply_id': 5023165669967758, 'reply_text': '好耶！', 'like_counts': 0, 'liked': False}, {'id': 5023165669967758, 'created_at': '04-14', 'source': '来自浙江', 'user': {'id': 7477587929, 'screen_name': '阿瘾酱'}, 'text': '好耶！', 'like_counts': 1, 'liked': False}]",0,,[9b2d5b4678],2024-04-14 19:25:21
[acad28ea07],[cfc8835b4e],我恨口腔溃疡 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-14T06:53:10,Android,0,0,,0,,[9b2d5b4678],2024-04-14 06:53:10
[325e6c4f6b],[e67ef9b803],"抑郁症
让我 死掉吧 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-09T21:21:06,抑郁症超话,1,1,"[{""id"": ""[be661112eb]"", ""created_at"": ""04-09"", ""source"": ""来自湖南"", ""user"": {""id"": ""[ba1df6bb54]"", ""screen_name"": ""[728060e744]""}, ""text"": "" [抱一抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-09 21:21:06
[ca325eea8c],[48936d9fd1],又双叒叕胃肠炎…… ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-05T22:31:52,Android,0,0,,0,,[9b2d5b4678],2024-04-05 22:31:52
[8efdbefc87],[afdd69d4a7],痛经人流泪 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-24T12:49:58,Android,0,1,"[{""id"": ""[8dd6c21031]"", ""created_at"": ""03-24"", ""source"": ""来自山东"", ""user"": {""id"": ""[32b2150194]"", ""screen_name"": ""[b1929609ab]""}, ""text"": ""摸摸"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-03-24 12:49:58
[4a5f83534f],[c756cc60a8],"闪耀暖暖
2⃣️0⃣️ ",[9b2d5b4678],[41bf382e78],[9b2d5b4678],,2024-03-16T00:20:18,闪耀暖暖超话,1,4,"[{'id': 5012349088432175, 'created_at': '03-16', 'source': '来自广东', 'user': {'id': 7461812021, 'screen_name': '冰蓝色蜜橘_鞭打狗叠版'}, 'text': '生日快乐', 'like_counts': 0, 'liked': False}, {'id': 5012347198375382, 'created_at': '03-16', 'source': '来自山东', 'user': {'id': 7729300472, 'screen_name': '月澜12121'}, 'text': '生日快乐！ ""[送花花]""', 'like_counts': 0, 'liked': False}, {'id': 5012346278510683, 'created_at': '03-16', 'source': '来自山东', 'user': {'id': 5677541510, 'screen_name': '七酒酒酒'}, 'text': '生日快乐呀', 'like_counts': 0, 'liked': False}, {'id': 5012345748983632, 'created_at': '03-16', 'source': '来自广东', 'user': {'id': 6605160834, 'screen_name': '-星潮织梦-KELLY'}, 'text': '生日快乐宝宝 [打call]', 'like_counts': 0, 'liked': False}]",0,,[9b2d5b4678],2024-03-16 00:20:18
[607155ea39],[e07372f985],妇女节快乐！ ,[9b2d5b4678],[20b599b78e],[9b2d5b4678],,2024-03-08T12:08:40,Android,0,0,,0,,[9b2d5b4678],2024-03-08 12:08:40
