id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[466e0221b2],[3317a4280a],"抑郁症
 折磨人的不是无聊的住院生活，而是对一切都失去兴趣，啊啊啊啊啊啊，好崩溃啊，为什么要救我啊，我不该活着啊
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-13T19:39:06,抑郁症超话,1,1,"[{""id"": ""[5845d24f07]"", ""created_at"": ""04-16"", ""source"": ""来自山东"", ""user"": {""id"": ""[63bff46c91]"", ""screen_name"": ""[b1b645f724]""}, ""text"": ""我也是在省精卫拿药，加油啊朋友！"", ""like_counts"": 1, ""liked"": false}]",0,,[9b2d5b4678],2024-04-13 19:39:06
[cc7207b47b],[3fd4cf30ae],"抑郁症
 有没有在家呆了很多年没法去工作的病友，我病了6年，我都不知道该如何面对以后的生活，也没有勇气去面对，我觉得我的人生已经彻底荒废了，每次想到这我都好焦虑。
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-13T12:17:04,抑郁症超话,0,7,"[{""id"": ""[6a32c66941]"", ""created_at"": ""04-13"", ""source"": ""来自浙江"", ""user"": {""id"": ""[6d55cdc953]"", ""screen_name"": ""[c6ffc12e8b]""}, ""text"": ""回复@邻居乍暖还寒:抑郁复发"", ""reply_id"": 5022754139277899, ""reply_text"": ""回复@-woods-森林:你是因为什么"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[7239b1e4ff]"", ""created_at"": ""04-13"", ""source"": ""来自山西"", ""user"": {""id"": ""[1df2c2a0f8]"", ""screen_name"": ""[f87abc325c]""}, ""text"": ""回复@-woods-森林:你是因为什么"", ""reply_id"": 5022695148489963, ""reply_text"": ""回复@邻居乍暖还寒:我也是，基本工作最长的一次是2年多"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[28d1a38a8a]"", ""created_at"": ""04-13"", ""source"": ""来自吉林"", ""user"": {""id"": ""[6624a839f4]"", ""screen_name"": ""[925705e68c]""}, ""text"": ""回复@用户文西西:没办法。。。勉强上 [酸]"", ""reply_id"": 5022726207570646, ""reply_text"": ""回复@轻辙_:你好厉害啊"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[586929f741]"", ""created_at"": ""04-13"", ""source"": ""来自山东"", ""user"": {""id"": ""[c8745fdc2b]"", ""screen_name"": ""[7b71913bea]""}, ""text"": ""回复@轻辙_:你好厉害啊"", ""reply_id"": 5022724969465178, ""reply_text"": ""一直在工作。不工作家里人给压力，工作领导给压力，而且没人理解为什么你就不能和别人一样做一样的工作。感觉上班的状态就是混。 [哼]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[5a995e5d3d]"", ""created_at"": ""04-13"", ""source"": ""来自浙江"", ""user"": {""id"": ""[6d55cdc953]"", ""screen_name"": ""[c6ffc12e8b]""}, ""text"": ""回复@邻居乍暖还寒:我也是，基本工作最长的一次是2年多"", ""reply_id"": 5022677157022888, ""reply_text"": ""我是断断续续工作"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[4a3a92ae63]"", ""created_at"": ""04-13"", ""source"": ""来自四川"", ""user"": {""id"": ""[36ec5d2839]"", ""screen_name"": ""[f5f3cc6d0e]""}, ""text"": ""我我我休学在家两年时间了"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[6f1705a3c3]"", ""created_at"": ""04-13"", ""source"": ""来自山西"", ""user"": {""id"": ""[1df2c2a0f8]"", ""screen_name"": ""[f87abc325c]""}, ""text"": ""我是断断续续工作"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-13 12:17:04
[454ab117e9],[c242eee907],"抑郁症
 有在山东省精卫住院的吗？每天我都不知道要干什么，就躺一天，虽然有好多人，但我还是觉得好孤独啊
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-12T17:27:32,抑郁症超话,0,7,"[{""id"": ""[c879483d96]"", ""created_at"": ""04-13"", ""source"": ""来自浙江"", ""user"": {""id"": ""[ba38893aee]"", ""screen_name"": ""[86bc0d0b5a]""}, ""text"": ""你还好么"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[acc848db91]"", ""created_at"": ""04-13"", ""source"": ""来自山东"", ""user"": {""id"": ""[7048d7a225]"", ""screen_name"": ""[2966635313]""}, ""text"": ""西西，每个人都孤独，姐姐也没有找到自己 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[084df5b3b0]"", ""created_at"": ""04-12"", ""source"": ""来自北京"", ""user"": {""id"": ""[753b7e8bd1]"", ""screen_name"": ""[894bab97bc]""}, ""text"": ""可以看看书，试试冥想之类的"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[9a16dbc081]"", ""created_at"": ""04-12"", ""source"": ""来自山东"", ""user"": {""id"": ""[c8745fdc2b]"", ""screen_name"": ""[7b71913bea]""}, ""text"": ""回复@云霄雨霁喵:哈 你也在这住过是吗"", ""reply_id"": 5022392476766274, ""reply_text"": ""回复@用户文西西:看电视看书，要不去打乒乓球"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[17d63f9481]"", ""created_at"": ""04-12"", ""source"": ""来自山西"", ""user"": {""id"": ""[2a17257421]"", ""screen_name"": ""[785b0e01e5]""}, ""text"": ""回复@用户文西西:看电视看书，要不去打乒乓球"", ""reply_id"": 5022392162195621, ""reply_text"": ""回复@云霄雨霁喵:我不能出去，重点关注，活动室能干啥呢，也是坐着发呆 [裂开]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[96273f0fec]"", ""created_at"": ""04-12"", ""source"": ""来自山东"", ""user"": {""id"": ""[c8745fdc2b]"", ""screen_name"": ""[7b71913bea]""}, ""text"": ""回复@云霄雨霁喵:我不能出去，重点关注，活动室能干啥呢，也是坐着发呆 [裂开]"", ""reply_id"": 5022390572814632, ""reply_text"": ""医院不是有活动室而且可以放风吗"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[c141abdf06]"", ""created_at"": ""04-12"", ""source"": ""来自山西"", ""user"": {""id"": ""[2a17257421]"", ""screen_name"": ""[785b0e01e5]""}, ""text"": ""医院不是有活动室而且可以放风吗"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-12 17:27:32
[e2ab021042],[30104620a9],"抑郁症
 以前从没想过，自己会治疗，会住院，更加感觉自己是个怪物了。 ",[9b2d5b4678],[af33ba4da5],[9b2d5b4678],,2024-04-10T17:48:57,抑郁症超话,3,5,"[{""id"": ""[b4703c41be]"", ""created_at"": ""04-11"", ""source"": ""来自山西"", ""user"": {""id"": ""[be6d613cd4]"", ""screen_name"": ""[ded4212ef1]""}, ""text"": ""你这样说我们超话里的人都是怪物了吗 我们只是生病了而已 就像感冒发烧一样自己控制不了 不要责怪自己 [抱抱]"", ""like_counts"": 1, ""liked"": false}, {""id"": ""[3c027717eb]"", ""created_at"": ""04-10"", ""source"": ""来自北京"", ""user"": {""id"": ""[753b7e8bd1]"", ""screen_name"": ""[894bab97bc]""}, ""text"": ""只是这段时间生病了，一切都会好起来的 [抱一抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[c22914f510]"", ""created_at"": ""04-10"", ""source"": ""来自湖南"", ""user"": {""id"": ""[0b5bd7f9d2]"", ""screen_name"": ""[517502b66e]""}, ""text"": ""别这么想兄弟，都会越来越好的加油！！！ [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[e66e068484]"", ""created_at"": ""04-10"", ""source"": ""来自山东"", ""user"": {""id"": ""[7048d7a225]"", ""screen_name"": ""[2966635313]""}, ""text"": ""加油💪"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[97af926931]"", ""created_at"": ""04-10"", ""source"": ""来自山东"", ""user"": {""id"": ""[69ddbd7d55]"", ""screen_name"": ""[ec3fdc72dc]""}, ""text"": "" [抱一抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-10 17:48:57
[4493b51b9d],[6e2dd86078],"抑郁症
 要住院了，6年了，第一次接受治疗 ",[9b2d5b4678],[96107a16c4],[9b2d5b4678],,2024-04-09T13:18:51,抑郁症超话,3,3,"[{""id"": ""[5f7752ff9c]"", ""created_at"": ""04-12"", ""source"": ""来自重庆"", ""user"": {""id"": ""[db4361c56a]"", ""screen_name"": ""[b2ff0c1168]""}, ""text"": ""已经往前迈出很大一步了"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[11e7d7d68e]"", ""created_at"": ""04-09"", ""source"": ""来自山东"", ""user"": {""id"": ""[c8745fdc2b]"", ""screen_name"": ""[7b71913bea]""}, ""text"": ""回复@Q羲曦夕汐C:我会积极配合治疗的"", ""reply_id"": 5021318368199521, ""reply_text"": ""希望你快点好起来 [抱一抱]"", ""like_counts"": 1, ""liked"": false}, {""id"": ""[652386a3d3]"", ""created_at"": ""04-09"", ""source"": ""来自北京"", ""user"": {""id"": ""[753b7e8bd1]"", ""screen_name"": ""[894bab97bc]""}, ""text"": ""希望你快点好起来 [抱一抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-09 13:18:51
[bc7e17e60f],[c9573d5d52],"抑郁症
 朋友们，我想去看病了，我在山东，想去济南，不知道该去哪个医院找哪个医生，请问可不可以给我点建议 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-08T15:48:13,抑郁症超话,2,5,"[{'id': 5021249049198602, 'created_at': '04-09', 'source': '来自山东', 'user': {'id': 7400268322, 'screen_name': '左家庄的右掌门'}, 'text': '省精卫的王丽娜医生很好', 'like_counts': 0, 'liked': False}, {'id': 5020990700524593, 'created_at': '04-08', 'source': '来自广东', 'user': {'id': 7887897657, 'screen_name': 'Mma5querade0'}, 'text': '超话置顶有推荐医院和医生的帖子', 'like_counts': 0, 'liked': False}, {'id': 5020969539731601, 'created_at': '04-08', 'source': '来自北京', 'user': {'id': 7189738416, 'screen_name': 'Q羲曦夕汐C'}, 'text': '回复@用户文西西:不用谢 [抱一抱]', 'reply_id': 5020947677446388, 'reply_text': '回复@Q羲曦夕汐C:谢谢曦曦 ""[苦涩]""', 'like_counts': 0, 'liked': False}, {'id': 5020947677446388, 'created_at': '04-08', 'source': '来自山东', 'user': {'id': 6380731629, 'screen_name': '用户文西西'}, 'text': '回复@Q羲曦夕汐C:谢谢曦曦 ""[苦涩]""', 'reply_id': 5020942067826926, 'reply_text': 'upup', 'like_counts': 0, 'liked': False}, {'id': 5020942067826926, 'created_at': '04-08', 'source': '来自北京', 'user': {'id': 7189738416, 'screen_name': 'Q羲曦夕汐C'}, 'text': 'upup', 'like_counts': 0, 'liked': False}]",0,,[9b2d5b4678],2024-04-08 15:48:13
[e1edc3cc85],[a9ddc0b5c4],"抑郁症
 刚尝试自缢，4次都失败了，第5次的时候被警察叔叔给救了，从发遗言到被救，也就几分钟的时间，警察叔叔都好敬业，陪我聊了很久，感觉很愧对他们，哎，被救的时候，感觉淡然了一些，开始对死亡恐惧了，过几天我还是去医院看看吧。 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-07T23:36:37,抑郁症超话,0,5,"[{""id"": ""[af1b8f37fd]"", ""created_at"": ""04-08"", ""source"": ""来自辽宁"", ""user"": {""id"": ""[957940ca90]"", ""screen_name"": ""[cde2dbd09e]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[f24f2f522a]"", ""created_at"": ""04-08"", ""source"": ""来自北京"", ""user"": {""id"": ""[753b7e8bd1]"", ""screen_name"": ""[894bab97bc]""}, ""text"": ""回复@用户文西西:加油！ [抱抱]"", ""reply_id"": 5020680048871529, ""reply_text"": ""回复@Q羲曦夕汐C:谢谢你 曦曦，我过两天就去医院看病"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[d03e15554b]"", ""created_at"": ""04-08"", ""source"": ""来自山东"", ""user"": {""id"": ""[c8745fdc2b]"", ""screen_name"": ""[7b71913bea]""}, ""text"": ""回复@Q羲曦夕汐C:谢谢你 曦曦，我过两天就去医院看病"", ""reply_id"": 5020674165310264, ""reply_text"": ""努力坚持活下来，未来一定会越来越好的！"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[6610e7f8f9]"", ""created_at"": ""04-07"", ""source"": ""来自北京"", ""user"": {""id"": ""[753b7e8bd1]"", ""screen_name"": ""[894bab97bc]""}, ""text"": ""努力坚持活下来，未来一定会越来越好的！"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[24d0cc7417]"", ""created_at"": ""04-07"", ""source"": ""来自北京"", ""user"": {""id"": ""[753b7e8bd1]"", ""screen_name"": ""[894bab97bc]""}, ""text"": ""去医院看看吧 [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-07 23:36:37
[fa55c20249],[07d36e8810],"经历过这一次，感觉通透了，对死亡有恐惧了，不敢再死了
 ",[9b2d5b4678],[3c0a7a71bf],[9b2d5b4678],,2024-04-07T20:41:04,iPhone客户端,0,4,"[{'id': 5021709889962401, 'created_at': '04-10', 'source': '来自山东', 'user': {'id': 5444258610, 'screen_name': '草莓味的桃子1021'}, 'text': ' [抱抱]', 'like_counts': 0, 'liked': False}, {'id': 5020772488446116, 'created_at': '04-08', 'source': '来自安徽', 'user': {'id': 7162371283, 'screen_name': '静等离开'}, 'text': ' ""[苦涩]""', 'like_counts': 0, 'liked': False}, {'id': 5020672413667790, 'created_at': '04-07', 'source': '来自北京', 'user': {'id': 7189738416, 'screen_name': 'Q羲曦夕汐C'}, 'text': '看着太痛了 [抱抱]', 'like_counts': 0, 'liked': False}, {'id': 5020669284714749, 'created_at': '04-07', 'source': '来自广东', 'user': {'id': 1832942715, 'screen_name': '支离破碎以后再见'}, 'text': ' [抱抱]', 'like_counts': 0, 'liked': False}]",0,,[9b2d5b4678],2024-04-07 20:41:04
[9e7a996084],[97ba161346],"抑郁症
 朋友们，6、7年了，我真的扛不住了，我想我差不多是时候了，希望你们都能好起来，晚安。 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-07T17:03:23,抑郁症超话,4,20,"[{'id': 5020622400784429, 'created_at': '04-07', 'source': '来自山西', 'user': {'id': 5252403199, 'screen_name': '已是雨后晴岚现'}, 'text': '回复@用户文西西:给你个抱抱哪怕让你开心一秒 [抱抱]', 'reply_id': 5020615126553454, 'reply_text': '被警察叔叔发现了 被救了 没事了朋友们 [允悲]', 'like_counts': 0, 'liked': False}, {'id': 5020622101417106, 'created_at': '04-07', 'source': '来自广东', 'user': {'id': 7338581116, 'screen_name': '缓解4'}, 'text': '回复@用户文西西:那就努力试试多活一下 ""[融化]""', 'reply_id': 5020615126553454, 'reply_text': '被警察叔叔发现了 被救了 没事了朋友们 [允悲]', 'like_counts': 0, 'liked': False}, {'id': 5020621933907367, 'created_at': '04-07', 'source': '来自浙江', 'user': {'id': 7898884122, 'screen_name': '真活化石渡渡鸟902号'}, 'text': '回复@用户文西西:那就好 [泪]', 'reply_id': 5020615126553454, 'reply_text': '被警察叔叔发现了 被救了 没事了朋友们 [允悲]', 'like_counts': 0, 'liked': False}, {'id': 5020615126553454, 'created_at': '04-07', 'source': '来自山东', 'user': {'id': 6380731629, 'screen_name': '用户文西西'}, 'text': '被警察叔叔发现了 被救了 没事了朋友们 [允悲]', 'like_counts': 1, 'liked': False}, {'id': 5020599202349736, 'created_at': '04-07', 'source': '来自中国香港', 'user': {'id': 7841604972, 'screen_name': '刺死天使'}, 'text': '晚安', 'like_counts': 0, 'liked': False}, {'id': 5020595253150147, 'created_at': '04-07', 'source': '来自黑龙江', 'user': {'id': 7495546169, 'screen_name': '白毛乱糟糟'}, 'text': '还好吗', 'like_counts': 0, 'liked': False}, {'id': 5020594472487145, 'created_at': '04-07', 'source': '来自广西', 'user': {'id': 2184309907, 'screen_name': '少年英雄小哪吒yuki'}, 'text': '换个地方，如何?', 'like_counts': 0, 'liked': False}, {'id': 5020594204316440, 'created_at': '04-07', 'source': '来自广东', 'user': {'id': 7338581116, 'screen_name': '缓解4'}, 'text': '好好的 [抱抱]', 'like_counts': 0, 'liked': False}, {'id': 5020591771355515, 'created_at': '04-07', 'source': '来自浙江', 'user': {'id': 7898884122, 'screen_name': '真活化石渡渡鸟902号'}, 'text': '不可以 [泪]', 'like_counts': 0, 'liked': False}, {'id': 5020586486532498, 'created_at': '04-07', 'source': '来自黑龙江', 'user': {'id': 7748673214, 'screen_name': '星银祈盼'}, 'text': '你还好吗？', 'like_counts': 0, 'liked': False}]",0,,[9b2d5b4678],2024-04-07 17:03:23
[4c216b87f6],[a0e67fd940],"抑郁症
 睡不着啊睡不着 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-04T04:48:49,抑郁症超话,1,2,"[{""id"": ""[b51ab235d8]"", ""created_at"": ""04-04"", ""source"": ""来自重庆"", ""user"": {""id"": ""[79732f59ac]"", ""screen_name"": ""[dc84d4dada]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[d9e6e98ad6]"", ""created_at"": ""04-04"", ""source"": ""来自河北"", ""user"": {""id"": ""[f628a900fc]"", ""screen_name"": ""[1b484c65a9]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-04 04:48:49
