id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[a9aab89aa5],[f6554cecd7],"我曾想过努力靠近，将就着的。可他始终不够喜欢我，我连闹情绪的资格都没有。
妈妈说我不想你将就，那就选一个爱自己的。可是我还会遇到吗？ ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-07T09:27:43,Android,0,0,,0,,[9b2d5b4678],2024-06-07 09:27:43
[ea96b6d2b2],[5b5070f9d8],握不住的沙，就扬了吧😃。 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-07T09:06:42,Android,0,0,,0,,[9b2d5b4678],2024-06-07 09:06:42
[b66042a195],[a91f358e2a],"胡思乱想难过的睡不着，喝了一袋感冒药催眠
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-07T00:46:51,Android,0,1,"[{""id"": ""[ce1d93011f]"", ""created_at"": ""19小时前"", ""source"": ""来自安徽"", ""user"": {""id"": ""[0d97f9a167]"", ""screen_name"": ""[7e203b41b0]""}, ""text"": ""把手机关机啦好梦哦 [可爱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-06-07 00:46:51
[a6149c0968],[9f1339afe0],傻瓜，我们共同经历了那么多，我怎么舍得重启你呢。 ,[9b2d5b4678],[f490218e82],[9b2d5b4678],,2024-06-07T00:22:48,Android,0,0,,0,,[9b2d5b4678],2024-06-07 00:22:48
[54150a6093],[68a982f686],"抑郁症
刚刚哭过感觉好晕
人活着为什么这么痛苦 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-07T00:08:38,抑郁症超话,1,3,"[{""id"": ""[502ab4ba75]"", ""created_at"": ""11小时前"", ""source"": ""来自安徽"", ""user"": {""id"": ""[0d97f9a167]"", ""screen_name"": ""[7e203b41b0]""}, ""text"": ""回复@Sandraaare: [悲伤]"", ""reply_id"": 5042431593286143, ""reply_text"": ""大概 人生来就是受苦的 抱抱呀 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[0da8aee5c2]"", ""created_at"": ""19小时前"", ""source"": ""来自重庆"", ""user"": {""id"": ""[5c238f14bc]"", ""screen_name"": ""[e7e74eb093]""}, ""text"": ""大概 人生来就是受苦的 抱抱呀 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[bd51a3cc03]"", ""created_at"": ""19小时前"", ""source"": ""来自安徽"", ""user"": {""id"": ""[0d97f9a167]"", ""screen_name"": ""[7e203b41b0]""}, ""text"": ""啊哈哈，半夜胡思乱想难过睡不着起来找不到安眠药，喝了一袋感冒药 [可爱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-06-07 00:08:38
[5007cd7afd],[a382673cb5],我该清楚，自己没有定位 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-06T21:42:08,Android,0,0,,0,,[9b2d5b4678],2024-06-06 21:42:08
[6d55fa1415],[c1818f124c],"没关系……你有我啊，我……很爱你啊……
。我会陪你长大，而不是教你长大。
如果哪一天累了就歇一歇，人生也不是非过不可。
我会陪着你开心，难过的。
亲爱的，慢慢长大，我会等你……
实在累了，咱们就走，没什么大不了。一副躯壳而已。
                                      致自己 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-04T23:48:17,Android,0,0,,0,,[9b2d5b4678],2024-06-04 23:48:17
[d4b9238849],[503e1159d8],"它的离开，始终是我接受不了的。五天内瘦了十斤，即使我不难受了，还是会知道我有多难过……
伤心过度……身体一下子出了问题。两个星期了……想起来还是很伤心。翻开网盘又见到它……还是会不自觉的落泪 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-24T00:05:54,Android,0,0,,0,,[9b2d5b4678],2024-05-24 00:05:54
[2eb25a7261],[e3cf4fa54d],"金丝熊
我以为我可以救它的……可是我还是没做到……2024/5/10……十一点零八分它彻底失去了生命体征……宝宝……别忘了来找我…… ",[9b2d5b4678],[74d708f7ac],[9b2d5b4678],,2024-05-10T11:35:51,金丝熊超话,6,6,"[{'id': 5032938876438375, 'created_at': '05-11', 'source': '来自安徽', 'user': {'id': 6305365256, 'screen_name': '沐汐不哭'}, 'text': '回复@柠檬v西:嗯嗯，谢谢你的安慰', 'reply_id': 5032938397768526, 'reply_text': '回复@沐汐不哭:没关系啊不要伤心至少它一生都是你 [泪]', 'like_counts': 0, 'liked': False}, {'id': 5032938397768526, 'created_at': '05-11', 'source': '来自吉林', 'user': {'id': 6474845591, 'screen_name': '柠檬v西'}, 'text': '回复@沐汐不哭:没关系啊不要伤心至少它一生都是你 [泪]', 'reply_id': 5032755469749929, 'reply_text': '去世后哭了一天把所有用品清理了，现在后知后觉的接受不了空荡荡的家 [泪]', 'like_counts': 0, 'liked': False}, {'id': 5032901798005234, 'created_at': '05-11', 'source': '来自安徽', 'user': {'id': 6305365256, 'screen_name': '沐汐不哭'}, 'text': '回复@zy_plumage:要是早点查出来那个病，也许有救的 ""[苦涩]""', 'reply_id': 5032897044286330, 'reply_text': '鼠鼠有你已经很幸福了 [抱抱]', 'like_counts': 0, 'liked': False}, {'id': 5032897044286330, 'created_at': '05-11', 'source': '来自河南', 'user': {'id': 2581987495, 'screen_name': 'zy_plumage'}, 'text': '鼠鼠有你已经很幸福了 [抱抱]', 'like_counts': 0, 'liked': False}, {'id': 5032755469749929, 'created_at': '05-11', 'source': '来自安徽', 'user': {'id': 6305365256, 'screen_name': '沐汐不哭'}, 'text': '去世后哭了一天把所有用品清理了，现在后知后觉的接受不了空荡荡的家 [泪]', 'like_counts': 0, 'liked': False}, {'id': 5032755208129258, 'created_at': '05-11', 'source': '来自安徽', 'user': {'id': 6305365256, 'screen_name': '沐汐不哭'}, 'text': '原本想把它火化带回来，可是没调整好火候，最后又把它埋在路边花坛里了。可是离家好远，它会不会不认识回来。', 'like_counts': 0, 'liked': False}]",0,,[9b2d5b4678],2024-05-10 11:35:51
[d157dfbc8b],[b052c84448],我一定能救它。 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-08T18:57:47,Android,0,0,,0,,[9b2d5b4678],2024-05-08 18:57:47
