id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[78e928020b],[78e6bcf908],"双相情感障碍
 有双相I型的交流一下经验吗  ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-21T10:05:44,双相情感障碍超话,0,0,,0,,[9b2d5b4678],2024-04-21 10:05:44
[4c3326123f],[b73086761b],"双相情感障碍
一型和二型有什么区别？  ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-20T21:38:06,双相情感障碍超话,0,1,"[{""id"": ""[0f7ff70991]"", ""created_at"": ""04-20"", ""source"": ""来自湖南"", ""user"": {""id"": ""[bd7b116055]"", ""screen_name"": ""[81fba19871]""}, ""text"": ""我记得的话应该是一个以躁狂为主，一个以抑郁为主"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-20 21:38:06
[ede9f983a2],[9553dd7dec],"双相情感障碍
有谁吃利培酮吗 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-13T21:21:55,双相情感障碍超话,4,5,"[{""id"": ""[5bd61784d5]"", ""created_at"": ""04-18"", ""source"": ""来自加拿大"", ""user"": {""id"": ""[622c465a96]"", ""screen_name"": ""[1d017408d2]""}, ""text"": ""吃过"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[099e6cf8aa]"", ""created_at"": ""04-14"", ""source"": ""来自广东"", ""user"": {""id"": ""[1bcc8ddba1]"", ""screen_name"": ""[e308f021f4]""}, ""text"": ""回复@蔷薇星球-520:40 [泪]"", ""reply_id"": 5022817923369148, ""reply_text"": ""回复@魚崽要开心_:你胖了多少？"", ""like_counts"": 1, ""liked"": false}, {""id"": ""[43d8dc6ae7]"", ""created_at"": ""04-13"", ""source"": ""来自贵州"", ""user"": {""id"": ""[2b0b09eac7]"", ""screen_name"": ""[15481e1a37]""}, ""text"": ""吃过"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[f1b4e82cea]"", ""created_at"": ""04-13"", ""source"": ""来自浙江"", ""user"": {""id"": ""[23905b234f]"", ""screen_name"": ""[7f4a1228db]""}, ""text"": ""回复@魚崽要开心_:你胖了多少？"", ""reply_id"": 5022813293644556, ""reply_text"": ""我"", ""like_counts"": 1, ""liked"": false}, {""id"": ""[f93703dd20]"", ""created_at"": ""04-13"", ""source"": ""来自广东"", ""user"": {""id"": ""[1bcc8ddba1]"", ""screen_name"": ""[e308f021f4]""}, ""text"": ""我"", ""like_counts"": 1, ""liked"": false}]",0,,[9b2d5b4678],2024-04-13 21:21:55
[adfde4d23f],[87fc756deb],"TF家族
Good morning. ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-13T09:25:21,TF家族超话,0,0,,0,,[9b2d5b4678],2024-04-13 09:25:21
[6cd205557e],[9e6d37d44f],"TF家族
大家好 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-13T09:23:03,TF家族超话,0,1,"[{""id"": ""[0cfc9789ec]"", ""created_at"": ""04-13"", ""source"": ""来自广西"", ""user"": {""id"": ""[a4d3d3f0e2]"", ""screen_name"": ""[cd08725dc9]""}, ""text"": ""你好"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-13 09:23:03
[409fce7061],[9e4e224266],"TF家族
有个简单的问题~ ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-13T09:12:40,TF家族超话,0,2,"[{""id"": ""[43fe756fad]"", ""created_at"": ""04-13"", ""source"": ""来自浙江"", ""user"": {""id"": ""[23905b234f]"", ""screen_name"": ""[7f4a1228db]""}, ""text"": ""回复@小卷卷_zz:它是不是一种味道还是引力~"", ""reply_id"": 5022626001192246, ""reply_text"": ""什么是爱情~"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[6abc4b9acd]"", ""created_at"": ""04-13"", ""source"": ""来自湖南"", ""user"": {""id"": ""[b2f2afa3ff]"", ""screen_name"": ""[b00a9bbd78]""}, ""text"": ""什么是爱情~"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-13 09:12:40
[a255034aeb],[1357d96103],"TF家族
诱惑力的睫毛~ ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-13T09:11:39,TF家族超话,0,3,"[{""id"": ""[0ab39e932a]"", ""created_at"": ""04-13"", ""source"": ""来自山东"", ""user"": {""id"": ""[6b2d3c88c7]"", ""screen_name"": ""[c932369c59]""}, ""text"": ""喵喵喵~"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[3500898162]"", ""created_at"": ""04-13"", ""source"": ""来自浙江"", ""user"": {""id"": ""[23905b234f]"", ""screen_name"": ""[7f4a1228db]""}, ""text"": ""回复@一起去宇宙冒险吧:我是一只性感小野猫~"", ""reply_id"": 5022625659095073, ""reply_text"": ""甜如蜜般的嘴角～"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[976bf153cb]"", ""created_at"": ""04-13"", ""source"": ""来自广东"", ""user"": {""id"": ""[8d207c9f5c]"", ""screen_name"": ""[763ba3bcc1]""}, ""text"": ""甜如蜜般的嘴角～"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-13 09:11:39
[69a90128dd],[bc949d5e26],"双相情感障碍
吃奥氮平之后胖了十几斤 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-05T16:10:37,双相情感障碍超话,2,3,"[{""id"": ""[db46269f4a]"", ""created_at"": ""04-05"", ""source"": ""来自福建"", ""user"": {""id"": ""[772df7c72e]"", ""screen_name"": ""[15934634bb]""}, ""text"": ""已经30了"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[4ed01badd2]"", ""created_at"": ""04-05"", ""source"": ""来自湖北"", ""user"": {""id"": ""[7ae0f61f33]"", ""screen_name"": ""[d0ead0f557]""}, ""text"": ""我胖了60斤又瘦下来了，现在130多 [允悲]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[b294650b7c]"", ""created_at"": ""04-05"", ""source"": ""来自广东"", ""user"": {""id"": ""[0ae90e3fbf]"", ""screen_name"": ""[024b17e88c]""}, ""text"": ""我胖了30斤 [允悲]"", ""like_counts"": 1, ""liked"": false}]",0,,[9b2d5b4678],2024-04-05 16:10:37
[fadc17c52a],[735e94ecba],"TF家族
上天不会无缘无故做莫名其妙的决定，他让你放弃或等待有些人不属于自己，但是遇见了驰弥足珍贵转瞬的即逝的相逢与离别，每个瞬间我都要珍惜。不在打扰是我的温柔后来月亮失约了，太阳也落山了失去才懂得珍惜跟他在一起之前问他有没有忘不掉的人，要不然半路突然杀出一个白月光，她不用哭 ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-05T16:01:12,TF家族超话,0,2,"[{""id"": ""[7ea6f79c40]"", ""created_at"": ""04-05"", ""source"": ""来自山东"", ""user"": {""id"": ""[c81fcc19a9]"", ""screen_name"": ""[10e2fdbaa7]""}, ""text"": ""回复@z知椿: [允悲]"", ""reply_id"": 5019829591871698, ""reply_text"": ""@清舟泛 跟他谈"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[2af9376a70]"", ""created_at"": ""04-05"", ""source"": ""来自湖北"", ""user"": {""id"": ""[7a5454baa6]"", ""screen_name"": ""[d8f40f96f4]""}, ""text"": ""@清舟泛 跟他谈"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-05 16:01:12
[f59a0c808a],[f122fa4ebc],"TF家族
跟他在一起之前问他有没有忘不掉的人，要不然半路突然杀出一个白月光，她不用哭，你必输🖤 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-05T16:01:04,TF家族超话,1,9,"[{""id"": ""[a475319a8c]"", ""created_at"": ""04-05"", ""source"": ""来自福建"", ""user"": {""id"": ""[848b147ebd]"", ""screen_name"": ""[753a5cac6e]""}, ""text"": ""回复@_雾漫春山:好呀"", ""reply_id"": 5019830535586438, ""reply_text"": ""回复@失温蝴蝶_:你呀你呀"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[8295f6e5d2]"", ""created_at"": ""04-05"", ""source"": ""来自安徽"", ""user"": {""id"": ""[5bc6b1f46a]"", ""screen_name"": ""[058bf50741]""}, ""text"": ""回复@失温蝴蝶_:你呀你呀"", ""reply_id"": 5019830383546587, ""reply_text"": ""回复@_雾漫春山:哦。那是谁"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[536125851b]"", ""created_at"": ""04-05"", ""source"": ""来自福建"", ""user"": {""id"": ""[848b147ebd]"", ""screen_name"": ""[753a5cac6e]""}, ""text"": ""回复@_雾漫春山:哦。那是谁"", ""reply_id"": 5019830283406330, ""reply_text"": ""回复@失温蝴蝶_:你问我是谁 [兔子]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[cd7f2a53d3]"", ""created_at"": ""04-05"", ""source"": ""来自安徽"", ""user"": {""id"": ""[5bc6b1f46a]"", ""screen_name"": ""[058bf50741]""}, ""text"": ""回复@失温蝴蝶_:你问我是谁 [兔子]"", ""reply_id"": 5019830094401839, ""reply_text"": ""回复@_雾漫春山:哇塞"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[19f59ce6e9]"", ""created_at"": ""04-05"", ""source"": ""来自福建"", ""user"": {""id"": ""[848b147ebd]"", ""screen_name"": ""[753a5cac6e]""}, ""text"": ""回复@_雾漫春山:哇塞"", ""reply_id"": 5019829755447336, ""reply_text"": ""回复@失温蝴蝶_:有吧 [疑问]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[6434f29d3b]"", ""created_at"": ""04-05"", ""source"": ""来自山东"", ""user"": {""id"": ""[c81fcc19a9]"", ""screen_name"": ""[10e2fdbaa7]""}, ""text"": ""回复@z知椿:死了"", ""reply_id"": 5019829767767182, ""reply_text"": ""@清舟泛 你的白月光呢"", ""like_counts"": 1, ""liked"": false}, {""id"": ""[f0abef13a4]"", ""created_at"": ""04-05"", ""source"": ""来自湖北"", ""user"": {""id"": ""[7a5454baa6]"", ""screen_name"": ""[d8f40f96f4]""}, ""text"": ""@清舟泛 你的白月光呢"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[c84279871a]"", ""created_at"": ""04-05"", ""source"": ""来自安徽"", ""user"": {""id"": ""[5bc6b1f46a]"", ""screen_name"": ""[058bf50741]""}, ""text"": ""回复@失温蝴蝶_:有吧 [疑问]"", ""reply_id"": 5019829579548408, ""reply_text"": ""@_雾漫春山 有没有忘不掉的人 [嘻嘻]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[235e000d7e]"", ""created_at"": ""04-05"", ""source"": ""来自福建"", ""user"": {""id"": ""[848b147ebd]"", ""screen_name"": ""[753a5cac6e]""}, ""text"": ""@_雾漫春山 有没有忘不掉的人 [嘻嘻]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-05 16:01:04
