id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[9e23b28077],[29af89ff79],"抑郁症
 该不该跟大学导员说自己抑郁 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-06T15:20:06,抑郁症超话,1,4,"[{""id"": ""[5f88cc1479]"", ""created_at"": ""06-07"", ""source"": ""来自辽宁"", ""user"": {""id"": ""[e44913d2d8]"", ""screen_name"": ""[8000b8c2f7]""}, ""text"": ""回复@buyaozhaodaowo88:OK OK"", ""reply_id"": 5042482696421607, ""reply_text"": ""我说了，然后什么事情都没有发生"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[2e5ee59ed6]"", ""created_at"": ""06-07"", ""source"": ""来自广东"", ""user"": {""id"": ""[9723d85dbb]"", ""screen_name"": ""[6649d56d29]""}, ""text"": ""我说了，然后什么事情都没有发生"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[1b6e85995d]"", ""created_at"": ""06-06"", ""source"": ""来自辽宁"", ""user"": {""id"": ""[e44913d2d8]"", ""screen_name"": ""[8000b8c2f7]""}, ""text"": ""或者被记档案"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[04b0a40876]"", ""created_at"": ""06-06"", ""source"": ""来自辽宁"", ""user"": {""id"": ""[e44913d2d8]"", ""screen_name"": ""[8000b8c2f7]""}, ""text"": ""会不会强制性让我退学"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-06-06 15:20:06
[7946c330e1],[1cce681e5c],"留言
想看看2027年6月5日的我还活着吗 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-05T19:45:45,iPhone 13,1,0,,0,,[9b2d5b4678],2024-06-05 19:45:45
[5cc467719f],[1e0071c236],好想死啊 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-03T16:40:09,iPhone 13,0,0,,0,,[9b2d5b4678],2024-06-03 16:40:09
[9f153f4082],[095fcc09d4],退学好像也没关系 我以后不想从事我的专业相关 我认为是在浪费时间 我不需要学历 好像没有那么重要 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-30T19:51:11,iPhone 13,0,0,,0,,[9b2d5b4678],2024-05-30 19:51:11
[a00a6c638c],[1943ef56ce],"我觉得人不管怎么样 伤心也好 难过也罢 你那个时候不回人信息可以 但是你过了那阵 不回人消息就是你人品有问题了 我好心好意安慰你 你是不是应该回复我 一天 三天 一个月你都回不了吗 当没看见一样继续发朋友圈 怎么想的 sb
我遇见好几个这样的 虽然我不会删你 但是我永远不会再搭理你了 我咋那么贱呢 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-29T17:37:15,iPhone 13,0,0,,0,,[9b2d5b4678],2024-05-29 17:37:15
[caab12fe5f],[3ac1620b0f],其实我就是想退学 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-28T07:57:17,iPhone 13,0,1,"[{""id"": ""[2a052247e1]"", ""created_at"": ""05-28"", ""source"": ""来自辽宁"", ""user"": {""id"": ""[e44913d2d8]"", ""screen_name"": ""[8000b8c2f7]""}, ""text"": ""累了"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-28 07:57:17
[00ebd1c0ab],[a800957290],为什么现在的人越来越没素质了 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-27T15:38:40,iPhone 13,0,1,"[{""id"": ""[775935d076]"", ""created_at"": ""05-27"", ""source"": ""来自辽宁"", ""user"": {""id"": ""[e44913d2d8]"", ""screen_name"": ""[8000b8c2f7]""}, ""text"": ""我感觉我真要死了"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-27 15:38:40
[596101e77c],[ee91c12dcb],"没干嘛 我好难受
我不想活了 我想死 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-26T15:50:53,iPhone 13,0,0,,0,,[9b2d5b4678],2024-05-26 15:50:53
[e005f8c465],[1fce538e1f],我觉得自己是全世界最差的人 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-26T00:28:55,iPhone 13,0,0,,0,,[9b2d5b4678],2024-05-26 00:28:55
[01a176c58f],[e1891b4491],我看别人越幸福我越难受 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-23T14:42:07,iPhone 13,0,0,,0,,[9b2d5b4678],2024-05-23 14:42:07
[f0f0938d79],[d1cbfd7cd1],"可是我14岁就抑郁了啊
我怎么那个不死呢 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-23T14:39:52,iPhone 13,0,0,,0,,[9b2d5b4678],2024-05-23 14:39:52
[63aa685053],[2ed07fccd1],什么时候才能瘦到100斤啊 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-23T14:35:57,iPhone 13,0,0,,0,,[9b2d5b4678],2024-05-23 14:35:57
[8afc81dab8],[681185d41d],好想死啊 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-23T14:19:37,iPhone 13,0,0,,0,,[9b2d5b4678],2024-05-23 14:19:37
[ee8c773ee0],[0e1c970884],好难受 好想死 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-22T22:15:40,iPhone 13,0,1,"[{""id"": ""[bce0491482]"", ""created_at"": ""05-22"", ""source"": ""来自辽宁"", ""user"": {""id"": ""[e44913d2d8]"", ""screen_name"": ""[8000b8c2f7]""}, ""text"": ""好窒息"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-22 22:15:40
[231cf9f647],[27b0cc5cb2],我不想学会计 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-22T20:07:49,iPhone 13,0,3,"[{""id"": ""[ca8820c4d3]"", ""created_at"": ""05-22"", ""source"": ""来自辽宁"", ""user"": {""id"": ""[e44913d2d8]"", ""screen_name"": ""[8000b8c2f7]""}, ""text"": ""回复@葱葱大眼仔:sb"", ""reply_id"": 5036923900398105, ""reply_text"": ""学啥不都得从一加一开始嘛 [加油]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[e3c90dcb90]"", ""created_at"": ""05-22"", ""source"": ""来自辽宁"", ""user"": {""id"": ""[e44913d2d8]"", ""screen_name"": ""[8000b8c2f7]""}, ""text"": ""回复@葱葱大眼仔:滚"", ""reply_id"": 5036923900398105, ""reply_text"": ""学啥不都得从一加一开始嘛 [加油]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[2902dd3af1]"", ""created_at"": ""05-22"", ""source"": ""来自北京"", ""user"": {""id"": ""[d0cccf2cc6]"", ""screen_name"": ""[b383d2765d]""}, ""text"": ""学啥不都得从一加一开始嘛 [加油]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-22 20:07:49
[6e1f2faf4b],[2d4e2420b3],没有学历 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-20T19:42:03,iPhone 13,0,2,"[{""id"": ""[83d5fe08f1]"", ""created_at"": ""05-20"", ""source"": ""来自辽宁"", ""user"": {""id"": ""[e44913d2d8]"", ""screen_name"": ""[8000b8c2f7]""}, ""text"": ""看见别人越幸福我越难受"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[a0a34a53e4]"", ""created_at"": ""05-20"", ""source"": ""来自辽宁"", ""user"": {""id"": ""[e44913d2d8]"", ""screen_name"": ""[8000b8c2f7]""}, ""text"": ""看着曾经抑郁的人越来越好我就难受"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-20 19:42:03
[d41fa4d75a],[5a37440cb3],在不被爱的世界里每天都想死 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-17T16:04:59,iPhone 13,0,0,,0,,[9b2d5b4678],2024-05-17 16:04:59
[7c9e4cc947],[d86b54df7f],退学是因为我感觉我毕不了业 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-17T11:49:50,iPhone 13,0,1,"[{""id"": ""[91d2ddeed2]"", ""created_at"": ""05-17"", ""source"": ""来自辽宁"", ""user"": {""id"": ""[e44913d2d8]"", ""screen_name"": ""[8000b8c2f7]""}, ""text"": ""我都接受了 接受了学理学 好难受"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-17 11:49:50
[d636ce7eec],[0b74d2a60c],可是我一点也不幸福 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-17T11:02:50,iPhone 13,0,0,,0,,[9b2d5b4678],2024-05-17 11:02:50
[b1663105ee],[c668bb789b],"我在想究竟什么样的人生我才会幸福
想了好久 好多
我发现没有 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-16T21:39:18,iPhone 13,0,1,"[{""id"": ""[d370c3d1fc]"", ""created_at"": ""05-16"", ""source"": ""来自辽宁"", ""user"": {""id"": ""[e44913d2d8]"", ""screen_name"": ""[8000b8c2f7]""}, ""text"": ""当编剧会幸福吗 也不会 有很多关注会幸福吗 也不会"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-16 21:39:18
[d703c5e635],[d1392cb4f0],小时候就没有得到正确的爱 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-16T19:07:27,iPhone 13,0,1,"[{""id"": ""[92033b9a75]"", ""created_at"": ""05-16"", ""source"": ""来自辽宁"", ""user"": {""id"": ""[e44913d2d8]"", ""screen_name"": ""[8000b8c2f7]""}, ""text"": ""所以看见别人越幸福 越痛苦"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-16 19:07:27
[ef7c0948c8],[aaef49c79b],我当然不想死 不想退学 给我逼死了 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-16T15:13:39,iPhone 13,0,0,,0,,[9b2d5b4678],2024-05-16 15:13:39
[eb9b0cc665],[9a9a3176a6],瘦到一百斤 美丽一次 就去死 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-15T20:03:20,iPhone 13,0,0,,0,,[9b2d5b4678],2024-05-15 20:03:20
[7f494395a8],[b356741926],退学 拜拜 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-14T18:22:34,iPhone 13,1,1,"[{""id"": ""[3db5ceba1b]"", ""created_at"": ""05-14"", ""source"": ""来自广东"", ""user"": {""id"": ""[87597b94d1]"", ""screen_name"": ""[0a0ae83bca]""}, ""text"": ""宝宝 [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-14 18:22:34
[8408ba5627],[19a8166dfd],大学想退学了 真的 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-08T00:41:58,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-05-08 00:41:58
