id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[347361ecae],[198341bb7b],芋8毒娃6芙46档1葡6梯1吒3拒kotoko 这素我函数宝宝们，lb里有撞的可以取关我啦 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-25T16:54:56,vivo S15,0,0,,0,,[9b2d5b4678],2024-04-25 16:54:56
[bb1f6e40ad],[a045ae9e45],"#微博会员有特权#气泡也要有仪式感！ 我正在使用“小蓝和他的朋友”#微博评论气泡# ，你也快设置上吧~ 
红帽小蓝
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-24T23:11:20,微博会员中心,0,1,"[{""id"": ""[23ea5ed453]"", ""created_at"": ""04-25"", ""source"": ""来自罗伯特"", ""user"": {""id"": ""[477a053a02]"", ""screen_name"": ""[7e4847dc54]""}, ""text"": ""蓝朋友，你终于找到组织了"", ""like_counts"": 0, ""liked"": false}]",0,"微博会员有特权,微博评论气泡",[9b2d5b4678],2024-04-24 23:11:20
[9342b547da],[6c732f3a94],"#微博会员有特权#2023年大家都会变幸运哦！快换上“萌二”#微博评论气泡#，将美好传递吧~ 
2023萌二
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-24T23:11:16,微博会员中心,0,0,,0,"微博会员有特权,微博评论气泡",[9b2d5b4678],2024-04-24 23:11:16
[62baa7bba8],[b238b81cce],"林书媛seowon
炸毛小兔
闹木kiyo～～ ",[9b2d5b4678],[a4f3280a5f],[9b2d5b4678],,2024-04-24T19:50:53,林书媛seowon超话,4,1,"[{""id"": ""[a08e32768c]"", ""created_at"": ""04-24"", ""source"": ""来自贵州"", ""user"": {""id"": ""[ff976636be]"", ""screen_name"": ""[ceac755a77]""}, ""text"": ""林书媛"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-24 19:50:53
[60d808252c],[3a06589cd3],"抑郁症
为什么你们都瘦了，我没瘦反而还胖了好多
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-24T19:36:13,抑郁症超话,1,2,"[{""id"": ""[69b7331e4f]"", ""created_at"": ""04-24"", ""source"": ""来自安徽"", ""user"": {""id"": ""[7c59ae39be]"", ""screen_name"": ""[0e228a3d59]""}, ""text"": ""我天天吃吃喝喝 [二哈]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[0d28ee9539]"", ""created_at"": ""04-24"", ""source"": ""来自福建"", ""user"": {""id"": ""[ba1df6bb54]"", ""screen_name"": ""[728060e744]""}, ""text"": ""+1 [晕]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-24 19:36:13
[2265550eee],[0c6e41446a],"陈三七
敏敏好美
 ",[9b2d5b4678],[12d6fe0470],[9b2d5b4678],,2024-04-23T23:04:07,陈三七超话,8,4,"[{""id"": ""[57ec9facea]"", ""created_at"": ""04-25"", ""source"": ""来自浙江"", ""user"": {""id"": ""[1f8b0fee11]"", ""screen_name"": ""[4700ce00bc]""}, ""text"": ""太美了 [好爱哦]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[86f9303c54]"", ""created_at"": ""04-24"", ""source"": ""来自河北"", ""user"": {""id"": ""[eb29a91d07]"", ""screen_name"": ""[cc761d4907]""}, ""text"": ""太美啦！"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[35b5cc0184]"", ""created_at"": ""04-24"", ""source"": ""来自湖北"", ""user"": {""id"": ""[7c7ea00a59]"", ""screen_name"": ""[71f9eeccbd]""}, ""text"": ""必须滴 [爱你]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[fb6749c6d5]"", ""created_at"": ""04-23"", ""source"": ""来自陕西"", ""user"": {""id"": ""[8b57cf67fd]"", ""screen_name"": ""[a1ce3cd9aa]""}, ""text"": "" [打call]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-23 23:04:07
[963d93ab75],[f82675dc89],"陈三七
“从此，我们再也没有异地过” ",[9b2d5b4678],[a6c5ae6f82],[9b2d5b4678],,2024-04-23T07:24:21,陈三七超话,34,5,"[{'id': 5026401786793678, 'created_at': '04-23', 'source': '来自陕西', 'user': {'id': 7784315015, 'screen_name': '江月歆竹'}, 'text': '回复@可爱小冻梨: [泪]', 'reply_id': 5026394952699599, 'reply_text': '每天都在羡慕中度过', 'like_counts': 0, 'liked': False}, {'id': 5026394952699599, 'created_at': '04-23', 'source': '来自山东', 'user': {'id': 5396555703, 'screen_name': '可爱小冻梨'}, 'text': '每天都在羡慕中度过', 'like_counts': 1, 'liked': False}, {'id': 5026295332733056, 'created_at': '04-23', 'source': '来自陕西', 'user': {'id': 7784315015, 'screen_name': '江月歆竹'}, 'text': '回复@O_刘哈哈_O: [亲亲]', 'reply_id': 5026239725175372, 'reply_text': '幸福的嘞', 'like_counts': 0, 'liked': False}, {'id': 5026239725175372, 'created_at': '04-23', 'source': '来自陕西', 'user': {'id': 6314163356, 'screen_name': 'O_刘哈哈_O'}, 'text': '幸福的嘞', 'like_counts': 1, 'liked': False}, {'id': 5026222508345874, 'created_at': '04-23', 'source': '来自陕西', 'user': {'id': 7784315015, 'screen_name': '江月歆竹'}, 'text': '一年只能见一面的异地情侣羡慕了 ""[苦涩]""', 'like_counts': 0, 'liked': False}]",0,,[9b2d5b4678],2024-04-23 07:24:21
[a3ddeeaf73],[6de966e2bf],"抑郁症
宝宝们真不能擅自停药....我前几天发了个帖子，问能不能私自停药，大家都说不行，我其实自己觉得这段时间我情况明显也变差了..今天去医院一检查，转双相了
医生现在让住院，我有点怕...能不能不住啊 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-21T19:22:17,抑郁症超话,1,3,"[{""id"": ""[ee9c605dbe]"", ""created_at"": ""04-23"", ""source"": ""来自陕西"", ""user"": {""id"": ""[1919ff57c3]"", ""screen_name"": ""[8087373a30]""}, ""text"": ""回复@采菊彤篱下: [抱一抱]"", ""reply_id"": 5025782202106017, ""reply_text"": ""是真的不能停（虽然我在停）双相之后我就停了，结果到现在凌晨四五点还失眠，比之前情况严重了很多 [允悲]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[f9ba3943aa]"", ""created_at"": ""04-22"", ""source"": ""来自浙江"", ""user"": {""id"": ""[16d0309c45]"", ""screen_name"": ""[d093679af1]""}, ""text"": ""是真的不能停（虽然我在停）双相之后我就停了，结果到现在凌晨四五点还失眠，比之前情况严重了很多 [允悲]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[aa37f0bffa]"", ""created_at"": ""04-21"", ""source"": ""来自河北"", ""user"": {""id"": ""[f628a900fc]"", ""screen_name"": ""[1b484c65a9]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-21 19:22:17
[bbdaf988bd],[53489dd7c2],"抑郁症
你们吃的褪黑素有用吗???我为什么感觉一点用都没有啊是什么情况嘞 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-19T22:34:04,抑郁症超话,0,3,"[{""id"": ""[dd3d882518]"", ""created_at"": ""04-21"", ""source"": ""来自浙江"", ""user"": {""id"": ""[98d7aad4dc]"", ""screen_name"": ""[10e3e7e2e7]""}, ""text"": ""一般而且吃了容易做梦"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[04f41d8212]"", ""created_at"": ""04-20"", ""source"": ""来自河北"", ""user"": {""id"": ""[d9895a9fa9]"", ""screen_name"": ""[282c9a639b]""}, ""text"": ""我吃也没用  扔了"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[28176b85ed]"", ""created_at"": ""04-19"", ""source"": ""来自天津"", ""user"": {""id"": ""[81168912cb]"", ""screen_name"": ""[f0780ac90a]""}, ""text"": ""哪个牌子的"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-19 22:34:04
[8c40ae3bc9],[5e0e560662],"抑郁症
可以不吃药吗，我自己擅自停药应该不会有什么危害吧
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-19T20:18:08,抑郁症超话,2,16,"[{'id': 5024974261193041, 'created_at': '04-19', 'source': '来自陕西', 'user': {'id': 7784315015, 'screen_name': '江月歆竹'}, 'text': '回复@阿俊要常安-:医生最开始开的那个药导致我有哮喘了，所以才不想吃，是不是要去医院重新开啊', 'reply_id': 5024973955009098, 'reply_text': '不要私自停药', 'like_counts': 0, 'liked': False}, {'id': 5024974191200393, 'created_at': '04-19', 'source': '来自上海', 'user': {'id': 6327294555, 'screen_name': '早点带了'}, 'text': '回复@江月歆竹:出现不好的反应就先不吃了吧，可以再去复诊换药哦 [抱一抱]', 'reply_id': 5024971629789528, 'reply_text': '回复@早点带了:还有就是那个药我回去吃了以后，就有哮喘了，才两天呢，不敢吃了都 ""[苦涩]""', 'like_counts': 0, 'liked': False}, {'id': 5024973955009098, 'created_at': '04-19', 'source': '来自安徽', 'user': {'id': 6377442424, 'screen_name': '阿俊要常安-'}, 'text': '不要私自停药', 'like_counts': 0, 'liked': False}, {'id': 5024971629789528, 'created_at': '04-19', 'source': '来自陕西', 'user': {'id': 7784315015, 'screen_name': '江月歆竹'}, 'text': '回复@早点带了:还有就是那个药我回去吃了以后，就有哮喘了，才两天呢，不敢吃了都 ""[苦涩]""', 'reply_id': 5024971160031982, 'reply_text': '不要随便断药的宝宝，对身体不好的 [抱一抱]', 'like_counts': 0, 'liked': False}, {'id': 5024971409067953, 'created_at': '04-19', 'source': '来自陕西', 'user': {'id': 7784315015, 'screen_name': '江月歆竹'}, 'text': '回复@早点带了:主要是我也没有吃多长时间，大概2天或者三天?我记性很差，老是忘记吃，索性就不吃啦', 'reply_id': 5024971160031982, 'reply_text': '不要随便断药的宝宝，对身体不好的 [抱一抱]', 'like_counts': 0, 'liked': False}, {'id': 5024971160031982, 'created_at': '04-19', 'source': '来自上海', 'user': {'id': 6327294555, 'screen_name': '早点带了'}, 'text': '不要随便断药的宝宝，对身体不好的 [抱一抱]', 'like_counts': 0, 'liked': False}]",0,,[9b2d5b4678],2024-04-19 20:18:08
