id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[1e50ac3992],[56995f7d67],"抑郁症
真的不想活了
不吃东西身体痛，吃了东西就犯恶心总想呕吐
活着一点也不快乐 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-02T19:41:22,抑郁症超话,3,3,"[{""id"": ""[c1ea1641eb]"", ""created_at"": ""06-02"", ""source"": ""来自马来西亚"", ""user"": {""id"": ""[eea5144c8f]"", ""screen_name"": ""[b2eef95f98]""}, ""text"": ""抱抱宝贝可以的话每天定时吃一点儿吧 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[00be5b8a91]"", ""created_at"": ""06-02"", ""source"": ""来自河北"", ""user"": {""id"": ""[865987c8eb]"", ""screen_name"": ""[7a7ec866ea]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[4fea660ae3]"", ""created_at"": ""06-02"", ""source"": ""来自北京"", ""user"": {""id"": ""[0cb65196b3]"", ""screen_name"": ""[314fa6570e]""}, ""text"": ""🤝"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-06-02 19:41:22
[bf78f076f0],[283d28c5ab],"抑郁症
我躯体化好严重，真的不想活了每天都好难受，都不知道跟谁说
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-26T08:17:26,抑郁症超话,0,2,"[{""id"": ""[4fa9ce80ac]"", ""created_at"": ""05-28"", ""source"": ""来自湖北"", ""user"": {""id"": ""[bcef150b0d]"", ""screen_name"": ""[15ab4a24c7]""}, ""text"": ""我觉得好像一切都无所谓了 [失望]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[6688bf27cb]"", ""created_at"": ""05-26"", ""source"": ""来自辽宁"", ""user"": {""id"": ""[6bd112391d]"", ""screen_name"": ""[bf4e993b84]""}, ""text"": ""孩子，想倾诉的话随时可以找我，可能每个人的状况不一样，我可能并不十分理解你的感受，但我愿意听你倾诉"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-26 08:17:26
[254700c3de],[6e847dcf64],"抑郁症
走不出来，就是沉迷抑郁的感觉吗？
什么时候抑郁症也成了自己给自己设置的人设了 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-26T01:33:19,抑郁症超话,24,18,"[{""id"": ""[7ca8f6ea30]"", ""created_at"": ""05-29"", ""source"": ""来自山西"", ""user"": {""id"": ""[728ab50673]"", ""screen_name"": ""[a804313d5d]""}, ""text"": ""可以念念地藏经净化一下磁场"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[61039b9c36]"", ""created_at"": ""05-28"", ""source"": ""来自湖北"", ""user"": {""id"": ""[bcef150b0d]"", ""screen_name"": ""[15ab4a24c7]""}, ""text"": ""我不知道，我好像也是这样好痛苦 [失望]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[c761412064]"", ""created_at"": ""05-27"", ""source"": ""来自内蒙古"", ""user"": {""id"": ""[f08ad9c19a]"", ""screen_name"": ""[b13d028154]""}, ""text"": ""抱抱 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[ca706ffa01]"", ""created_at"": ""05-26"", ""source"": ""来自湖南"", ""user"": {""id"": ""[b758e2ce30]"", ""screen_name"": ""[5f02d24f7e]""}, ""text"": ""回复 @被大黑狗追赶的小破孩:抱抱，但无论如何这都不是我们的错"", ""reply_id"": 5038194284299218, ""reply_text"": ""回复@发因丝毯:真的很难受 [泪]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[f99e60f011]"", ""created_at"": ""05-26"", ""source"": ""来自湖南"", ""user"": {""id"": ""[040b1aece7]"", ""screen_name"": ""[8166a2c3f4]""}, ""text"": ""回复@给我一瓶娃哈哈哈哈哈:嗯 [泪]"", ""reply_id"": 5038096871064861, ""reply_text"": ""是保护我们自己的一种手段"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[9bf8828dc6]"", ""created_at"": ""05-26"", ""source"": ""来自湖南"", ""user"": {""id"": ""[040b1aece7]"", ""screen_name"": ""[8166a2c3f4]""}, ""text"": ""回复@发因丝毯:真的很难受 [泪]"", ""reply_id"": 5038095218773282, ""reply_text"": ""我也有类似的感觉，抱抱～"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[7a1a0f829c]"", ""created_at"": ""05-26"", ""source"": ""来自辽宁"", ""user"": {""id"": ""[6bd112391d]"", ""screen_name"": ""[bf4e993b84]""}, ""text"": ""是保护我们自己的一种手段"", ""like_counts"": 5, ""liked"": false}, {""id"": ""[32bf7979ff]"", ""created_at"": ""05-26"", ""source"": ""来自湖南"", ""user"": {""id"": ""[b758e2ce30]"", ""screen_name"": ""[5f02d24f7e]""}, ""text"": ""我也有类似的感觉，抱抱～"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-26 01:33:19
[635d9ec0d0],[3ad9d8b8ba],"抑郁症
幻听好严重 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-26T01:29:01,抑郁症超话,1,1,"[{""id"": ""[c199cad374]"", ""created_at"": ""05-26"", ""source"": ""来自山东"", ""user"": {""id"": ""[69ddbd7d55]"", ""screen_name"": ""[ec3fdc72dc]""}, ""text"": "" [抱一抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-26 01:29:01
[98f8710d52],[94a170efd0],"抑郁症
做梦梦见自己被人羞辱 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-23T10:53:41,抑郁症超话,2,1,"[{""id"": ""[2cd98bcda5]"", ""created_at"": ""05-23"", ""source"": ""来自四川"", ""user"": {""id"": ""[0e336d131f]"", ""screen_name"": ""[0f4ada1bf3]""}, ""text"": "" [傻眼]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-23 10:53:41
[6eccb8957e],[93c3cbf271],他说要带我离开这里，真的吗 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-23T01:26:12,Redmi K60,1,0,,0,,[9b2d5b4678],2024-05-23 01:26:12
[1be6dcf011],[2c207128fa],想自杀 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-22T11:40:49,Redmi K60,0,0,,0,,[9b2d5b4678],2024-05-22 11:40:49
[b563dbefd8],[8327d45234],郁郁寡欢 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-20T17:30:08,Redmi K60,0,0,,0,,[9b2d5b4678],2024-05-20 17:30:08
[4cf00ec7d7],[e87021d3cc],"我无法跟任何人完全的剖析我自己，我无法回忆深刻的痛苦揭开伤疤，可是结痂内的脓疮在不断的侵蚀我
真的很痛，我活着的每一天没有一天不痛，为什么要活着，为什么我不能死去 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-18T11:52:28,Redmi K60,1,0,,0,,[9b2d5b4678],2024-05-18 11:52:28
[38e282e927],[2fbed757e5],"抑郁症
活着却又死了，死了却没彻底死去 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-12T23:25:06,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-05-12 23:25:06
[73783251d8],[c80a434e13],"抑郁症
为什么为什么，究竟为什么呀 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-12T23:23:36,抑郁症超话,1,0,,0,,[9b2d5b4678],2024-05-12 23:23:36
[e0aaa687b1],[057dac306e],"抑郁症
为什么我走不出来呀 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-12T23:23:10,抑郁症超话,7,11,"[{""id"": ""[cc8e3ba367]"", ""created_at"": ""05-12"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",1,,[9b2d5b4678],2024-05-12 23:23:10
[08477d2824],[e27d82d0c1],我需要事事有回应，件件有着落的感情 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-12T21:27:35,Redmi K60,0,0,,0,,[9b2d5b4678],2024-05-12 21:27:35
