id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[1f91746934],[8653ce96af],"抑郁症
 你说为什么通往幸福的路那么难走 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-08T22:35:20,抑郁症超话,1,1,"[{""id"": ""[22b025818e]"", ""created_at"": ""04-08"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-08 22:35:20
[a17664b846],[23757d11cf],"抑郁症
 除了不断的zc我还能干嘛 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-28T00:59:41,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-03-28 00:59:41
[f52d60ad5a],[d38d4d7126],"抑郁症
 花很多很多的钱，过很烂很烂的人生 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-27T12:34:28,抑郁症超话,2,0,,0,,[9b2d5b4678],2024-03-27 12:34:28
[6f9bbbbb98],[00081b5960],"抑郁症
 我把日子过的好糟糕 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-27T00:19:01,抑郁症超话,0,6,"[{""id"": ""[ae9f1f6528]"", ""created_at"": ""03-27"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""我也是"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[f4c3467da3]"", ""created_at"": ""03-27"", ""source"": ""来自安徽"", ""user"": {""id"": ""[c681cd9909]"", ""screen_name"": ""[f860db2c42]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[e04afa81d9]"", ""created_at"": ""03-27"", ""source"": ""来自湖南"", ""user"": {""id"": ""[0b5bd7f9d2]"", ""screen_name"": ""[517502b66e]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[9e71cd20e1]"", ""created_at"": ""03-27"", ""source"": ""来自浙江"", ""user"": {""id"": ""[fe1957d9b8]"", ""screen_name"": ""[b1ee140b61]""}, ""text"": ""没有啊 你能做到这样已经很棒啦 [抱一抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[1c07b07bae]"", ""created_at"": ""03-27"", ""source"": ""来自内蒙古"", ""user"": {""id"": ""[d9a8258b7b]"", ""screen_name"": ""[93c3daae8f]""}, ""text"": ""抱抱 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[066ed43ebe]"", ""created_at"": ""03-27"", ""source"": ""来自山东"", ""user"": {""id"": ""[69ddbd7d55]"", ""screen_name"": ""[ec3fdc72dc]""}, ""text"": "" [抱一抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-03-27 00:19:01
[4ef18fdd09],[7872cc596d],"抑郁症
 这日子过的好崩溃，手没有力气了，好累，不想复诊，想cos晴天娃娃，想zc也没有力气，我服了，不想活，不想从床上起来吃药，让我死吧，尸体都臭了 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-26T23:49:37,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-03-26 23:49:37
[17558092e7],[7adc7f1872],"抑郁症
 我去，现在这是再搞什么，药吃完了，然后睡不着，特别兴奋（我觉得应该是躁期）但是又zc然后开始来回踱步，然后跳舞，或者cos晴天娃娃，到嘴唇发麻，然后继续踱步。分不清是什么期了我去 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-26T01:30:01,抑郁症超话,0,2,"[{""id"": ""[3b462b9849]"", ""created_at"": ""03-26"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[3f01dd73c6]"", ""created_at"": ""03-26"", ""source"": ""来自中国"", ""user"": {""id"": ""[1342a77c53]"", ""screen_name"": ""[838a7f7bd6]""}, ""text"": ""两点钟睡了"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-03-26 01:30:01
[87e6a64696],[b4955b8320],"抑郁症
 睡不着睡不着睡不着睡不着睡不着睡不着睡不着睡不着睡不着睡不着睡不着睡不着在思考明天早上要不要买咖啡，上周每天都是一天八节课能睡五节，真的是受够了 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-25T02:19:22,抑郁症超话,0,4,"[{""id"": ""[734e914e2b]"", ""created_at"": ""03-25"", ""source"": ""来自广东"", ""user"": {""id"": ""[dbbf004b88]"", ""screen_name"": ""[5bc7d2290d]""}, ""text"": ""回复@雪顶生椰拿铁: [抱抱]"", ""reply_id"": 5015953010331900, ""reply_text"": ""回复@雪梦冰姬小可爱:我也想什么都不想"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[3a2e8fba66]"", ""created_at"": ""03-25"", ""source"": ""来自广东"", ""user"": {""id"": ""[1342a77c53]"", ""screen_name"": ""[838a7f7bd6]""}, ""text"": ""回复@雪梦冰姬小可爱:我也想什么都不想"", ""reply_id"": 5015714310130261, ""reply_text"": ""睡觉的时候什么事情都不要想，过一会自然就睡着了"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[dc85e4dbdd]"", ""created_at"": ""03-25"", ""source"": ""来自广东"", ""user"": {""id"": ""[dbbf004b88]"", ""screen_name"": ""[5bc7d2290d]""}, ""text"": ""睡觉的时候什么事情都不要想，过一会自然就睡着了"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[73aa32b445]"", ""created_at"": ""03-25"", ""source"": ""来自新加坡"", ""user"": {""id"": ""[8e8ec9913c]"", ""screen_name"": ""[913758660d]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-03-25 02:19:22
[c3d3a3f40b],[e772998214],"抑郁症
 在学校正常了一周，爆炸了，好累，每天已经总是在睡了 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-23T00:53:29,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-03-23 00:53:29
[05ef9a8e2e],[a9c0973beb],"抑郁症
 就一年，就干成这样，算是完了 ",[9b2d5b4678],[9ff3f9f0be],[9b2d5b4678],,2024-03-12T16:42:28,抑郁症超话,0,1,"[{""id"": ""[eb00d61967]"", ""created_at"": ""03-12"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-03-12 16:42:28
[e39ddda900],[5518cb22d8],"抑郁症
 我准备好了，但是再给我一次求救的机会吧 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-08T23:01:00,抑郁症超话,0,1,"[{""id"": ""[64fe08559f]"", ""created_at"": ""03-08"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-03-08 23:01:00
[2b40c8fad6],[8de80bc074],"抑郁症
 变成地下党咯 ",[9b2d5b4678],[be3592b8e1],[9b2d5b4678],,2024-03-03T14:28:16,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-03-03 14:28:16
[2b08912d70],[18b20c9cad],"抑郁症
 我不想读书了 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-02T00:54:35,抑郁症超话,0,3,"[{""id"": ""[44b1944008]"", ""created_at"": ""03-03"", ""source"": ""来自广东"", ""user"": {""id"": ""[1342a77c53]"", ""screen_name"": ""[838a7f7bd6]""}, ""text"": ""回复@挽风留不在:不可能哒，我妈不会给的"", ""reply_id"": 5007338072703197, ""reply_text"": ""宝宝可以先试一下休学 [抱一抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[a920582aa7]"", ""created_at"": ""03-02"", ""source"": ""来自湖北"", ""user"": {""id"": ""[0f2c6a65ff]"", ""screen_name"": ""[6bfc5e4236]""}, ""text"": ""宝宝可以先试一下休学 [抱一抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[bc44a55f9c]"", ""created_at"": ""03-02"", ""source"": ""来自湖北"", ""user"": {""id"": ""[7486d8ede4]"", ""screen_name"": ""[b53832d9d0]""}, ""text"": ""没关系，不读书也可以活得好好的，做让自己开心的事呀宝宝"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-03-02 00:54:35
[96994fa854],[640bfe3223],"抑郁症
 曾经那么晕血的一个人，现在看着血从手腕处滴下却无动于衷 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-02-25T04:21:33,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-02-25 04:21:33
[143de92a8d],[26c95e749c],"抑郁症
 破开的伤口一道又一道，我到底在悲伤什么 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-02-25T04:07:57,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-02-25 04:07:57
[89f058de0f],[017c91ac25],"抑郁症
 好崩溃，作业补不完 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-02-18T00:40:40,抑郁症超话,0,2,"[{""id"": ""[ee7baffe09]"", ""created_at"": ""02-18"", ""source"": ""来自河北"", ""user"": {""id"": ""[ae304d8dae]"", ""screen_name"": ""[ee340fe098]""}, ""text"": ""写不完也没事的"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[8d8c0f640d]"", ""created_at"": ""02-18"", ""source"": ""来自山东"", ""user"": {""id"": ""[e2f8136b2d]"", ""screen_name"": ""[fab854feed]""}, ""text"": ""尽力就好宝宝"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-02-18 00:40:40
[603d9b96ba],[4bf9aeb827],"接龙接好运！转发接龙微博，收获惊喜【开新年红包】
 来#转发接龙开新年# 看海量趣味接龙内容，更有超多接龙福利，明天我还要接着来#微博开新年# 
新年接龙大会
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-02-08T22:34:35,微博品牌活动,0,0,,0,"转发接龙开新年,微博开新年",[9b2d5b4678],2024-02-08 22:34:35
[a2c50abac4],[1b4b1e0779],"抑郁症
 感觉随时都能死去 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-02-04T01:03:13,抑郁症超话,0,1,"[{""id"": ""[18fb543d3b]"", ""created_at"": ""02-04"", ""source"": ""来自河南"", ""user"": {""id"": ""[9d9f1a869b]"", ""screen_name"": ""[87e810adca]""}, ""text"": ""抱一抱再坚持坚持。一起加油 [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-02-04 01:03:13
[095cfb195f],[5097bf4ee1],"抑郁症
 以前总是说，只要猫猫还在我身边，我就不可以去死。但是猫猫离开一个多月了，我真的好想它，我累了，生活没有不如意，家庭关系也好，人际交往也还行。但是我就是累了，不想活在没有它的世界了 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-02-03T21:14:16,抑郁症超话,0,1,"[{""id"": ""[47c4d1c09f]"", ""created_at"": ""02-04"", ""source"": ""来自河南"", ""user"": {""id"": ""[780a555ddb]"", ""screen_name"": ""[a03528eb83]""}, ""text"": ""抱抱 [抱一抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-02-03 21:14:16
[d8d435eb37],[c496d0594c],"抑郁症
 很想活吗？其实也没有 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-02-03T02:34:06,抑郁症超话,0,2,"[{""id"": ""[f4eaa075d4]"", ""created_at"": ""02-03"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""抱抱抱 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[c20081f205]"", ""created_at"": ""02-03"", ""source"": ""来自河北"", ""user"": {""id"": ""[865987c8eb]"", ""screen_name"": ""[7a7ec866ea]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-02-03 02:34:06
[85798f96f1],[d4fb6f7c9a],"抑郁症
 我也不知道割多少下才能停止哭泣 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-01-25T21:10:26,抑郁症超话,0,1,"[{""id"": ""[562a0b87e9]"", ""created_at"": ""01-25"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""不要伤害自己 [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-01-25 21:10:26
[1c9699b003],[819b59b8f3],"抑郁症
 不想累了，想死 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-01-25T16:21:08,抑郁症超话,1,1,"[{""id"": ""[ffaa9d31d7]"", ""created_at"": ""01-25"", ""source"": ""来自河南"", ""user"": {""id"": ""[5fe5503730]"", ""screen_name"": ""[1b03ccfc4d]""}, ""text"": ""相信自己，相信未来 [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-01-25 16:21:08
[00affb1a84],[337633c6da],"抑郁症
 cos太宰治
 ",[9b2d5b4678],[858a5fc8e1],[79848737a7],,2024-01-25T09:48:33,抑郁症超话,1,0,,0,,[9b2d5b4678],2024-01-25 09:48:33
