id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[621410320d],[5bf895d0f5],"要在这里说一句
想让你好
同时 也希望我好
所以 我期待我们好起来一起玩的那一天
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-12T03:01:12,Redmi K40 Pro,1,2,"[{""id"": ""[3209bc4d71]"", ""created_at"": ""04-13"", ""source"": ""来自陕西"", ""user"": {""id"": ""[b00f177a3c]"", ""screen_name"": ""[e22d282ff7]""}, ""text"": ""回复@评论罗伯特:一起活出多样且美丽的人生吧！"", ""reply_id"": 5022306408074487, ""reply_text"": ""希望我们的心情都能像彩虹一样"", ""like_counts"": 1, ""liked"": false}, {""id"": ""[768c28a36a]"", ""created_at"": ""04-12"", ""source"": ""来自罗伯特"", ""user"": {""id"": ""[477a053a02]"", ""screen_name"": ""[7e4847dc54]""}, ""text"": ""希望我们的心情都能像彩虹一样"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-12 03:01:12
[38ad901025],[cc6c8a8308],"好累
我也好想死啊 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-05T05:08:26,Redmi K40 Pro,0,0,,0,,[9b2d5b4678],2024-04-05 05:08:26
[abb75825a5],[cf7a412ea5],有时候真的觉得自己挺癫的 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-02T02:16:44,Redmi K40 Pro,0,0,,0,,[9b2d5b4678],2024-04-02 02:16:44
[d5485fa594],[bd4d360234],"抑郁症
换药了
好想知道自己怎么了到底
所以这些药是治什么啊
我一会儿喜气洋洋一会儿要死不活 能行吗 ",[9b2d5b4678],[9446532624],[9b2d5b4678],,2024-04-01T19:02:14,抑郁症超话,1,9,"[{""id"": ""[33130a3938]"", ""created_at"": ""04-08"", ""source"": ""来自江苏"", ""user"": {""id"": ""[2b6af04cb1]"", ""screen_name"": ""[63051fcd55]""}, ""text"": ""焦虑"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[5a7b8c9c68]"", ""created_at"": ""04-07"", ""source"": ""来自浙江"", ""user"": {""id"": ""[a4cb71388d]"", ""screen_name"": ""[a7051b86fb]""}, ""text"": ""喹硫平改善情绪＋睡眠"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[b01c30111a]"", ""created_at"": ""04-06"", ""source"": ""来自天津"", ""user"": {""id"": ""[1a9ae70182]"", ""screen_name"": ""[b3e03e0e0a]""}, ""text"": ""焦虑的"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[aba2755c28]"", ""created_at"": ""04-06"", ""source"": ""来自广东"", ""user"": {""id"": ""[2f11e1b905]"", ""screen_name"": ""[e61fe79ad5]""}, ""text"": ""医生说我双相的时候吃过，其实我双相不明显，后来就不吃了也没有双相了"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[0d93b26615]"", ""created_at"": ""04-06"", ""source"": ""来自河北"", ""user"": {""id"": ""[f628a900fc]"", ""screen_name"": ""[1b484c65a9]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[ff50d29043]"", ""created_at"": ""04-06"", ""source"": ""来自山东"", ""user"": {""id"": ""[fbe01dbf01]"", ""screen_name"": ""[7a6780c7ce]""}, ""text"": ""这组药我也在吃。。。可能个人情况不同，我疗效不明显"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[c88cc049a1]"", ""created_at"": ""04-01"", ""source"": ""来自广东"", ""user"": {""id"": ""[b596c967a2]"", ""screen_name"": ""[eef7c27d62]""}, ""text"": ""Emmm..会有一点副作用..头痛恶心荨麻疹什么的 就按医嘱加油吧！！会好的。 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[b21b220fb6]"", ""created_at"": ""04-01"", ""source"": ""来自北京"", ""user"": {""id"": ""[6b3ec15099]"", ""screen_name"": ""[694e36dd45]""}, ""text"": ""抑郁焦虑"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[a11a71c93b]"", ""created_at"": ""04-01"", ""source"": ""来自陕西"", ""user"": {""id"": ""[b00f177a3c]"", ""screen_name"": ""[e22d282ff7]""}, ""text"": ""感觉这样下去不得行，希望你啥事都没 [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-01 19:02:14
[09b4c864a9],[321e96cd95],"抑郁症
医生给开了喹硫平诶
所以是真的转了双相吗 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-01T13:35:24,抑郁症超话,1,3,"[{""id"": ""[9907cae427]"", ""created_at"": ""04-01"", ""source"": ""来自广东"", ""user"": {""id"": ""[1d77349050]"", ""screen_name"": ""[76d8d94064]""}, ""text"": ""转躁不会吃文拉法辛的"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[fce60d089f]"", ""created_at"": ""04-01"", ""source"": ""来自新疆"", ""user"": {""id"": ""[5d9ce0055e]"", ""screen_name"": ""[86fdd0acaa]""}, ""text"": ""回复@Loxhfsiv:嗷嗷 但是我问了医生也没跟我说到底现在什么程度 只是把帕罗西汀换成了文拉法辛和喹硫平 [泪]"", ""reply_id"": 5018359353311913, ""reply_text"": ""不一定，也可能是当做抗抑郁药的增效剂。"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[3084d91aeb]"", ""created_at"": ""04-01"", ""source"": ""来自浙江"", ""user"": {""id"": ""[393f6bc05b]"", ""screen_name"": ""[efdd1428d2]""}, ""text"": ""不一定，也可能是当做抗抑郁药的增效剂。"", ""like_counts"": 1, ""liked"": false}]",0,,[9b2d5b4678],2024-04-01 13:35:24
[56cb5bdde8],[5023eb3767],"抑郁症
今天蛮有纪念意义的
所以再救自己一次吧 ",[9b2d5b4678],[69914a8093],[9b2d5b4678],,2024-03-30T01:47:56,抑郁症超话,1,5,"[{""id"": ""[81080edb62]"", ""created_at"": ""04-04"", ""source"": ""来自河南"", ""user"": {""id"": ""[8d220763c5]"", ""screen_name"": ""[a522532fc8]""}, ""text"": ""加油"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[6e9748a60c]"", ""created_at"": ""03-30"", ""source"": ""来自新疆"", ""user"": {""id"": ""[5d9ce0055e]"", ""screen_name"": ""[86fdd0acaa]""}, ""text"": ""回复@-FuyanRan: [抱一抱]"", ""reply_id"": 5017622707964009, ""reply_text"": ""加油 [抱一抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[44ca54240b]"", ""created_at"": ""03-30"", ""source"": ""来自湖南"", ""user"": {""id"": ""[ba1df6bb54]"", ""screen_name"": ""[728060e744]""}, ""text"": ""加油 [抱一抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[036393fa61]"", ""created_at"": ""03-30"", ""source"": ""来自新疆"", ""user"": {""id"": ""[5d9ce0055e]"", ""screen_name"": ""[86fdd0acaa]""}, ""text"": ""回复@荔枝茄茄s:你也是一切顺利 [抱一抱]"", ""reply_id"": 5017448147583673, ""reply_text"": ""加油！"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[43074b399e]"", ""created_at"": ""03-30"", ""source"": ""来自德国"", ""user"": {""id"": ""[3ba73b91c8]"", ""screen_name"": ""[004ffbded2]""}, ""text"": ""加油！"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-03-30 01:47:56
[32864ad498],[1348de2ca0],"抑郁症
不是……我真的服了
为什么白天和别人在一起的时候会乱七八糟说好多好多话
但是我明明就不想说话 不想动啊
说不清楚乱七八糟的
每天每时每刻待着的时候就想哭
我真的觉得自己很装很癫 就是控制不住的那种
真的有点想不明白 真的很烦自己这样 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-29T02:05:48,抑郁症超话,4,14,"[{""id"": ""[7bc3d729f0]"", ""created_at"": ""03-29"", ""source"": ""来自新疆"", ""user"": {""id"": ""[5d9ce0055e]"", ""screen_name"": ""[86fdd0acaa]""}, ""text"": ""回复@搞什么限制啊:可是 感觉那样子并不是我啊 好奇怪啊 装模作样的 [泪]"", ""reply_id"": 5017085485252727, ""reply_text"": ""回复@和自己较劲的某某:你可以是不一样的自己呀，坦然接受自己的多面性"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[42b0dae29c]"", ""created_at"": ""03-29"", ""source"": ""来自广东"", ""user"": {""id"": ""[77929c0d0c]"", ""screen_name"": ""[b064da00c9]""}, ""text"": ""回复@和自己较劲的某某:你可以是不一样的自己呀，坦然接受自己的多面性"", ""reply_id"": 5017085159671241, ""reply_text"": ""回复@搞什么限制啊:好烦自己 [跪了]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[10e75411de]"", ""created_at"": ""03-29"", ""source"": ""来自新疆"", ""user"": {""id"": ""[5d9ce0055e]"", ""screen_name"": ""[86fdd0acaa]""}, ""text"": ""回复@搞什么限制啊:好烦自己 [跪了]"", ""reply_id"": 5017084620964179, ""reply_text"": ""不要这么觉得你自己，相信自己"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[679d9912ef]"", ""created_at"": ""03-29"", ""source"": ""来自广东"", ""user"": {""id"": ""[77929c0d0c]"", ""screen_name"": ""[b064da00c9]""}, ""text"": ""不要这么觉得你自己，相信自己"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-03-29 02:05:48
[8d96a93883],[97daa9cad5],"还不如直接走
让我走吧 好不好啊 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-25T03:05:42,Redmi K40 Pro,1,1,"[{""id"": ""[80de7e77c5]"", ""created_at"": ""03-25"", ""source"": ""来自陕西"", ""user"": {""id"": ""[b00f177a3c]"", ""screen_name"": ""[e22d282ff7]""}, ""text"": ""不好不好不好不好不好不好不好不好不好不好"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-03-25 03:05:42
[1737b1b6c5],[d4090122e3],让我走吧好不好啊 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-22T02:01:58,Redmi K40 Pro,0,1,"[{""id"": ""[b816ae8408]"", ""created_at"": ""03-22"", ""source"": ""来自辽宁"", ""user"": {""id"": ""[8bfcf76b59]"", ""screen_name"": ""[003fd900c7]""}, ""text"": ""你舍得离开他们么"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-03-22 02:01:58
[7937ad8e9a],[b7321a5cfe],"有点累
想买🔪 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-22T01:55:03,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-03-22 01:55:03
