id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[dcb5dd5d8f],[bdeb83871f],"抑郁症超话
如果我活下了希望下次见面你抚摸着我的伤口说疼吗抱抱我好吗.#抑郁 #提到了你 ",[9b2d5b4678],[3007b4f75c],[9b2d5b4678],,2024-06-01T13:48:51,抑郁症超话超话,0,3,"[{""id"": ""[5bea33a6a3]"", ""created_at"": ""1小时前"", ""source"": ""来自广东"", ""user"": {""id"": ""[c99246ef31]"", ""screen_name"": ""[e69456f73b]""}, ""text"": ""宝，六一儿童节👶🍭👶🍭，这段时间辛苦你拉，要开心鸭我们都会在你身边陪着你 •͈ᴗ•͈ ♡ [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[4a1029cdb7]"", ""created_at"": ""4小时前"", ""source"": ""来自黑龙江"", ""user"": {""id"": ""[9aea4029dd]"", ""screen_name"": ""[de54fb48bc]""}, ""text"": ""可以好的，欢迎回关我"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[255388927c]"", ""created_at"": ""6小时前"", ""source"": ""来自内蒙古"", ""user"": {""id"": ""[e4b94fe5d5]"", ""screen_name"": ""[977bd6ec92]""}, ""text"": ""会好的"", ""like_counts"": 0, ""liked"": false}]",0,抑郁 ,[9b2d5b4678],2024-06-01 13:48:51
[94c2291b24],[2615665cbc],"抑郁症
他们好像根本不知道,我是用了多大的努力才压抑下去的抑郁和恐惧,才会换来一点点的安稳,靠着这个苟延残喘,却还是会在一瞬间突然爆发出来,无助黑暗绝望充斥着我的精神空间。 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-01T13:46:54,抑郁症超话,2,2,"[{""id"": ""[1bee705d52]"", ""created_at"": ""9小时前"", ""source"": ""来自辽宁"", ""user"": {""id"": ""[99a2e774ce]"", ""screen_name"": ""[f98bc8ac8e]""}, ""text"": ""宝宝我们不能感同身受 但是我们理解你的痛苦 [抱抱]"", ""like_counts"": 1, ""liked"": false}, {""id"": ""[5208fde046]"", ""created_at"": ""10小时前"", ""source"": ""来自广东"", ""user"": {""id"": ""[554397bfe3]"", ""screen_name"": ""[b27bb16a4e]""}, ""text"": ""抱抱你 [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-06-01 13:46:54
[56976128f4],[1aab9cd532],"爆米花
🍿#时代少年团##时代少年团六一快乐##时代少年团永远是露露的偶像# 🍿#时代少年团 破局向新##希望时代少年团永远在一起# 
“玫瑰在海里燃烧 我的爱在烈火中绽放.” 𝓡𝓸𝓼𝓮𝓼 𝓫𝓾𝓻𝓷 𝓲𝓷 𝓽𝓱𝓮 𝓼𝓮𝓪 𝓪𝓷𝓭 𝓶𝔂 𝓵𝓸𝓿 ...
全文",[9b2d5b4678],[930108dbe7],[9b2d5b4678],,2024-06-01T13:41:41,爆米花超话,0,0,,0,"时代少年团,时代少年团六一快乐,时代少年团永远是露露的偶像,时代少年团 破局向新,希望时代少年团永远在一起",[9b2d5b4678],2024-06-01 13:41:41
[13ae2c40b1],[3af2174932],"爆米花
6.1 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-01T13:40:21,爆米花超话,0,0,,0,,[9b2d5b4678],2024-06-01 13:40:21
[a19b1675fe],[a4fe334150],"时代少年团
🍿#时代少年团##时代少年团永远是露露的偶像# 🍿#时代少年团六一快乐##时代少年团 破局向新##希望时代少年团永远在一起# 
“你是众多花之中 唯一朵开出温柔的花 你永远盛开永远不落于世俗” ""𝓨𝓸𝓾 𝓪𝓻𝓮 𝓽𝓱𝓮 𝓸𝓷𝓵𝔂 𝓯𝓵𝓸𝔀𝓮? ...
全文",[9b2d5b4678],[b3db13dc18],[9b2d5b4678],,2024-06-01T10:18:54,时代少年团超话,1,0,,0,"时代少年团,时代少年团永远是露露的偶像,时代少年团六一快乐,时代少年团 破局向新,希望时代少年团永远在一起",[9b2d5b4678],2024-06-01 10:18:54
[dbf348ef75],[83a47198fe],"抑郁症超话
今天又伤害自己了控制不住打头，打脸，咬自己手，伤害自己 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-31T11:23:23,抑郁症超话超话,0,1,"[{""id"": ""[e264f80b88]"", ""created_at"": ""05-31"", ""source"": ""来自内蒙古"", ""user"": {""id"": ""[e4b94fe5d5]"", ""screen_name"": ""[977bd6ec92]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-31 11:23:23
[532be7dfe7],[2acda55bf0],"爆米花
🍿#时代少年团##时代少年团永远是露露的偶像# 🍿#时代少年团 破局向新##希望时代少年团永远在一起# 
我将思念藏进风里 年年有风 年年对你有思念  𝓘 𝔀𝓲𝓵𝓵 𝓶𝓲𝓼𝓼 𝓱𝓲𝓭𝓭𝓮𝓷 𝓲𝓷 𝓽𝓱𝓮 𝔀𝓲𝓷𝓭  𝓮𝓿𝓮𝓻𝔂  ...
全文",[9b2d5b4678],[63391d8a69],[9b2d5b4678],,2024-05-31T11:21:53,爆米花超话,0,0,,0,"时代少年团,时代少年团永远是露露的偶像,时代少年团 破局向新,希望时代少年团永远在一起",[9b2d5b4678],2024-05-31 11:21:53
[b3b543bacc],[18bf627388],"爆米花
5.31 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-31T11:21:11,爆米花超话,0,0,,0,,[9b2d5b4678],2024-05-31 11:21:11
[8e56a0fe80],[0a47888d47],"时代少年团
🍿#时代少年团##时代少年团永远是露露的偶像# 🍿#时代少年团 破局向新##希望时代少年团永远在一起# 
“你是亿万星河都抵不过的风景 你住在光里 带着星和月的气息”@时代少年团 ",[9b2d5b4678],[19d7c95b46],[9b2d5b4678],,2024-05-31T11:20:38,时代少年团超话,1,6,"[{""id"": ""[cb2af41ecc]"", ""created_at"": ""05-31"", ""source"": ""来自陕西"", ""user"": {""id"": ""[da0f9dffa7]"", ""screen_name"": ""[39ec11701e]""}, ""text"": ""时代少年团"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[1c42f18a36]"", ""created_at"": ""05-31"", ""source"": ""来自湖北"", ""user"": {""id"": ""[28b8d67855]"", ""screen_name"": ""[683fa4820f]""}, ""text"": ""时代少年团"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[a15b9bda0f]"", ""created_at"": ""05-31"", ""source"": ""来自广东"", ""user"": {""id"": ""[4b3aa4b7a2]"", ""screen_name"": ""[cb04dc3328]""}, ""text"": ""时代少年团"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[1747e57d57]"", ""created_at"": ""05-31"", ""source"": ""来自江西"", ""user"": {""id"": ""[60d38ca0b3]"", ""screen_name"": ""[f995462554]""}, ""text"": "" [赞]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[2575df2327]"", ""created_at"": ""05-31"", ""source"": ""来自辽宁"", ""user"": {""id"": ""[7cf14f70a3]"", ""screen_name"": ""[be1514e2eb]""}, ""text"": ""时代少年团"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[fec9a30325]"", ""created_at"": ""05-31"", ""source"": ""来自广东"", ""user"": {""id"": ""[eec91ca92e]"", ""screen_name"": ""[6e8ecbddb9]""}, ""text"": "" [打call]"", ""like_counts"": 0, ""liked"": false}]",0,"时代少年团,时代少年团永远是露露的偶像,时代少年团 破局向新,希望时代少年团永远在一起",[9d0a622327],2024-05-31 11:20:38
[0fac3ecb47],[291a16c48c],"抑郁症超话
乖乖我分手了…可笑吧因为他妈妈发现我有抑郁症 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-30T10:12:55,抑郁症超话超话,2,1,"[{""id"": ""[85592e4ee6]"", ""created_at"": ""05-30"", ""source"": ""来自内蒙古"", ""user"": {""id"": ""[e4b94fe5d5]"", ""screen_name"": ""[977bd6ec92]""}, ""text"": ""为啥可笑"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-30 10:12:55
