id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[13512c8c86],[68546eceda],"真的难受……
不知道怎么办了
…… ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-05T21:24:54,vivo X60 蔡司影像,0,0,,0,,[9b2d5b4678],2024-06-05 21:24:54
[6403e36b7b],[2e2f8d3a81],"抑郁症
凌晨三点的火车 一点就得起床 今晚还睡吗 纠结中…… ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-30T22:10:53,抑郁症超话,1,5,"[{'id': 5039972371661778, 'created_at': '05-31', 'source': '来自福建', 'user': {'id': 5848541715, 'screen_name': '听说我和你一样不爱说话'}, 'text': '回复@xgtx-ykx:啊…那只能改签了。', 'reply_id': 5039944758198490, 'reply_text': '回复@听说我和你一样不爱说话:睡不睡都没赶上 ""[苦涩]""', 'like_counts': None, 'liked': False}, {'id': 5039944758198490, 'created_at': '05-31', 'source': '来自内蒙古', 'user': {'id': 7588729868, 'screen_name': 'xgtx-ykx'}, 'text': '回复@听说我和你一样不爱说话:睡不睡都没赶上 ""[苦涩]""', 'reply_id': 5039889098212527, 'reply_text': '这要晚睡那不如不睡更稳妥了 [允悲]', 'like_counts': None, 'liked': False}, {'id': 5039944680865945, 'created_at': '05-31', 'source': '来自内蒙古', 'user': {'id': 7588729868, 'screen_name': 'xgtx-ykx'}, 'text': '嘿嘿嘿 没赶上妈的 再跟她一起出门我就去亖', 'like_counts': None, 'liked': False}, {'id': 5039889098212527, 'created_at': '05-31', 'source': '来自福建', 'user': {'id': 5848541715, 'screen_name': '听说我和你一样不爱说话'}, 'text': '这要晚睡那不如不睡更稳妥了 [允悲]', 'like_counts': None, 'liked': False}, {'id': 5039864212363004, 'created_at': '05-30', 'source': '来自安徽', 'user': {'id': 7299643463, 'screen_name': '要长记性的木子'}, 'text': ' [抱抱]', 'like_counts': None, 'liked': False}]",0,,[9b2d5b4678],2024-05-30 22:10:53
[7eb7904a33],[b1056402da],我真受够了 哪个二百五天天访问我主页啊 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-29T13:25:13,vivo X60 蔡司影像,0,0,,0,,[9b2d5b4678],2024-05-29 13:25:13
[e1bdd744f9],[1550dec0f2],爱抱怨的人能不能都亖 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-29T11:47:06,vivo X60 蔡司影像,0,0,,0,,[9b2d5b4678],2024-05-29 11:47:06
[1f4e61e6db],[27e2696ef9],"抑郁症
家里乱七八糟 一片狼藉 老师要来家访 傍晚时候来 清晨一个暴击 焦虑一整天 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-25T07:59:52,抑郁症超话,4,3,"[{""id"": ""[bd39a42796]"", ""created_at"": ""05-25"", ""source"": ""来自湖北"", ""user"": {""id"": ""[524a071bb2]"", ""screen_name"": ""[281868abb2]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[b7b23be444]"", ""created_at"": ""05-25"", ""source"": ""来自四川"", ""user"": {""id"": ""[0e336d131f]"", ""screen_name"": ""[0f4ada1bf3]""}, ""text"": ""没事的宝，放松，补药太紧张了，抱抱 [抱抱]"", ""like_counts"": 1, ""liked"": false}, {""id"": ""[b57e1a4381]"", ""created_at"": ""05-25"", ""source"": ""来自山东"", ""user"": {""id"": ""[69ddbd7d55]"", ""screen_name"": ""[ec3fdc72dc]""}, ""text"": "" [抱一抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-25 07:59:52
[c67117837e],[2a96483a08],"抑郁症
返校考试 祝我顺利 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-23T06:02:54,抑郁症超话,0,4,"[{""id"": ""[9c02d2821f]"", ""created_at"": ""05-23"", ""source"": ""来自吉林"", ""user"": {""id"": ""[b7bd34facb]"", ""screen_name"": ""[85fdd43495]""}, ""text"": ""加油鸭"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[1c592cc9a5]"", ""created_at"": ""05-23"", ""source"": ""来自山西"", ""user"": {""id"": ""[1670afd21a]"", ""screen_name"": ""[2a4fe0f4b8]""}, ""text"": ""考试顺利"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[1b7be2d89b]"", ""created_at"": ""05-23"", ""source"": ""来自湖北"", ""user"": {""id"": ""[524a071bb2]"", ""screen_name"": ""[281868abb2]""}, ""text"": ""宝贝考试加油 [抱一抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[c6ac22ad2b]"", ""created_at"": ""05-23"", ""source"": ""来自湖南"", ""user"": {""id"": ""[ba1df6bb54]"", ""screen_name"": ""[728060e744]""}, ""text"": ""祝你顺利 [羞嗒嗒]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-23 06:02:54
[4a4f64ad36],[1db75a1c87],“我的脖子上带着最高级的幸福名牌，如果我不对着镜头微笑的话，他们会失望的” ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-22T18:41:53,vivo X60 蔡司影像,0,0,,0,,[9b2d5b4678],2024-05-22 18:41:53
[7fc9893e91],[2a0ed7d7b6],为什么你们总要我证明我的痛苦？ ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-22T18:41:16,vivo X60 蔡司影像,0,0,,0,,[9b2d5b4678],2024-05-22 18:41:16
[fd5fd24f5a],[52c96f9cfa],"抑郁症
嘿嘿嘿……
周四考试
200道选择题一个没背……
嘿嘿嘿…… ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-20T18:49:00,抑郁症超话,1,1,"[{""id"": ""[69bb770110]"", ""created_at"": ""05-20"", ""source"": ""来自四川"", ""user"": {""id"": ""[0e336d131f]"", ""screen_name"": ""[0f4ada1bf3]""}, ""text"": ""没关系的宝… [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-20 18:49:00
[365ff8d527],[8ab878866e],"抑郁症
我只是爱请假一点
没干什么伤天害理的事
也没有天天给老师惹麻烦
所以你们天天盯着我不放干什么啊
天天在我面前阴阳怪气
看我眼睛不是眼睛脸不是脸的
我好像不欠你钱
…… ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-20T12:36:07,抑郁症超话,3,0,,0,,[9b2d5b4678],2024-05-20 12:36:07
[784e052091],[1358b0bfe9],"抑郁症
一会要去学校练实验 心脏突突的 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-20T09:12:31,抑郁症超话,0,1,"[{""id"": ""[d11c147f3a]"", ""created_at"": ""05-20"", ""source"": ""来自广东"", ""user"": {""id"": ""[4d356e168c]"", ""screen_name"": ""[f40c5bd78e]""}, ""text"": ""加油加油 放轻松 [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-20 09:12:31
