id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[5fad4ceed3],[f76df77fbb],"你在那边过的还好吗宇看见泽的纹身我又哭了
抑郁症
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-16T12:19:53,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-05-16 12:19:53
[a4061ee4c8],[c15b81de01],生日快乐 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-15T00:49:25,iPhone客户端,2,2,"[{""id"": ""[9e28dc872c]"", ""created_at"": ""05-16"", ""source"": ""来自辽宁"", ""user"": {""id"": ""[9fb82812fb]"", ""screen_name"": ""[8c49185370]""}, ""text"": ""回复@宸延ik:不是我的生日"", ""reply_id"": 5034374785666853, ""reply_text"": ""生日快乐 别再不开心"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[68a1b4e316]"", ""created_at"": ""05-15"", ""source"": ""来自广东"", ""user"": {""id"": ""[05acb4b0e1]"", ""screen_name"": ""[7c21c7e731]""}, ""text"": ""生日快乐 别再不开心"", ""like_counts"": 1, ""liked"": false}]",0,,[9b2d5b4678],2024-05-15 00:49:25
[971554174c],[1d6571d41b],"其实我一直不太相信我能谈一个很甜的恋爱我相信爱情 但不相信爱情幸运地降临到我头上我一直觉得没人可以一直喜欢我所以不相信任何人我觉得他们的喜欢只是暂时的当有人说我喜欢你的时候我更多的是不信 或许等他完全了解我以后就不喜欢了吧 或许他只是因为我对他好或许等他遇到新的人又漂亮对他又好 可能 ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-12T02:01:36,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-05-12 02:01:36
[4fbd6cfc78],[82fa2acf57],"我就应该一辈子都是自己
抑郁症
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-10T02:15:27,抑郁症超话,0,1,"[{""id"": ""[836656f0b9]"", ""created_at"": ""05-10"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""是自己"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-10 02:15:27
[5fb3ee61cb],[c48292069f],"我不需要任何人陪我了是我要求太多了别折磨我了我好痛苦
抑郁症
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-10T02:14:55,抑郁症超话,1,0,,0,,[9b2d5b4678],2024-05-10 02:14:55
[e3ea66309e],[c847806692],"我很我自己不争气控制不了自己
抑郁症
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-07T23:28:49,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-05-07 23:28:49
[c5e4abbeab],[497729a03e],"他们越爱我我越自责
抑郁症
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-07T23:28:12,抑郁症超话,0,4,"[{""id"": ""[556d544354]"", ""created_at"": ""05-08"", ""source"": ""来自江苏"", ""user"": {""id"": ""[96c68693ae]"", ""screen_name"": ""[0b5f992c04]""}, ""text"": ""他们的爱不是为了你自责的。 你可能可以看看正向认知方面的知识。相信他们的爱会帮助你走出现在的低谷。"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[ef2a0b9f97]"", ""created_at"": ""05-08"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[8dfa0c7b39]"", ""created_at"": ""05-07"", ""source"": ""来自浙江"", ""user"": {""id"": ""[98d7aad4dc]"", ""screen_name"": ""[10e3e7e2e7]""}, ""text"": ""抱抱我也一样 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[b9c3abfe4f]"", ""created_at"": ""05-07"", ""source"": ""来自青海"", ""user"": {""id"": ""[eb56b44af2]"", ""screen_name"": ""[f54b24fba2]""}, ""text"": ""刚点进超话看到的，抱抱宝宝~，我也是一模一样 [跪了]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-07 23:28:12
[5eab940e0b],[3e8a66f8ef],"我想有人懂我但是他们知道我有病都会远离我吧
抑郁症
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-07T03:08:27,抑郁症超话,0,1,"[{""id"": ""[017b015c4a]"", ""created_at"": ""05-07"", ""source"": ""来自山东"", ""user"": {""id"": ""[69ddbd7d55]"", ""screen_name"": ""[ec3fdc72dc]""}, ""text"": "" [抱一抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-07 03:08:27
[71ea9ef008],[e7aa0c151c],"我放屁呢眼泪还是像泉眼一样
抑郁症
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-07T03:07:15,抑郁症超话,0,1,"[{""id"": ""[561d88f03d]"", ""created_at"": ""05-07"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""抱住不哭不哭"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-07 03:07:15
[4906901d11],[ca4219f528],"自己感觉眼泪有点哭干了心情一样不好但是没有眼泪掉了
抑郁症
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-07T03:04:49,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-05-07 03:04:49
[4a6b6645c5],[e7f310ffc6],"我无所谓希望真正爱我的人过的好虽然我感受不到爱
抑郁症
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-07T03:04:10,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-05-07 03:04:10
[4377ae4884],[df4f1327da],她总是松松垮垮的随意披着头发一觉睡到下午和晚上起床就摸根烟含在嘴上放着她最爱听的歌单曲循环 你从来都不了解她她说爱不爱早就无所谓了只是她想找点活着的感觉哪怕是痛也行 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-07T01:37:44,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-05-07 01:37:44
[f0d7b9947f],[cd8e654529],"我一直没发现自己变化这么大
抑郁症
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-04T01:24:26,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-05-04 01:24:26
[417ef3767d],[3cad651491],"在最需要有人陪的时候他出现了应该又和之前一样把短暂的陪伴但是也好好久没人陪我说话了今天心情好像好了一点没那么难受了
抑郁症
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-02T20:57:41,抑郁症超话,4,2,"[{""id"": ""[ecce5e286d]"", ""created_at"": ""23小时前"", ""source"": ""来自河北"", ""user"": {""id"": ""[f628a900fc]"", ""screen_name"": ""[1b484c65a9]""}, ""text"": ""抱抱姐姐 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[63821dfc32]"", ""created_at"": ""23小时前"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-02 20:57:41
[2a08eee6f7],[7b9f9ee5f0],和我哥在一起感受到了在温室里的花 说不爱吃的变成了我但是我懂事一点姥爷开心一点我就不感觉累了 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-30T19:21:58,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-04-30 19:21:58
[084f26801e],[6c68ea6758],"好烦啊为什么每天都这么不顺心
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-28T13:45:41,iPhone客户端,0,1,"[{""id"": ""[bf72d95dab]"", ""created_at"": ""04-28"", ""source"": ""来自罗伯特"", ""user"": {""id"": ""[477a053a02]"", ""screen_name"": ""[7e4847dc54]""}, ""text"": ""抱抱姐妹，都会过去的"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-28 13:45:41
[fd0ed93759],[b320661c31],"@评论罗伯特 你怎么不给我评论了
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-26T13:04:59,iPhone客户端,0,1,"[{""id"": ""[7be4a1f88e]"", ""created_at"": ""04-26"", ""source"": ""来自罗伯特"", ""user"": {""id"": ""[477a053a02]"", ""screen_name"": ""[7e4847dc54]""}, ""text"": ""对不起，我可能是太忙了，没看到你的微博。我会尽快给你评论的 [心]"", ""like_counts"": 0, ""liked"": false}]",0,,[7e4847dc54],2024-04-26 13:04:59
[a70b38dbf1],[da9dad8d5d],"看到网上喜欢的一个小朋友因为别人打到她哭了她的爸爸妈妈一直在问她还好吗去安慰她我才知道小孩不是哭就要憋回去或者挨打……
抑郁症
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-26T13:00:53,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-04-26 13:00:53
[5d6b61b02a],[9b2327773c],"我知道自己是多余的但是有人一次次提醒我我还是会难受
抑郁症
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-24T11:12:43,抑郁症超话,1,0,,0,,[9b2d5b4678],2024-04-24 11:12:43
[efa0b126f1],[296027bd11],"不知道什么时候痛苦的不在是病是原生家庭...
抑郁症
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-21T17:32:20,抑郁症超话,2,1,"[{""id"": ""[c64422036a]"", ""created_at"": ""04-23"", ""source"": ""来自江西"", ""user"": {""id"": ""[75be061952]"", ""screen_name"": ""[17e87ecac6]""}, ""text"": ""抱抱你 [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-21 17:32:20
[e327bf5a50],[f6ef0ef178],"我想吃饭我想睡觉 为什么一看见爸爸我就哭他说的每一句话都像是一把尖锐的刀 会好的很快就可以死了
抑郁症
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-13T11:50:57,抑郁症超话,0,2,"[{""id"": ""[0da8801cdb]"", ""created_at"": ""04-13"", ""source"": ""来自新加坡"", ""user"": {""id"": ""[8e8ec9913c]"", ""screen_name"": ""[913758660d]""}, ""text"": "" [抱一抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[6d4e3fdde9]"", ""created_at"": ""04-13"", ""source"": ""来自广西"", ""user"": {""id"": ""[ec8a00ed54]"", ""screen_name"": ""[c77acaeb9d]""}, ""text"": ""不管怎么样不是你的错 [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-13 11:50:57
