id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[a67ea10c40],[99bc8ad2c6],"抑郁症
做些什么事情，能恢复能量和活力呢？
 ",[9b2d5b4678],[d5137f4c8f],[9b2d5b4678],,2024-05-23T16:24:36,抑郁症超话,4,13,"[{""id"": ""[effd3009e0]"", ""created_at"": ""05-23"", ""source"": ""来自四川"", ""user"": {""id"": ""[5727549e82]"", ""screen_name"": ""[f0c14ed3b7]""}, ""text"": ""回复@活着是常态-死亡是奢望:生病前你爱吃什么"", ""reply_id"": 5037232180429321, ""reply_text"": ""回复@SingingZhang:比如… 有美食分享么 [给你小心心]"", ""like_counts"": 1, ""liked"": false}, {""id"": ""[165c7b7f5d]"", ""created_at"": ""05-23"", ""source"": ""来自安徽"", ""user"": {""id"": ""[3501260cd5]"", ""screen_name"": ""[8cb37a01ed]""}, ""text"": ""回复@SingingZhang:比如… 有美食分享么 [给你小心心]"", ""reply_id"": 5037231619969284, ""reply_text"": ""吃好吃的 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[3bb0e9420d]"", ""created_at"": ""05-23"", ""source"": ""来自四川"", ""user"": {""id"": ""[5727549e82]"", ""screen_name"": ""[f0c14ed3b7]""}, ""text"": ""吃好吃的 [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-23 16:24:36
[6ed1f1bc51],[a5691ffdd1],一难受就想躺尸。 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-12T11:25:08,HarmonyOS设备,0,5,"[{""id"": ""[b64f9a9197]"", ""created_at"": ""05-16"", ""source"": ""来自安徽"", ""user"": {""id"": ""[3501260cd5]"", ""screen_name"": ""[8cb37a01ed]""}, ""text"": ""我在拒绝情绪。其实是自己主动把自己变麻木的。现在又感受不到活着，又觉得难受。 没有情绪也不行，原来喜怒哀乐都很重要"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[a0fadd1823]"", ""created_at"": ""05-16"", ""source"": ""来自安徽"", ""user"": {""id"": ""[3501260cd5]"", ""screen_name"": ""[8cb37a01ed]""}, ""text"": ""答辩结束了。唉。可这一切又有什么意思呢。大家忙着毕业事项，忙着论文定稿，忙着收拾行李回家，忙着找工作，忙着毕业旅行。 我什么都没有想做的，其实我就想什么都不做，我没有做事的欲望和动力，写论文答辩这些也是被推着被截止日期推着前进。 我是感受不到自己在活着的，我不认识自己。"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[d39cc0a46a]"", ""created_at"": ""05-13"", ""source"": ""来自安徽"", ""user"": {""id"": ""[3501260cd5]"", ""screen_name"": ""[8cb37a01ed]""}, ""text"": ""回复@活着是常态-死亡是奢望:我在活着吗"", ""reply_id"": 5033533798092644, ""reply_text"": ""最近状态乱七八糟，思想乱七八糟"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[7676f29602]"", ""created_at"": ""05-13"", ""source"": ""来自安徽"", ""user"": {""id"": ""[3501260cd5]"", ""screen_name"": ""[8cb37a01ed]""}, ""text"": ""最近状态乱七八糟，思想乱七八糟"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[fdd543e250]"", ""created_at"": ""05-13"", ""source"": ""来自安徽"", ""user"": {""id"": ""[3501260cd5]"", ""screen_name"": ""[8cb37a01ed]""}, ""text"": ""躺尸两天了 [伤心]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-12 11:25:08
[b17906f671],[648eba2418],春天慵懒困乏，夏天活力回升，秋天低落惶恐，冬天躺尸。 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-06T15:12:33,HarmonyOS设备,0,0,,0,,[9b2d5b4678],2024-05-06 15:12:33
[862eb698b3],[62e4d8f37c],"一个那么可爱的名字。
在新的世界里要被好好爱着
。
人做到善良和真诚怎么就这么难呢？ ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-03T19:53:36,HarmonyOS设备,1,0,,0,,[9b2d5b4678],2024-05-03 19:53:36
[1253a5d77c],[3bb479fa25],"抑郁症
晚安
（入睡困难户） ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-01T23:13:57,抑郁症超话,0,3,"[{""id"": ""[78e48d35ac]"", ""created_at"": ""05-08"", ""source"": ""来自安徽"", ""user"": {""id"": ""[3501260cd5]"", ""screen_name"": ""[8cb37a01ed]""}, ""text"": ""晚安💤 [心]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[133bf8fb31]"", ""created_at"": ""05-02"", ""source"": ""来自安徽"", ""user"": {""id"": ""[3501260cd5]"", ""screen_name"": ""[8cb37a01ed]""}, ""text"": ""回复@Xue_译:午安～ [心]"", ""reply_id"": 5029368728389881, ""reply_text"": ""晚安 [月亮]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[5242cb35b1]"", ""created_at"": ""05-01"", ""source"": ""来自山东"", ""user"": {""id"": ""[69ddbd7d55]"", ""screen_name"": ""[ec3fdc72dc]""}, ""text"": ""晚安 [月亮]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-01 23:13:57
[a9a4f74120],[09b95d3ebd],春天都快结束了，我仍未获救。 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-30T12:56:26,HarmonyOS设备,0,2,"[{""id"": ""[6ccd703ca7]"", ""created_at"": ""05-01"", ""source"": ""来自安徽"", ""user"": {""id"": ""[3501260cd5]"", ""screen_name"": ""[8cb37a01ed]""}, ""text"": ""回复@炊子CHUIZI:谢谢你哟  期待夏日的邂逅哦祝愿你能收获越来越多的快乐、幸福～希望我们都早点好起来 [心]"", ""reply_id"": 5029327449621212, ""reply_text"": ""宝加油！我们一定要看到最美的夏天呀！会好的！即使很痛苦，但没关系，我陪你呀！希望宝能早日康复，开开心心的呀！世界很美哒！我陪你看看！ [打call]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[f8da3e03ae]"", ""created_at"": ""05-01"", ""source"": ""来自四川"", ""user"": {""id"": ""[0e336d131f]"", ""screen_name"": ""[0f4ada1bf3]""}, ""text"": ""宝加油！我们一定要看到最美的夏天呀！会好的！即使很痛苦，但没关系，我陪你呀！希望宝能早日康复，开开心心的呀！世界很美哒！我陪你看看！ [打call]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-30 12:56:26
[d700d129f4],[f0ccad8461],"抑郁症
睡着了就又死了一次。祝我早点睡吧。 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-24T23:52:47,抑郁症超话,1,1,"[{""id"": ""[ae18299dd7]"", ""created_at"": ""04-25"", ""source"": ""来自安徽"", ""user"": {""id"": ""[3501260cd5]"", ""screen_name"": ""[8cb37a01ed]""}, ""text"": ""睡下去💤"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-24 23:52:47
[4178c9393b],[3b93ee21c5],春天怎么这么漫长 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-24T21:01:35,HarmonyOS设备,0,1,"[{""id"": ""[a6fadd8935]"", ""created_at"": ""04-24"", ""source"": ""来自安徽"", ""user"": {""id"": ""[3501260cd5]"", ""screen_name"": ""[8cb37a01ed]""}, ""text"": ""感觉不到活在现实里"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-24 21:01:35
[aaef8ff6aa],[007b14033a],"睡不着。好躁好烦，没吃饭没吃褪黑素 。
烦死了 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-13T01:06:30,HarmonyOS设备,1,1,"[{""id"": ""[a4574359cf]"", ""created_at"": ""04-25"", ""source"": ""来自安徽"", ""user"": {""id"": ""[3501260cd5]"", ""screen_name"": ""[8cb37a01ed]""}, ""text"": ""我又扛了大半年。不扛了，太累了，而且只会反反复复，没有尽头。结束吧"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-13 01:06:30
[94f00430f1],[2115b5daa2],"抑郁症
～晚安
 ",[9b2d5b4678],[a87bb0277c],[9b2d5b4678],,2024-04-05T23:41:05,抑郁症超话,5,8,"[{""id"": ""[c8cf849bd8]"", ""created_at"": ""04-06"", ""source"": ""来自安徽"", ""user"": {""id"": ""[3501260cd5]"", ""screen_name"": ""[8cb37a01ed]""}, ""text"": ""回复@岁月诗行如梦: [抱抱]"", ""reply_id"": 5019962148127392, ""reply_text"": ""回复@活着是常态-死亡是奢望:难眠 [泪]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[a11273cb25]"", ""created_at"": ""04-06"", ""source"": ""来自重庆"", ""user"": {""id"": ""[79732f59ac]"", ""screen_name"": ""[dc84d4dada]""}, ""text"": ""回复@活着是常态-死亡是奢望:难眠 [泪]"", ""reply_id"": 5019961959384346, ""reply_text"": ""回复@岁月诗行如梦:睡个好觉 [抱一抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[ed481f3435]"", ""created_at"": ""04-06"", ""source"": ""来自安徽"", ""user"": {""id"": ""[3501260cd5]"", ""screen_name"": ""[8cb37a01ed]""}, ""text"": ""回复@岁月诗行如梦:睡个好觉 [抱一抱]"", ""reply_id"": 5019961816779703, ""reply_text"": ""晚安💤"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[edd5fe2c82]"", ""created_at"": ""04-06"", ""source"": ""来自重庆"", ""user"": {""id"": ""[79732f59ac]"", ""screen_name"": ""[dc84d4dada]""}, ""text"": ""晚安💤"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[6ec279a2af]"", ""created_at"": ""04-06"", ""source"": ""来自安徽"", ""user"": {""id"": ""[3501260cd5]"", ""screen_name"": ""[8cb37a01ed]""}, ""text"": ""回复@Tsuki_blue:晚安 [抱一抱]"", ""reply_id"": 5019958671576323, ""reply_text"": ""晚安 [月亮]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[2000ac048c]"", ""created_at"": ""04-06"", ""source"": ""来自广东"", ""user"": {""id"": ""[a842959b44]"", ""screen_name"": ""[1a6040f256]""}, ""text"": ""晚安 [月亮]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[729303be81]"", ""created_at"": ""04-06"", ""source"": ""来自安徽"", ""user"": {""id"": ""[3501260cd5]"", ""screen_name"": ""[8cb37a01ed]""}, ""text"": ""回复@故山萘:好哟，好梦 [心]"", ""reply_id"": 5019954072258356, ""reply_text"": ""晚安，宝宝早点睡 [爱你]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[2a2db11f08]"", ""created_at"": ""04-06"", ""source"": ""来自河南"", ""user"": {""id"": ""[476f0a4397]"", ""screen_name"": ""[3da271b840]""}, ""text"": ""晚安，宝宝早点睡 [爱你]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-05 23:41:05
