id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[43c618d1cf],[b2055583f0],"抑郁症
想跟朋友说话，但我大多是分担难过，而不是分享快乐，还是算了，只会消耗友谊，被帮助，被讨厌的 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-01T20:23:36,抑郁症超话,1,1,"[{""id"": ""[8e6d40c877]"", ""created_at"": ""12小时前"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-06-01 20:23:36
[0b922ea8c5],[71ec2d1d20],"抑郁症
好害怕、好焦虑 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-01T19:57:44,抑郁症超话,1,2,"[{""id"": ""[e33125bad0]"", ""created_at"": ""12小时前"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[8ebf765711]"", ""created_at"": ""13小时前"", ""source"": ""来自湖南"", ""user"": {""id"": ""[a770d50361]"", ""screen_name"": ""[8e8f79bf08]""}, ""text"": ""可我阻止不了啊"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-06-01 19:57:44
[8f47c42362],[0cea995d24],"抑郁症
疑病症又犯了，脑供血不足的症状明显，检查又要花钱，怕查出个好歹来，因为真的感觉很糟糕，为什么我这么多事啊！病得这么特殊！单纯的抑郁症还不够吗？ ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-01T19:32:51,抑郁症超话,3,11,"[{'id': 5040539460441440, 'created_at': '14小时前', 'source': '来自湖南', 'user': {'id': 6632842090, 'screen_name': '小黑屋的一坨'}, 'text': '脊椎问题？骨质增生压迫血管？ 脑动脉硬化？还是什么？ ""[哇]""', 'like_counts': 0, 'liked': False}]",0,,[9b2d5b4678],2024-06-01 19:32:51
[3ea798c696],[506156f3d8],"抑郁症
想去医院检查脑供血（可能是颈椎病），但是很累，又怕花钱 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-01T18:33:12,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-06-01 18:33:12
[6560c0a6f1],[23be7f6f2d],"抑郁症
我知道我像什么了！网络乞丐！不过别人要的是钱，我要的是爱。
但是说不定这年头，爱比钱贵呀，好在我都没有。 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-01T11:47:37,抑郁症超话,1,2,"[{""id"": ""[cc4ed82b52]"", ""created_at"": ""20小时前"", ""source"": ""来自湖南"", ""user"": {""id"": ""[a770d50361]"", ""screen_name"": ""[8e8f79bf08]""}, ""text"": ""回复@要长记性的木子: [抱抱]"", ""reply_id"": 5040436387780602, ""reply_text"": ""抱抱抱 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[35dc24b919]"", ""created_at"": ""21小时前"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""抱抱抱 [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-06-01 11:47:37
[00e122173f],[c5812cb615],"抑郁症
头晕、喘不过气，好像快窒息了，我的人生已经废了 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-01T09:23:33,抑郁症超话,0,1,"[{""id"": ""[55ff0b8dff]"", ""created_at"": ""22小时前"", ""source"": ""来自湖南"", ""user"": {""id"": ""[ba1df6bb54]"", ""screen_name"": ""[728060e744]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-06-01 09:23:33
[32f4c4eea7],[74559a9db5],"抑郁症
不明白，为什么偏偏对我这么严苛呢？我和全世界不合适，就不要磨合了，矛盾太大，无法调和，太痛苦了。何况一直是我的一厢情愿、独角戏罢了。真的有必要再继续吗？ ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-31T16:47:10,抑郁症超话,2,1,"[{""id"": ""[4eeb39c419]"", ""created_at"": ""05-31"", ""source"": ""来自四川"", ""user"": {""id"": ""[0e336d131f]"", ""screen_name"": ""[0f4ada1bf3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-31 16:47:10
[e324a3ca27],[51480cae1d],"抑郁症
我相信如果有选择，没人会选让自己痛苦的下场，但是当时不知道后果（不，我知道——），也没得选，另一条路就是死（——只是没死成而已），但凡能有坚持下来的可能，我就不会是现在这样了。
癫狂的善良好过平静的罪恶，我选好了。
我会让我的选择变得正确的。 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-30T22:04:10,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-05-30 22:04:10
[d040ec2e58],[a14da4deb3],"抑郁症
有个粗浅的想法：抑郁症是不是心脑血管不好？特别是脑血管，过度的抑郁情绪使脑血管收缩，或是被什么东西淤积堵住了脑血管，导致血液流通不畅。脑缺血可以使人失去意识，解离感会不会是局部缺血导致的失去一部分感知呢？
或许通过锻炼可以再拓宽脑血管吧，总之强推锻炼 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-30T17:34:06,抑郁症超话,2,3,"[{""id"": ""[223440a5fb]"", ""created_at"": ""1小时前"", ""source"": ""来自湖北"", ""user"": {""id"": ""[5d04b46af9]"", ""screen_name"": ""[16f0f048dd]""}, ""text"": ""抑郁症可能涉及到全身的问题，那可以不要太过于关注症状，多关注生活，把注意力给他人，锻炼身体，培养兴趣爱好，才能一点一点走出来"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[9da7990cfe]"", ""created_at"": ""05-30"", ""source"": ""来自湖南"", ""user"": {""id"": ""[a770d50361]"", ""screen_name"": ""[8e8f79bf08]""}, ""text"": ""回复@睡十个单位的:只是猜测，我也不太懂医学啦～，可能是气血不足的另一种说法吧，没精力就像缺血缺氧，还挺符合直觉的。"", ""reply_id"": 5039793018506540, ""reply_text"": ""这些如果真的有问题那抑郁只是最简单的吧…心脑血管疾病是会排查的…"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[72fc3bdf24]"", ""created_at"": ""05-30"", ""source"": ""来自江苏"", ""user"": {""id"": ""[2f69b614bf]"", ""screen_name"": ""[71d240bab0]""}, ""text"": ""这些如果真的有问题那抑郁只是最简单的吧…心脑血管疾病是会排查的…"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-30 17:34:06
[27499aac06],[3af3858e81],"抑郁症
别那么嗜睡啊！一天到晚的没精神，跟死了差不多了
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-28T10:28:30,抑郁症超话,1,0,,0,,[9b2d5b4678],2024-05-28 10:28:30
[a0579ecd17],[9f3c05a8c8],"我认为，
痛苦和幸福是指引人类文明发展的路标，
但痛苦的优先级或许在幸福之上，
比如食物能给人带来快乐，但暴饮暴食绝对会给人带来痛苦……以及很多痛苦是幸福难以冲散的，至少目前看来是。
幸福的基础是不痛苦（超过挫折的那种痛苦），
人们在做想做的事情前，一定要搞清楚什么事情是不能做的。 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-24T10:11:28,HarmonyOS设备,0,0,,0,,[9b2d5b4678],2024-05-24 10:11:28
[0ce365dbe1],[e5ad2cd559],"抑郁症
现实不会因为你无法承受就停止上强度，人只能靠自己，只有你，才能让自己活下去，哪怕是外人的帮助，也是要靠自己寻求的，因为在这疯了的世界，爱是稀缺资源，你得去要，不然别指望谁给。我还能说什么？唯有抱抱
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-22T21:27:21,抑郁症超话,1,2,"[{""id"": ""[449c67b425]"", ""created_at"": ""05-22"", ""source"": ""来自湖北"", ""user"": {""id"": ""[524a071bb2]"", ""screen_name"": ""[281868abb2]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[cd6759d03b]"", ""created_at"": ""05-22"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-22 21:27:21
[f5d2b37f6a],[fd4421be61],"抑郁症
很久才明白一个道理：没有边界的思考是非常危险的，接受不合理和扭曲现实的适应能力是精神上的免疫力 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-22T05:47:41,抑郁症超话,2,1,"[{""id"": ""[c21117d704]"", ""created_at"": ""05-22"", ""source"": ""来自河北"", ""user"": {""id"": ""[454102c621]"", ""screen_name"": ""[d61092c070]""}, ""text"": ""有道理"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-22 05:47:41
[9d2124cd98],[1ac4ec1007],"抑郁症
病前和病后不是同一个世界，其实我不是生病了，我是穿越了，那个世界的我一定活得好好的，还是很幸福、觉得世界还是很美好的，我应该死在觉得世界还是很美好的最后一刻 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-21T13:13:14,抑郁症超话,1,9,"[{""id"": ""[9cd9017409]"", ""created_at"": ""05-21"", ""source"": ""来自四川"", ""user"": {""id"": ""[0e336d131f]"", ""screen_name"": ""[0f4ada1bf3]""}, ""text"": ""回复@小黑屋的一坨: [抱一抱]"", ""reply_id"": 5036513163478369, ""reply_text"": ""回复@炊子CHUIZI: [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[2726deda9d]"", ""created_at"": ""05-21"", ""source"": ""来自湖南"", ""user"": {""id"": ""[a770d50361]"", ""screen_name"": ""[8e8f79bf08]""}, ""text"": ""回复@吖咪_love:抱抱 [抱抱]"", ""reply_id"": 5036492773395698, ""reply_text"": ""抱抱你 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[0b35e429c0]"", ""created_at"": ""05-21"", ""source"": ""来自湖南"", ""user"": {""id"": ""[a770d50361]"", ""screen_name"": ""[8e8f79bf08]""}, ""text"": ""回复@香香菜困: [抱一抱]"", ""reply_id"": 5036510191552388, ""reply_text"": "" [抱一抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[4fc23a606c]"", ""created_at"": ""05-21"", ""source"": ""来自湖南"", ""user"": {""id"": ""[a770d50361]"", ""screen_name"": ""[8e8f79bf08]""}, ""text"": ""回复@炊子CHUIZI: [抱抱]"", ""reply_id"": 5036463307096120, ""reply_text"": ""宝… [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[03727584cb]"", ""created_at"": ""05-21"", ""source"": ""来自湖南"", ""user"": {""id"": ""[a770d50361]"", ""screen_name"": ""[8e8f79bf08]""}, ""text"": ""回复@我想要变成吃货: [抱抱]"", ""reply_id"": 5036484333667715, ""reply_text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[e386978ce7]"", ""created_at"": ""05-21"", ""source"": ""来自安徽"", ""user"": {""id"": ""[d654a08a42]"", ""screen_name"": ""[20148c7abd]""}, ""text"": "" [抱一抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[bac1341a09]"", ""created_at"": ""05-21"", ""source"": ""来自吉林"", ""user"": {""id"": ""[6816fb0554]"", ""screen_name"": ""[0fd0a7bab5]""}, ""text"": ""抱抱你 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[9eef5aca83]"", ""created_at"": ""05-21"", ""source"": ""来自安徽"", ""user"": {""id"": ""[60fa5bcd4b]"", ""screen_name"": ""[154aa3f39f]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[8667d1e3df]"", ""created_at"": ""05-21"", ""source"": ""来自四川"", ""user"": {""id"": ""[0e336d131f]"", ""screen_name"": ""[0f4ada1bf3]""}, ""text"": ""宝… [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-21 13:13:14
[6a95a2c626],[eed4688427],"抑郁症
让人把注意力从“出生后”转为了“离世前” ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-20T20:00:37,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-05-20 20:00:37
[30f2f5a6c4],[561cf7704b],"抑郁症
死亡是一个过程，或快或慢而已，从生下的那一刻起，世界就在杀死我们。 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-20T19:15:45,抑郁症超话,2,1,"[{""id"": ""[bb8f0dab30]"", ""created_at"": ""05-23"", ""source"": ""来自上海"", ""user"": {""id"": ""[96c68693ae]"", ""screen_name"": ""[0b5f992c04]""}, ""text"": ""向死而后生"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-20 19:15:45
[d270080857],[171f25a46d],"抑郁症
好好爱自己就有人会爱你（） ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-20T19:09:27,抑郁症超话,1,0,,0,,[9b2d5b4678],2024-05-20 19:09:27
[555560270e],[2f4d8361be],痛苦是谁的兴奋剂？ ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-19T12:31:12,HarmonyOS设备,0,0,,0,,[9b2d5b4678],2024-05-19 12:31:12
[b9be9e1e3a],[bb49a87771],我，真难看啊，丑陋的我 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-17T15:26:55,HarmonyOS设备,0,0,,0,,[9b2d5b4678],2024-05-17 15:26:55
