id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[064f4bd0ab],[a1de64e7f0],"抑郁症
大家懂那种被救过来了却浑身无力的那种感觉吗——吞安眠药未遂 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-01T11:31:57,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-06-01 11:31:57
[244c5f3708],[a73b6294ac],"南康白起
  南康，一个字——累，除了累没有别的，身体上的心灵上的，我什么时候才可以去陪你聊天，我求你给我一个解脱，不要在冥冥之中再保佑我了，让我每次犯病的时候都能挺过来
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-30T22:31:20,南康白起超话,2,5,"[{""id"": ""[473af992d7]"", ""created_at"": ""昨天 09:37"", ""source"": ""来自江苏"", ""user"": {""id"": ""[c565a87107]"", ""screen_name"": ""[8ed5f82318]""}, ""text"": ""回复@黑猫子的yet: [抱抱]"", ""reply_id"": 5041608265569883, ""reply_text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[9c2dce9ecc]"", ""created_at"": ""06-04"", ""source"": ""来自广西"", ""user"": {""id"": ""[2406872e4b]"", ""screen_name"": ""[3462192859]""}, ""text"": "" [抱抱]"", ""like_counts"": 1, ""liked"": false}, {""id"": ""[07d06214f4]"", ""created_at"": ""05-31"", ""source"": ""来自山东"", ""user"": {""id"": ""[d181cd1074]"", ""screen_name"": ""[6b8baafd53]""}, ""text"": ""抱抱"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[ab34133b14]"", ""created_at"": ""05-31"", ""source"": ""来自江苏"", ""user"": {""id"": ""[c565a87107]"", ""screen_name"": ""[8ed5f82318]""}, ""text"": ""回复@傲傲没有赫:可我没有办法控制住病，让它不发作 [悲伤]"", ""reply_id"": 5039990294185773, ""reply_text"": ""好好活着"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[868f36ce77]"", ""created_at"": ""05-31"", ""source"": ""来自山东"", ""user"": {""id"": ""[5ae2d501b6]"", ""screen_name"": ""[e11e8702c1]""}, ""text"": ""好好活着"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-30 22:31:20
[9520a1c8bf],[45ffc9f2f1],"南康白起
  生日快乐，南康 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-26T03:43:40,南康白起超话,1,0,,0,,[9b2d5b4678],2024-05-26 03:43:40
[a6e4589085],[418472d1c8],"南康白起
  先生，再过几个小时就是您的冥诞了，想了一天，写了好多东西，感觉自己的文笔真的好差，如果发出来，恐怕会玷污了您。这一年下来，我把想说给您听的话都写了笔记本上，竟然写满了三个本子。先生，我现在越来越觉得您当初一跃而下的那一刻，应当是半分悔意都没有的…只怪这个世界太冷 ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-25T21:26:43,南康白起超话,1,0,,0,,[9b2d5b4678],2024-05-25 21:26:43
[d5225bfe62],[ebddcb26f9],"南康白起
  先生，迷茫了这么久我还是没有找到我的路，我的方向，我的光……
为何要那么残忍，您最后的结局竟然是江水中独自冰冷…… ",[9b2d5b4678],[78330a77f2],[9b2d5b4678],,2024-05-24T18:55:54,南康白起超话,3,0,,0,,[9b2d5b4678],2024-05-24 18:55:54
[8abb4ea9d3],[f7594b7875],"南康白起
  南康，除了吵架，就是吵架，吵架吵架……不停的吵，没有别的
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-20T17:17:24,南康白起超话,1,1,"[{""id"": ""[13749fba42]"", ""created_at"": ""05-20"", ""source"": ""来自山东"", ""user"": {""id"": ""[d181cd1074]"", ""screen_name"": ""[6b8baafd53]""}, ""text"": ""抱抱你"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-20 17:17:24
[4e83b66999],[125e0e1774],"南康白起
  南康，回头看看，我的人生充满了可笑，可我竟然不知道怎么就浑浑噩噩的过来了，但我现在真的不想坚持下去了… ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-20T11:57:52,南康白起超话,1,1,"[{""id"": ""[96175637b1]"", ""created_at"": ""05-20"", ""source"": ""来自山东"", ""user"": {""id"": ""[d181cd1074]"", ""screen_name"": ""[6b8baafd53]""}, ""text"": ""抱抱你"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-20 11:57:52
[3f4c1ef9dc],[8c4eed3d4c],"南康白起
  南康，还有十天就是你的生日了，每年的五月是最不愿意过的一个月，尤其是那一天 ",[9b2d5b4678],[0df4bfbae5],[9b2d5b4678],,2024-05-16T21:13:03,南康白起超话,7,1,"[{""id"": ""[5b066f41b0]"", ""created_at"": ""05-16"", ""source"": ""来自山东"", ""user"": {""id"": ""[d181cd1074]"", ""screen_name"": ""[6b8baafd53]""}, ""text"": ""已经在研究怎么过了"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-16 21:13:03
[38ed90c4e5],[93a5001afc],"南康白起
  南康，也许这一次我真的会要放弃一切去找你了。我的人生，包括我的存在真的毫无意义 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-14T22:11:03,南康白起超话,12,47,,0,,[9b2d5b4678],2024-05-14 22:11:03
[a3afb85a12],[b31e4638e4],"南康白起
    南康，我真的好想你。有些事真的就那么不能接受吗？ ",[9b2d5b4678],[61cbe9f56a],[9b2d5b4678],,2024-05-13T21:55:39,南康白起超话,1,0,,0,,[9b2d5b4678],2024-05-13 21:55:39
[1749880071],[cf959f1653],"南康白起
  南康，为什么会这样呢？痴情的人在如今有活路吗？为什么我会把自己活成这个样子？
——南康“有人燕尔新婚，有人江水中冰冷”，为什么会是这样的结局？ ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-07T00:06:19,南康白起超话,10,3,"[{""id"": ""[4e5dd29953]"", ""created_at"": ""05-07"", ""source"": ""来自中国台湾"", ""user"": {""id"": ""[6906631320]"", ""screen_name"": ""[432762d8b4]""}, ""text"": ""回复@无妄生欢Sonder:因为你太在乎别人，多多在乎自己吧。"", ""reply_id"": 5031377057615952, ""reply_text"": ""回复@爱咋咋地mz:爱自己为什么比爱别人还要难？"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[5a958924e5]"", ""created_at"": ""05-07"", ""source"": ""来自江苏"", ""user"": {""id"": ""[c565a87107]"", ""screen_name"": ""[8ed5f82318]""}, ""text"": ""回复@爱咋咋地mz:爱自己为什么比爱别人还要难？"", ""reply_id"": 5031333986308508, ""reply_text"": ""到最后只想在表面说一句“还是多分点爱给自己吧”"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[79babe2fe9]"", ""created_at"": ""05-07"", ""source"": ""来自浙江"", ""user"": {""id"": ""[fbe37893a9]"", ""screen_name"": ""[ef0742143f]""}, ""text"": ""到最后只想在表面说一句“还是多分点爱给自己吧”"", ""like_counts"": 1, ""liked"": false}]",0,,[9b2d5b4678],2024-05-07 00:06:19
[a39a053a10],[738347e051],,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-05T02:33:03,会员特权专用,0,0,,0,,[9b2d5b4678],2024-05-05 02:33:03
