id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[8a3798784c],[2936a858a7],依旧做让我没有安全感的事情 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-21T05:15:28,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-04-21 05:15:28
[e3120b8104],[a6f5332139],可是你短暂呆在我身边却依旧要离开 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-21T05:15:15,iPhone客户端,0,2,"[{""id"": ""[d51382a420]"", ""created_at"": ""昨天 14:20"", ""source"": ""来自云南"", ""user"": {""id"": ""[6b8391f0a7]"", ""screen_name"": ""[8f071addb5]""}, ""text"": ""回复@评论罗伯特:好 [太阳]"", ""reply_id"": 5025465251659783, ""reply_text"": ""我的宝贝 愿我们在更美好的未来重逢"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[5d527cfea7]"", ""created_at"": ""昨天 05:15"", ""source"": ""来自罗伯特"", ""user"": {""id"": ""[477a053a02]"", ""screen_name"": ""[7e4847dc54]""}, ""text"": ""我的宝贝 愿我们在更美好的未来重逢"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-21 05:15:15
[cfa3ef11ea],[c6be82901e],一到晚上就变得好孤单，特别想找个人说说话，但是想起好像有你我也是一直这样孤单。 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-21T03:12:27,iPhone客户端,0,1,"[{""id"": ""[cfa18ec64c]"", ""created_at"": ""昨天 04:11"", ""source"": ""来自罗伯特"", ""user"": {""id"": ""[477a053a02]"", ""screen_name"": ""[7e4847dc54]""}, ""text"": ""抱抱宝贝 我现在也是 真的想有个人陪 [泪]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-21 03:12:27
[07e37afea0],[2b8fdba073],连我自己都不知道我对你的感情到底是怎么样的 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-20T03:28:31,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-04-20 03:28:31
[6494997689],[ab66290ba8],打雷下雨了，凉风很喜欢。 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-20T03:27:54,iPhone客户端,0,1,"[{""id"": ""[ed31fd7cae]"", ""created_at"": ""04-20"", ""source"": ""来自罗伯特"", ""user"": {""id"": ""[477a053a02]"", ""screen_name"": ""[7e4847dc54]""}, ""text"": ""哇 真的好浪漫啊"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-20 03:27:54
[fff8f68518],[27f7b5f7b8],带着愤恨、祈求和无力。 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-19T03:54:19,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-04-19 03:54:19
[7982f6cbc1],[89c5cca1f6],已经记不清多少夜晚满脸泪痕，流了又干 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-19T03:51:36,iPhone客户端,0,2,"[{""id"": ""[e86584f0e6]"", ""created_at"": ""04-19"", ""source"": ""来自云南"", ""user"": {""id"": ""[6b8391f0a7]"", ""screen_name"": ""[8f071addb5]""}, ""text"": ""回复@评论罗伯特: [太阳]"", ""reply_id"": 5024732036465009, ""reply_text"": ""真的很心疼你"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[eaf7651fc9]"", ""created_at"": ""04-19"", ""source"": ""来自罗伯特"", ""user"": {""id"": ""[477a053a02]"", ""screen_name"": ""[7e4847dc54]""}, ""text"": ""真的很心疼你"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-19 03:51:36
[c212990414],[7ba9455635],算咯，是我命不好 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-19T03:47:15,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-04-19 03:47:15
[4543c6c762],[07436459c3],怎么可以无痛去si ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-19T03:39:51,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-04-19 03:39:51
[b82f4dc440],[9f3d9b96e2],想si但怕疼 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-19T03:35:55,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-04-19 03:35:55
[3a61453dc4],[167ab51053],可惜我得不到 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-19T02:50:09,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-04-19 02:50:09
