id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[79ee7b102c],[09a6cf813b],睡不着的时候，绝望地从床上坐了起来。毫无生机地，沉寂许久，然后缓缓看像一旁的镜子，在夜晚在一样昏黄的小灯的映衬下分外幽凄。彼时啊，真希望自己是一只回家讨债的鬼。 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-07T02:27:39,荣耀 9X,0,0,,0,,[9b2d5b4678],2024-06-07 02:27:39
[a13a8dff2e],[0d1173ec8a],"抑郁症
我好想好想好想好想拥有一个完整的睡眠
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-07T02:20:28,抑郁症超话,0,1,"[{""id"": ""[cab5873e18]"", ""created_at"": ""06-07"", ""source"": ""来自湖南"", ""user"": {""id"": ""[b6817c3717]"", ""screen_name"": ""[44eda581ca]""}, ""text"": ""需要看医生吃药"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-06-07 02:20:28
[c7c820528d],[6a536a0b43],噢。。no ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-07T02:17:46,荣耀 9X,0,0,,0,,[9b2d5b4678],2024-06-07 02:17:46
[874348856e],[aa4c11f666],想死 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-05T14:24:04,荣耀 9X,0,0,,0,,[9b2d5b4678],2024-06-05 14:24:04
[40a5a19555],[1eac45d634],"爱上宋雨琦了
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-05T01:47:14,荣耀 9X,1,0,,0,,[9b2d5b4678],2024-06-05 01:47:14
[2f57dfe51e],[86f68dd48a], ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-02T16:28:32,荣耀 9X,0,0,,0,,[9b2d5b4678],2024-06-02 16:28:32
[dc271d2dd8],[2a38863fb8],#杨紫入围白玉兰视后#她一直在努力，一直在突破自己！希望演员杨紫变得越来越好！！ ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-30T21:00:57,荣耀 9X,0,0,,0,杨紫入围白玉兰视后,[9b2d5b4678],2024-05-30 21:00:57
[a3167b3ea5],[9233b2fcbf],我好难受 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-30T11:46:01,荣耀 9X,0,0,,0,,[9b2d5b4678],2024-05-30 11:46:01
[53f44d6559],[387bb38ad6],"抑郁症
请诸事顺遂。 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-30T01:23:42,抑郁症超话,1,0,,0,,[9b2d5b4678],2024-05-30 01:23:42
[87243f1e55],[42d143c7c8],烙铁  我怎么又心悸…我马上就要跳舞了… ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-29T18:55:59,荣耀 9X,1,0,,0,,[9b2d5b4678],2024-05-29 18:55:59
[6124d4663a],[a49b0dd6b6],。。。。。。。。。又醒了。。。 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-29T02:30:05,荣耀 9X,1,0,,0,,[9b2d5b4678],2024-05-29 02:30:05
[fc1b1c5ef5],[befea8a22e],"抑郁症
吃东西我都懒得张嘴。我觉得很累。 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-27T21:26:32,抑郁症超话,0,1,"[{""id"": ""[ac4127eed8]"", ""created_at"": ""05-27"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-27 21:26:32
[8c4b4ac911],[e2b31b23ed],与其陷入泥沼停滞不前  倒不如提升自己 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-27T21:16:36,荣耀 9X,0,0,,0,,[9b2d5b4678],2024-05-27 21:16:36
[ab0e95870d],[74e6a21224],"吃药吃药  我吃个麻花的药  安眠药都吃了三个小时了  除了精神混乱  困死了都睡不着
失眠求你了莫折磨我了  我真是要疯了 还有  我并不是日夜颠倒  我晚上从来都很困 但就是睡不着
苍天呐  我给你跪了行不行
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-27T04:21:44,荣耀 9X,1,0,,0,,[9b2d5b4678],2024-05-27 04:21:44
[c4587f1d6d],[7f81fa44ba],喜欢😍 ,[9b2d5b4678],[0492097621],[9b2d5b4678],,2024-05-26T21:17:40,荣耀 9X,1,0,,0,,[9b2d5b4678],2024-05-26 21:17:40
[522e7cd7f7],[6bf701b6cb],"抑郁症
回顾一下昨晚上是怎么回事呢。。没有任何征兆地，先是头痛欲裂，然后慢慢心悸难受，全身都开始难受，控制不住情绪，疯狂掉眼泪。沉浸在极度悲伤和崩溃的情绪里根本走不出去。那一瞬间唯一的想法就是一死了之，巨大的痛苦湮灭了四肢百骸。控制不住地全身颤抖，开始疯狂呕吐，头晕目眩，心 ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-26T05:01:42,抑郁症超话,0,1,"[{""id"": ""[6ceb17d497]"", ""created_at"": ""05-26"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-26 05:01:42
[b7e9944861],[2cb5fe2fbc],肚子痛。。压根睡不了一点 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-26T04:48:52,荣耀 9X,1,0,,0,,[9b2d5b4678],2024-05-26 04:48:52
[730566f0c3],[57e9dd0ef9],"抑郁症
我好想死啊我好想死啊我好想死啊我好想死啊我好想死啊我好想死啊我好想死啊 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-26T01:39:37,抑郁症超话,5,7,"[{""id"": ""[d483969fcf]"", ""created_at"": ""05-28"", ""source"": ""来自四川"", ""user"": {""id"": ""[eb8f7b97a5]"", ""screen_name"": ""[45361075df]""}, ""text"": ""我也，每天都在幻想自己灰飞烟灭，离开这个世界"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[d582bc8c15]"", ""created_at"": ""05-28"", ""source"": ""来自山西"", ""user"": {""id"": ""[1df2c2a0f8]"", ""screen_name"": ""[f87abc325c]""}, ""text"": ""回复@羊肉丸子耶:可是不可能啊"", ""reply_id"": 5039002119573341, ""reply_text"": ""我也是每天睡前都保佑自己不要醒过来了 [泪]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[bdb75ce945]"", ""created_at"": ""05-28"", ""source"": ""来自广东"", ""user"": {""id"": ""[b6d3821c32]"", ""screen_name"": ""[893ec8b486]""}, ""text"": ""我也是每天睡前都保佑自己不要醒过来了 [泪]"", ""like_counts"": 1, ""liked"": false}, {""id"": ""[cfedab2164]"", ""created_at"": ""05-28"", ""source"": ""来自重庆"", ""user"": {""id"": ""[afcf0b71e3]"", ""screen_name"": ""[6881a5ef7b]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[37a7d8a8af]"", ""created_at"": ""05-26"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[2c0e9c56fc]"", ""created_at"": ""05-26"", ""source"": ""来自安徽"", ""user"": {""id"": ""[94427544dd]"", ""screen_name"": ""[0257843b53]""}, ""text"": ""我也是 [泪]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[c1af03bf13]"", ""created_at"": ""05-26"", ""source"": ""来自广东"", ""user"": {""id"": ""[6fc84a8f1f]"", ""screen_name"": ""[58dba4b14b]""}, ""text"": ""我也是啊 [伤心]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-26 01:39:37
[03e2f365fe],[95cbe80b13],"弃我去者。昨日之日不可留
乱我心者，今日之日多烦忧 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-25T21:58:29,荣耀 9X,1,0,,0,,[9b2d5b4678],2024-05-25 21:58:29
[285efa9bf5],[8004c17574],"发抖…
我服了这具破烂的躯体 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-23T03:56:55,抑郁症超话,1,1,"[{""id"": ""[d293c765d1]"", ""created_at"": ""05-23"", ""source"": ""来自湖北"", ""user"": {""id"": ""[524a071bb2]"", ""screen_name"": ""[281868abb2]""}, ""text"": ""抱抱你 [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-23 03:56:55
[3850884026],[2f12d735d5],"抑郁症
服了
晚上害怕 不敢睡觉  就算吃了安眠药也不怎么顶用  一到晚上就心悸、慌张、惊恐、不安、害怕  连闭上眼睛都不敢  这到底啥问题啊啊啊啊
疯了
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-23T03:43:59,抑郁症超话,4,2,"[{""id"": ""[9bca64a233]"", ""created_at"": ""05-23"", ""source"": ""来自湖南"", ""user"": {""id"": ""[27346732de]"", ""screen_name"": ""[f2c9805e4b]""}, ""text"": ""有那种正念冥想可以试试"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[9012456981]"", ""created_at"": ""05-23"", ""source"": ""来自湖南"", ""user"": {""id"": ""[27346732de]"", ""screen_name"": ""[f2c9805e4b]""}, ""text"": ""开个小夜灯试试，或者适量运动，听冥想助眠之类的音频入睡"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-23 03:43:59
[3d72e10ff7],[a60a33e75e],"抑郁症
生命的底色便是晦暗吧  是阴沉的黑暗的难过的绝望的 你往脸上抹了一瓶一瓶的五颜六色的颜料  于是你自欺欺人自己是鲜艳的 是花朵是云霞是人间四月天  当眼泪落下时你又被打回了原型  五颜六色混在一起  是肮脏的是混乱的是丑陋的是可悲的小丑 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-20T19:30:20,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-05-20 19:30:20
[a878cdc0eb],[000a4f7dce],好难过。。 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-20T17:25:56,荣耀 9X,0,0,,0,,[9b2d5b4678],2024-05-20 17:25:56
[722bcb3c5a],[d1b1bfa149],"我不会说   也不会忘
在一个个憋屈难过的夜晚
独自哭泣的夜晚
我会默默打一个叉 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-20T03:13:58,荣耀 9X,0,0,,0,,[9b2d5b4678],2024-05-20 03:13:58
