id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[33616893fc],[35b771a65e],总能给我的悲伤找点借口，是因为下雨了呀，是因为刚才想到了一些什么事啊，是因为看了超话呀，是因为刚刚看了自己的微博啊，是因为刚刚下班熬了一晚上的夜太累了呀之类的什么什么，什么时候我才能不找借口才可以解脱？ ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-09T08:34:25,Redmi Note 13 Pro,0,0,,0,,[9b2d5b4678],2024-06-09 08:34:25
[377f4ed08f],[64bf3bcc43],"抑郁症
不知道为什么，我不想好。。。 ",[9b2d5b4678],[1eefd377f5],[9b2d5b4678],,2024-06-09T07:12:13,抑郁症超话,1,5,"[{""id"": ""[ff9124530b]"", ""created_at"": ""8小时前"", ""source"": ""来自四川"", ""user"": {""id"": ""[3a37e0efa5]"", ""screen_name"": ""[343d6988db]""}, ""text"": ""回复@竹雪0724:没事滴 [心]"", ""reply_id"": 5043315403656847, ""reply_text"": ""回复@玘熙-兮辞:这样啊，谢谢你 [鲜花]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[3e1165da8a]"", ""created_at"": ""8小时前"", ""source"": ""来自广西"", ""user"": {""id"": ""[256d60cfa9]"", ""screen_name"": ""[91464e93fd]""}, ""text"": ""回复@玘熙-兮辞:这样啊，谢谢你 [鲜花]"", ""reply_id"": 5043310892944219, ""reply_text"": ""嗯嗯我也是，不过有人告诉我不想好和ZC是一个道理，便是从中获得快感，我们生病，感受不了快乐情绪，有时的“快乐”也只是兴奋而已，所以只有从这个ZN的方式获得快感，抱抱你 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[75c43c5340]"", ""created_at"": ""8小时前"", ""source"": ""来自四川"", ""user"": {""id"": ""[3a37e0efa5]"", ""screen_name"": ""[343d6988db]""}, ""text"": ""嗯嗯我也是，不过有人告诉我不想好和ZC是一个道理，便是从中获得快感，我们生病，感受不了快乐情绪，有时的“快乐”也只是兴奋而已，所以只有从这个ZN的方式获得快感，抱抱你 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[7cd4841012]"", ""created_at"": ""9小时前"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[d98dea02e3]"", ""created_at"": ""10小时前"", ""source"": ""来自四川"", ""user"": {""id"": ""[5727549e82]"", ""screen_name"": ""[f0c14ed3b7]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-06-09 07:12:13
[b0e4a58212],[68cdd368ac],"怎么办呢？
伤害我的人没得报应，爱我的人没得到好的下场。
但凡靠近我的人都会不幸。
我好讨厌自己啊…… ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-07T22:58:02,Redmi Note 13 Pro,1,1,"[{""id"": ""[54faef733d]"", ""created_at"": ""06-07"", ""source"": ""来自广西"", ""user"": {""id"": ""[256d60cfa9]"", ""screen_name"": ""[91464e93fd]""}, ""text"": ""友情，亲情，爱情，没有一个我配拥有……"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-06-07 22:58:02
[cea1981930],[2904a1e628],"抑郁症
榴莲！！！超大一个！！
喝了两瓶能量饮料，现在精神的很 ",[9b2d5b4678],[f21ce12210],[9b2d5b4678],,2024-06-07T10:28:20,抑郁症超话,0,3,"[{""id"": ""[4935f7e3f5]"", ""created_at"": ""06-07"", ""source"": ""来自安徽"", ""user"": {""id"": ""[7c59ae39be]"", ""screen_name"": ""[0e228a3d59]""}, ""text"": ""哇塞"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[0f4d4cbaef]"", ""created_at"": ""06-07"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""哇"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[7c2a50aa88]"", ""created_at"": ""06-07"", ""source"": ""来自广西"", ""user"": {""id"": ""[256d60cfa9]"", ""screen_name"": ""[91464e93fd]""}, ""text"": ""突然间想起以前的照片就发出来了，实际上这个榴莲已经被吃掉了～但榴莲是真的很好吃呀"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-06-07 10:28:20
[964a526e1f],[f5c78062e7],"抑郁症
我原来手抖不明显的，现在反而明显了。 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-07T03:16:41,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-06-07 03:16:41
[4337e724b7],[03b102ccff],"大脑好混乱啊，我不知道我在做什么了，我又不想睡觉，好烦啊。怎么感觉我吃药了，比没吃药之前还难受啊？
抑郁症
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-06T11:16:54,抑郁症超话,2,1,"[{""id"": ""[98f98feaef]"", ""created_at"": ""06-06"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-06-06 11:16:54
[bdd4d63dd4],[794e3724d8],我的眼泪在小时候就快哭尽了 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-06T11:10:36,Redmi Note 13 Pro,1,0,,0,,[9b2d5b4678],2024-06-06 11:10:36
[9dfe7b7e76],[05e7597421],我好像发烧了 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-06T02:36:15,Redmi Note 13 Pro,0,0,,0,,[9b2d5b4678],2024-06-06 02:36:15
[014a7f8b06],[343dc6f5ee],"抑郁症
咋办呢？我感觉我病好了？这一两天吃药感觉怪怪的。 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-05T10:14:52,抑郁症超话,2,1,"[{""id"": ""[a6b8a28af4]"", ""created_at"": ""06-05"", ""source"": ""来自北京"", ""user"": {""id"": ""[406fe95f64]"", ""screen_name"": ""[92d814d1c2]""}, ""text"": ""希望如你所感。"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-06-05 10:14:52
[b38b08ee09],[8caa269f48],事实便是，你死了都没人来爱你。 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-05T07:53:21,Redmi Note 13 Pro,0,0,,0,,[9b2d5b4678],2024-06-05 07:53:21
