id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[c1a3a255f0],[977c037424],一定要现在吗 我们明明有无数个明天 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-02T00:30:54,iPhone 12 Pro,0,0,,0,,[9b2d5b4678],2024-06-02 00:30:54
[793589e8fb],[ae10658f9f],世界和平 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-01T02:27:52,iPhone 12 Pro,0,0,,0,,[9b2d5b4678],2024-06-01 02:27:52
[64e0780451],[f664987305],就是这样的 当你以为你和这个人不会再有交集了却无形中有了更深的羁绊 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-30T19:45:47,iPhone 12 Pro,0,0,,0,,[9b2d5b4678],2024-05-30 19:45:47
[905538419f],[cf3c36b2e4],"抑郁症
 神经衰弱真的要死了 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-30T19:45:08,抑郁症超话,1,1,"[{""id"": ""[cf309151e1]"", ""created_at"": ""05-30"", ""source"": ""来自山东"", ""user"": {""id"": ""[ce89dffd99]"", ""screen_name"": ""[3b3a025086]""}, ""text"": ""尤其是带躯体症状的，特别难受"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-30 19:45:08
[4c67856c45],[6e366a1187],其实是淡淡的 已经很难有让我开心的事了 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-27T16:11:25,iPhone 12 Pro,2,0,,0,,[9b2d5b4678],2024-05-27 16:11:25
[aeb80b0155],[bb661dcaed],分享图片 ,[9b2d5b4678],[26a26847c8],[9b2d5b4678],,2024-05-27T09:54:55,iPhone 12 Pro,1,0,,0,,[9b2d5b4678],2024-05-27 09:54:55
[d22828ce52],[d295c8ebd9],淋雨后身上总是湿漉漉的 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-25T14:54:12,iPhone 12 Pro,0,0,,0,,[9b2d5b4678],2024-05-25 14:54:12
[74c80a62df],[af4950e3fe],"抑郁症
 保持心情愉悦才是最重要的 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-22T10:49:50,抑郁症超话,0,5,"[{""id"": ""[81ad3cf890]"", ""created_at"": ""05-22"", ""source"": ""来自上海"", ""user"": {""id"": ""[9710bd5f1b]"", ""screen_name"": ""[e5404697b5]""}, ""text"": ""但是挺难的"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[1ed441fb44]"", ""created_at"": ""05-22"", ""source"": ""来自湖北"", ""user"": {""id"": ""[524a071bb2]"", ""screen_name"": ""[281868abb2]""}, ""text"": ""回复@又是凌晨4点:谢谢宝贝宝贝自己也要开心噢 [抱一抱]"", ""reply_id"": 5036785444849383, ""reply_text"": ""回复@缘鹄baby:把我仅存的开心给你"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[4f8cf6127a]"", ""created_at"": ""05-22"", ""source"": ""来自上海"", ""user"": {""id"": ""[b1b5904c27]"", ""screen_name"": ""[924113ff7d]""}, ""text"": ""回复@缘鹄baby:把我仅存的开心给你"", ""reply_id"": 5036784649765368, ""reply_text"": ""太难了 [泪]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[82de53c74e]"", ""created_at"": ""05-22"", ""source"": ""来自湖北"", ""user"": {""id"": ""[524a071bb2]"", ""screen_name"": ""[281868abb2]""}, ""text"": ""太难了 [泪]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[4b4303c71c]"", ""created_at"": ""05-22"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""是呀"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-22 10:49:50
[a38f6010f5],[6b5cfdc722],"抑郁症
 其实很佩服自己 有时候情绪崩溃到了极点还强撑着从床上坐起来修改ppt 做一套卷子 强制开机换衣服让自己出门 不知道这么久自己怎么熬过来的 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-22T09:01:36,抑郁症超话,1,1,"[{""id"": ""[bf9ced5e5f]"", ""created_at"": ""05-22"", ""source"": ""来自上海"", ""user"": {""id"": ""[b1b5904c27]"", ""screen_name"": ""[924113ff7d]""}, ""text"": ""因为每一次的休息会让我花费更多情绪价值去告诉别人我很难受 我需要休息 这样一想我就不愿意去争辩了"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-22 09:01:36
[e9ca545836],[d85f4ef7de],言语无法替代拥抱 说这么多 我更想你抱抱我 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-22T08:16:27,iPhone 12 Pro,0,0,,0,,[9b2d5b4678],2024-05-22 08:16:27
