id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[36ef8528b0],[7063947762],晚上梦到自杀死了还被救活，和一个不喜欢的人结了婚办婚礼，早上上班被天降鸟屎砸到外套，这个b世界是一点都不想再来了 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-31T08:36:48,Android,0,0,,0,,[9b2d5b4678],2024-05-31 08:36:48
[0ae2fa08ec],[5e93a890aa],我想停止存在，脱掉作为一个人被天然赋予的义务，成为一个不被定义的事物，没有任何想法地观赏万物生息，我想远离痛苦，妈妈 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-29T23:17:16,抑郁症超话,3,3,"[{""id"": ""[bc92e91712]"", ""created_at"": ""1小时前"", ""source"": ""来自内蒙古"", ""user"": {""id"": ""[aef54104d2]"", ""screen_name"": ""[95f70c3303]""}, ""text"": ""回复@花间醉公子:说到皇后乐队，我只会想起mama，ooh~ooh~ooh~，现在满脑子都是这个了 [允悲]"", ""reply_id"": 5040161062915827, ""reply_text"": ""突然想到了那句歌词：mama，just killed a man。在最脆弱的时候，我们会情不自禁的喊一声妈妈。然后，告诉她我sha了我自己 [伤心]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[accbbac72d]"", ""created_at"": ""05-31"", ""source"": ""来自江苏"", ""user"": {""id"": ""[32ef3af92e]"", ""screen_name"": ""[687303c529]""}, ""text"": ""突然想到了那句歌词：mama，just killed a man。在最脆弱的时候，我们会情不自禁的喊一声妈妈。然后，告诉她我sha了我自己 [伤心]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[9417dad97b]"", ""created_at"": ""05-30"", ""source"": ""来自黑龙江"", ""user"": {""id"": ""[d1c4c2cf20]"", ""screen_name"": ""[247addd4f5]""}, ""text"": ""我想你可以去喝个汽水！心情会好很多诶"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-29 23:17:16
[db5a8eb589],[f2e8203444],做了一个复读的梦，分数六百多分考上了中科院，因为抑郁症再次退学，又复读但只考了二百多分，醒来我觉得好难过 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-29T23:03:53,Android,0,0,,0,,[9b2d5b4678],2024-05-29 23:03:53
[58f0e22f43],[3b4098bf0a],每日的今天都很无趣，逼着我逃往谜样的明天 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-28T23:03:19,Android,0,0,,0,,[9b2d5b4678],2024-05-28 23:03:19
[d1c34ceb3a],[c6b715436b],我不想为我的情绪负责，我要为我的情绪负责 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-24T22:33:44,Android,0,0,,0,,[9b2d5b4678],2024-05-24 22:33:44
[9a5c4c66d9],[1788da9f88],下起了雨，无助的人们，快逃离这片围栏 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-23T23:01:48,Android,0,0,,0,,[9b2d5b4678],2024-05-23 23:01:48
[a33d578da0],[fa83318128],我要蜷缩回自己的笼子里了 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-19T22:51:34,Android,0,1,"[{""id"": ""[0a91dabc5e]"", ""created_at"": ""05-31"", ""source"": ""来自江苏"", ""user"": {""id"": ""[32ef3af92e]"", ""screen_name"": ""[687303c529]""}, ""text"": ""好巧，一起啊病友"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-19 22:51:34
[28ba4204d6],[f390948543],我终于找到时光机来回到过去杀死自己，时光机过期了 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-16T02:02:24,皮皮时光机,0,0,,0,,[9b2d5b4678],2024-05-16 02:02:24
[ffaae98063],[43659c17d8],梦到家里有一口大水缸游着三条鱼，两条鲤鱼一条鲶鱼，脸上都有奇怪的凸起。其中一条鲤鱼满含一口水后仰出水面，嘴部一张一合地望着我，我既敬畏又神圣地用手中的小棍捋了捋它的头 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-15T23:01:53,Android,0,0,,0,,[9b2d5b4678],2024-05-15 23:01:53
[801d8171f0],[a95edffbbb],我在梦里看见一颗星星穿针引线般地越过虚空来与我见面，现实是从来没有被别人坚定地选择过 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-14T13:27:54,Android,0,2,"[{""id"": ""[a61b27a30e]"", ""created_at"": ""05-14"", ""source"": ""来自内蒙古"", ""user"": {""id"": ""[aef54104d2]"", ""screen_name"": ""[95f70c3303]""}, ""text"": ""回复@海底到天空的距离:唉，抱抱你，受不了就出逃吧，逃去没人认识的地方"", ""reply_id"": 5033924677863242, ""reply_text"": ""我也没有，只有被人坚定的认为我是个十恶不赦的坏人"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[ec353cacb4]"", ""created_at"": ""05-14"", ""source"": ""来自湖北"", ""user"": {""id"": ""[28978e016b]"", ""screen_name"": ""[4bbdbb99a4]""}, ""text"": ""我也没有，只有被人坚定的认为我是个十恶不赦的坏人"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-14 13:27:54
