id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[8bc28a1696],[08b9df0f1a],"鞠婧祎
jjy#鞠婧祎金钱堡垒#jjy#鞠婧祎韩小美#“玫瑰在海里燃烧 我的爱在烈火中绽放.” ＂𝓡𝓸𝓼𝓮𝓼 𝓫𝓾𝓻𝓷 𝓲𝓷 𝓽𝓱𝓮 𝓼𝓮𝓪 𝓪𝓷𝓭 𝓶𝔂 𝓵𝓸𝓿𝓮 𝓫𝓵𝓸𝓸𝓶𝓼 𝓲𝓷@鞠婧祎 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-24T10:51:55,鞠婧祎超话,0,1,"[{""id"": ""[3c0d8a8a5e]"", ""created_at"": ""04-24"", ""source"": ""来自四川"", ""user"": {""id"": ""[dcbb3061c2]"", ""screen_name"": ""[126af7f686]""}, ""text"": ""鞠婧祎"", ""like_counts"": 0, ""liked"": false}]",0,"鞠婧祎金钱堡垒,鞠婧祎韩小美",[e65706b75b],2024-04-24 10:51:55
[8136bb0b02],[58356e8d29],"鞠婧祎
jjy#鞠婧祎满月之下请相爱#jjy#鞠婧祎雷初夏#""枫叶飘向九月的乡野，我怀揣着心动与你邂逅”@鞠婧祎 ",[9b2d5b4678],[2ed080c4ef],[9b2d5b4678],,2024-04-19T20:59:33,鞠婧祎超话,0,1,"[{""id"": ""[79a8faa5d2]"", ""created_at"": ""04-19"", ""source"": ""来自湖南"", ""user"": {""id"": ""[610d2f4004]"", ""screen_name"": ""[99c186899b]""}, ""text"": ""“心动不止，思念不退，爱意不落” 𝓗𝓮𝒶𝓇𝓉 𝓂𝓸𝓇𝓮 𝓉𝒽𝒶𝓃, 𝓂𝒾𝓈𝓈 𝓃𝓸𝓉 𝓇𝓮𝓉网页链接诚信互评谢谢"", ""like_counts"": 0, ""liked"": false}]",0,"鞠婧祎满月之下请相爱,鞠婧祎雷初夏",[e65706b75b],2024-04-19 20:59:33
[642271362e],[c35893ea0a],"鞠婧祎
jjy#鞠婧祎花间令#jjy#鞠婧祎魏枝#jjy#鞠婧祎姜保宁#""光的背面是黑暗.可鞠婧祎的后面有一群追逐干祎的橘子""@鞠婧祎 ",[9b2d5b4678],[d3fc8afcd8],[9b2d5b4678],,2024-04-19T20:57:58,鞠婧祎超话,0,0,,0,"鞠婧祎花间令,鞠婧祎魏枝,鞠婧祎姜保宁",[e65706b75b],2024-04-19 20:57:58
[91d79885fe],[9f17fe9589],"抑郁症
真的不建议私自断药 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-19T17:15:51,抑郁症超话,1,0,,0,,[9b2d5b4678],2024-04-19 17:15:51
[5184638016],[01a363d081],"鞠婧祎
jjy #鞠婧祎#jjy#鞠婧祎千香# jjy #鞠婧祎姜黎非#冰岛的温柔是克莱因蓝再加点莫奈的灰。💙@鞠婧祎 ",[9b2d5b4678],[62f60efd62],[9b2d5b4678],,2024-04-19T17:11:36,鞠婧祎超话,0,1,"[{""id"": ""[7fe864b190]"", ""created_at"": ""04-19"", ""source"": ""来自云南"", ""user"": {""id"": ""[dcbb3061c2]"", ""screen_name"": ""[126af7f686]""}, ""text"": ""鞠婧祎"", ""like_counts"": 0, ""liked"": false}]",0,"鞠婧祎,鞠婧祎千香,鞠婧祎姜黎非",[e65706b75b],2024-04-19 17:11:36
[a1458a327d],[6bffab4022],"#2023最后一个人设# 【2023冲浪人设大赏
网页链接
 】我的2023年度微博冲浪人设居然是“体验派小能手” ！冲浪人设千千万，翻空出奇我独显～ 你也快来揭秘你的2023专属冲浪人设吧！还有酷炫“人设铭牌” 等你来领！ ",[9b2d5b4678],[34395b6baf],[9b2d5b4678],,2024-04-19T17:09:39,微博会员中心,0,0,,0,2023最后一个人设,[9b2d5b4678],2024-04-19 17:09:39
[c252119253],[1ebb6f5bf9],"#2023最后一个人设# 【微博冲浪人设大赏 >>> 
网页链接
】 冲浪人设千千万，翻空出奇我独显～ 快来一起揭秘2023微博冲浪人设吧！还有惊喜 “人设铭牌”等你来抢！ ",[9b2d5b4678],[5d10927e7a],[9b2d5b4678],,2024-04-19T17:09:31,微博会员中心,0,0,,0,2023最后一个人设,[9b2d5b4678],2024-04-19 17:09:31
[104f240a29],[0fd5e2ee3c],"抑郁症
今日话题如何让家长带你去看心理医生
我们可以跟家长科普一些心理方面的内容
或者求助老师同学
我说一下我是如何让家长带我去看心理医生的我小时候有心理疾病前科因此一开始跟家长是我怀疑自己得了抑郁症想去看心理医生的时候被暴打了一顿直到高一开始吃不下饭家长带我去了好多家医院都 ...
全文",[9b2d5b4678],[70ce0c30fb],[9b2d5b4678],,2024-04-19T17:06:13,抑郁症超话,2,3,"[{""id"": ""[9d853ae47c]"", ""created_at"": ""17小时前"", ""source"": ""来自湖南"", ""user"": {""id"": ""[99641fb1c5]"", ""screen_name"": ""[dd84444937]""}, ""text"": ""为啥一定家长带着，我觉得不带着更好"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[bf7e3516ba]"", ""created_at"": ""04-21"", ""source"": ""来自中国"", ""user"": {""id"": ""[37fb6bef1b]"", ""screen_name"": ""[da72744888]""}, ""text"": ""有段时间特别想休学，我就和父母说我想休学了，他们说怎么给你休，难不成给你弄个抑郁症证明，多正常的孩子，弄个这个干什么，现在我都不知道到底有没有生病，自己一个人又不敢去"", ""like_counts"": 1, ""liked"": false}, {""id"": ""[42752ad25a]"", ""created_at"": ""04-19"", ""source"": ""来自云南"", ""user"": {""id"": ""[7a84533099]"", ""screen_name"": ""[4823cd94df]""}, ""text"": ""文案自己写的大号被拉黑了所以这个号发"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-19 17:06:13
[f8975793e8],[7e1b173d37],"鞠婧祎
jjy#鞠婧祎花间令#jjy#鞠婧祎杨采薇#""光的背面是黑暗.可鞠婧祎的后面有一群追逐干祎的橘子""@鞠婧祎 ",[9b2d5b4678],[54116dcab6],[9b2d5b4678],,2024-04-17T15:59:23,鞠婧祎超话,2,1,"[{""id"": ""[901ccd6762]"", ""created_at"": ""04-17"", ""source"": """", ""user"": {""id"": ""[f9a516593a]"", ""screen_name"": ""[05fecb5749]""}, ""pic"": {""pid"": ""006waTH9gy1hnv4mlcylxj35f01vshe1"", ""url"": ""https://wx2.sinaimg.cn/orj360/006waTH9gy1hnv4mlcylxj35f01vshe1.jpg"", ""size"": ""orj360"", ""geo"": {""width"": 777, ""height"": 270, ""croped"": false}, ""large"": {""size"": ""large"", ""url"": ""https://wx2.sinaimg.cn/large/006waTH9gy1hnv4mlcylxj35f01vshe1.jpg"", ""geo"": {""width"": 2048, ""height"": 711, ""croped"": false}}}, ""text"": ""嘿！你也在关注“杨采薇”吗？快戳网页链接进入专题页查看并关注相关博主吧，包含@鞠婧祎 、@Mr_刘学义 等13位博主哦，热门精彩内容不错过！"", ""like_counts"": 0, ""liked"": false}]",0,"鞠婧祎花间令,鞠婧祎杨采薇",[e65706b75b],2024-04-17 15:59:23
[41342335e7],[b016d6478e],"抑郁症
我不知道为什么我一断药就窜稀 ",[9b2d5b4678],[b64d53edd5],[9b2d5b4678],,2024-04-17T15:53:26,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-04-17 15:53:26
