id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[f2a7d67ffe],[88c0b60df7],"抑郁症
想死是懦弱的表现吗，可我没有勇气面对困境了，只想用死亡来结束痛苦… ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-06T03:27:15,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-06-06 03:27:15
[b7421fabff],[fe5799e9e1],"抑郁症
之前运动死活不瘦，我现在直接瘦了四斤
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-06T01:30:51,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-06-06 01:30:51
[fc72dd0575],[206afd0df7],"抑郁症
我真的好想去死，从小到大一直都有这个念头，我还想过无数种死法，也实地考察过，我现在二十四小时至少有二十二个小时都得带着耳机，如果听不到解解的音乐我就会胡思乱想，我的心情也平复不了
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-05T22:20:01,抑郁症超话,1,4,"[{""id"": ""[bd39849519]"", ""created_at"": ""8小时前"", ""source"": ""来自北京"", ""user"": {""id"": ""[406fe95f64]"", ""screen_name"": ""[92d814d1c2]""}, ""text"": ""可以听听任贤齐的歌。"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[d248408885]"", ""created_at"": ""9小时前"", ""source"": ""来自河北"", ""user"": {""id"": ""[76aeb277cf]"", ""screen_name"": ""[287a66a6b3]""}, ""text"": ""回复@心乱如麻辣鱼:我也喜欢努力去看她的演唱会吧 [给你小心心]"", ""reply_id"": 5042034255858114, ""reply_text"": ""回复@行了我闭嘴:G.E.M.的歌"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[d23043cad8]"", ""created_at"": ""9小时前"", ""source"": ""来自广东"", ""user"": {""id"": ""[54507abfa9]"", ""screen_name"": ""[9ac8121540]""}, ""text"": ""回复@行了我闭嘴:G.E.M.的歌"", ""reply_id"": 5042033675471530, ""reply_text"": ""你喜欢听什么歌"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[5fda805fc7]"", ""created_at"": ""9小时前"", ""source"": ""来自河北"", ""user"": {""id"": ""[76aeb277cf]"", ""screen_name"": ""[287a66a6b3]""}, ""text"": ""你喜欢听什么歌"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-06-05 22:20:01
[5d49971db5],[c4b65f14d3],"抑郁症
一个社交平台有好几个不同的账号，分裂成了不同的人格。 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-05T21:30:28,抑郁症超话,1,10,"[{'id': 5042034526131861, 'created_at': '9小时前', 'source': '来自河南', 'user': {'id': 7561126701, 'screen_name': '管制丧尸101-顾许'}, 'text': '回复@管制丧尸101-顾许:好像是邮箱 ""[全力以赴]""', 'reply_id': 5042034455347869, 'reply_text': '回复@心乱如麻辣鱼:好 [抱抱]', 'like_counts': 0, 'liked': False}, {'id': 5042034455347869, 'created_at': '9小时前', 'source': '来自河南', 'user': {'id': 7561126701, 'screen_name': '管制丧尸101-顾许'}, 'text': '回复@心乱如麻辣鱼:好 [抱抱]', 'reply_id': 5042034180359399, 'reply_text': '回复@管制丧尸101-顾许:你自己搜一下吧我不知道咋和你说 ""[融化]""', 'like_counts': 0, 'liked': False}, {'id': 5042034404497245, 'created_at': '9小时前', 'source': '来自河南', 'user': {'id': 7561126701, 'screen_name': '管制丧尸101-顾许'}, 'text': '回复@心乱如麻辣鱼:谢谢，已经在搜了 ""[哇]""', 'reply_id': 5042034071052000, 'reply_text': '回复@管制丧尸101-顾许:搜手机号注册几个微博之类的关键词', 'like_counts': 0, 'liked': False}, {'id': 5042034180359399, 'created_at': '9小时前', 'source': '来自广东', 'user': {'id': 7618293168, 'screen_name': '心乱如麻辣鱼'}, 'text': '回复@管制丧尸101-顾许:你自己搜一下吧我不知道咋和你说 ""[融化]""', 'reply_id': 5042033825944312, 'reply_text': '回复@心乱如麻辣鱼:么？!!可以问问怎么搞的吗？我只有一个，都不能安静发疯，每次发帖都偷偷摸摸 [泪]', 'like_counts': 0, 'liked': False}, {'id': 5042034071052000, 'created_at': '9小时前', 'source': '来自广东', 'user': {'id': 7618293168, 'screen_name': '心乱如麻辣鱼'}, 'text': '回复@管制丧尸101-顾许:搜手机号注册几个微博之类的关键词', 'reply_id': 5042033825944312, 'reply_text': '回复@心乱如麻辣鱼:么？!!可以问问怎么搞的吗？我只有一个，都不能安静发疯，每次发帖都偷偷摸摸 [泪]', 'like_counts': 0, 'liked': False}, {'id': 5042033825944312, 'created_at': '9小时前', 'source': '来自河南', 'user': {'id': 7561126701, 'screen_name': '管制丧尸101-顾许'}, 'text': '回复@心乱如麻辣鱼:么？!!可以问问怎么搞的吗？我只有一个，都不能安静发疯，每次发帖都偷偷摸摸 [泪]', 'reply_id': 5042033053664866, 'reply_text': '回复@管制丧尸101-顾许:啊？微博可以注册好几个的啊，反正我一个sjh🈶好几个微博', 'like_counts': 0, 'liked': False}, {'id': 5042033498525664, 'created_at': '9小时前', 'source': '来自内蒙古', 'user': {'id': 7741070570, 'screen_name': '窝会一直视奸泥'}, 'text': ' [抱抱]', 'like_counts': 0, 'liked': False}, {'id': 5042033053664866, 'created_at': '9小时前', 'source': '来自广东', 'user': {'id': 7618293168, 'screen_name': '心乱如麻辣鱼'}, 'text': '回复@管制丧尸101-顾许:啊？微博可以注册好几个的啊，反正我一个sjh🈶好几个微博', 'reply_id': 5042032808559800, 'reply_text': '回复@管制丧尸101-顾许:所以微博只有一个好憋屈 [悲伤]', 'like_counts': 0, 'liked': False}, {'id': 5042032808559800, 'created_at': '9小时前', 'source': '来自河南', 'user': {'id': 7561126701, 'screen_name': '管制丧尸101-顾许'}, 'text': '回复@管制丧尸101-顾许:所以微博只有一个好憋屈 [悲伤]', 'reply_id': 5042032763998467, 'reply_text': '是这样的 [失望]', 'like_counts': 0, 'liked': False}, {'id': 5042032763998467, 'created_at': '9小时前', 'source': '来自河南', 'user': {'id': 7561126701, 'screen_name': '管制丧尸101-顾许'}, 'text': '是这样的 [失望]', 'like_counts': 0, 'liked': False}]",0,,[9b2d5b4678],2024-06-05 21:30:28
[e78a780603],[730ded71bc],"抑郁症
可以给我留个言嘛，什么都行，让我感觉还有人在陪我，让我感觉我不孤单，哪怕是短暂的几秒钟也可以。 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-05T20:59:36,抑郁症超话,0,13,"[{""id"": ""[90b03d4764]"", ""created_at"": ""10小时前"", ""source"": ""来自山东"", ""user"": {""id"": ""[e234b5432e]"", ""screen_name"": ""[0462e5d72a]""}, ""text"": ""宝宝我在 不哭 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[e9c21fa77f]"", ""created_at"": ""10小时前"", ""source"": ""来自湖北"", ""user"": {""id"": ""[9cea109e74]"", ""screen_name"": ""[8464b9573a]""}, ""text"": "" [吃瓜]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[570ff9c4b1]"", ""created_at"": ""10小时前"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-06-05 20:59:36
[4d6a4a9dde],[05f5cac1a3],"抑郁症
可以说一句爱我吗？哪怕是假的也好。 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-05T17:07:44,抑郁症超话,1,9,"[{""id"": ""[fedfff4b2a]"", ""created_at"": ""10小时前"", ""source"": ""来自河南"", ""user"": {""id"": ""[891736d3e8]"", ""screen_name"": ""[b857287eea]""}, ""text"": ""爱你宝宝"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[fc74c80934]"", ""created_at"": ""10小时前"", ""source"": ""来自湖南"", ""user"": {""id"": ""[a7020e8838]"", ""screen_name"": ""[daee4f0ec6]""}, ""text"": ""爱你"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[7c2ce5fdf0]"", ""created_at"": ""10小时前"", ""source"": ""来自甘肃"", ""user"": {""id"": ""[11abedb883]"", ""screen_name"": ""[0e90bfdf51]""}, ""text"": ""爱你"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[5e4dc597d9]"", ""created_at"": ""11小时前"", ""source"": ""来自甘肃"", ""user"": {""id"": ""[cd104fcaae]"", ""screen_name"": ""[329c59c633]""}, ""text"": ""都爱你 [心]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[cfc35fbd49]"", ""created_at"": ""11小时前"", ""source"": ""来自广东"", ""user"": {""id"": ""[39e16126b9]"", ""screen_name"": ""[b69c5210bb]""}, ""text"": ""爱你 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[e956104d3f]"", ""created_at"": ""12小时前"", ""source"": ""来自四川"", ""user"": {""id"": ""[b151e29bac]"", ""screen_name"": ""[fa4b8677c0]""}, ""text"": ""爱你 [抱一抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[1489167294]"", ""created_at"": ""12小时前"", ""source"": ""来自河北"", ""user"": {""id"": ""[65bacac07d]"", ""screen_name"": ""[c5c787195d]""}, ""text"": ""爱你😘"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[2db8fabd65]"", ""created_at"": ""12小时前"", ""source"": ""来自重庆"", ""user"": {""id"": ""[79732f59ac]"", ""screen_name"": ""[dc84d4dada]""}, ""text"": ""爱你 [抱一抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[a2118a6bc4]"", ""created_at"": ""12小时前"", ""source"": ""来自四川"", ""user"": {""id"": ""[99b7cbcd5b]"", ""screen_name"": ""[588ff70537]""}, ""text"": ""爱你，祝福你以后也会有更多人爱你 [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-06-05 17:07:44
[89a31cb1b8],[5171c4c8e3],"抑郁症
我真的很累很累，我要永远笼罩在恐惧之中。 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-05T16:26:19,抑郁症超话,0,1,"[{""id"": ""[cc729cd3dd]"", ""created_at"": ""14小时前"", ""source"": ""来自山西"", ""user"": {""id"": ""[1df2c2a0f8]"", ""screen_name"": ""[f87abc325c]""}, ""text"": ""恐惧 ，心慌"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-06-05 16:26:19
[8d226187be],[1ceb7c2ebd],"抑郁症
我好累撑不下去了🥹 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-05T15:53:40,抑郁症超话,2,3,"[{""id"": ""[0e64efffcd]"", ""created_at"": ""13小时前"", ""source"": ""来自内蒙古"", ""user"": {""id"": ""[40ea86ea16]"", ""screen_name"": ""[6ab3511423]""}, ""text"": ""推荐看知乎风铃再行老师文章，老师是无偿身心灵疗愈，我们得到了受益[喜欢]抱抱你～你也会越来越好，你真的超级棒 [心]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[88eb8162e7]"", ""created_at"": ""14小时前"", ""source"": ""来自山西"", ""user"": {""id"": ""[1df2c2a0f8]"", ""screen_name"": ""[f87abc325c]""}, ""text"": ""能怎么办呢"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[d2417ba940]"", ""created_at"": ""14小时前"", ""source"": ""来自河北"", ""user"": {""id"": ""[865987c8eb]"", ""screen_name"": ""[7a7ec866ea]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-06-05 15:53:40
[20842c89ba],[2f45642362],"抑郁症
你们吃药会吐吗
刚吃完就吐出来
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-05T08:45:46,抑郁症超话,1,5,"[{'id': 5041932709924027, 'created_at': '16小时前', 'source': '来自广东', 'user': {'id': 7618293168, 'screen_name': '心乱如麻辣鱼'}, 'text': '回复@小TWG:应该是吧，也可能是药太难吃了我吃的是咳嗽的💊貌似吐了两三次，然后嘴里全是苦味 ""[融化]""', 'reply_id': 5041932445418068, 'reply_text': '回复@心乱如麻辣鱼:肠胃不好吗 [抱抱]', 'like_counts': 0, 'liked': False}, {'id': 5041932445418068, 'created_at': '16小时前', 'source': '来自四川', 'user': {'id': 7781304167, 'screen_name': '小TWG'}, 'text': '回复@心乱如麻辣鱼:肠胃不好吗 [抱抱]', 'reply_id': 5041932264538353, 'reply_text': '回复@小TWG:我吐了好几次了都是刚吃进去就吐 [允悲]', 'like_counts': 0, 'liked': False}, {'id': 5041932264538353, 'created_at': '16小时前', 'source': '来自广东', 'user': {'id': 7618293168, 'screen_name': '心乱如麻辣鱼'}, 'text': '回复@小TWG:我吐了好几次了都是刚吃进去就吐 [允悲]', 'reply_id': 5041847691117173, 'reply_text': '不至于 我吞八片都只是想吐', 'like_counts': 0, 'liked': False}, {'id': 5041856752912971, 'created_at': '21小时前', 'source': '来自北京', 'user': {'id': 6449242662, 'screen_name': '枫念念'}, 'text': ' [抱抱]', 'like_counts': 0, 'liked': False}, {'id': 5041847691117173, 'created_at': '21小时前', 'source': '来自四川', 'user': {'id': 7781304167, 'screen_name': '小TWG'}, 'text': '不至于 我吞八片都只是想吐', 'like_counts': 0, 'liked': False}]",0,,[9b2d5b4678],2024-06-05 08:45:46
[0a9f014a3a],[3b3dcd0e12],"抑郁症
我断断续续喜欢了她十年，从来没有想过有一天，我会以这么卑微的心态在这里听她的歌，一边听一边哭，不断的循环她的talking，因为我真的好难过，我真的好想去死，我只能听着她的声音我才能慢慢平复我的心情… ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-05T04:49:00,抑郁症超话,1,0,,0,,[9b2d5b4678],2024-06-05 04:49:00
