id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[6c7eede11b],[3d54acb8ed],不吃药根本睡不好，甚至吃了药也睡不好 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-02T02:28:01,所愿皆成真,0,0,,0,,[9b2d5b4678],2024-06-02 02:28:01
[c7b0f46339],[f3f5d7f341],平等的想创死每个人，对！就是发疯！ ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-01T13:02:19,所愿皆成真,0,0,,0,,[9b2d5b4678],2024-06-01 13:02:19
[c917839b09],[69941bdff8],喝了半杯奶茶，抱着垃圾桶干呕半天，不知道的还以为我孕吐呢，笑死爹了 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-01T12:38:56,所愿皆成真,0,0,,0,,[9b2d5b4678],2024-06-01 12:38:56
[2b2d12143d],[b6878e2858],全世界最爱我的人可能是我爸妈，可爱我最纯粹的一定是聊天记录里辣个女人。 ,[9b2d5b4678],[552debc668],[9b2d5b4678],,2024-06-01T09:57:33,所愿皆成真,0,1,"[{""id"": ""[31aad3ddff]"", ""created_at"": ""17小时前"", ""source"": ""来自湖北"", ""user"": {""id"": ""[8c02afb25d]"", ""screen_name"": ""[9cb110ccb2]""}, ""text"": ""并不想质疑爸爸妈妈的爱，可他们是因为我的身份是他们女儿才会爱我，这个女人不一样，她在意的从始至终就只是我（不是百合！！！）"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-06-01 09:57:33
[6b33f20613],[75ad254125],我每次状态不好都特别认真的想去死，去发各种我想死的话题，去搜各种死法的成功率以及痛苦程度，但是最后都是灰溜溜的跑回来把发的微博删掉（总觉得没有真的去死还发这种莫名其妙的微博出来像是搏关注，太矫情！） ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-01T09:39:06,所愿皆成真,0,0,,0,,[9b2d5b4678],2024-06-01 09:39:06
[f8731b0677],[90d49aa9a4],我还没想好，我不知道该怎么办，我必须得承认我是怕的，我很怕，可我还是想死。 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-01T09:27:55,所愿皆成真,0,0,,0,,[9b2d5b4678],2024-06-01 09:27:55
[1959b96a3e],[315cc0995b],"抑郁症
自杀真的会被查手机嘛？哪怕已经留了遗书，甚至是视频证明是自己自杀，并且无人诱导，也会吗？听说还会联系朋友求证，是真的吗？ ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-01T07:52:35,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-06-01 07:52:35
[9c1e0d5596],[0e173c5d84],怎么坚持啊？谁能告诉我该怎么坚持啊？到底怎么坚持啊 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-01T07:33:54,所愿皆成真,0,0,,0,,[9b2d5b4678],2024-06-01 07:33:54
[a97da75bf9],[bce4d41ce5],我讨厌打压式教育，那么久我一直想给自己更好的东西，我努力告诉自己，我是值得拥有世间一切美好的，可是冤枉钱花了不少，内心深处却还是觉得自己是不配的。 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-01T05:31:55,所愿皆成真,0,0,,0,,[9b2d5b4678],2024-06-01 05:31:55
[bc38ad5ad0],[3001202aa2],"抑郁症
凌晨五点了，还是异常精神，哪家好人这个神仙作息啊！
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-01T04:58:05,抑郁症超话,1,1,"[{""id"": ""[b98d51d4ee]"", ""created_at"": ""17小时前"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-06-01 04:58:05
