id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[0a62e580d5],[b47f306f14],分享图片 ,[9b2d5b4678],[a6646102b4],[2014f7d690],,2024-05-19T16:30:39,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-05-19 16:30:39
[d0690464c9],[eebb7ab09d],分享图片 ,[9b2d5b4678],[764048e03f],[e70332e008],,2024-05-18T20:55:39,iPhone客户端,1,2,"[{""id"": ""[4901982f08]"", ""created_at"": ""05-18"", ""source"": ""来自河南"", ""user"": {""id"": ""[d4ef9c6172]"", ""screen_name"": ""[9cdad4c22c]""}, ""text"": ""天好热  拍的照片里我脸巨红 [允悲]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[f3f2c1a551]"", ""created_at"": ""05-18"", ""source"": ""来自河南"", ""user"": {""id"": ""[d4ef9c6172]"", ""screen_name"": ""[9cdad4c22c]""}, ""text"": ""今天很开心"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-18 20:55:39
[0913fc092a],[807682286f],最近  又去复诊了，抽了血做了检查，我好像不会好起来了，花了很多钱，我的病怎么还治不好，好累，不想继续坚持下去了 ,[9b2d5b4678],[78baa1e8dc],[f5e3333ae8],,2024-05-16T16:08:53,iPhone客户端,0,2,"[{""id"": ""[5990f6ec5f]"", ""created_at"": ""05-18"", ""source"": ""来自河南"", ""user"": {""id"": ""[d4ef9c6172]"", ""screen_name"": ""[9cdad4c22c]""}, ""text"": ""回复@小Q--nothing:谢谢 [抱一抱]"", ""reply_id"": 5034773091455411, ""reply_text"": ""给自己一些时间 道阻且长 但终会见到彩虹🌈"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[30286f4914]"", ""created_at"": ""05-16"", ""source"": ""来自江苏"", ""user"": {""id"": ""[96c68693ae]"", ""screen_name"": ""[0b5f992c04]""}, ""text"": ""给自己一些时间 道阻且长 但终会见到彩虹🌈"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-16 16:08:53
[b18022f0dd],[11ba9a7771],"捕蝴蝶
好喜欢这本书
什么时候出实体 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-12T17:42:16,捕蝴蝶超话,0,0,,0,,[9b2d5b4678],2024-05-12 17:42:16
[b7df74681e],[14e241e5e7],"好像真的没办法好起来了，如果我死了 那我的家人怎么办，他们尽力给我一切 他们给我爱 给我想要的一切东西，为什么我还会生病，为什么我还这么痛苦的活着，可我要是死了 我会更对不起他们，他们为我付出了那么多，我要活着，哪怕我每天都在崩溃中，哪怕我痛苦，我也要活着，我不能让他们的努力白费，我 ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-11T19:05:53,iPhone客户端,0,2,"[{""id"": ""[baf8b35184]"", ""created_at"": ""05-11"", ""source"": ""来自河南"", ""user"": {""id"": ""[d4ef9c6172]"", ""screen_name"": ""[9cdad4c22c]""}, ""text"": ""回复@小Q--nothing:嗯嗯 谢谢你 [抱一抱]"", ""reply_id"": 5032939242917036, ""reply_text"": ""也不知道怎么安慰你 痛苦是真实存在的 也不存在绝对的感同深受 但超话里有很多姐妹都康复了 所以我想规范治疗 总有浴火重生的一天"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[8df1cfb55c]"", ""created_at"": ""05-11"", ""source"": ""来自江苏"", ""user"": {""id"": ""[96c68693ae]"", ""screen_name"": ""[0b5f992c04]""}, ""text"": ""也不知道怎么安慰你 痛苦是真实存在的 也不存在绝对的感同深受 但超话里有很多姐妹都康复了 所以我想规范治疗 总有浴火重生的一天"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-11 19:05:53
[82b59509aa],[4d294ca41b],情绪就像夏天的一场雷阵雨，突如其来 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-09T23:03:37,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-05-09 23:03:37
[8cc0c1ac8a],[63dbb8efb4],我接受我经历的一切，好的 不好的，我都接受，可我偏偏对我降临这个世界耿耿于怀，我真恶心，我为什么要出生 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-30T13:35:04,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-04-30 13:35:04
[7d9e3d9ee6],[90010f433d],讨厌晚上 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-28T22:27:29,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-04-28 22:27:29
[5adeb64a60],[46c57f153e],压在枕头底下的不是好梦符，是一把小刀 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-28T02:10:32,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-04-28 02:10:32
[41f04341e0],[59524fabea],"抑郁症
 最近吃了药但是很久之后才能睡着，我又重新能够做梦了，我梦见身边的人，那些梦好真实，我开始分不清梦和现实，这样下去会完蛋的吧，梦里那么开心，死在梦里好像也不错 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-28T01:29:05,抑郁症超话,0,3,"[{""id"": ""[2cd6d41a46]"", ""created_at"": ""04-28"", ""source"": ""来自江苏"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""回复@不要生病啦卷发妹: [心]"", ""reply_id"": 5028099983673410, ""reply_text"": ""回复@要长记性的木子:嗯嗯 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[0799b03ba1]"", ""created_at"": ""04-28"", ""source"": ""来自河南"", ""user"": {""id"": ""[d4ef9c6172]"", ""screen_name"": ""[9cdad4c22c]""}, ""text"": ""回复@要长记性的木子:嗯嗯 [抱抱]"", ""reply_id"": 5028044508500159, ""reply_text"": ""好好吃药药 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[6936a7e0bc]"", ""created_at"": ""04-28"", ""source"": ""来自江苏"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""好好吃药药 [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-28 01:29:05
