id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[6713e192f8],[11973ff5f2],活够了呃 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-25T13:22:16,Android,0,0,,0,,[9b2d5b4678],2024-04-25 13:22:16
[b48f04edfd],[862a9f07fb],"抑郁症
刷到同学又去哪里旅游又变得多美多自信就让我想起明明以前我们是一样的，是什么时候开始变了呢大家都在越来越好好像只有我在退步，我变得比以前更难看了黑眼圈越来越重嘴越来越紫可能我真的活不久了吧像我这样天天都在自卑的人活着不就是折磨自己 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-25T11:01:07,抑郁症超话,2,4,"[{""id"": ""[e1ec060c7b]"", ""created_at"": ""04-25"", ""source"": ""来自天津"", ""user"": {""id"": ""[e221f149ec]"", ""screen_name"": ""[9d68b8d72b]""}, ""text"": ""回复@下雪时相爱: [抱抱]"", ""reply_id"": 5027050417820021, ""reply_text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[1b46036609]"", ""created_at"": ""04-25"", ""source"": ""来自天津"", ""user"": {""id"": ""[e221f149ec]"", ""screen_name"": ""[9d68b8d72b]""}, ""text"": ""回复@-FuyanRan: [悲伤]"", ""reply_id"": 5027022520189995, ""reply_text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[e336386f8a]"", ""created_at"": ""04-25"", ""source"": ""来自湖南"", ""user"": {""id"": ""[87f4001553]"", ""screen_name"": ""[6bed14dace]""}, ""text"": "" [抱抱]"", ""like_counts"": 1, ""liked"": false}, {""id"": ""[f8c3ee488d]"", ""created_at"": ""04-25"", ""source"": ""来自福建"", ""user"": {""id"": ""[ba1df6bb54]"", ""screen_name"": ""[728060e744]""}, ""text"": "" [抱抱]"", ""like_counts"": 1, ""liked"": false}]",0,,[9b2d5b4678],2024-04-25 11:01:07
[b4f5a8adfb],[a782e297a1],我讨厌你去死 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-25T10:03:39,Android,0,0,,0,,[9b2d5b4678],2024-04-25 10:03:39
[273365ed0b],[66c794d411],可不可以别这么懒了 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-24T21:50:27,Android,0,0,,0,,[9b2d5b4678],2024-04-24 21:50:27
[0824e96133],[3b64dc077d],"抑郁症
为什么我的人生就是自卑差劲为什么要活成这样，为什么每天都在拖累身边的人 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-24T21:04:42,抑郁症超话,1,2,"[{""id"": ""[6c4d0e91b6]"", ""created_at"": ""04-24"", ""source"": ""来自天津"", ""user"": {""id"": ""[e221f149ec]"", ""screen_name"": ""[9d68b8d72b]""}, ""text"": ""回复@要长记性的木子: [泪]"", ""reply_id"": 5026798963786566, ""reply_text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[90a79f13ab]"", ""created_at"": ""04-24"", ""source"": ""来自江苏"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 1, ""liked"": false}]",0,,[9b2d5b4678],2024-04-24 21:04:42
[3b015170a4],[7e809a8c7d],重生到别人身上我会第一个掐死自己 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-21T01:42:11,Android,0,0,,0,,[9b2d5b4678],2024-04-21 01:42:11
[2e41a6a46e],[470cb5b1f9],死了算了，不用拖累别人了 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-21T01:32:35,Android,0,0,,0,,[9b2d5b4678],2024-04-21 01:32:35
[20f1d510e4],[17c976408a],可是我要努力变好啊，不变好就会被看不起怎么办 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-21T01:31:45,Android,0,1,"[{""id"": ""[89f058a6b4]"", ""created_at"": ""04-21"", ""source"": ""来自罗伯特"", ""user"": {""id"": ""[477a053a02]"", ""screen_name"": ""[7e4847dc54]""}, ""text"": ""加油！你一定可以的！"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-21 01:31:45
[e1ea9d2e0c],[ecd158db88],怎么办，再也不刷朋友圈了 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-21T01:31:21,Android,1,4,"[{'id': 5027173561796985, 'created_at': '04-25', 'source': '来自辽宁', 'user': {'id': 6288202296, 'screen_name': '可可首席真爱粉'}, 'text': '回复@固堤天池顶迷路:半个月后还是没忍住打开了朋友圈，又感觉自己错过了好多 ""[苦涩]""', 'reply_id': 5027136677613615, 'reply_text': '回复@可可首席真爱粉:真的，就会很烦…… ""[融化]""', 'like_counts': 0, 'liked': False}, {'id': 5027136677613615, 'created_at': '04-25', 'source': '来自天津', 'user': {'id': 7883304080, 'screen_name': '固堤天池顶迷路'}, 'text': '回复@可可首席真爱粉:真的，就会很烦…… ""[融化]""', 'reply_id': 5027051973381372, 'reply_text': '我曾经给朋友圈关闭过半个月，不想和外界沟通 [单身狗]', 'like_counts': 0, 'liked': False}, {'id': 5027051973381372, 'created_at': '04-25', 'source': '来自辽宁', 'user': {'id': 6288202296, 'screen_name': '可可首席真爱粉'}, 'text': '我曾经给朋友圈关闭过半个月，不想和外界沟通 [单身狗]', 'like_counts': 1, 'liked': False}, {'id': 5025449106735251, 'created_at': '04-21', 'source': '来自罗伯特', 'user': {'id': 5762999670, 'screen_name': '评论罗伯特'}, 'text': '真的吗？原来我也是这样的 [doge]', 'like_counts': 0, 'liked': False}]",0,,[9b2d5b4678],2024-04-21 01:31:21
[606733c50b],[4f1df6a17d],我也想和她们一样 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-21T01:30:48,Android,0,0,,0,,[9b2d5b4678],2024-04-21 01:30:48
