id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[6fc3f9b534],[20744aea70],"抑郁症
普高转职高是好的选择吗？我现在真的很想天天开心就好了，但是会怕以后会后悔。感觉现在我的状态什么的都不足以支撑我再去高中了，我是该咬着牙赌下去，还是就此别过呢。 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-26T09:17:19,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-04-26 09:17:19
[6c4e87cb2c],[87991c622e],"强风吹拂
穿绿色外套跑步幻视灰二哥👀 ",[9b2d5b4678],[80eee05140],[9b2d5b4678],,2024-04-26T07:53:49,强风吹拂超话,0,0,,0,,[9b2d5b4678],2024-04-26 07:53:49
[1e4ed6cd35],[56db38ec77],"抑郁症
美好的一天被毁只需要一个母亲
本来今天鼓起勇气上街寄了快递，买了最喜欢吃的蛋糕，回来吃完后想着明早要早起去跑步，晚上我亲爱的妈妈二话不说拿着螺丝刀上来撬开客厅的门锁，拔掉路由器插头，把网断了，我快速地躲到房间用身体堵住门（房间的门锁已经被她翘掉了）她在外面咆哮 ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-24T21:06:44,抑郁症超话,2,6,"[{""id"": ""[866d3e84a9]"", ""created_at"": ""04-24"", ""source"": ""来自江苏"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""回复@晚风晚风吹过来: [心]"", ""reply_id"": 5026815054185111, ""reply_text"": ""回复@要长记性的木子: [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[acac0a862d]"", ""created_at"": ""04-24"", ""source"": ""来自吉林"", ""user"": {""id"": ""[3ccc788aa0]"", ""screen_name"": ""[1bc043c246]""}, ""text"": ""反抗，要么就等你真正有能力离开这个家，独自生活的时候。"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[19c30c5a03]"", ""created_at"": ""04-24"", ""source"": ""来自江苏"", ""user"": {""id"": ""[d67c2c9909]"", ""screen_name"": ""[a69ce16356]""}, ""text"": ""回复@要长记性的木子: [抱抱]"", ""reply_id"": 5026798895104976, ""reply_text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[392c1d80e8]"", ""created_at"": ""04-24"", ""source"": ""来自江苏"", ""user"": {""id"": ""[d67c2c9909]"", ""screen_name"": ""[a69ce16356]""}, ""text"": ""回复@鱼鱼的小夏:谢谢 [泪]"", ""reply_id"": 5026801128572819, ""reply_text"": ""抱抱你 [悲伤]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[f6834d74fe]"", ""created_at"": ""04-24"", ""source"": ""来自湖南"", ""user"": {""id"": ""[6662b0fc44]"", ""screen_name"": ""[cdebfcbe99]""}, ""text"": ""抱抱你 [悲伤]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[b7635f0f83]"", ""created_at"": ""04-24"", ""source"": ""来自江苏"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-24 21:06:44
[48d1fe7cf6],[fa2a7a0f12],"抑郁症
我发现和父母交流少了以后，心情真的平静了很多很多。
我现在只想学会一件事：爱自己。
我可以自省，但不可以自责，更不可以自我怀疑。 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-24T14:32:30,抑郁症超话,4,3,"[{""id"": ""[b5df977849]"", ""created_at"": ""04-24"", ""source"": ""来自江苏"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""回复@晚风晚风吹过来: [心]"", ""reply_id"": 5026734059553389, ""reply_text"": ""回复@要长记性的木子: [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[e61d197b79]"", ""created_at"": ""04-24"", ""source"": ""来自江苏"", ""user"": {""id"": ""[d67c2c9909]"", ""screen_name"": ""[a69ce16356]""}, ""text"": ""回复@要长记性的木子: [抱抱]"", ""reply_id"": 5026699810964254, ""reply_text"": ""是的 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[a000b443d5]"", ""created_at"": ""04-24"", ""source"": ""来自江苏"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""是的 [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-24 14:32:30
[0ebb4fcacf],[e8f25be2f8],"瓶邪话题
解锁透卡新玩法👀
豹豹猫猫在赏碟 ",[9b2d5b4678],[d24a8b0ac5],[9b2d5b4678],,2024-04-21T13:50:07,瓶邪话题超话,6,2,"[{""id"": ""[5048a03de1]"", ""created_at"": ""04-21"", ""source"": ""来自江苏"", ""user"": {""id"": ""[d67c2c9909]"", ""screen_name"": ""[a69ce16356]""}, ""text"": ""回复@可口吴邪的闷油瓶:好的，第一次发帖，不知道还要分板块 [允悲]"", ""reply_id"": 5025596113423631, ""reply_text"": ""下次发帖请选版块"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[8067185c55]"", ""created_at"": ""04-21"", ""source"": ""来自广东"", ""user"": {""id"": ""[747273606b]"", ""screen_name"": ""[5e49e179fd]""}, ""text"": ""下次发帖请选版块"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-21 13:50:07
[adfa98c8ca],[9f6056be42],"瓶邪话题
回望系列——瓶邪的结婚照，世界姐的时尚单品👍🏻 ",[9b2d5b4678],[3f66038f1d],[9b2d5b4678],,2024-04-21T13:12:59,瓶邪话题超话,0,0,,0,,[9b2d5b4678],2024-04-21 13:12:59
[94e5117739],[31abbe755a],上了高中，经历过高考的人生才算完美吗？@评论罗伯特 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-20T00:59:47,OPPO R15 梦镜版,2,3,"[{""id"": ""[63106ce2c2]"", ""created_at"": ""04-20"", ""source"": ""来自江苏"", ""user"": {""id"": ""[d67c2c9909]"", ""screen_name"": ""[a69ce16356]""}, ""text"": ""回复@评论罗伯特:真的吗？@评论罗伯特"", ""reply_id"": 5025038581631131, ""reply_text"": ""高考只是人生的一个阶段，经历过的都会成为宝贵的回忆，但人生并不是只有高考这一件事值得追求哦"", ""like_counts"": 1, ""liked"": false}, {""id"": ""[6a738221df]"", ""created_at"": ""04-20"", ""source"": ""来自罗伯特聪明版"", ""user"": {""id"": ""[477a053a02]"", ""screen_name"": ""[7e4847dc54]""}, ""text"": ""高考只是人生的一个阶段，经历过的都会成为宝贵的回忆，但人生并不是只有高考这一件事值得追求哦"", ""like_counts"": 1, ""liked"": false}]",0,,[7e4847dc54],2024-04-20 00:59:47
[e95f03db43],[4ba3be16d0],"澜久
数字油画《蝶轻浅》，看完小破游后的产物👀
很感谢认识澜久，见证他们的爱情❤️
“爱情是梁山伯与祝英台，但我永远体会不到化蝶前那一夜的等待。”
愿澜久岁岁年年。 ",[9b2d5b4678],[a4eca03198],[9b2d5b4678],,2024-04-19T22:21:44,澜久超话,10,6,"[{""id"": ""[cec3fd3f66]"", ""created_at"": ""04-19"", ""source"": ""来自江苏"", ""user"": {""id"": ""[d67c2c9909]"", ""screen_name"": ""[a69ce16356]""}, ""text"": ""回复@一觉醒来大发财:谢谢！ [亲亲]"", ""reply_id"": 5025002181363383, ""reply_text"": ""哇塞，好好看啊"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[c9a5685880]"", ""created_at"": ""04-19"", ""source"": ""来自山东"", ""user"": {""id"": ""[82dd53d6ba]"", ""screen_name"": ""[299c6edaee]""}, ""text"": ""哇塞，好好看啊"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[ab41715cbb]"", ""created_at"": ""04-19"", ""source"": ""来自江苏"", ""user"": {""id"": ""[d67c2c9909]"", ""screen_name"": ""[a69ce16356]""}, ""text"": ""回复@哒哒与鱼: [打call]"", ""reply_id"": 5024999154654419, ""reply_text"": ""画的好漂亮啊啊太好了DNA又动了哈哈哈哈 [给你小心心]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[3c3f6883db]"", ""created_at"": ""04-19"", ""source"": ""来自江苏"", ""user"": {""id"": ""[93abcda7dc]"", ""screen_name"": ""[d0c94fcf78]""}, ""text"": ""画的好漂亮啊啊太好了DNA又动了哈哈哈哈 [给你小心心]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[294d9bdaf1]"", ""created_at"": ""04-19"", ""source"": ""来自江苏"", ""user"": {""id"": ""[d67c2c9909]"", ""screen_name"": ""[a69ce16356]""}, ""text"": ""回复@淡淡的鼠:嘿嘿嘿 [亲亲]"", ""reply_id"": 5024998929203856, ""reply_text"": ""画的真好"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[2774658a00]"", ""created_at"": ""04-19"", ""source"": ""来自安徽"", ""user"": {""id"": ""[923a78fe90]"", ""screen_name"": ""[aae4283a4c]""}, ""text"": ""画的真好"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-19 22:21:44
[06c395c0e9],[4bf498c209],"抑郁症
总有一个认知，要是我继续去上学，我就好了，我全家也都好了。 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-14T18:49:37,抑郁症超话,0,2,"[{""id"": ""[db2c78ba10]"", ""created_at"": ""04-14"", ""source"": ""来自江苏"", ""user"": {""id"": ""[d67c2c9909]"", ""screen_name"": ""[a69ce16356]""}, ""text"": ""回复@花莞杳夢菸: [泪]"", ""reply_id"": 5023156641466111, ""reply_text"": ""不是的宝宝 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[161d92c5a1]"", ""created_at"": ""04-14"", ""source"": ""来自上海"", ""user"": {""id"": ""[1045908131]"", ""screen_name"": ""[4cc19066c7]""}, ""text"": ""不是的宝宝 [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-14 18:49:37
[71b6c2187d],[be7b387c8d],"抑郁症
今天没和父母一起出去和他们的朋友吃饭。在外面的人，都不真实，连心都不真实，但必须要笑得真实。他们在外人面前会表现的很好，即使我有过错，也是隐忍，到家了后，我就要挨打。我从小就不是个听话的孩子，所以我挨打的次数很多。所以我不喜欢他们的那种割裂感，明明上一秒还在餐桌上 ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-14T18:39:51,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-04-14 18:39:51
