id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[1b3ea5dd97],[11fdcd6bd4],"抑郁症
又开始反胃恶心了，一点压力都承受不了
，现在的我要怎么办才好啊
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-30T21:27:18,抑郁症超话,1,1,"[{""id"": ""[97ac3344ca]"", ""created_at"": ""05-30"", ""source"": ""来自山西"", ""user"": {""id"": ""[7cc5d9746c]"", ""screen_name"": ""[62e7a3c350]""}, ""text"": ""抱抱宝宝摸摸 [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-30 21:27:18
[7eba5fbe5d],[e342254df1],"抑郁症
打开微博，不知道要说些什么，发了一会呆，然后一回神，发现自己无意间打出了两个字，死亡 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-28T20:38:06,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-05-28 20:38:06
[0f567c5cab],[41e1f7ecfa],"抑郁症
一次一次的伸手，把自己的眉毛捋平，但是捋平了又怎样呢？过不了几秒钟又皱起来了，什么时候自己变成了这个样子呢？愁眉不展，眉头紧皱 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-24T13:20:43,抑郁症超话,1,4,"[{""id"": ""[8a768a89f2]"", ""created_at"": ""05-26"", ""source"": ""来自四川"", ""user"": {""id"": ""[0e336d131f]"", ""screen_name"": ""[0f4ada1bf3]""}, ""text"": ""回复@晚起的虫65535:嗯嗯 [抱一抱]"", ""reply_id"": 5038226290508422, ""reply_text"": ""回复@炊子CHUIZI: [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[42a4483e12]"", ""created_at"": ""05-26"", ""source"": ""来自辽宁"", ""user"": {""id"": ""[880cff8a32]"", ""screen_name"": ""[a760afa81d]""}, ""text"": ""回复@炊子CHUIZI: [抱抱]"", ""reply_id"": 5037560355095268, ""reply_text"": ""但是我很坚强了呀抱抱… [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[07daec6f64]"", ""created_at"": ""05-24"", ""source"": ""来自四川"", ""user"": {""id"": ""[5727549e82]"", ""screen_name"": ""[f0c14ed3b7]""}, ""text"": ""我也是，感觉自己长丑了。"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[363c57f5d4]"", ""created_at"": ""05-24"", ""source"": ""来自四川"", ""user"": {""id"": ""[0e336d131f]"", ""screen_name"": ""[0f4ada1bf3]""}, ""text"": ""但是我很坚强了呀抱抱… [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-24 13:20:43
[fea73b37ce],[7fe87b5a94],"抑郁症
又开始咽不下去东西了，唉 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-24T09:40:57,抑郁症超话,0,5,"[{""id"": ""[cbde79d628]"", ""created_at"": ""05-24"", ""source"": ""来自辽宁"", ""user"": {""id"": ""[99a2e774ce]"", ""screen_name"": ""[f98bc8ac8e]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[9e4c0a10c7]"", ""created_at"": ""05-24"", ""source"": ""来自辽宁"", ""user"": {""id"": ""[880cff8a32]"", ""screen_name"": ""[a760afa81d]""}, ""text"": ""回复@看不惯就憋着好吗-:是的 [泪]"", ""reply_id"": 5037497388630881, ""reply_text"": ""躯体化吗宝宝 [跪了]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[4d0cea966d]"", ""created_at"": ""05-24"", ""source"": ""来自辽宁"", ""user"": {""id"": ""[880cff8a32]"", ""screen_name"": ""[a760afa81d]""}, ""text"": ""回复@细雨言叶:嗯嗯，喝了"", ""reply_id"": 5037500852863101, ""reply_text"": ""没事哒，躯体化表现，可以喝点水 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[051c071da4]"", ""created_at"": ""05-24"", ""source"": ""来自广东"", ""user"": {""id"": ""[bfd0fdb848]"", ""screen_name"": ""[0b424cac44]""}, ""text"": ""没事哒，躯体化表现，可以喝点水 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[43eca398bd]"", ""created_at"": ""05-24"", ""source"": ""来自安徽"", ""user"": {""id"": ""[9cf8dbff24]"", ""screen_name"": ""[f44e97b9ba]""}, ""text"": ""躯体化吗宝宝 [跪了]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-24 09:40:57
[0a478cdc74],[d6f2177e50],"抑郁症
心脏疼，心慌，呼吸急促，真的快要熬不住了
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-23T19:14:48,抑郁症超话,0,4,"[{""id"": ""[a9cb95adff]"", ""created_at"": ""05-23"", ""source"": ""来自安徽"", ""user"": {""id"": ""[94427544dd]"", ""screen_name"": ""[0257843b53]""}, ""text"": ""我也是 [泪]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[4d2ff4634a]"", ""created_at"": ""05-23"", ""source"": ""来自湖北"", ""user"": {""id"": ""[524a071bb2]"", ""screen_name"": ""[281868abb2]""}, ""text"": ""回复@晚起的虫65535:没事的 [抱一抱]"", ""reply_id"": 5037304563108232, ""reply_text"": ""回复@缘鹄baby:谢谢"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[83a1b1b9a2]"", ""created_at"": ""05-23"", ""source"": ""来自黑龙江"", ""user"": {""id"": ""[880cff8a32]"", ""screen_name"": ""[a760afa81d]""}, ""text"": ""回复@缘鹄baby:谢谢"", ""reply_id"": 5037284281811027, ""reply_text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[933df15013]"", ""created_at"": ""05-23"", ""source"": ""来自湖北"", ""user"": {""id"": ""[524a071bb2]"", ""screen_name"": ""[281868abb2]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-23 19:14:48
[9ab9193643],[df9d48fe9f],"抑郁症
妈妈问我，这几天还好吧！我∶挺好的，不用担心，都挺好的。其实我不好，我一点都不好，我哭了一次又一次，我害怕到手也抖，心脏也疼，但是我不能和他们说我不好，因为他们会担心
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-23T12:20:09,抑郁症超话,1,2,"[{""id"": ""[9b5350a03f]"", ""created_at"": ""05-23"", ""source"": ""来自辽宁"", ""user"": {""id"": ""[1e0faaff79]"", ""screen_name"": ""[3e7b49eb65]""}, ""text"": ""我也是这样 可伪装的结果就是他们真的觉得你好了 又开始变本加厉"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[51b3882717]"", ""created_at"": ""05-23"", ""source"": ""来自湖北"", ""user"": {""id"": ""[524a071bb2]"", ""screen_name"": ""[281868abb2]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-23 12:20:09
[a469488103],[813b339616],"抑郁症
曾经的我狂傲的不可一世，觉得没什么是我努力得不到的，现在的我像只老鼠，什么都觉得困难，什么都觉得做不到，觉得自己像一摊垃圾。短短两年，那个曾经的自己消失的一干二净，远远的看着那栋楼就害怕，似乎那个实验室，那个工位已经变成了会吃人的怪兽，而我就是案板上肉 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-22T18:32:19,抑郁症超话,3,2,"[{""id"": ""[b95e77df4c]"", ""created_at"": ""05-22"", ""source"": ""来自山东"", ""user"": {""id"": ""[f70c6e25d2]"", ""screen_name"": ""[977d206c35]""}, ""text"": ""同感  有时候想想以前的自己都有点记不清了"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[f34bb56091]"", ""created_at"": ""05-22"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-22 18:32:19
[504ede54fe],[899288acfa],"抑郁症
心脏又疼了两天了
，求求了让我顺利毕业走吧 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-15T19:44:44,抑郁症超话,1,1,"[{""id"": ""[067546eb29]"", ""created_at"": ""05-15"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-15 19:44:44
[636e4d19a2],[e97ae4f94c],"抑郁症
要怎么办啊，心情一直不好，看见代码都恶心，反胃，也不敢和爸妈说，也不能和朋友说，说的多了影响人家，可是真的好难受啊！曾经自信满满的觉得只要毕了业一切都会好，现在真的觉得，碎了的东西真的拼不好了，想想要一辈子这样，真的好绝望 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-12T10:20:26,抑郁症超话,1,4,"[{""id"": ""[58d319c7cd]"", ""created_at"": ""05-12"", ""source"": ""来自四川"", ""user"": {""id"": ""[5727549e82]"", ""screen_name"": ""[f0c14ed3b7]""}, ""text"": ""回复@晚起的虫65535:生病的人尽量不要勉强自己 [抱抱]"", ""reply_id"": 5033188700979842, ""reply_text"": ""回复@SingingZhang:还有任务，所以不能休息"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[c4ad71c48a]"", ""created_at"": ""05-12"", ""source"": ""来自黑龙江"", ""user"": {""id"": ""[d4d900f2b3]"", ""screen_name"": ""[8d9e1cc4fe]""}, ""text"": "" [泪]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[ae1d6dc5f9]"", ""created_at"": ""05-12"", ""source"": ""来自辽宁"", ""user"": {""id"": ""[880cff8a32]"", ""screen_name"": ""[a760afa81d]""}, ""text"": ""回复@SingingZhang:还有任务，所以不能休息"", ""reply_id"": 5033188384834487, ""reply_text"": ""歇一歇 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[22d473e072]"", ""created_at"": ""05-12"", ""source"": ""来自四川"", ""user"": {""id"": ""[5727549e82]"", ""screen_name"": ""[f0c14ed3b7]""}, ""text"": ""歇一歇 [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-12 10:20:26
[80d56a1763],[b088bd1b82],"抑郁症
没有原因，没有预兆，突然就发病了 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-04T09:07:42,抑郁症超话,0,1,"[{""id"": ""[07696fcda6]"", ""created_at"": ""05-04"", ""source"": ""来自河北"", ""user"": {""id"": ""[865987c8eb]"", ""screen_name"": ""[7a7ec866ea]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-04 09:07:42
