id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[81635421cd],[c2d852577a],"#一人一句给高考生送祝福#高考顺利哇
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-06T11:51:24,iPhone XR,0,0,,0,一人一句给高考生送祝福,[9b2d5b4678],2024-06-06 11:51:24
[39339c95da],[77a702a248],"翔霖
 🍬#骄松随阳立 二十丰人间# 🍬#翔霖前程似锦# 🍬#翔霖 陶园双生# 
“爱的证明是心跳的开始，喜欢才知道爱的真假”𝓕𝓵𝓸𝔀𝓮𝓻𝓼 𝓫𝓵𝓸𝓸𝓶 𝓲𝓷 𝓽𝓱𝓮 𝓱𝓸𝓽 𝓼𝓾𝓷. 𝓜𝔂 𝓵𝓸𝓿 ",[9b2d5b4678],[680a0a2e7e],[9b2d5b4678],,2024-06-06T09:17:34,翔霖超话,14,16,"[{""id"": ""[381c17c555]"", ""created_at"": ""2小时前"", ""source"": ""来自广西"", ""user"": {""id"": ""[f88d090a75]"", ""screen_name"": ""[9b275020d4]""}, ""text"": ""6799"", ""like_counts"": 1, ""liked"": false}, {""id"": ""[a2a288a7e8]"", ""created_at"": ""2小时前"", ""source"": ""来自吉林"", ""user"": {""id"": ""[0192ef72c7]"", ""screen_name"": ""[d17a855fda]""}, ""text"": ""6799"", ""like_counts"": 1, ""liked"": false}, {""id"": ""[6d86378911]"", ""created_at"": ""2小时前"", ""source"": ""来自河南"", ""user"": {""id"": ""[4890db09da]"", ""screen_name"": ""[4d436eb0b7]""}, ""text"": ""6799"", ""like_counts"": 1, ""liked"": false}, {""id"": ""[87c94c2766]"", ""created_at"": ""2小时前"", ""source"": ""来自福建"", ""user"": {""id"": ""[ea3311a902]"", ""screen_name"": ""[a94c3ae0b9]""}, ""text"": ""#翔霖 破镜重圆#"", ""like_counts"": 2, ""liked"": false}, {""id"": ""[55b167577a]"", ""created_at"": ""2小时前"", ""source"": ""来自福建"", ""user"": {""id"": ""[ea3311a902]"", ""screen_name"": ""[a94c3ae0b9]""}, ""text"": ""#陪翔霖去慕尼黑#"", ""like_counts"": 2, ""liked"": false}, {""id"": ""[080cd520d9]"", ""created_at"": ""2小时前"", ""source"": ""来自福建"", ""user"": {""id"": ""[ea3311a902]"", ""screen_name"": ""[a94c3ae0b9]""}, ""text"": ""#翔霖 盛夏故事集#"", ""like_counts"": 2, ""liked"": false}]",0,"骄松随阳立 二十丰人间,翔霖前程似锦,翔霖 陶园双生",[9b2d5b4678],2024-06-06 09:17:34
[3227812dcb],[87f7f87864],"时代少年团
 💥#时代少年团永远在一起# 💥#时代少年团 星奔川骛# 
喜欢的热爱发自内心而非外界的流言蜚语皆定义放弃. 𝓣𝓱𝓮 𝓵𝓸𝓿𝓮 𝓸𝓯 𝓽𝓱𝓮 𝓸𝓾𝓽𝓼𝓲𝓭𝓮 𝔀𝓸𝓻𝓵𝓭, 𝔀𝓱𝓲𝓬𝓱 𝓭𝓮𝓯𝓲𝓷𝓮𝓼 
 ...
全文",[9b2d5b4678],[ae841e5ec8],[9b2d5b4678],,2024-06-06T09:16:34,时代少年团超话,18,23,,0,"时代少年团永远在一起,时代少年团 星奔川骛",[9b2d5b4678],2024-06-06 09:16:34
[039a2d5825],[a17351a9fd],"第一次写ABO 写得我头大 我努努力吧
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-06T00:23:43,iPhone XR,1,2,"[{'id': 5042178477002471, 'created_at': '3小时前', 'source': '来自湖南', 'user': {'id': 7284673914, 'screen_name': '炸蛋炸不醒你'}, 'text': '好好我蹲住 ""[努力]""', 'like_counts': 0, 'liked': False}, {'id': 5042067245631205, 'created_at': '11小时前', 'source': '来自浙江', 'user': {'id': 7544410137, 'screen_name': '小丸土豆丝儿'}, 'text': '我要看我要看 ""[收到]""', 'like_counts': 0, 'liked': False}]",0,,[9b2d5b4678],2024-06-06 00:23:43
[8df6891de3],[3a4012a650],"七个包 七个小表情
 ",[9b2d5b4678],[99065f921e],[9b2d5b4678],,2024-06-05T22:25:59,iPhone XR,0,1,"[{""id"": ""[5473139358]"", ""created_at"": ""13小时前"", ""source"": ""来自浙江"", ""user"": {""id"": ""[c6a70daf17]"", ""screen_name"": ""[ce5d10189f]""}, ""text"": ""777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-06-05 22:25:59
[624a23d910],[209252a6f4],"一到抑郁期我就开始天天困天天睡 醒着的时间特别少 现在又是刚睡醒 晚上也不是没睡觉 但就是特别累 吃饭也累 然后醒了不是强迫思维整得头痛 就是开始疯狂自我内耗 不想社交 只想把自己封闭起来 可是一看到小时就有说不上来的感觉 会让我低落的心又重新升起来 会短暂的有点小开心 但也只是在看到他们七 ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-05T16:28:42,iPhone XR,1,0,,0,,[9b2d5b4678],2024-06-05 16:28:42
[96f5868199],[b92adfbed9],"刘耀文
 🐶#刘耀文 唱跳rap全能ace# 🐶#刘耀文 超绝少年气# 
愿你像蒲公英不被约束 飞往你所向往的地方𝑴𝒂𝒚 𝒚𝒐𝒖 𝒍𝒊𝒌𝒆 𝒅𝒂𝒏𝒅𝒆𝒍𝒊𝒐𝒏 𝒊𝒔 𝒏𝒐𝒕 𝒃𝒐𝒖𝒏𝒅 𝒕𝒐 𝒇𝒍𝒚 𝒕𝒐 𝒕𝒉𝒆 𝒑 ...
全文",[9b2d5b4678],[cecf19801d],[9b2d5b4678],,2024-06-05T08:01:50,刘耀文超话,83,63,,0,刘耀文 超绝少年气,[9b2d5b4678],2024-06-05 08:01:50
[85553095dd],[63c56c9e89],"宋亚轩
 🐬#宋亚轩 二十撷彩行舟漫海# 🐚#宋亚轩 声震寰宇问鼎天下# 
𝑯𝒐𝒘 𝒈𝒆𝒏𝒕𝒍𝒆 𝒕𝒉𝒆 𝒔𝒕𝒂𝒓𝒔 𝒂𝒓𝒆, 𝒋𝒖𝒔𝒕 𝒍𝒊𝒌𝒆 𝒚𝒐𝒖𝒓 𝒆𝒚𝒆𝒔.🦋星辰多温柔，恰似你眼眸@时代少年团-宋亚轩 ",[9b2d5b4678],[4008670e88],[9b2d5b4678],,2024-06-05T08:01:03,宋亚轩超话,82,66,,0,"宋亚轩 二十撷彩行舟漫海,宋亚轩 声震寰宇问鼎天下",[076103e63e],2024-06-05 08:01:03
[1b04ce8849],[73fc5bef2b],"@钮钴禄狗七七 
 ",[9b2d5b4678],[c8f84ea287],[9b2d5b4678],,2024-06-05T04:40:43,iPhone XR,1,1,"[{""id"": ""[2842325213]"", ""created_at"": ""昨天 04:41"", ""source"": ""来自福建"", ""user"": {""id"": ""[ca30278fe6]"", ""screen_name"": ""[eea9f963e7]""}, ""text"": ""🍓"", ""like_counts"": 0, ""liked"": false}]",0,,[eea9f963e7],2024-06-05 04:40:43
[4c6cf8b809],[c5d9a9f508],身边人有狗塑我 猫塑我 兔塑我 狐狸塑我 仓鼠塑我 我到底是什么🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-04T21:32:05,iPhone XR,0,0,,0,,[9b2d5b4678],2024-06-04 21:32:05
[1e9e70e27d],[a092f075cc],我妈做的手抓饼～ ,[9b2d5b4678],[5f60ce7012],[9b2d5b4678],,2024-06-04T21:01:45,iPhone XR,5,6,"[{'id': 5042115560341901, 'created_at': '8小时前', 'source': '来自河南', 'user': {'id': 7747695286, 'screen_name': '岁淡诉年桃_想见时团版'}, 'text': '吃 [色]', 'like_counts': 0, 'liked': False}, {'id': 5041658143968469, 'created_at': '06-04', 'source': '来自新疆', 'user': {'id': 7854689597, 'screen_name': 'ID浩想贺可乐'}, 'text': '军号：穷人才吃的手抓饼 二代粉：这两天就乐意吃点手抓饼', 'like_counts': 0, 'liked': False}, {'id': 5041652543261230, 'created_at': '06-04', 'source': '来自福建', 'user': {'id': 7644998371, 'screen_name': '饭饭好困困'}, 'text': '回复@轩轩子的堂客: ""[汪洋海蓝比心]""', 'reply_id': 5041652058031348, 'reply_text': '好棒 [憧憬]', 'like_counts': 1, 'liked': False}, {'id': 5041652515476518, 'created_at': '06-04', 'source': '来自福建', 'user': {'id': 7644998371, 'screen_name': '饭饭好困困'}, 'text': '回复@烟醉巷:吃 [来]', 'reply_id': 5041649044948141, 'reply_text': '我想吃', 'like_counts': 0, 'liked': False}, {'id': 5041652058031348, 'created_at': '06-04', 'source': '来自云南', 'user': {'id': 7025337052, 'screen_name': '轩轩子的堂客'}, 'text': '好棒 [憧憬]', 'like_counts': 1, 'liked': False}, {'id': 5041649044948141, 'created_at': '06-04', 'source': '来自山东', 'user': {'id': 5399830939, 'screen_name': '烟醉巷'}, 'text': '我想吃', 'like_counts': 1, 'liked': False}]",0,,[9b2d5b4678],2024-06-04 21:01:45
[6a07943296],[c377ce0cbc],"抑郁症
 突然的来的莫名其妙的情绪让我又想死了 强迫思维又来了 好好好 想睡觉逃避情绪都不能了 这样我宁愿一直在躁狂期 虽然会笑得我肚子疼😡👊🏻 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-04T16:31:15,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-06-04 16:31:15
[51d8d801eb],[d61c6691ce],吃 ,[9b2d5b4678],[867c3ef6ac],[9b2d5b4678],,2024-06-04T15:26:42,iPhone XR,1,4,"[{'id': 5041623784490217, 'created_at': '06-04', 'source': '来自浙江', 'user': {'id': 7233351735, 'screen_name': 'zzzxxqing'}, 'text': '好可爱', 'like_counts': 0, 'liked': False}, {'id': 5041585064249273, 'created_at': '06-04', 'source': '来自上海', 'user': {'id': 7829284545, 'screen_name': '蛋挞派啦'}, 'text': '好Q啊啊', 'like_counts': 0, 'liked': False}, {'id': 5041570546188411, 'created_at': '06-04', 'source': '来自福建', 'user': {'id': 7644998371, 'screen_name': '饭饭好困困'}, 'text': '回复@嘀咕小猫kitty:萌物 ""[汪洋海蓝比心]""', 'reply_id': 5041564261286617, 'reply_text': '好萌🥺☝🏻', 'like_counts': 0, 'liked': False}, {'id': 5041564261286617, 'created_at': '06-04', 'source': '来自广东', 'user': {'id': 7525991066, 'screen_name': '嘀咕小猫kitty'}, 'text': '好萌🥺☝🏻', 'like_counts': 1, 'liked': False}]",0,,[9b2d5b4678],2024-06-04 15:26:42
[14e925be3d],[de6077eff4], ,[9b2d5b4678],[c64f9143d1],[9b2d5b4678],,2024-06-04T14:58:36,iPhone XR,0,1,"[{""id"": ""[9f527af896]"", ""created_at"": ""昨天 04:22"", ""source"": ""来自福建"", ""user"": {""id"": ""[ca30278fe6]"", ""screen_name"": ""[eea9f963e7]""}, ""text"": "" [微笑]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-06-04 14:58:36
