id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[ca91f017c6],[7dfca21bc2],"推文
谁来救救我，啥文都看不下去了
就没有一本文可以从头看到尾的
而且我也说不准我喜欢什么类型的小说
初中开始看校园黑道霸总，高中开始看豪门世家，军火大佬，女强男强，重生穿越神医嫡女狂妃风水玄学各种各样的，然后慢慢的看双洁接触了bl爽文大女主 ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-07T15:25:24,推文超话,1,1,"[{""id"": ""[1bd1816bf7]"", ""created_at"": ""05-07"", ""source"": ""来自广东"", ""user"": {""id"": ""[6f0340aeea]"", ""screen_name"": ""[9578fa348f]""}, ""text"": ""等我写完 [嘻嘻]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-07 15:25:24
[a77fee3068],[4de8a15d4b],"台剧关于未知的我们
原图来了
刚看到有人想要，但是没有ig的不会翻墙的
我也好久没有用了，刚捡起来了@黄宏轩Xuan 呐，我有图
 ",[9b2d5b4678],[0407ecfa44],[9b2d5b4678],,2024-04-23T10:25:25,台剧关于未知的我们超话,3,1,"[{""id"": ""[06bb9dcb41]"", ""created_at"": ""04-23"", ""source"": ""来自江西"", ""user"": {""id"": ""[1fcb347daf]"", ""screen_name"": ""[a97a45ccb6]""}, ""text"": ""如果还有谁要哪个原图，给我说，难得他俩让我把ig又捡回来了 [打call]"", ""like_counts"": 0, ""liked"": false}]",0,,[559c498ec8],2024-04-23 10:25:25
[c4e16c8d71],[ba00748733],"抑郁症
我的天，我才毁三观了
头一次体会了被造h谣
我退婚了，两家退彩礼没谈拢，他们家起诉了
然后他刚刚给我闺蜜打电话说我结婚前几天跟三个男的开房
说有证据，说问过那几个男的了，就是和我开的房，说我的车停在酒店有记录
可惜了我闺蜜没录到音，不 ...
全文",[9b2d5b4678],[39431b9596],[9b2d5b4678],,2024-05-02T17:25:44,抑郁症超话,0,9,"[{'id': 5030141460218614, 'created_at': '11小时前', 'source': '来自江西', 'user': {'id': 5834142218, 'screen_name': '沉寂Yu海'}, 'text': '回复@没人要的拉布拉多:管他了，以后我要过的无比潇洒 ""[赢牛奶]""', 'reply_id': 5030090838116972, 'reply_text': '回复@沉寂Yu海:这种人就是得不到就毁掉  恼羞成怒', 'like_counts': 0, 'liked': False}, {'id': 5030090838116972, 'created_at': '15小时前', 'source': '来自广东', 'user': {'id': 6362565169, 'screen_name': '没人要的拉布拉多'}, 'text': '回复@沉寂Yu海:这种人就是得不到就毁掉  恼羞成怒', 'reply_id': 5030084461462619, 'reply_text': '回复@没人要的拉布拉多:律师说无视他就反正我没做过身正不怕影子斜 [微笑]', 'like_counts': 0, 'liked': False}, {'id': 5030084461462619, 'created_at': '15小时前', 'source': '来自江西', 'user': {'id': 5834142218, 'screen_name': '沉寂Yu海'}, 'text': '回复@没人要的拉布拉多:律师说无视他就反正我没做过身正不怕影子斜 [微笑]', 'reply_id': 5030070064252491, 'reply_text': '恼羞成怒  别理他  过好自己的生活', 'like_counts': 0, 'liked': False}, {'id': 5030070064252491, 'created_at': '16小时前', 'source': '来自广东', 'user': {'id': 6362565169, 'screen_name': '没人要的拉布拉多'}, 'text': '恼羞成怒  别理他  过好自己的生活', 'like_counts': 0, 'liked': False}, {'id': 5029684795934345, 'created_at': '05-02', 'source': '来自安徽', 'user': {'id': 7299643463, 'screen_name': '要长记性的木子'}, 'text': '回复@沉寂Yu海:抱抱', 'reply_id': 5029680994585966, 'reply_text': '回复@要长记性的木子:我真的好心累 [摊手]', 'like_counts': 0, 'liked': False}, {'id': 5029681138500741, 'created_at': '05-02', 'source': '来自江西', 'user': {'id': 5834142218, 'screen_name': '沉寂Yu海'}, 'text': '回复@殪钊:到底有没有办法收拾这狗东西啊', 'reply_id': 5029679423554360, 'reply_text': ' [抱抱]', 'like_counts': 0, 'liked': False}, {'id': 5029680994585966, 'created_at': '05-02', 'source': '来自江西', 'user': {'id': 5834142218, 'screen_name': '沉寂Yu海'}, 'text': '回复@要长记性的木子:我真的好心累 [摊手]', 'reply_id': 5029638613763342, 'reply_text': '抱抱抱委屈你了', 'like_counts': 0, 'liked': False}, {'id': 5029679423554360, 'created_at': '05-02', 'source': '来自辽宁', 'user': {'id': 6973606680, 'screen_name': '殪钊'}, 'text': ' [抱抱]', 'like_counts': 0, 'liked': False}, {'id': 5029638613763342, 'created_at': '05-02', 'source': '来自安徽', 'user': {'id': 7299643463, 'screen_name': '要长记性的木子'}, 'text': '抱抱抱委屈你了', 'like_counts': 0, 'liked': False}]",0,,[9b2d5b4678],2024-05-02 17:25:44
[53353a5898],[11f62616ad],"抑郁症
气死我了气死我了
第一次这么想砍死一个人
一个男的贱的要死
呵，跟我玩心眼子是吧
那就耗着，看谁耗的过谁
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-22T14:57:34,抑郁症超话,1,7,"[{'id': 5026270050522812, 'created_at': '04-23', 'source': '来自江苏', 'user': {'id': 7299643463, 'screen_name': '要长记性的木子'}, 'text': '回复@晚川未逢And未别春来:是的', 'reply_id': 5026257307962234, 'reply_text': '回复@要长记性的木子:嗯嗯谁都没我自己重要 ""[赢牛奶]""', 'like_counts': 0, 'liked': False}, {'id': 5026257307962234, 'created_at': '04-23', 'source': '来自江西', 'user': {'id': 5834142218, 'screen_name': '沉寂Yu海'}, 'text': '回复@要长记性的木子:嗯嗯谁都没我自己重要 ""[赢牛奶]""', 'reply_id': 5026001454896189, 'reply_text': '回复@晚川未逢And未别春来:乖，爱自己', 'like_counts': 0, 'liked': False}, {'id': 5026001454896189, 'created_at': '04-22', 'source': '来自江苏', 'user': {'id': 7299643463, 'screen_name': '要长记性的木子'}, 'text': '回复@晚川未逢And未别春来:乖，爱自己', 'reply_id': 5026001396434718, 'reply_text': '回复@要长记性的木子:没事了，渣男不是第一次遇到，这么贱的第一次遇到而已 [抱抱]', 'like_counts': 0, 'liked': False}, {'id': 5026001433660100, 'created_at': '04-22', 'source': '来自江西', 'user': {'id': 5834142218, 'screen_name': '沉寂Yu海'}, 'text': '回复@下雪时相爱:谢谢 [抱抱]', 'reply_id': 5025993316109809, 'reply_text': ' [抱抱]', 'like_counts': 0, 'liked': False}, {'id': 5026001396434718, 'created_at': '04-22', 'source': '来自江西', 'user': {'id': 5834142218, 'screen_name': '沉寂Yu海'}, 'text': '回复@要长记性的木子:没事了，渣男不是第一次遇到，这么贱的第一次遇到而已 [抱抱]', 'reply_id': 5025992695614137, 'reply_text': '委屈你了 [抱抱]', 'like_counts': 0, 'liked': False}, {'id': 5025993316109809, 'created_at': '04-22', 'source': '来自湖南', 'user': {'id': 7912630580, 'screen_name': '下雪时相爱'}, 'text': ' [抱抱]', 'like_counts': 0, 'liked': False}, {'id': 5025992695614137, 'created_at': '04-22', 'source': '来自江苏', 'user': {'id': 7299643463, 'screen_name': '要长记性的木子'}, 'text': '委屈你了 [抱抱]', 'like_counts': 0, 'liked': False}]",0,,[9b2d5b4678],2024-04-22 14:57:34
[ffb9925a93],[657b1bc90b],,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-10T01:07:02,生日动态,0,0,,0,,[9b2d5b4678],2024-04-10 01:07:02
[aa2c106d66],[dff060adcb],"抑郁症
被逼疯和被逼死我都不愿意
我要选自由
突然想通，我为什么要顾虑别人那么多
自己开心最重要啊，我只要不杀人放火，不违法犯罪，我想干啥就干啥啊
这个婚结的我生不如死，我为什么还要顾虑到我爸的身体，顾虑到家里人的面子
本来这个婚我就是妥协被迫结 ...
全文",[9b2d5b4678],[a90794ee3f],[9b2d5b4678],,2024-04-02T17:01:22,抑郁症超话,6,12,"[{""id"": ""[ef9b7da016]"", ""created_at"": ""04-02"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""退婚"", ""like_counts"": 1, ""liked"": false}, {""id"": ""[ed92b16aee]"", ""created_at"": ""04-02"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-02 17:01:22
[b80e0f3f4d],[f48cb3548e],"抑郁症
亲们，现在就是说退婚
但我一开始就是说彩礼全退
但是对方是说退彩礼不够，还要再加十万给我爸妈和我亲戚她们的红包
我爸妈肯定不肯全退的，退一半还差不多
而且他们家早就商量好了如果退就要退这么多
感觉一直他们家都是在等着我先说退婚，我之前已经提过两次退婚，破迫于长辈的压力没 ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-31T01:16:48,抑郁症超话,0,2,"[{""id"": ""[5704683769]"", ""created_at"": ""04-01"", ""source"": ""来自江西"", ""user"": {""id"": ""[1fcb347daf]"", ""screen_name"": ""[a97a45ccb6]""}, ""text"": ""回复@不见了5看见了:是啊，我无所谓了又不是我一个人的问题 [裂开]"", ""reply_id"": 5018122015474635, ""reply_text"": ""让他去起诉"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[e081be058f]"", ""created_at"": ""03-31"", ""source"": ""来自广西"", ""user"": {""id"": ""[7bf690e642]"", ""screen_name"": ""[d9f055a30d]""}, ""text"": ""让他去起诉"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-03-31 01:16:48
[40ee456559],[8d69bc428c],"抑郁症
我现在真的麻
不知道咋弄了
我到底当初脑子进了多少水才会同意结婚
早知道结婚会复发且加重抑郁症焦虑症怎么可能会结婚的
真的好想死啊
又不敢死
又怂又懦弱
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-25T11:21:43,抑郁症超话,0,1,"[{""id"": ""[77a346ad9b]"", ""created_at"": ""03-25"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-03-25 11:21:43
[e87cb1dd1e],[446dd7c394],"抑郁症
现在造谣真的不用成本
就因为我跟他年初一吵架，我开车出去了
就变成了我跑了
然后我和我表姐的老公拍了nc
拜托唉，我表姐都未婚哪来的老公
所以被造谣的人如果死了，造谣者一点都不用负法律责任，到底什么时候可以实名制评论啊
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-18T11:51:44,抑郁症超话,2,5,"[{'id': 5013406885086126, 'created_at': '03-18', 'source': '来自安徽', 'user': {'id': 7299643463, 'screen_name': '要长记性的木子'}, 'text': '回复@晚川未逢And未别春来:委屈你了', 'reply_id': 5013405993275447, 'reply_text': '回复@要长记性的木子:唉真的太无奈了 ""[揣手]""', 'like_counts': 0, 'liked': False}, {'id': 5013405993275447, 'created_at': '03-18', 'source': '来自江西', 'user': {'id': 5834142218, 'screen_name': '沉寂Yu海'}, 'text': '回复@要长记性的木子:唉真的太无奈了 ""[揣手]""', 'reply_id': 5013244125123097, 'reply_text': '抱抱抱 [抱抱]', 'like_counts': 0, 'liked': False}, {'id': 5013405938751045, 'created_at': '03-18', 'source': '来自江西', 'user': {'id': 5834142218, 'screen_name': '沉寂Yu海'}, 'text': '回复@阿俊要常安-:是啊。为什么会这样啊你可以评论可以站队，但是不要造谣啊 [裂开]', 'reply_id': 5013279250844997, 'reply_text': '造谣只需动动口', 'like_counts': 0, 'liked': False}, {'id': 5013279250844997, 'created_at': '03-18', 'source': '来自安徽', 'user': {'id': 6377442424, 'screen_name': '阿俊要常安-'}, 'text': '造谣只需动动口', 'like_counts': 0, 'liked': False}, {'id': 5013244125123097, 'created_at': '03-18', 'source': '来自安徽', 'user': {'id': 7299643463, 'screen_name': '要长记性的木子'}, 'text': '抱抱抱 [抱抱]', 'like_counts': 0, 'liked': False}]",0,,[9b2d5b4678],2024-03-18 11:51:44
[774e7a172c],[85dd00e62a],"抑郁症
笑死，医生不敢给我开舍曲林片和安眠药
说我其实吃药没用，要做精神治疗
并且还要做几十次的那种
可是家里小地方，年轻的医生说搞不定我
让我回上海做治疗
其实我不想治疗
我正常的生活工作都没有问题，唯独结婚后无法面对他，因为我对男生生理性厌恶！我对男生的认知 ...
全文",[9b2d5b4678],[45597e1514],[9b2d5b4678],,2024-03-11T12:21:51,抑郁症超话,7,30,,0,,[9b2d5b4678],2024-03-11 12:21:51
