id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[026fc575a0],[4c5558e55d],"你在我身边
张真源
 
张真源爱7的微博视频
 ",[9b2d5b4678],[9b2d5b4678],[96d0462e94],,2024-04-12T21:31:21,张真源超话,4,0,,0,,[9b2d5b4678],2024-04-12 21:31:21
[ebf7884956],[73fb40acaa],"抑郁症
去看心理医生，然后给我做了个什么人生思维导图那样子的，说以后肯定要谈恋爱-结婚-生孩子，还打比方说这个年龄不去学校没有毕业证以后就这么一点工资，如果是他儿子找这样的，连家门都进不去
最后还说只是给个建议，人生路让我自己选择去还是不去学校，我看你已经给我选择好了
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-26T18:54:58,抑郁症超话,0,3,"[{""id"": ""[05f0798168]"", ""created_at"": ""57分钟前"", ""source"": ""来自北京"", ""user"": {""id"": ""[753b7e8bd1]"", ""screen_name"": ""[894bab97bc]""}, ""text"": "" [抱一抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[10eca09edb]"", ""created_at"": ""1小时前"", ""source"": ""来自安徽"", ""user"": {""id"": ""[310fb9519f]"", ""screen_name"": ""[3296982952]""}, ""text"": "" [抱一抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[5ddf1cd957]"", ""created_at"": ""1小时前"", ""source"": ""来自江苏"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-26 18:54:58
[e94a96ba1e],[b680584dd0],拉肚子要拉死了。。。。。胸还闷痛 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-25T19:39:55,抑郁症超话,0,1,"[{""id"": ""[76b63e5799]"", ""created_at"": ""昨天 20:07"", ""source"": ""来自广西"", ""user"": {""id"": ""[0994a344ca]"", ""screen_name"": ""[9d091e518f]""}, ""text"": ""我也有点 [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-25 19:39:55
[97881b61ea],[b51b1a2405],又要背书。。。。真的记不住啊这也太多了 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-25T09:44:09,vivo S9 极夜柔光自拍,1,0,,0,,[9b2d5b4678],2024-04-25 09:44:09
[a5f5f3ce2d],[30c4617856],"抑郁症
早上起来怎么拉肚子了，前面还是那种形容不出来的痛就维持了一会
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-25T07:39:46,抑郁症超话,1,0,,0,,[9b2d5b4678],2024-04-25 07:39:46
[9003332656],[fdc248b969],"抑郁症
要不要请假去心理疏导
有的时候会莫名其妙讨厌一个人正常吗 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-24T08:44:24,抑郁症超话,4,2,"[{""id"": ""[50d7fd3659]"", ""created_at"": ""04-24"", ""source"": ""来自黑龙江"", ""user"": {""id"": ""[ffe3c57e34]"", ""screen_name"": ""[a5f42c5afa]""}, ""text"": ""我会莫名其妙讨厌很多人 [跪了]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[3f95b5921d]"", ""created_at"": ""04-24"", ""source"": ""来自江苏"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""z抱抱抱去看看"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-24 08:44:24
[e4961158ab],[0d58b4b833],"痛苦的一天
抽背政治课＋体育课
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-23T07:55:53,vivo S9 极夜柔光自拍,4,0,,0,,[9b2d5b4678],2024-04-23 07:55:53
[3cb135f4d1],[4118f70e86],"抑郁症
来到学校人已经崩溃了，头发全湿了心理也崩了
夏天又热又难熬，还要上学肉体精神双重折磨 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-22T07:38:21,抑郁症超话,4,2,"[{""id"": ""[de755cd4cc]"", ""created_at"": ""04-22"", ""source"": ""来自江苏"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 1, ""liked"": false}, {""id"": ""[2cbb4cb97a]"", ""created_at"": ""04-22"", ""source"": ""来自四川"", ""user"": {""id"": ""[6cdd19ec3e]"", ""screen_name"": ""[77b0300117]""}, ""text"": ""辛苦了 [抱抱]"", ""like_counts"": 1, ""liked"": false}]",0,,[9b2d5b4678],2024-04-22 07:38:21
[fc99757546],[28545bc3f5],"抑郁症
讨厌蚊子。。。。 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-22T02:19:18,抑郁症超话,0,1,"[{""id"": ""[7cb5dc1185]"", ""created_at"": ""04-22"", ""source"": ""来自江苏"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""一样"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-22 02:19:18
[914291bfdb],[7213b07bca],"抑郁症
再坚持坚持，第一学期就过完了，现在只能靠追星买周边来缓解压力了，不然很不敢想我可能已经退学了。。。 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-20T15:34:13,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-04-20 15:34:13
[af0ee5462f],[2492b26792],真他妈要热死了头发油的要死真的很讨厌夏天，为什么学校不装空调啊我真的是要疯了热的我想紫砂了 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-16T10:27:19,vivo S9 极夜柔光自拍,3,0,,0,,[9b2d5b4678],2024-04-16 10:27:19
[9d5c0095bf],[52d8405382],"张真源
 张哥生日快乐!!! ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-16T00:12:49,张真源超话,2,0,,0,,[9b2d5b4678],2024-04-16 00:12:49
[d823e3596f],[cddd50b5de],真的要热死了去学校……上课也是生不如死就电风扇在上面呼呼呼人间蒸发掉了 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-15T14:23:28,vivo S9 极夜柔光自拍,3,1,"[{""id"": ""[5142ffd98b]"", ""created_at"": ""04-15"", ""source"": ""来自福建"", ""user"": {""id"": ""[fb530d792f]"", ""screen_name"": ""[0cc5386b6c]""}, ""text"": ""🥵🥵🥵热死"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-15 14:23:28
[ced57238a8],[ecce37efa4],"抑郁症
想问问大家怎么坚持带病去上学的 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-14T20:06:19,抑郁症超话,3,12,"[{""id"": ""[cc5e5d29e7]"", ""created_at"": ""04-14"", ""source"": ""来自四川"", ""user"": {""id"": ""[c33c150023]"", ""screen_name"": ""[4c641c31f6]""}, ""text"": ""我是硬撑的 [允悲]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-14 20:06:19
[e4ebbf4afa],[b3f6f57fb6],"张哥的人夫感太强了
 
张真源爱7的微博视频
 ",[9b2d5b4678],[9b2d5b4678],[61065319ae],,2024-04-13T22:17:36,微博视频号,1,0,,0,,[9b2d5b4678],2024-04-13 22:17:36
[16ee855537],[be35474a99],"今天上课请假了感觉心情都变好了
但是又带有一点愧疚感…… ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-12T11:58:53,vivo S9 极夜柔光自拍,2,0,,0,,[9b2d5b4678],2024-04-12 11:58:53
[4a625579f7],[fa70d0c602],"心情真的好崩溃啊好多事情啊啊啊啊总感觉心里很不安我不想上课不想待在这个世界了
抑郁症
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-10T14:29:21,vivo S9 极夜柔光自拍,1,0,,0,,[9b2d5b4678],2024-04-10 14:29:21
[fdd2ddcdfa],[f9f36d2bfd],"张真源 是我 你说想哭就弹琴 想起你就写信#张真源# 
张真源爱7的微博视频
 ",[9b2d5b4678],[9b2d5b4678],[8866fe7afc],,2024-04-07T19:58:28,微博视频号,5,1,"[{'id': 5020616635974050, 'created_at': '04-07', 'source': '来自福建', 'user': {'id': 7558613609, 'screen_name': '韩愿熊love7'}, 'text': '哇塞 ""[送花花]""', 'like_counts': 0, 'liked': False}]",0,张真源,[9b2d5b4678],2024-04-07 19:58:28
