id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[c07e33bf81],[0ffa46f3e7],"抑郁症
 有点难受 有点害怕 我该怎么办 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-11T21:32:19,抑郁症超话,0,3,"[{""id"": ""[99d682eceb]"", ""created_at"": ""04-11"", ""source"": ""来自广西"", ""user"": {""id"": ""[ec8a00ed54]"", ""screen_name"": ""[c77acaeb9d]""}, ""text"": ""去做自己喜欢的事情，转移一下注意力 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[b3b38c49e3]"", ""created_at"": ""04-11"", ""source"": ""来自内蒙古"", ""user"": {""id"": ""[d9a8258b7b]"", ""screen_name"": ""[93c3daae8f]""}, ""text"": ""别怕，相信你自己就是最最最棒的 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[147475403d]"", ""created_at"": ""04-11"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""不怕不怕 [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-11 21:32:19
[2ef5d7cc47],[aa1c365082],"抑郁症
 果然放假就没有一次开心的 又吵架了 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-07T12:49:59,抑郁症超话,0,2,"[{""id"": ""[0d28d4442f]"", ""created_at"": ""04-07"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[3d28991eea]"", ""created_at"": ""04-07"", ""source"": ""来自山东"", ""user"": {""id"": ""[69ddbd7d55]"", ""screen_name"": ""[ec3fdc72dc]""}, ""text"": "" [抱一抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-07 12:49:59
[4834dc684e],[b98e10f0f3],"抑郁症
 我再次祈求上天 我愿用我后半生的健康寿命 换坏人全部消失 全部消失 全部消失 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-05T21:55:42,抑郁症超话,2,1,"[{""id"": ""[50fb854e1b]"", ""created_at"": ""04-05"", ""source"": ""来自安徽"", ""user"": {""id"": ""[60fa5bcd4b]"", ""screen_name"": ""[154aa3f39f]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-05 21:55:42
[5e34c13d88],[31f7c30a59],"抑郁症
 好像抑郁会有机率得垂体瘤，自从我爸打了我以后，到现在都没有来月经，整天压力大压抑的害怕的环境生活 我不知道他什么时候消失，每个夜晚都在祈求，为什么坏人不消失呢，为什么呢，我用自己的寿命，用自己的健康，一遍遍祈求上天，能给我生的机会 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-05T21:52:36,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-04-05 21:52:36
[349f767d5c],[435fa2d6d5],"抑郁症
 这种暴力狂 真的希望他消失在这世界上 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-05T21:31:43,抑郁症超话,0,1,"[{""id"": ""[05abaed754]"", ""created_at"": ""04-05"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-05 21:31:43
[4c958e6cb0],[fdb1989eac],"抑郁症
 真心希望我爸能走 一辈子别回来 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-05T21:31:19,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-04-05 21:31:19
[475d736f22],[dd25222f64],"抑郁症
 那种害怕感又席卷而来 怎么也躲不掉 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-03T00:12:23,抑郁症超话,1,1,"[{""id"": ""[5337a56c8d]"", ""created_at"": ""04-03"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-03 00:12:23
[1909cdecd8],[d0e767053c],"抑郁症
 我说呢 怎么会来关心我 给个糖又给一巴掌，关心我又用我来威胁我妈 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-01T19:31:35,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-04-01 19:31:35
[af2fd0fe42],[2671360a34],我要疯了 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-30T20:08:10,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-03-30 20:08:10
[2dbebb8e09],[e14233f814],"抑郁症
 我不明白，我为什么有这个家庭，我真的很讨厌，为什么无法改变 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-30T19:47:02,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-03-30 19:47:02
