id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[2527a4bc44],[28bdc015f3],抑郁症#高智商犯罪 物理教师的时空诡计 紫金陈# 其实，要是真的决定干大的了，不妨真正做自己。人活于世，受到各方面的压制，包括自己内心的压制。如果放开了，会怎样，敢不敢仗义执言，敢不敢替天行道，敢不敢只是说句公道话呢。 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-25T11:26:14,抑郁症超话,0,0,,0,高智商犯罪 物理教师的时空诡计 紫金陈,[9b2d5b4678],2024-05-25 11:26:14
[d93ccf3c74],[fb6a7de0fb],"抑郁症#高智商犯罪 化工女王的逆袭 紫金陈# 与第一部相比逊色不少。这部最震撼我的还是作恶之人的家人欺凌何家老少那段，真的没法读下去。人心之恶就像吃饭睡觉一样稀松平常，而我们每一个人虽可能不会如此大恶之人，但绝对会是芸芸旁观者。敢于出声甚至敢于出手，有时比作奸犯科还要难一点， ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-22T18:25:44,抑郁症超话,0,0,,0,高智商犯罪 化工女王的逆袭 紫金陈,[9b2d5b4678],2024-05-22 18:25:44
[996adaead7],[1dd3b915eb],"抑郁症#高智商犯罪 逻辑王子的演绎 紫金陈# 法律惩治的是谁，法律的作用在哪里。法律管不了那么多事，无论是站在法律的主观还是客观。朴素的正义观有用吗？
说实在的，这个故事的逻辑错误真的很少，我所看出来的是电击棒难道真的那么好使吗？而且，警察查了那么多线索，却未查禁售的电击棒。好 ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-13T12:30:09,抑郁症超话,0,0,,0,高智商犯罪 逻辑王子的演绎 紫金陈,[9b2d5b4678],2024-05-13 12:30:09
[5570ff91f8],[7490b975d2],"抑郁症#平凡的世界 路遥# 对于一个抑郁症正在发作中的人，也许更能具有代入感，更能体会文学、电影，起码对于我是这样。当然，不能在重度发作时，因为那时只求一事。
而现在，这部很好的小说看完，虽有感慨和感触，但明显没有过去那种代入感带来的精神上的震颤。不是书不够好，而是我渐渐走出 ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-28T18:18:56,抑郁症超话,0,0,,0,平凡的世界 路遥,[9b2d5b4678],2024-04-28 18:18:56
[29c3c385ad],[ac9599d2c9],"抑郁症#平凡的世界 路遥# 已经听到尾声了。少平凝视迎春花的所感所想，对于季节，对于花开，对于生命的领悟，别人给我细细讲过其中的奥妙。
听听周华健的#花心[音乐]#吧，这是打小听的一首歌，一直只觉得好听但没明白在唱什么。
春去春来，花谢花开。春天和四季都会再来，生命也会自己寻找到出 ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-28T08:14:29,抑郁症超话,0,0,,0,平凡的世界 路遥,[9b2d5b4678],2024-04-28 08:14:29
[191dde533e],[58e1afc42a],抑郁症#平凡的世界 路遥# 不落俗套地落入俗套。改革开放后的人生，如果是指某个人的人生，不一定变好，随风飘零而已。 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-21T19:29:35,抑郁症超话,0,0,,0,平凡的世界 路遥,[9b2d5b4678],2024-04-21 19:29:35
[2dee8127b7],[e088865c66],"抑郁症#平凡的世界 路遥# 读到第二部了。当读到文革结束的时候，我以为这本书也就结束了。不是不知道后面还有两部呢，而是我自以为后面就会像人民日报写的一样了。
现在发现，不是。 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-28T13:25:55,抑郁症超话,0,0,,0,平凡的世界 路遥,[9b2d5b4678],2024-03-28 13:25:55
[a4100e6042],[7122e80088],抑郁症#洪真英 活着# 今天也喝一杯了吗？小时候最讨厌的一件事就是父亲喝酒了，无出其右。长大了，特别是到了这个年纪，才能体会到喝下去的不是酒，而是对生活的麻醉剂。谁会执着地跟生活论对错呢？大道理你也懂，但还是需要能抚慰人心的东西。雨天有伞，黑夜留灯。 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-28T13:21:48,抑郁症超话,0,0,,0,洪真英 活着,[9b2d5b4678],2024-03-28 13:21:48
[45f0ce4bb0],[461d19e223],"抑郁症#重启人生# 看了这剧才发现，很少很少的人会有人生目标。而有人生目标的人努力克制着自己实现目标，然后再回到漫无目的的人生中。
如果真有第二遍人生，会在意什么。 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-10T23:08:39,抑郁症超话,0,0,,0,重启人生,[9b2d5b4678],2024-03-10 23:08:39
[1f0166ca8e],[355da37db1],"抑郁症#重启人生# 看到第八集吧，就是女主得知学霸也是重启的时候，知道了学霸的重启的原因，就突然间感到了，感动地倒不是学霸多伟大，而是为女主找到这一遍遍重启的意义而感动。
如果我们大家都能重启呢？有多少人会认为是无意义呢？你会去干什么呢？你会不会认为第一遍自己的人生缺乏意义呢 ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-02-28T21:44:57,抑郁症超话,0,0,,0,重启人生,[9b2d5b4678],2024-02-28 21:44:57
